fraction	Nx_length
0.001	36390665
0.002	36390665
0.003	36390665
0.004	36390665
0.005	36390665
0.006	36390665
0.007	36390665
0.008	34527944
0.009	34527944
0.01	34527944
0.011	34527944
0.012	34527944
0.013	34527944
0.014	33372979
0.015	33372979
0.016	33372979
0.017	33372979
0.018	33372979
0.019	33372979
0.02	33372979
0.021	26653542
0.022	26653542
0.023	26653542
0.024	26653542
0.025	26653542
0.026	22111246
0.027	22111246
0.028	22111246
0.029	22111246
0.03	22111246
0.031	21797884
0.032	21797884
0.033	21797884
0.034	21797884
0.035	21738913
0.036	21738913
0.037	21738913
0.038	21738913
0.039	20079954
0.04	20079954
0.041	20079954
0.042	20079954
0.043	18547572
0.044	18547572
0.045	18547572
0.046	18547572
0.047	18408218
0.048	18408218
0.049	18408218
0.05	18408218
0.051	18381196
0.052	18381196
0.053	18381196
0.054	18109784
0.055	18109784
0.056	18109784
0.057	18109784
0.058	17540473
0.059	17540473
0.06	17540473
0.061	17488240
0.062	17488240
0.063	17488240
0.064	17488240
0.065	17279228
0.066	17279228
0.067	17279228
0.068	17147018
0.069	17147018
0.07	17147018
0.071	16508650
0.072	16508650
0.073	16508650
0.074	16508650
0.075	16459152
0.076	16459152
0.077	16459152
0.078	16103717
0.079	16103717
0.08	16103717
0.081	16052140
0.082	16052140
0.083	16052140
0.084	15960757
0.085	15960757
0.086	15960757
0.087	15117183
0.088	15117183
0.089	15117183
0.09	14628186
0.091	14628186
0.092	14628186
0.093	14070723
0.094	14070723
0.095	14070723
0.096	14041178
0.097	14041178
0.098	14041178
0.099	14040838
0.1	14040838
0.101	14040838
0.102	13912561
0.103	13912561
0.104	13834640
0.105	13834640
0.106	13834640
0.107	13754955
0.108	13754955
0.109	13754955
0.11	13560526
0.111	13560526
0.112	13425849
0.113	13425849
0.114	13425849
0.115	13312576
0.116	13312576
0.117	13312576
0.118	13276746
0.119	13276746
0.12	13250636
0.121	13250636
0.122	13250636
0.123	13055199
0.124	13055199
0.125	13009544
0.126	13009544
0.127	13009544
0.128	13008942
0.129	13008942
0.13	13008942
0.131	12987403
0.132	12987403
0.133	12556994
0.134	12556994
0.135	12556994
0.136	12526370
0.137	12526370
0.138	12472429
0.139	12472429
0.14	12472429
0.141	12430869
0.142	12430869
0.143	12378805
0.144	12378805
0.145	12337818
0.146	12337818
0.147	12337818
0.148	12301958
0.149	12301958
0.15	12251860
0.151	12251860
0.152	12251860
0.153	12241236
0.154	12241236
0.155	12046709
0.156	12046709
0.157	12046709
0.158	11976162
0.159	11976162
0.16	11922494
0.161	11922494
0.162	11779442
0.163	11779442
0.164	11779442
0.165	11755177
0.166	11755177
0.167	11658256
0.168	11658256
0.169	11492040
0.17	11492040
0.171	11277121
0.172	11277121
0.173	11277121
0.174	11235171
0.175	11235171
0.176	11071329
0.177	11071329
0.178	11051448
0.179	11051448
0.18	11019159
0.181	11019159
0.182	11010368
0.183	11010368
0.184	11010368
0.185	11010047
0.186	11010047
0.187	10967818
0.188	10967818
0.189	10922494
0.19	10922494
0.191	10885088
0.192	10885088
0.193	10797581
0.194	10797581
0.195	10761096
0.196	10761096
0.197	10751643
0.198	10751643
0.199	10751643
0.2	10701176
0.201	10701176
0.202	10584443
0.203	10584443
0.204	10468535
0.205	10468535
0.206	10418923
0.207	10418923
0.208	10241849
0.209	10241849
0.21	10167584
0.211	10167584
0.212	10059405
0.213	10059405
0.214	9983919
0.215	9983919
0.216	9964774
0.217	9964774
0.218	9869135
0.219	9869135
0.22	9848680
0.221	9848680
0.222	9821132
0.223	9821132
0.224	9794788
0.225	9794788
0.226	9729379
0.227	9729379
0.228	9683530
0.229	9682444
0.23	9682444
0.231	9651916
0.232	9651916
0.233	9532614
0.234	9532614
0.235	9451235
0.236	9451235
0.237	9390571
0.238	9390571
0.239	9361819
0.24	9361819
0.241	9354159
0.242	9354159
0.243	9246636
0.244	9240088
0.245	9240088
0.246	9167426
0.247	9167426
0.248	9151990
0.249	9151990
0.25	9115664
0.251	9115664
0.252	9033472
0.253	9029337
0.254	9029337
0.255	8931788
0.256	8931788
0.257	8889376
0.258	8889376
0.259	8837514
0.26	8806102
0.261	8806102
0.262	8700847
0.263	8700847
0.264	8668190
0.265	8668190
0.266	8640143
0.267	8572251
0.268	8572251
0.269	8511269
0.27	8511269
0.271	8510949
0.272	8496746
0.273	8496746
0.274	8433125
0.275	8433125
0.276	8432538
0.277	8425589
0.278	8425589
0.279	8407644
0.28	8407644
0.281	8402838
0.282	8394402
0.283	8394402
0.284	8380084
0.285	8380084
0.286	8296937
0.287	8271828
0.288	8271828
0.289	8146590
0.29	8111420
0.291	8111420
0.292	8068647
0.293	8068647
0.294	8052607
0.295	8031294
0.296	8031294
0.297	8028532
0.298	8026532
0.299	8026532
0.3	7984080
0.301	7984080
0.302	7963583
0.303	7956527
0.304	7956527
0.305	7881894
0.306	7827245
0.307	7827245
0.308	7793203
0.309	7752438
0.31	7752438
0.311	7730921
0.312	7730085
0.313	7730085
0.314	7712857
0.315	7702538
0.316	7702538
0.317	7676473
0.318	7676473
0.319	7664294
0.32	7664058
0.321	7664058
0.322	7650544
0.323	7636377
0.324	7636377
0.325	7616479
0.326	7599435
0.327	7599435
0.328	7556524
0.329	7554790
0.33	7554790
0.331	7553512
0.332	7543300
0.333	7514311
0.334	7514311
0.335	7306731
0.336	7301546
0.337	7301546
0.338	7210675
0.339	7196557
0.34	7196557
0.341	7189694
0.342	7162982
0.343	7162982
0.344	7151680
0.345	7151341
0.346	7092065
0.347	7092065
0.348	7054341
0.349	7044087
0.35	7044087
0.351	6911271
0.352	6900555
0.353	6885999
0.354	6885999
0.355	6843397
0.356	6838784
0.357	6835980
0.358	6835980
0.359	6833875
0.36	6799134
0.361	6769949
0.362	6769949
0.363	6768408
0.364	6760940
0.365	6651615
0.366	6651615
0.367	6632362
0.368	6596929
0.369	6591242
0.37	6591242
0.371	6561472
0.372	6516244
0.373	6493439
0.374	6479836
0.375	6479836
0.376	6474750
0.377	6445172
0.378	6438384
0.379	6438384
0.38	6436310
0.381	6436293
0.382	6411717
0.383	6404005
0.384	6404005
0.385	6401287
0.386	6385601
0.387	6382270
0.388	6376766
0.389	6376766
0.39	6349608
0.391	6346196
0.392	6345365
0.393	6299496
0.394	6299496
0.395	6293726
0.396	6293623
0.397	6244888
0.398	6171020
0.399	6171020
0.4	6153483
0.401	6138611
0.402	6112399
0.403	6105163
0.404	6096920
0.405	6096920
0.406	6088001
0.407	6048559
0.408	6017016
0.409	6015825
0.41	5994008
0.411	5994008
0.412	5989308
0.413	5979252
0.414	5967057
0.415	5965058
0.416	5938512
0.417	5927183
0.418	5927183
0.419	5835787
0.42	5834514
0.421	5833034
0.422	5815573
0.423	5768785
0.424	5762864
0.425	5754229
0.426	5754229
0.427	5746794
0.428	5708325
0.429	5689286
0.43	5628796
0.431	5622580
0.432	5617573
0.433	5604166
0.434	5599552
0.435	5599552
0.436	5569892
0.437	5568980
0.438	5560475
0.439	5534277
0.44	5521771
0.441	5497825
0.442	5478273
0.443	5458852
0.444	5457502
0.445	5436860
0.446	5436347
0.447	5429470
0.448	5429470
0.449	5409157
0.45	5403570
0.451	5401216
0.452	5397957
0.453	5395841
0.454	5383507
0.455	5372433
0.456	5322977
0.457	5313677
0.458	5313022
0.459	5310084
0.46	5254483
0.461	5250206
0.462	5248211
0.463	5246434
0.464	5217654
0.465	5207783
