fraction	Nx_length
0.001	181272037
0.002	181272037
0.003	181272037
0.004	181272037
0.005	181272037
0.006	181272037
0.007	181272037
0.008	181272037
0.009	181272037
0.01	181272037
0.011	181272037
0.012	181272037
0.013	181272037
0.014	181272037
0.015	181272037
0.016	181272037
0.017	181272037
0.018	181272037
0.019	181272037
0.02	181272037
0.021	181272037
0.022	181272037
0.023	181272037
0.024	181272037
0.025	181272037
0.026	181272037
0.027	181272037
0.028	181272037
0.029	181272037
0.03	181272037
0.031	181272037
0.032	181272037
0.033	181272037
0.034	181272037
0.035	181272037
0.036	167117051
0.037	167117051
0.038	167117051
0.039	167117051
0.04	167117051
0.041	167117051
0.042	167117051
0.043	167117051
0.044	167117051
0.045	167117051
0.046	167117051
0.047	167117051
0.048	167117051
0.049	167117051
0.05	167117051
0.051	167117051
0.052	167117051
0.053	167117051
0.054	167117051
0.055	167117051
0.056	167117051
0.057	167117051
0.058	167117051
0.059	167117051
0.06	167117051
0.061	167117051
0.062	167117051
0.063	167117051
0.064	167117051
0.065	167117051
0.066	167117051
0.067	167117051
0.068	167117051
0.069	164145605
0.07	164145605
0.071	164145605
0.072	164145605
0.073	164145605
0.074	164145605
0.075	164145605
0.076	164145605
0.077	164145605
0.078	164145605
0.079	164145605
0.08	164145605
0.081	164145605
0.082	164145605
0.083	164145605
0.084	164145605
0.085	164145605
0.086	164145605
0.087	164145605
0.088	164145605
0.089	164145605
0.09	164145605
0.091	164145605
0.092	164145605
0.093	164145605
0.094	164145605
0.095	164145605
0.096	164145605
0.097	164145605
0.098	164145605
0.099	164145605
0.1	164145605
0.101	164145605
0.102	164126468
0.103	164126468
0.104	164126468
0.105	164126468
0.106	164126468
0.107	164126468
0.108	164126468
0.109	164126468
0.11	164126468
0.111	164126468
0.112	164126468
0.113	164126468
0.114	164126468
0.115	164126468
0.116	164126468
0.117	164126468
0.118	164126468
0.119	164126468
0.12	164126468
0.121	164126468
0.122	164126468
0.123	164126468
0.124	164126468
0.125	164126468
0.126	164126468
0.127	164126468
0.128	164126468
0.129	164126468
0.13	164126468
0.131	164126468
0.132	164126468
0.133	164126468
0.134	151792197
0.135	151792197
0.136	151792197
0.137	151792197
0.138	151792197
0.139	151792197
0.14	151792197
0.141	151792197
0.142	151792197
0.143	151792197
0.144	151792197
0.145	151792197
0.146	151792197
0.147	151792197
0.148	151792197
0.149	151792197
0.15	151792197
0.151	151792197
0.152	151792197
0.153	151792197
0.154	151792197
0.155	151792197
0.156	151792197
0.157	151792197
0.158	151792197
0.159	151792197
0.16	151792197
0.161	151792197
0.162	151792197
0.163	151792197
0.164	140924191
0.165	140924191
0.166	140924191
0.167	140924191
0.168	140924191
0.169	140924191
0.17	140924191
0.171	140924191
0.172	140924191
0.173	140924191
0.174	140924191
0.175	140924191
0.176	140924191
0.177	140924191
0.178	140924191
0.179	140924191
0.18	140924191
0.181	140924191
0.182	140924191
0.183	140924191
0.184	140924191
0.185	140924191
0.186	140924191
0.187	140924191
0.188	140924191
0.189	140924191
0.19	140924191
0.191	140924191
0.192	135949795
0.193	135949795
0.194	135949795
0.195	135949795
0.196	135949795
0.197	135949795
0.198	135949795
0.199	135949795
0.2	135949795
0.201	135949795
0.202	135949795
0.203	135949795
0.204	135949795
0.205	135949795
0.206	135949795
0.207	135949795
0.208	135949795
0.209	135949795
0.21	135949795
0.211	135949795
0.212	135949795
0.213	135949795
0.214	135949795
0.215	135949795
0.216	135949795
0.217	135949795
0.218	135003983
0.219	135003983
0.22	135003983
0.221	135003983
0.222	135003983
0.223	135003983
0.224	135003983
0.225	135003983
0.226	135003983
0.227	135003983
0.228	135003983
0.229	135003983
0.23	135003983
0.231	135003983
0.232	135003983
0.233	135003983
0.234	135003983
0.235	135003983
0.236	135003983
0.237	135003983
0.238	135003983
0.239	135003983
0.24	135003983
0.241	135003983
0.242	135003983
0.243	135003983
0.244	135003983
0.245	129314652
0.246	129314652
0.247	129314652
0.248	129314652
0.249	129314652
0.25	129314652
0.251	129314652
0.252	129314652
0.253	129314652
0.254	129314652
0.255	129314652
0.256	129314652
0.257	129314652
0.258	129314652
0.259	129314652
0.26	129314652
0.261	129314652
0.262	129314652
0.263	129314652
0.264	129314652
0.265	129314652
0.266	129314652
0.267	129314652
0.268	129314652
0.269	129314652
0.27	125230933
0.271	125230933
0.272	125230933
0.273	125230933
0.274	125230933
0.275	125230933
0.276	125230933
0.277	125230933
0.278	125230933
0.279	125230933
0.28	125230933
0.281	125230933
0.282	125230933
0.283	125230933
0.284	125230933
0.285	125230933
0.286	125230933
0.287	125230933
0.288	125230933
0.289	125230933
0.29	125230933
0.291	125230933
0.292	125230933
0.293	125230933
0.294	125230933
0.295	122757853
0.296	122757853
0.297	122757853
0.298	122757853
0.299	122757853
0.3	122757853
0.301	122757853
0.302	122757853
0.303	122757853
0.304	122757853
0.305	122757853
0.306	122757853
0.307	122757853
0.308	122757853
0.309	122757853
0.31	122757853
0.311	122757853
0.312	122757853
0.313	122757853
