fraction	Nx_length
0.001	33340251
0.002	33340251
0.003	33340251
0.004	33340251
0.005	33340251
0.006	33340251
0.007	33340251
0.008	33340251
0.009	33340251
0.01	33340251
0.011	32231900
0.012	32231900
0.013	32231900
0.014	32231900
0.015	32231900
0.016	32231900
0.017	32231900
0.018	32231900
0.019	32231900
0.02	32231900
0.021	31808495
0.022	31808495
0.023	31808495
0.024	31808495
0.025	31808495
0.026	31808495
0.027	31808495
0.028	31808495
0.029	31808495
0.03	31808495
0.031	29527255
0.032	29527255
0.033	29527255
0.034	29527255
0.035	29527255
0.036	29527255
0.037	29527255
0.038	29527255
0.039	29527255
0.04	28903101
0.041	28903101
0.042	28903101
0.043	28903101
0.044	28903101
0.045	28903101
0.046	28903101
0.047	28903101
0.048	28903101
0.049	28637647
0.05	28637647
0.051	28637647
0.052	28637647
0.053	28637647
0.054	28637647
0.055	28637647
0.056	28637647
0.057	28637647
0.058	27794416
0.059	27794416
0.06	27794416
0.061	27794416
0.062	27794416
0.063	27794416
0.064	27794416
0.065	27794416
0.066	26249787
0.067	26249787
0.068	26249787
0.069	26249787
0.07	26249787
0.071	26249787
0.072	26249787
0.073	26249787
0.074	25847202
0.075	25847202
0.076	25847202
0.077	25847202
0.078	25847202
0.079	25847202
0.08	25847202
0.081	25847202
0.082	23949694
0.083	23949694
0.084	23949694
0.085	23949694
0.086	23949694
0.087	23949694
0.088	23949694
0.089	23949694
0.09	23737493
0.091	23737493
0.092	23737493
0.093	23737493
0.094	23737493
0.095	23737493
0.096	23737493
0.097	21658957
0.098	21658957
0.099	21658957
0.1	21658957
0.101	21658957
0.102	21658957
0.103	21658957
0.104	21482700
0.105	21482700
0.106	21482700
0.107	21482700
0.108	21482700
0.109	21482700
0.11	21482700
0.111	20886941
0.112	20886941
0.113	20886941
0.114	20886941
0.115	20886941
0.116	20886941
0.117	20205734
0.118	20205734
0.119	20205734
0.12	20205734
0.121	20205734
0.122	20205734
0.123	20121561
0.124	20121561
0.125	20121561
0.126	20121561
0.127	20121561
0.128	20121561
0.129	20121561
0.13	20087756
0.131	20087756
0.132	20087756
0.133	20087756
0.134	20087756
0.135	20087756
0.136	19476990
0.137	19476990
0.138	19476990
0.139	19476990
0.14	19476990
0.141	19476990
0.142	19254951
0.143	19254951
0.144	19254951
0.145	19254951
0.146	19254951
0.147	19254951
0.148	19207941
0.149	19207941
0.15	19207941
0.151	19207941
0.152	19207941
0.153	19207941
0.154	19095016
0.155	19095016
0.156	19095016
0.157	19095016
0.158	19095016
0.159	19095016
0.16	19012549
0.161	19012549
0.162	19012549
0.163	19012549
0.164	19012549
0.165	19012549
0.166	19001439
0.167	19001439
0.168	19001439
0.169	19001439
0.17	19001439
0.171	18787551
0.172	18787551
0.173	18787551
0.174	18787551
0.175	18787551
0.176	18787551
0.177	18609977
0.178	18609977
0.179	18609977
0.18	18609977
0.181	18609977
0.182	18609977
0.183	18131277
0.184	18131277
0.185	18131277
0.186	18131277
0.187	18131277
0.188	18131277
0.189	18006602
0.19	18006602
0.191	18006602
0.192	18006602
0.193	18006602
0.194	16684363
0.195	16684363
0.196	16684363
0.197	16684363
0.198	16684363
0.199	15467031
0.2	15467031
0.201	15467031
0.202	15467031
0.203	15467031
0.204	15163823
0.205	15163823
0.206	15163823
0.207	15163823
0.208	15163823
0.209	14763206
0.21	14763206
0.211	14763206
0.212	14763206
0.213	14484453
0.214	14484453
0.215	14484453
0.216	14484453
0.217	14484453
0.218	14017984
0.219	14017984
0.22	14017984
0.221	14017984
0.222	13986431
0.223	13986431
0.224	13986431
0.225	13986431
0.226	13986431
0.227	13981337
0.228	13981337
0.229	13981337
0.23	13981337
0.231	13947652
0.232	13947652
0.233	13947652
0.234	13947652
0.235	13383755
0.236	13383755
0.237	13383755
0.238	13383755
0.239	13370627
0.24	13370627
0.241	13370627
0.242	13370627
0.243	13370627
0.244	13294278
0.245	13294278
0.246	13294278
0.247	13294278
0.248	13220224
0.249	13220224
0.25	13220224
0.251	13220224
0.252	13183747
0.253	13183747
0.254	13183747
0.255	13183747
0.256	13066599
0.257	13066599
0.258	13066599
0.259	13066599
0.26	12837689
0.261	12837689
0.262	12837689
0.263	12837689
0.264	12119605
0.265	12119605
0.266	12119605
0.267	12119605
0.268	12100815
0.269	12100815
0.27	12100815
0.271	11791316
0.272	11791316
0.273	11791316
0.274	11791316
0.275	11790024
0.276	11790024
0.277	11790024
0.278	11790024
0.279	11602102
0.28	11602102
0.281	11602102
0.282	11440457
0.283	11440457
0.284	11440457
0.285	11440457
0.286	11359430
0.287	11359430
0.288	11359430
0.289	11206611
0.29	11206611
0.291	11206611
0.292	11206611
0.293	11126635
0.294	11126635
0.295	11126635
0.296	11119410
0.297	11119410
0.298	11119410
0.299	11119410
0.3	11083095
0.301	11083095
0.302	11083095
0.303	10909619
0.304	10909619
0.305	10909619
0.306	10909619
0.307	10848676
0.308	10848676
0.309	10848676
0.31	10755062
0.311	10755062
0.312	10755062
0.313	10677789
0.314	10677789
0.315	10677789
0.316	10677789
0.317	10621992
0.318	10621992
0.319	10621992
0.32	10314165
0.321	10314165
0.322	10314165
0.323	10299850
0.324	10299850
0.325	10299850
0.326	10236810
0.327	10236810
0.328	10236810
0.329	10095778
0.33	10095778
0.331	10095778
0.332	9917745
0.333	9917745
0.334	9917745
0.335	9917745
0.336	9883748
0.337	9883748
0.338	9883748
0.339	9760501
0.34	9760501
0.341	9760501
0.342	9407649
0.343	9407649
0.344	9407649
0.345	9365731
0.346	9365731
0.347	9339652
0.348	9339652
0.349	9339652
0.35	9228508
0.351	9228508
0.352	9228508
0.353	9213633
0.354	9213633
0.355	9213633
0.356	8920502
0.357	8920502
0.358	8920502
0.359	8850694
0.36	8850694
0.361	8850694
0.362	8784739
0.363	8784739
0.364	8716156
0.365	8716156
0.366	8716156
0.367	8685367
0.368	8685367
0.369	8685367
0.37	8681831
0.371	8681831
0.372	8646146
0.373	8646146
0.374	8646146
0.375	8578185
0.376	8578185
0.377	8578185
0.378	8409582
0.379	8409582
0.38	8314924
0.381	8314924
0.382	8314924
0.383	8258200
0.384	8258200
0.385	8238197
0.386	8238197
0.387	8238197
0.388	8228871
0.389	8228871
0.39	8228871
0.391	8074146
0.392	8074146
0.393	8038825
0.394	8038825
0.395	8038825
0.396	7917111
0.397	7917111
0.398	7878915
0.399	7878915
0.4	7847990
0.401	7847990
0.402	7847990
0.403	7694499
0.404	7694499
0.405	7612288
0.406	7612288
0.407	7612288
0.408	7461902
0.409	7461902
0.41	7418829
0.411	7418829
0.412	7408994
0.413	7408994
0.414	7408994
0.415	7357272
0.416	7357272
0.417	7337862
0.418	7337862
0.419	7323033
0.42	7323033
0.421	7320499
0.422	7320499
0.423	7320499
0.424	7102716
0.425	7102716
0.426	7091350
0.427	7091350
0.428	7053484
0.429	7053484
0.43	6939565
0.431	6939565
0.432	6867009
0.433	6867009
0.434	6864093
0.435	6864093
0.436	6864093
0.437	6847174
0.438	6847174
0.439	6831401
0.44	6831401
