fraction	Nx_length
0.001	1417559
0.002	1079756
0.003	1020400
0.004	1006436
0.005	902366
0.006	874709
0.007	848334
0.008	829480
0.009	827130
0.01	777534
0.011	759573
0.012	750504
0.013	745018
0.014	722132
0.015	692950
0.016	685719
0.017	685301
0.018	681995
0.019	678740
0.02	669280
0.021	661679
0.022	658225
0.023	645995
0.024	644519
0.025	641409
0.026	637497
0.027	632545
0.028	620852
0.029	610510
0.03	607483
0.031	592872
0.032	592219
0.033	586620
0.034	583053
0.035	580666
0.036	577413
0.037	572136
0.038	570840
0.039	568891
0.04	563297
0.041	554970
0.042	547649
0.043	541908
0.044	537120
0.045	532649
0.046	530099
0.047	524902
0.048	522113
0.049	519502
0.05	514398
0.051	512942
0.052	511325
0.053	509908
0.054	508022
0.055	506323
0.056	502627
0.057	499383
0.058	497891
0.059	495069
0.06	491471
0.061	490932
0.062	486799
0.063	485908
0.064	482590
0.065	480045
0.066	477408
0.067	475969
0.068	474540
0.069	472979
0.07	466380
0.071	464690
0.072	463598
0.073	460656
0.074	459455
0.075	457810
0.076	456577
0.077	453373
0.078	451365
0.079	449608
0.08	446818
0.081	445304
0.082	444183
0.083	442093
0.084	440731
0.085	439883
0.086	438612
0.087	437569
0.088	436611
0.089	434531
0.09	433426
0.091	432532
0.092	431219
0.093	430722
0.094	429507
0.095	428367
0.096	426507
0.097	423435
0.098	419453
0.099	415612
0.1	414845
0.101	412290
0.102	410653
0.103	409298
0.104	407861
0.105	406785
0.106	405900
0.107	403390
0.108	401948
0.109	401166
0.11	400602
0.111	398123
0.112	396358
0.113	395483
0.114	393269
0.115	392253
0.116	391001
0.117	390330
0.118	389380
0.119	387577
0.12	386621
0.121	384975
0.122	383283
0.123	382213
0.124	380648
0.125	379894
0.126	378594
0.127	378053
0.128	377366
0.129	376937
0.13	375898
0.131	374197
0.132	373704
0.133	372723
0.134	372177
0.135	370613
0.136	369852
0.137	368337
0.138	367542
0.139	366735
0.14	365504
0.141	362998
0.142	361655
0.143	360914
0.144	359935
0.145	358573
0.146	357785
0.147	356557
0.148	356163
0.149	355335
0.15	353506
0.151	351973
0.152	351632
0.153	351005
0.154	349612
0.155	348197
0.156	346999
0.157	345371
0.158	344592
0.159	343697
0.16	342787
0.161	342275
0.162	341256
0.163	340422
0.164	339385
0.165	336360
0.166	334897
0.167	334160
0.168	332994
0.169	332085
0.17	331011
0.171	329455
0.172	327724
0.173	326511
0.174	326086
0.175	325424
0.176	324081
0.177	322146
0.178	320620
0.179	320257
0.18	319811
0.181	318568
0.182	318110
0.183	316787
0.184	316545
0.185	315544
0.186	314697
0.187	313136
0.188	312146
0.189	311397
0.19	310408
0.191	309630
0.192	308224
0.193	307660
0.194	306162
0.195	305867
0.196	305111
0.197	303798
0.198	302785
0.199	301721
0.2	301080
0.201	300168
0.202	299743
0.203	299087
0.204	298337
0.205	297770
0.206	297122
0.207	296069
0.208	295104
0.209	294837
0.21	293995
0.211	293298
0.212	292382
0.213	291587
0.214	290491
0.215	290250
0.216	289205
0.217	288448
0.218	287547
0.219	287004
0.22	286299
0.221	285482
0.222	284873
0.223	284430
0.224	283886
0.225	282863
0.226	282114
0.227	281384
0.228	280887
0.229	280271
0.23	279694
0.231	278352
0.232	277861
0.233	277300
0.234	276641
0.235	275677
0.236	275444
0.237	274712
0.238	274173
0.239	273566
0.24	273260
0.241	272575
0.242	271808
0.243	271435
0.244	271086
0.245	270609
0.246	269915
0.247	268304
0.248	267667
0.249	267051
0.25	266120
0.251	265408
0.252	264791
0.253	263921
0.254	263612
0.255	263152
0.256	262550
0.257	262280
0.258	261082
0.259	260693
0.26	260288
0.261	259790
0.262	259289
0.263	258677
0.264	257962
0.265	256682
0.266	256166
0.267	255846
0.268	255257
0.269	254801
0.27	254674
0.271	254196
0.272	253752
0.273	253423
0.274	252847
0.275	252558
0.276	251733
0.277	250939
0.278	250149
0.279	249460
0.28	248809
0.281	247711
0.282	247378
0.283	246427
0.284	245624
0.285	245110
0.286	244783
0.287	244404
0.288	243867
0.289	243306
0.29	242728
0.291	242220
0.292	241822
0.293	241370
0.294	240724
0.295	240024
0.296	239548
0.297	238757
0.298	237812
0.299	236949
0.3	236767
0.301	235861
0.302	234778
0.303	234509
0.304	233661
0.305	233075
0.306	232710
0.307	231863
0.308	231352
0.309	231158
0.31	230446
0.311	230114
0.312	229253
0.313	228413
0.314	228178
0.315	227786
0.316	227521
0.317	226993
0.318	226625
0.319	226158
0.32	225658
0.321	225259
0.322	224733
0.323	224375
0.324	223899
0.325	223651
0.326	223058
0.327	222806
0.328	222343
0.329	221732
0.33	221315
0.331	220793
0.332	219414
0.333	218793
0.334	218311
0.335	217664
0.336	217251
0.337	216905
0.338	216470
0.339	215921
0.34	215185
0.341	214072
0.342	213676
0.343	213124
0.344	212861
0.345	212445
0.346	212011
0.347	211709
0.348	211462
0.349	210887
0.35	210164
0.351	209543
0.352	209065
0.353	208390
0.354	207730
0.355	207453
0.356	206960
0.357	206413
0.358	206054
0.359	205708
0.36	205227
0.361	204698
0.362	204194
0.363	203641
0.364	203310
0.365	202937
0.366	202283
0.367	201649
0.368	201379
0.369	200828
0.37	200257
0.371	199890
0.372	199178
0.373	198881
0.374	198425
