fraction	Nx_length
0.001	55145740
0.002	55145740
0.003	55145740
0.004	55145740
0.005	55145740
0.006	55145740
0.007	55145740
0.008	55145740
0.009	55145740
0.01	55145740
0.011	52018231
0.012	52018231
0.013	52018231
0.014	52018231
0.015	52018231
0.016	52018231
0.017	52018231
0.018	52018231
0.019	52018231
0.02	52018231
0.021	43234704
0.022	43234704
0.023	43234704
0.024	43234704
0.025	43234704
0.026	43234704
0.027	43234704
0.028	43234704
0.029	43194550
0.03	43194550
0.031	43194550
0.032	43194550
0.033	43194550
0.034	43194550
0.035	43194550
0.036	43194550
0.037	38378990
0.038	38378990
0.039	38378990
0.04	38378990
0.041	38378990
0.042	38378990
0.043	38378990
0.044	33754557
0.045	33754557
0.046	33754557
0.047	33754557
0.048	33754557
0.049	33754557
0.05	33754557
0.051	32808480
0.052	32808480
0.053	32808480
0.054	32808480
0.055	32808480
0.056	32808480
0.057	31782642
0.058	31782642
0.059	31782642
0.06	31782642
0.061	31782642
0.062	31782642
0.063	28963788
0.064	28963788
0.065	28963788
0.066	28963788
0.067	28963788
0.068	28963788
0.069	28400985
0.07	28400985
0.071	28400985
0.072	28400985
0.073	28400985
0.074	26691251
0.075	26691251
0.076	26691251
0.077	26691251
0.078	26691251
0.079	25418195
0.08	25418195
0.081	25418195
0.082	25418195
0.083	25418195
0.084	25219135
0.085	25219135
0.086	25219135
0.087	25219135
0.088	25219135
0.089	24989983
0.09	24989983
0.091	24989983
0.092	24989983
0.093	24389903
0.094	24389903
0.095	24389903
0.096	24389903
0.097	24389903
0.098	23368480
0.099	23368480
0.1	23368480
0.101	23368480
0.102	22945541
0.103	22945541
0.104	22945541
0.105	22945541
0.106	22945541
0.107	22743923
0.108	22743923
0.109	22743923
0.11	22743923
0.111	20360949
0.112	20360949
0.113	20360949
0.114	20360949
0.115	20077222
0.116	20077222
0.117	20077222
0.118	20077222
0.119	19976545
0.12	19976545
0.121	19976545
0.122	19976545
0.123	19881874
0.124	19881874
0.125	19881874
0.126	19709056
0.127	19709056
0.128	19709056
0.129	19709056
0.13	19369100
0.131	19369100
0.132	19369100
0.133	19369100
0.134	18911329
0.135	18911329
0.136	18911329
0.137	18797333
0.138	18797333
0.139	18797333
0.14	18797333
0.141	18620405
0.142	18620405
0.143	18620405
0.144	18607514
0.145	18607514
0.146	18607514
0.147	18607514
0.148	18065030
0.149	18065030
0.15	18065030
0.151	18005004
0.152	18005004
0.153	18005004
0.154	18005004
0.155	17789370
0.156	17789370
0.157	17789370
0.158	17462006
0.159	17462006
0.16	17462006
0.161	16972118
0.162	16972118
0.163	16972118
0.164	16972118
0.165	16746238
0.166	16746238
0.167	16746238
0.168	16360285
0.169	16360285
0.17	16360285
0.171	15950927
0.172	15950927
0.173	15950927
0.174	15906660
0.175	15906660
0.176	15906660
0.177	15857405
0.178	15857405
0.179	15857405
0.18	15254731
0.181	15254731
0.182	15254731
0.183	15196656
0.184	15196656
0.185	15196656
0.186	15135148
0.187	15135148
0.188	15135148
0.189	15078050
0.19	15078050
0.191	15078050
0.192	14949410
0.193	14949410
0.194	14808829
0.195	14808829
0.196	14808829
0.197	14430651
0.198	14430651
0.199	14430651
0.2	14275186
0.201	14275186
0.202	14275186
0.203	13973858
0.204	13973858
0.205	13960643
0.206	13960643
0.207	13960643
0.208	13949917
0.209	13949917
0.21	13949917
0.211	13855459
0.212	13855459
0.213	13797199
0.214	13797199
0.215	13797199
0.216	13728722
0.217	13728722
0.218	13629583
0.219	13629583
0.22	13629583
0.221	13597515
0.222	13597515
0.223	13597515
0.224	13415248
0.225	13415248
0.226	13362132
0.227	13362132
0.228	13362132
0.229	13338633
0.23	13338633
0.231	13190293
0.232	13190293
0.233	13190293
0.234	13141638
0.235	13141638
0.236	13116929
0.237	13116929
0.238	13116929
0.239	13052438
0.24	13052438
0.241	12819176
0.242	12819176
0.243	12819176
0.244	12798937
0.245	12798937
0.246	12791516
0.247	12791516
0.248	12786360
0.249	12786360
0.25	12786360
0.251	12661089
0.252	12661089
0.253	12435195
0.254	12435195
0.255	12435195
0.256	12240018
0.257	12240018
0.258	12225095
0.259	12225095
0.26	12190234
0.261	12190234
0.262	12190234
0.263	11966173
0.264	11966173
0.265	11816401
0.266	11816401
0.267	11725254
0.268	11725254
0.269	11714041
0.27	11714041
0.271	11574734
0.272	11574734
0.273	11574734
0.274	11479862
0.275	11479862
0.276	11386465
0.277	11386465
0.278	11277788
0.279	11277788
0.28	11255586
0.281	11255586
0.282	11171774
0.283	11171774
0.284	11065793
0.285	11065793
0.286	11065793
0.287	10832079
0.288	10832079
0.289	10778962
0.29	10778962
0.291	10734627
0.292	10734627
0.293	10678515
0.294	10678515
0.295	10607844
0.296	10607844
0.297	10573943
0.298	10573943
0.299	10548955
0.3	10548955
0.301	10505256
0.302	10505256
0.303	10482612
0.304	10482612
0.305	10442308
0.306	10442308
0.307	10213630
0.308	10213630
0.309	10213387
0.31	10213387
0.311	10134937
0.312	10063390
0.313	10063390
0.314	10020064
0.315	10020064
0.316	9847678
0.317	9847678
0.318	9766955
0.319	9766955
0.32	9700632
0.321	9700632
0.322	9649995
0.323	9649995
0.324	9624006
0.325	9615443
0.326	9615443
0.327	9593334
0.328	9593334
0.329	9556213
0.33	9556213
0.331	9524068
0.332	9524068
0.333	9404397
0.334	9404397
0.335	9085523
0.336	9077538
0.337	9077538
0.338	9073094
0.339	9073094
0.34	9049352
0.341	9035592
0.342	9035592
0.343	9008370
0.344	9008370
0.345	8873497
0.346	8865862
0.347	8865862
0.348	8820593
0.349	8820593
0.35	8802457
0.351	8802457
0.352	8649515
0.353	8644341
0.354	8644341
0.355	8619146
0.356	8591236
0.357	8591236
0.358	8556295
0.359	8556295
0.36	8491620
0.361	8382079
0.362	8382079
0.363	8354599
0.364	8301354
0.365	8301354
0.366	8267614
0.367	8267614
0.368	8264613
0.369	8242534
0.37	8242534
0.371	8207880
0.372	8114594
0.373	8114594
0.374	8081449
0.375	8041828
0.376	8041828
0.377	8015011
0.378	8004460
0.379	8004460
0.38	7990476
0.381	7962676
0.382	7962676
0.383	7962553
0.384	7887823
0.385	7887823
0.386	7859826
0.387	7835332
0.388	7835332
0.389	7769086
0.39	7737024
0.391	7737024
0.392	7672115
0.393	7626694
0.394	7626694
0.395	7610989
0.396	7557912
0.397	7557912
0.398	7440339
0.399	7435273
0.4	7358363
0.401	7358363
0.402	7348868
0.403	7337873
0.404	7337873
0.405	7300067
0.406	7284948
0.407	7282352
0.408	7282352
0.409	7244818
0.41	7222851
0.411	7222851
0.412	7156681
0.413	7146350
0.414	7143670
0.415	7143670
0.416	7104375
0.417	7056203
0.418	7054841
0.419	7054841
0.42	6989965
0.421	6907780
0.422	6902492
0.423	6902492
0.424	6842790
0.425	6825742
0.426	6822676
0.427	6817655
0.428	6817655
0.429	6788082
0.43	6772287
0.431	6752831
0.432	6752831
0.433	6749145
0.434	6716018
0.435	6653652
0.436	6626039
0.437	6626039
0.438	6618421
0.439	6610264
0.44	6599938
0.441	6599125
0.442	6599125
0.443	6598762
0.444	6586138
0.445	6583275
0.446	6556143
0.447	6556143
0.448	6536256
0.449	6512212
0.45	6503024
0.451	6497788
0.452	6497788
0.453	6475075
0.454	6431622
0.455	6417012
0.456	6416260
0.457	6304848
0.458	6304848
0.459	6287360
0.46	6277063
0.461	6247555
0.462	6239855
0.463	6230622
0.464	6230622
0.465	6226166
0.466	6212727
0.467	6161231
0.468	6101739
0.469	6071240
0.47	6067281
0.471	6067281
0.472	5984495
0.473	5981977
0.474	5960893
0.475	5953875
0.476	5939200
0.477	5898892
0.478	5852232
0.479	5849998
0.48	5849998
0.481	5807993
0.482	5756905
0.483	5756322
0.484	5752636
0.485	5739544
0.486	5714866
0.487	5702559
0.488	5676336
0.489	5668529
0.49	5610640
0.491	5601313
0.492	5524754
0.493	5524754
0.494	5519987
0.495	5517635
0.496	5494888
0.497	5450171
0.498	5418305
0.499	5348712
0.5	5342658
0.501	5288895
0.502	5274121
0.503	5274059
0.504	5255690
0.505	5237099
0.506	5227301
0.507	5206150
0.508	5201289
0.509	5165443
0.51	5133000
0.511	5132835
0.512	5126357
0.513	5082750
0.514	5078000
0.515	5015183
0.516	4958253
0.517	4949698
0.518	4933642
0.519	4918106
0.52	4912981
0.521	4912642
0.522	4890189
0.523	4863237
0.524	4861963
0.525	4859810
0.526	4821579
0.527	4821322
0.528	4812359
0.529	4741356
0.53	4697659
0.531	4684011
0.532	4665292
0.533	4650556
0.534	4638063
0.535	4628935
0.536	4619656
0.537	4616929
0.538	4605862
0.539	4586949
0.54	4576443
0.541	4552851
0.542	4549454
0.543	4534692
0.544	4532978
0.545	4509341
0.546	4490730
0.547	4481423
0.548	4476696
0.549	4458641
0.55	4448595
0.551	4428557
0.552	4426694
0.553	4420039
0.554	4388625
0.555	4379598
0.556	4377488
0.557	4361832
0.558	4352207
0.559	4320077
0.56	4314776
0.561	4301478
0.562	4297216
0.563	4262043
0.564	4255207
0.565	4238027
0.566	4225208
0.567	4224216
0.568	4175716
0.569	4166714
0.57	4163565
0.571	4136494
0.572	4136093
0.573	4129962
0.574	4113697
0.575	4076927
0.576	4071855
0.577	4046891
0.578	4039560
0.579	4018059
0.58	4012351
0.581	4000380
0.582	3954264
0.583	3948618
0.584	3941818
0.585	3928902
0.586	3927941
0.587	3905605
0.588	3884885
0.589	3879859
0.59	3853494
0.591	3829330
0.592	3827734
0.593	3819841
0.594	3817558
0.595	3805385
0.596	3801561
0.597	3800305
0.598	3775309
0.599	3758414
0.6	3756124
0.601	3733025
0.602	3732283
0.603	3685377
0.604	3672530
0.605	3667838
0.606	3667829
0.607	3666081
0.608	3641629
0.609	3636305
0.61	3607585
0.611	3597866
0.612	3584256
0.613	3582275
0.614	3534917
0.615	3521400
0.616	3507237
0.617	3497730
0.618	3475580
0.619	3445908
0.62	3403799
0.621	3403506
0.622	3388049
0.623	3374962
0.624	3373000
0.625	3363844
0.626	3362559
0.627	3349386
0.628	3337070
0.629	3334249
0.63	3330717
0.631	3307638
0.632	3297040
0.633	3285761
0.634	3276314
0.635	3275183
0.636	3261168
0.637	3228770
0.638	3216551
0.639	3195785
0.64	3180087
0.641	3175553
0.642	3165057
0.643	3154076
0.644	3148702
0.645	3136529
0.646	3128271
0.647	3123637
0.648	3117096
0.649	3113112
0.65	3112713
0.651	3102486
0.652	3082987
0.653	3070831
0.654	3067951
0.655	3045413
0.656	3039794
0.657	3035205
0.658	3029647
0.659	3013029
0.66	3004092
0.661	2983647
0.662	2960933
0.663	2942488
0.664	2931675
0.665	2925312
0.666	2911551
0.667	2895641
0.668	2878164
0.669	2871323
0.67	2854790
0.671	2845530
0.672	2844149
0.673	2809321
0.674	2781051
0.675	2763260
0.676	2753880
0.677	2739906
0.678	2716846
0.679	2707292
0.68	2699643
0.681	2686176
0.682	2678995
0.683	2669262
0.684	2656184
0.685	2637041
0.686	2625904
0.687	2622978
0.688	2617289
0.689	2609557
0.69	2588181
0.691	2582494
0.692	2562311
0.693	2556132
0.694	2542169
0.695	2539077
0.696	2531517
0.697	2500472
0.698	2492587
0.699	2479848
0.7	2465233
0.701	2453296
0.702	2422355
0.703	2406292
0.704	2402830
0.705	2393183
0.706	2382977
0.707	2381593
0.708	2375476
0.709	2367225
0.71	2351121
0.711	2343437
0.712	2339715
0.713	2333518
0.714	2301833
0.715	2296483
0.716	2285529
0.717	2281305
0.718	2268729
0.719	2264683
0.72	2254906
0.721	2227222
0.722	2224000
0.723	2217911
0.724	2209520
0.725	2207972
0.726	2198050
0.727	2192077
0.728	2178774
0.729	2174651
0.73	2168577
0.731	2166899
0.732	2150318
0.733	2134483
0.734	2115664
0.735	2106731
0.736	2096490
0.737	2088883
0.738	2080266
0.739	2065656
0.74	2063711
0.741	2052400
0.742	2036355
0.743	2015005
0.744	2006649
0.745	2006114
0.746	2001562
0.747	1995198
0.748	1991306
0.749	1983858
0.75	1961363
0.751	1960670
0.752	1942548
0.753	1933896
0.754	1923989
0.755	1920127
0.756	1906422
0.757	1896370
0.758	1883223
0.759	1868806
0.76	1852577
0.761	1847186
0.762	1836642
0.763	1829219
0.764	1821382
0.765	1811097
0.766	1810258
0.767	1807099
0.768	1797031
0.769	1792053
0.77	1782161
0.771	1772380
0.772	1766992
0.773	1760802
0.774	1751555
0.775	1743505
0.776	1737505
0.777	1726999
0.778	1725892
0.779	1714761
0.78	1708960
0.781	1696933
0.782	1685079
0.783	1680538
0.784	1678572
0.785	1671733
0.786	1660281
0.787	1643983
0.788	1622748
0.789	1615678
0.79	1609084
0.791	1606468
0.792	1594126
0.793	1585818
0.794	1579110
0.795	1565556
0.796	1556673
0.797	1547563
0.798	1531980
0.799	1513008
0.8	1505170
0.801	1497551
0.802	1488133
0.803	1478017
0.804	1471113
0.805	1465295
0.806	1458373
0.807	1443412
0.808	1437309
0.809	1431427
0.81	1427747
0.811	1418598
0.812	1402235
0.813	1398371
0.814	1394674
0.815	1375695
0.816	1347357
0.817	1335172
0.818	1332630
0.819	1323596
0.82	1312695
0.821	1306523
0.822	1296598
0.823	1292372
0.824	1284332
0.825	1276064
0.826	1272261
0.827	1261861
0.828	1258932
0.829	1247970
0.83	1236903
0.831	1232113
0.832	1227219
0.833	1223899
0.834	1214933
0.835	1211515
0.836	1200591
0.837	1199238
0.838	1197325
0.839	1189396
0.84	1181551
0.841	1170760
0.842	1165053
0.843	1156406
0.844	1142253
0.845	1131563
0.846	1126167
0.847	1121772
0.848	1118601
0.849	1115954
0.85	1105979
0.851	1099614
0.852	1096235
0.853	1089977
0.854	1082623
0.855	1078076
0.856	1069567
0.857	1063091
0.858	1053402
0.859	1050104
0.86	1043795
0.861	1035946
0.862	1030783
0.863	1018964
0.864	1007702
0.865	993398
0.866	990446
0.867	978506
0.868	970644
0.869	959944
0.87	951787
