fraction	Nx_length
0.001	224763315
0.002	224763315
0.003	224763315
0.004	224763315
0.005	224763315
0.006	224763315
0.007	224763315
0.008	224763315
0.009	224763315
0.01	224763315
0.011	224763315
0.012	224763315
0.013	224763315
0.014	224763315
0.015	224763315
0.016	224763315
0.017	224763315
0.018	224763315
0.019	224763315
0.02	224763315
0.021	224763315
0.022	224763315
0.023	224763315
0.024	224763315
0.025	224763315
0.026	224763315
0.027	224763315
0.028	224763315
0.029	224763315
0.03	224763315
0.031	224763315
0.032	224763315
0.033	224763315
0.034	224763315
0.035	224763315
0.036	224763315
0.037	224763315
0.038	224763315
0.039	224763315
0.04	224763315
0.041	224763315
0.042	224763315
0.043	224763315
0.044	224763315
0.045	224763315
0.046	224763315
0.047	224763315
0.048	224763315
0.049	224763315
0.05	224763315
0.051	224763315
0.052	224763315
0.053	224763315
0.054	214355867
0.055	214355867
0.056	214355867
0.057	214355867
0.058	214355867
0.059	214355867
0.06	214355867
0.061	214355867
0.062	214355867
0.063	214355867
0.064	214355867
0.065	214355867
0.066	214355867
0.067	214355867
0.068	214355867
0.069	214355867
0.07	214355867
0.071	214355867
0.072	214355867
0.073	214355867
0.074	214355867
0.075	214355867
0.076	214355867
0.077	214355867
0.078	214355867
0.079	214355867
0.08	214355867
0.081	214355867
0.082	214355867
0.083	214355867
0.084	214355867
0.085	214355867
0.086	214355867
0.087	214355867
0.088	214355867
0.089	214355867
0.09	214355867
0.091	214355867
0.092	214355867
0.093	214355867
0.094	214355867
0.095	214355867
0.096	214355867
0.097	214355867
0.098	214355867
0.099	214355867
0.1	214355867
0.101	214355867
0.102	214355867
0.103	214355867
0.104	210652115
0.105	210652115
0.106	210652115
0.107	210652115
0.108	210652115
0.109	210652115
0.11	210652115
0.111	210652115
0.112	210652115
0.113	210652115
0.114	210652115
0.115	210652115
0.116	210652115
0.117	210652115
0.118	210652115
0.119	210652115
0.12	210652115
0.121	210652115
0.122	210652115
0.123	210652115
0.124	210652115
0.125	210652115
0.126	210652115
0.127	210652115
0.128	210652115
0.129	210652115
0.13	210652115
0.131	210652115
0.132	210652115
0.133	210652115
0.134	210652115
0.135	210652115
0.136	210652115
0.137	210652115
0.138	210652115
0.139	210652115
0.14	210652115
0.141	210652115
0.142	210652115
0.143	210652115
0.144	210652115
0.145	210652115
0.146	210652115
0.147	210652115
0.148	210652115
0.149	210652115
0.15	210652115
0.151	210652115
0.152	210652115
0.153	210652115
0.154	202954487
0.155	202954487
0.156	202954487
0.157	202954487
0.158	202954487
0.159	202954487
0.16	202954487
0.161	202954487
0.162	202954487
0.163	202954487
0.164	202954487
0.165	202954487
0.166	202954487
0.167	202954487
0.168	202954487
0.169	202954487
0.17	202954487
0.171	202954487
0.172	202954487
0.173	202954487
0.174	202954487
0.175	202954487
0.176	202954487
0.177	202954487
0.178	202954487
0.179	202954487
0.18	202954487
0.181	202954487
0.182	202954487
0.183	202954487
0.184	202954487
0.185	202954487
0.186	202954487
0.187	202954487
0.188	202954487
0.189	202954487
0.19	202954487
0.191	202954487
0.192	202954487
0.193	202954487
0.194	202954487
0.195	202954487
0.196	202954487
0.197	202954487
0.198	202954487
0.199	202954487
0.2	202954487
0.201	202954487
0.202	197924442
0.203	197924442
0.204	197924442
0.205	197924442
0.206	197924442
0.207	197924442
0.208	197924442
0.209	197924442
0.21	197924442
0.211	197924442
0.212	197924442
0.213	197924442
0.214	197924442
0.215	197924442
0.216	197924442
0.217	197924442
0.218	197924442
0.219	197924442
0.22	197924442
0.221	197924442
0.222	197924442
0.223	197924442
0.224	197924442
0.225	197924442
0.226	197924442
0.227	197924442
0.228	197924442
0.229	197924442
0.23	197924442
0.231	197924442
0.232	197924442
0.233	197924442
0.234	197924442
0.235	197924442
0.236	197924442
0.237	197924442
0.238	197924442
0.239	197924442
0.24	197924442
0.241	197924442
0.242	197924442
0.243	197924442
