fraction	Nx_length
0.001	174636588
0.002	174636588
0.003	174636588
0.004	174636588
0.005	174636588
0.006	174636588
0.007	174636588
0.008	174636588
0.009	174636588
0.01	174636588
0.011	174636588
0.012	174636588
0.013	174636588
0.014	174636588
0.015	174636588
0.016	174636588
0.017	174636588
0.018	174636588
0.019	174636588
0.02	174636588
0.021	174636588
0.022	174636588
0.023	174636588
0.024	174636588
0.025	174636588
0.026	174636588
0.027	174636588
0.028	174636588
0.029	174636588
0.03	174636588
0.031	174636588
0.032	174636588
0.033	174636588
0.034	174636588
0.035	174636588
0.036	174636588
0.037	174636588
0.038	174636588
0.039	174636588
0.04	174636588
0.041	174636588
0.042	174636588
0.043	174636588
0.044	174636588
0.045	174636588
0.046	174636588
0.047	174636588
0.048	174636588
0.049	174636588
0.05	174636588
0.051	174636588
0.052	173616770
0.053	173616770
0.054	173616770
0.055	173616770
0.056	173616770
0.057	173616770
0.058	173616770
0.059	173616770
0.06	173616770
0.061	173616770
0.062	173616770
0.063	173616770
0.064	173616770
0.065	173616770
0.066	173616770
0.067	173616770
0.068	173616770
0.069	173616770
0.07	173616770
0.071	173616770
0.072	173616770
0.073	173616770
0.074	173616770
0.075	173616770
0.076	173616770
0.077	173616770
0.078	173616770
0.079	173616770
0.08	173616770
0.081	173616770
0.082	173616770
0.083	173616770
0.084	173616770
0.085	173616770
0.086	173616770
0.087	173616770
0.088	173616770
0.089	173616770
0.09	173616770
0.091	173616770
0.092	173616770
0.093	173616770
0.094	173616770
0.095	173616770
0.096	173616770
0.097	173616770
0.098	173616770
0.099	173616770
0.1	173616770
0.101	173616770
0.102	173616770
0.103	165304982
0.104	165304982
0.105	165304982
0.106	165304982
0.107	165304982
0.108	165304982
0.109	165304982
0.11	165304982
0.111	165304982
0.112	165304982
0.113	165304982
0.114	165304982
0.115	165304982
0.116	165304982
0.117	165304982
0.118	165304982
0.119	165304982
0.12	165304982
0.121	165304982
0.122	165304982
0.123	165304982
0.124	165304982
0.125	165304982
0.126	165304982
0.127	165304982
0.128	165304982
0.129	165304982
0.13	165304982
0.131	165304982
0.132	165304982
0.133	165304982
0.134	165304982
0.135	165304982
0.136	165304982
0.137	165304982
0.138	165304982
0.139	165304982
0.14	165304982
0.141	165304982
0.142	165304982
0.143	165304982
0.144	165304982
0.145	165304982
0.146	165304982
0.147	165304982
0.148	165304982
0.149	165304982
0.15	165304982
0.151	152580800
0.152	152580800
0.153	152580800
0.154	152580800
0.155	152580800
0.156	152580800
0.157	152580800
0.158	152580800
0.159	152580800
0.16	152580800
0.161	152580800
0.162	152580800
0.163	152580800
0.164	152580800
0.165	152580800
0.166	152580800
0.167	152580800
0.168	152580800
0.169	152580800
0.17	152580800
0.171	152580800
0.172	152580800
0.173	152580800
0.174	152580800
0.175	152580800
0.176	152580800
0.177	152580800
0.178	152580800
0.179	152580800
0.18	152580800
0.181	152580800
0.182	152580800
0.183	152580800
0.184	152580800
0.185	152580800
0.186	152580800
0.187	152580800
0.188	152580800
0.189	152580800
0.19	152580800
0.191	152580800
0.192	152580800
0.193	152580800
0.194	152580800
0.195	152580800
0.196	151699295
0.197	151699295
0.198	151699295
0.199	151699295
0.2	151699295
0.201	151699295
0.202	151699295
0.203	151699295
0.204	151699295
0.205	151699295
0.206	151699295
0.207	151699295
0.208	151699295
0.209	151699295
0.21	151699295
0.211	151699295
0.212	151699295
0.213	151699295
0.214	151699295
0.215	151699295
0.216	151699295
0.217	151699295
0.218	151699295
0.219	151699295
0.22	151699295
0.221	151699295
0.222	151699295
0.223	151699295
0.224	151699295
0.225	151699295
0.226	151699295
0.227	151699295
0.228	151699295
0.229	151699295
0.23	151699295
0.231	151699295
0.232	151699295
0.233	151699295
0.234	151699295
0.235	151699295
0.236	151699295
0.237	151699295
0.238	151699295
0.239	151699295
