fraction	Nx_length
0.001	151529
0.002	141670
0.003	128817
0.004	125006
0.005	117589
0.006	110902
0.007	106685
0.008	103781
0.009	101497
0.01	98008
0.011	95585
0.012	93853
0.013	92368
0.014	91204
0.015	89962
0.016	88225
0.017	86546
0.018	85101
0.019	83934
0.02	83017
0.021	81847
0.022	80424
0.023	78613
0.024	77520
0.025	76683
0.026	75987
0.027	75099
0.028	74320
0.029	73418
0.03	72664
0.031	72102
0.032	71076
0.033	70389
0.034	69647
0.035	68749
0.036	67766
0.037	67311
0.038	66741
0.039	66133
0.04	65499
0.041	65024
0.042	64491
0.043	63950
0.044	63424
0.045	62998
0.046	62539
0.047	62150
0.048	61782
0.049	61461
0.05	61022
0.051	60562
0.052	60157
0.053	59861
0.054	59474
0.055	59129
0.056	58756
0.057	58217
0.058	57760
0.059	57456
0.06	57049
0.061	56639
0.062	56220
0.063	55972
0.064	55478
0.065	55142
0.066	54970
0.067	54532
0.068	54123
0.069	53872
0.07	53548
0.071	53233
0.072	53032
0.073	52768
0.074	52444
0.075	52150
0.076	51790
0.077	51536
0.078	51206
0.079	50829
0.08	50522
0.081	50229
0.082	49953
0.083	49728
0.084	49406
0.085	49199
0.086	49089
0.087	48830
0.088	48617
0.089	48385
0.09	48144
0.091	47940
0.092	47760
0.093	47482
0.094	47280
0.095	47092
0.096	46869
0.097	46623
0.098	46437
0.099	46237
0.1	46013
0.101	45749
0.102	45506
0.103	45238
0.104	45099
0.105	44890
0.106	44710
0.107	44488
0.108	44298
0.109	44131
0.11	43899
0.111	43727
0.112	43595
0.113	43451
0.114	43277
0.115	43152
0.116	42954
0.117	42777
0.118	42651
0.119	42516
0.12	42338
0.121	42168
0.122	42015
0.123	41803
0.124	41613
0.125	41481
0.126	41359
0.127	41151
0.128	40961
0.129	40794
0.13	40673
0.131	40534
0.132	40413
0.133	40223
0.134	40097
0.135	39932
0.136	39771
0.137	39584
0.138	39468
0.139	39346
0.14	39193
0.141	39067
0.142	38915
0.143	38781
0.144	38648
0.145	38511
0.146	38374
0.147	38232
0.148	38068
0.149	37967
0.15	37833
0.151	37708
0.152	37523
0.153	37432
0.154	37312
0.155	37161
0.156	37010
0.157	36845
0.158	36687
0.159	36599
0.16	36489
0.161	36381
0.162	36298
0.163	36187
0.164	36076
0.165	35956
0.166	35821
0.167	35682
0.168	35590
0.169	35490
0.17	35386
0.171	35284
0.172	35214
0.173	35050
0.174	34914
0.175	34782
0.176	34708
0.177	34609
0.178	34541
0.179	34437
0.18	34307
0.181	34187
0.182	34065
0.183	33989
0.184	33847
0.185	33756
0.186	33666
0.187	33542
0.188	33482
0.189	33366
0.19	33274
0.191	33187
0.192	33089
0.193	32995
0.194	32901
0.195	32819
0.196	32725
0.197	32632
0.198	32517
0.199	32429
