fraction	Nx_length
0.001	24857363
0.002	24857363
0.003	24857363
0.004	24857363
0.005	24857363
0.006	24857363
0.007	24857363
0.008	24857363
0.009	24857363
0.01	24857363
0.011	24857363
0.012	24857363
0.013	24857363
0.014	24857363
0.015	24857363
0.016	24857363
0.017	24857363
0.018	24857363
0.019	24857363
0.02	24857363
0.021	24857363
0.022	24857363
0.023	16991129
0.024	16991129
0.025	16991129
0.026	16991129
0.027	16991129
0.028	16991129
0.029	16991129
0.03	16991129
0.031	16991129
0.032	16991129
0.033	16991129
0.034	16991129
0.035	16991129
0.036	16991129
0.037	16991129
0.038	15872854
0.039	15872854
0.04	15872854
0.041	15872854
0.042	15872854
0.043	15872854
0.044	15872854
0.045	15872854
0.046	15872854
0.047	15872854
0.048	15872854
0.049	15872854
0.05	15872854
0.051	15872854
0.052	15872854
0.053	13287344
0.054	13287344
0.055	13287344
0.056	13287344
0.057	13287344
0.058	13287344
0.059	13287344
0.06	13287344
0.061	13287344
0.062	13287344
0.063	13287344
0.064	13287344
0.065	13137224
0.066	13137224
0.067	13137224
0.068	13137224
0.069	13137224
0.07	13137224
0.071	13137224
0.072	13137224
0.073	13137224
0.074	13137224
0.075	13137224
0.076	13137224
0.077	12450981
0.078	12450981
0.079	12450981
0.08	12450981
0.081	12450981
0.082	12450981
0.083	12450981
0.084	12450981
0.085	12450981
0.086	12450981
0.087	12450981
0.088	11623996
0.089	11623996
0.09	11623996
0.091	11623996
0.092	11623996
0.093	11623996
0.094	11623996
0.095	11623996
0.096	11623996
0.097	11623996
0.098	11623996
0.099	11385968
0.1	11385968
0.101	11385968
0.102	11385968
0.103	11385968
0.104	11385968
0.105	11385968
0.106	11385968
0.107	11385968
0.108	11385968
0.109	11145106
0.11	11145106
0.111	11145106
0.112	11145106
0.113	11145106
0.114	11145106
0.115	11145106
0.116	11145106
0.117	11145106
0.118	11145106
0.119	10953811
0.12	10953811
0.121	10953811
0.122	10953811
0.123	10953811
0.124	10953811
0.125	10953811
0.126	10953811
0.127	10953811
0.128	10953811
0.129	10715494
0.13	10715494
0.131	10715494
0.132	10715494
0.133	10715494
0.134	10715494
0.135	10715494
0.136	10715494
0.137	10715494
0.138	10715494
0.139	10147428
0.14	10147428
0.141	10147428
0.142	10147428
0.143	10147428
0.144	10147428
0.145	10147428
0.146	10147428
0.147	10147428
0.148	9613362
0.149	9613362
0.15	9613362
0.151	9613362
0.152	9613362
0.153	9613362
0.154	9613362
0.155	9613362
0.156	9613362
0.157	9567113
0.158	9567113
0.159	9567113
0.16	9567113
0.161	9567113
0.162	9567113
0.163	9567113
0.164	9567113
0.165	9502407
0.166	9502407
0.167	9502407
0.168	9502407
0.169	9502407
0.17	9502407
0.171	9502407
0.172	9502407
0.173	9502407
0.174	9437665
0.175	9437665
0.176	9437665
0.177	9437665
0.178	9437665
0.179	9437665
0.18	9437665
0.181	9437665
0.182	9437665
0.183	9231208
0.184	9231208
0.185	9231208
0.186	9231208
0.187	9231208
0.188	9231208
0.189	9231208
0.19	9231208
0.191	9227614
0.192	9227614
0.193	9227614
0.194	9227614
0.195	9227614
0.196	9227614
0.197	9227614
0.198	9227614
0.199	9193649
0.2	9193649
0.201	9193649
0.202	9193649
0.203	9193649
0.204	9193649
0.205	9193649
0.206	9193649
0.207	9193649
0.208	9096732
0.209	9096732
0.21	9096732
0.211	9096732
0.212	9096732
0.213	9096732
0.214	9096732
0.215	9096732
0.216	8888763
0.217	8888763
0.218	8888763
0.219	8888763
0.22	8888763
0.221	8888763
0.222	8888763
0.223	8888763
0.224	8821386
0.225	8821386
0.226	8821386
0.227	8821386
0.228	8821386
0.229	8821386
0.23	8821386
0.231	8821386
0.232	8643168
0.233	8643168
0.234	8643168
0.235	8643168
0.236	8643168
0.237	8643168
0.238	8643168
0.239	8643168
0.24	8452735
0.241	8452735
0.242	8452735
0.243	8452735
0.244	8452735
0.245	8452735
0.246	8452735
0.247	8452735
0.248	8346707
0.249	8346707
0.25	8346707
0.251	8346707
0.252	8346707
0.253	8346707
0.254	8346707
0.255	7871220
0.256	7871220
0.257	7871220
0.258	7871220
0.259	7871220
0.26	7871220
0.261	7871220
0.262	7783689
0.263	7783689
0.264	7783689
0.265	7783689
0.266	7783689
0.267	7783689
0.268	7783689
0.269	7745973
0.27	7745973
0.271	7745973
0.272	7745973
0.273	7745973
0.274	7745973
0.275	7745973
0.276	7629140
0.277	7629140
0.278	7629140
0.279	7629140
0.28	7629140
0.281	7629140
0.282	7629140
0.283	7441155
0.284	7441155
0.285	7441155
0.286	7441155
0.287	7441155
0.288	7441155
0.289	7441155
0.29	7257470
0.291	7257470
0.292	7257470
0.293	7257470
0.294	7257470
0.295	7257470
0.296	7257470
0.297	7193411
0.298	7193411
0.299	7193411
0.3	7193411
0.301	7193411
0.302	7193411
0.303	7136376
0.304	7136376
0.305	7136376
0.306	7136376
0.307	7136376
0.308	7136376
0.309	7136376
0.31	7076893
0.311	7076893
0.312	7076893
0.313	7076893
0.314	7076893
0.315	7076893
0.316	7011173
0.317	7011173
0.318	7011173
0.319	7011173
0.32	7011173
0.321	7011173
0.322	7011173
0.323	6814586
0.324	6814586
0.325	6814586
0.326	6814586
0.327	6814586
0.328	6814586
0.329	6720790
0.33	6720790
0.331	6720790
0.332	6720790
0.333	6720790
0.334	6720790
0.335	6589031
0.336	6589031
0.337	6589031
0.338	6589031
0.339	6589031
0.34	6589031
0.341	6519421
0.342	6519421
0.343	6519421
0.344	6519421
0.345	6519421
0.346	6519421
0.347	6488359
0.348	6488359
0.349	6488359
0.35	6488359
0.351	6488359
0.352	6488359
0.353	6397569
0.354	6397569
0.355	6397569
0.356	6397569
0.357	6397569
0.358	6388395
0.359	6388395
0.36	6388395
0.361	6388395
0.362	6388395
0.363	6388395
0.364	6345402
0.365	6345402
0.366	6345402
0.367	6345402
0.368	6345402
0.369	6345402
0.37	6343571
0.371	6343571
0.372	6343571
0.373	6343571
0.374	6343571
0.375	6343571
0.376	6173149
0.377	6173149
0.378	6173149
0.379	6173149
0.38	6173149
0.381	6058359
0.382	6058359
0.383	6058359
0.384	6058359
0.385	6058359
0.386	6058359
0.387	6009574
0.388	6009574
0.389	6009574
0.39	6009574
0.391	6009574
0.392	5890059
0.393	5890059
0.394	5890059
0.395	5890059
0.396	5890059
0.397	5890059
0.398	5825092
0.399	5825092
0.4	5825092
0.401	5825092
0.402	5825092
0.403	5798681
0.404	5798681
0.405	5798681
0.406	5798681
0.407	5798681
0.408	5783544
0.409	5783544
0.41	5783544
0.411	5783544
0.412	5783544
0.413	5782269
0.414	5782269
0.415	5782269
0.416	5782269
0.417	5782269
0.418	5782269
0.419	5719986
0.42	5719986
0.421	5719986
0.422	5719986
0.423	5719986
0.424	5684429
0.425	5684429
0.426	5684429
0.427	5684429
