fraction	Nx_length
0.001	19428098
0.002	19428098
0.003	19428098
0.004	19428098
0.005	14302294
0.006	14302294
0.007	14302294
0.008	13425053
0.009	13425053
0.01	13425053
0.011	13380799
0.012	13380799
0.013	12926424
0.014	12926424
0.015	12926424
0.016	12761686
0.017	12761686
0.018	12761686
0.019	12473775
0.02	12473775
0.021	12473775
0.022	11470885
0.023	11470885
0.024	11215584
0.025	11215584
0.026	11215584
0.027	10943193
0.028	10943193
0.029	10753735
0.03	10753735
0.031	10581981
0.032	10581981
0.033	10547677
0.034	10547677
0.035	10547677
0.036	10456825
0.037	10456825
0.038	10421321
0.039	10421321
0.04	10297527
0.041	10297527
0.042	9997350
0.043	9997350
0.044	9997350
0.045	9663717
0.046	9663717
0.047	9580750
0.048	9580750
0.049	9468880
0.05	9468880
0.051	9434091
0.052	9434091
0.053	9427005
0.054	9427005
0.055	9352382
0.056	9352382
0.057	9309439
0.058	9309439
0.059	9297417
0.06	9297417
0.061	9173000
0.062	9173000
0.063	9169003
0.064	9169003
0.065	9151972
0.066	9151972
0.067	9150195
0.068	9150195
0.069	9137682
0.07	9137682
0.071	8988721
0.072	8988721
0.073	8963007
0.074	8963007
0.075	8918286
0.076	8856768
0.077	8856768
0.078	8827307
0.079	8827307
0.08	8770072
0.081	8770072
0.082	8664580
0.083	8664580
0.084	8515665
0.085	8515665
0.086	8428851
0.087	8428851
0.088	8417048
0.089	8375459
0.09	8375459
0.091	8328383
0.092	8328383
0.093	8219709
0.094	8219709
0.095	8199200
0.096	8199200
0.097	8191206
0.098	8184266
0.099	8184266
0.1	8069841
0.101	8069841
0.102	8027574
0.103	7966931
0.104	7966931
0.105	7917068
0.106	7917068
0.107	7861551
0.108	7861551
0.109	7828330
0.11	7812570
0.111	7812570
0.112	7788224
0.113	7788224
0.114	7785861
0.115	7743148
0.116	7743148
0.117	7738618
0.118	7738618
0.119	7720370
0.12	7679599
0.121	7679599
0.122	7654449
0.123	7654449
0.124	7542026
0.125	7493717
0.126	7493717
0.127	7460076
0.128	7456517
0.129	7456517
0.13	7296770
0.131	7296770
0.132	7263456
0.133	7252855
0.134	7252855
0.135	7217387
0.136	7050839
0.137	7050839
0.138	7041417
0.139	7008782
0.14	7008782
0.141	7003733
0.142	6988542
0.143	6988542
0.144	6962404
0.145	6952908
0.146	6952908
0.147	6916757
0.148	6908333
0.149	6908333
0.15	6888975
0.151	6718663
0.152	6718663
0.153	6665382
0.154	6591127
0.155	6588358
0.156	6588358
0.157	6522838
0.158	6521344
0.159	6521344
0.16	6509950
0.161	6505463
0.162	6505463
0.163	6453742
0.164	6373624
0.165	6371983
0.166	6371983
0.167	6352898
0.168	6350556
0.169	6340550
0.17	6340550
0.171	6330925
0.172	6327097
0.173	6303043
0.174	6303043
0.175	6288127
0.176	6279060
0.177	6266158
0.178	6266158
0.179	6255993
0.18	6247965
0.181	6247965
0.182	6208297
0.183	6190607
0.184	6179891
