fraction	Nx_length
0.001	286633358
0.002	286633358
0.003	286633358
0.004	286633358
0.005	286633358
0.006	286633358
0.007	286633358
0.008	286633358
0.009	286633358
0.01	286633358
0.011	286633358
0.012	286633358
0.013	286633358
0.014	286633358
0.015	286633358
0.016	286633358
0.017	286633358
0.018	286633358
0.019	286633358
0.02	286633358
0.021	286633358
0.022	286633358
0.023	286633358
0.024	286633358
0.025	286633358
0.026	286633358
0.027	286633358
0.028	286633358
0.029	286633358
0.03	286633358
0.031	286633358
0.032	286633358
0.033	286633358
0.034	286633358
0.035	286633358
0.036	286633358
0.037	286633358
0.038	286633358
0.039	286633358
0.04	286633358
0.041	286633358
0.042	286633358
0.043	286633358
0.044	286633358
0.045	286633358
0.046	286633358
0.047	286633358
0.048	286633358
0.049	286633358
0.05	286633358
0.051	286633358
0.052	286633358
0.053	286633358
0.054	286633358
0.055	286633358
0.056	286633358
0.057	286633358
0.058	286633358
0.059	286633358
0.06	286633358
0.061	286633358
0.062	246418442
0.063	246418442
0.064	246418442
0.065	246418442
0.066	246418442
0.067	246418442
0.068	246418442
0.069	246418442
0.07	246418442
0.071	246418442
0.072	246418442
0.073	246418442
0.074	246418442
0.075	246418442
0.076	246418442
0.077	246418442
0.078	246418442
0.079	246418442
0.08	246418442
0.081	246418442
0.082	246418442
0.083	246418442
0.084	246418442
0.085	246418442
0.086	246418442
0.087	246418442
0.088	246418442
0.089	246418442
0.09	246418442
0.091	246418442
0.092	246418442
0.093	246418442
0.094	246418442
0.095	246418442
0.096	246418442
0.097	246418442
0.098	246418442
0.099	246418442
0.1	246418442
0.101	246418442
0.102	246418442
0.103	246418442
0.104	246418442
0.105	246418442
0.106	246418442
0.107	246418442
0.108	246418442
0.109	246418442
0.11	246418442
0.111	246418442
0.112	246418442
0.113	246418442
0.114	246418442
0.115	234333743
0.116	234333743
0.117	234333743
0.118	234333743
0.119	234333743
0.12	234333743
0.121	234333743
0.122	234333743
0.123	234333743
0.124	234333743
0.125	234333743
0.126	234333743
0.127	234333743
0.128	234333743
0.129	234333743
0.13	234333743
0.131	234333743
0.132	234333743
0.133	234333743
0.134	234333743
0.135	234333743
0.136	234333743
0.137	234333743
0.138	234333743
0.139	234333743
0.14	234333743
0.141	234333743
0.142	234333743
0.143	234333743
0.144	234333743
0.145	234333743
0.146	234333743
0.147	234333743
0.148	234333743
0.149	234333743
0.15	234333743
0.151	234333743
0.152	234333743
0.153	234333743
0.154	234333743
0.155	234333743
0.156	234333743
0.157	234333743
0.158	234333743
0.159	234333743
0.16	234333743
0.161	234333743
0.162	234333743
0.163	234333743
0.164	234333743
0.165	203305187
0.166	203305187
0.167	203305187
0.168	203305187
0.169	203305187
0.17	203305187
0.171	203305187
0.172	203305187
0.173	203305187
0.174	203305187
0.175	203305187
0.176	203305187
0.177	203305187
0.178	203305187
0.179	203305187
0.18	203305187
0.181	203305187
0.182	203305187
0.183	203305187
0.184	203305187
0.185	203305187
0.186	203305187
0.187	203305187
0.188	203305187
0.189	203305187
0.19	203305187
0.191	203305187
0.192	203305187
0.193	203305187
0.194	203305187
0.195	203305187
0.196	203305187
0.197	203305187
0.198	203305187
0.199	203305187
0.2	203305187
0.201	203305187
0.202	203305187
0.203	203305187
0.204	203305187
0.205	203305187
0.206	203305187
0.207	203305187
0.208	203305187
0.209	202712413
0.21	202712413
0.211	202712413
0.212	202712413
0.213	202712413
0.214	202712413
0.215	202712413
0.216	202712413
0.217	202712413
0.218	202712413
0.219	202712413
0.22	202712413
0.221	202712413
0.222	202712413
0.223	202712413
0.224	202712413
0.225	202712413
0.226	202712413
0.227	202712413
0.228	202712413
0.229	202712413
0.23	202712413
0.231	202712413
0.232	202712413
0.233	202712413
0.234	202712413
0.235	202712413
0.236	202712413
0.237	202712413
0.238	202712413
0.239	202712413
0.24	202712413
0.241	202712413
0.242	202712413
0.243	202712413
0.244	202712413
0.245	202712413
0.246	202712413
0.247	202712413
0.248	202712413
0.249	202712413
0.25	202712413
0.251	202712413
0.252	199351356
0.253	199351356
0.254	199351356
0.255	199351356
0.256	199351356
0.257	199351356
0.258	199351356
0.259	199351356
0.26	199351356
0.261	199351356
0.262	199351356
0.263	199351356
0.264	199351356
0.265	199351356
0.266	199351356
0.267	199351356
0.268	199351356
0.269	199351356
0.27	199351356
0.271	199351356
0.272	199351356
0.273	199351356
0.274	199351356
0.275	199351356
0.276	199351356
0.277	199351356
0.278	199351356
0.279	199351356
0.28	199351356
0.281	199351356
0.282	199351356
0.283	199351356
0.284	199351356
0.285	199351356
0.286	199351356
0.287	199351356
0.288	199351356
0.289	199351356
0.29	199351356
0.291	199351356
0.292	199351356
0.293	199351356
0.294	199351356
0.295	187030166
0.296	187030166
0.297	187030166
0.298	187030166
0.299	187030166
0.3	187030166
0.301	187030166
0.302	187030166
0.303	187030166
0.304	187030166
0.305	187030166
0.306	187030166
0.307	187030166
0.308	187030166
0.309	187030166
0.31	187030166
0.311	187030166
0.312	187030166
0.313	187030166
0.314	187030166
0.315	187030166
0.316	187030166
0.317	187030166
0.318	187030166
0.319	187030166
0.32	187030166
0.321	187030166
0.322	187030166
0.323	187030166
0.324	187030166
0.325	187030166
0.326	187030166
0.327	187030166
0.328	187030166
0.329	187030166
0.33	187030166
0.331	187030166
0.332	187030166
0.333	187030166
0.334	187030166
0.335	177845996
0.336	177845996
0.337	177845996
0.338	177845996
0.339	177845996
0.34	177845996
0.341	177845996
0.342	177845996
0.343	177845996
0.344	177845996
0.345	177845996
0.346	177845996
0.347	177845996
0.348	177845996
0.349	177845996
0.35	177845996
0.351	177845996
0.352	177845996
0.353	177845996
0.354	177845996
0.355	177845996
0.356	177845996
0.357	177845996
0.358	177845996
0.359	177845996
0.36	177845996
0.361	177845996
0.362	177845996
0.363	177845996
0.364	177845996
0.365	177845996
0.366	177845996
0.367	177845996
0.368	177845996
0.369	177845996
0.37	177845996
0.371	177845996
0.372	177845996
0.373	177845996
0.374	177151853
0.375	177151853
0.376	177151853
0.377	177151853
0.378	177151853
0.379	177151853
0.38	177151853
0.381	177151853
0.382	177151853
0.383	177151853
0.384	177151853
0.385	177151853
0.386	177151853
0.387	177151853
0.388	177151853
0.389	177151853
0.39	177151853
0.391	177151853
0.392	177151853
0.393	177151853
0.394	177151853
0.395	177151853
0.396	177151853
0.397	177151853
0.398	177151853
0.399	177151853
0.4	177151853
0.401	177151853
0.402	177151853
0.403	177151853
0.404	177151853
0.405	177151853
0.406	177151853
