fraction	Nx_length
0.001	215266661
0.002	215266661
0.003	215266661
0.004	215266661
0.005	215266661
0.006	215266661
0.007	215266661
0.008	215266661
0.009	215266661
0.01	215266661
0.011	215266661
0.012	215266661
0.013	215266661
0.014	215266661
0.015	215266661
0.016	215266661
0.017	215266661
0.018	215266661
0.019	215266661
0.02	215266661
0.021	215266661
0.022	215266661
0.023	215266661
0.024	215266661
0.025	215266661
0.026	215266661
0.027	215266661
0.028	215266661
0.029	215266661
0.03	215266661
0.031	215266661
0.032	215266661
0.033	215266661
0.034	215266661
0.035	215266661
0.036	215266661
0.037	215266661
0.038	215266661
0.039	215266661
0.04	215266661
0.041	215266661
0.042	215266661
0.043	215266661
0.044	215266661
0.045	215266661
0.046	215266661
0.047	215266661
0.048	215266661
0.049	215266661
0.05	215266661
0.051	215266661
0.052	215266661
0.053	215266661
0.054	215266661
0.055	215266661
0.056	215266661
0.057	215266661
0.058	215266661
0.059	215266661
0.06	215266661
0.061	187719067
0.062	187719067
0.063	187719067
0.064	187719067
0.065	187719067
0.066	187719067
0.067	187719067
0.068	187719067
0.069	187719067
0.07	187719067
0.071	187719067
0.072	187719067
0.073	187719067
0.074	187719067
0.075	187719067
0.076	187719067
0.077	187719067
0.078	187719067
0.079	187719067
0.08	187719067
0.081	187719067
0.082	187719067
0.083	187719067
0.084	187719067
0.085	187719067
0.086	187719067
0.087	187719067
0.088	187719067
0.089	187719067
0.09	187719067
0.091	187719067
0.092	187719067
0.093	187719067
0.094	187719067
0.095	187719067
0.096	187719067
0.097	187719067
0.098	187719067
0.099	187719067
0.1	187719067
0.101	187719067
0.102	187719067
0.103	187719067
0.104	187719067
0.105	187719067
0.106	187719067
0.107	187719067
0.108	187719067
0.109	187719067
0.11	187719067
0.111	187719067
0.112	187719067
0.113	187719067
0.114	186799306
0.115	186799306
0.116	186799306
0.117	186799306
0.118	186799306
0.119	186799306
0.12	186799306
0.121	186799306
0.122	186799306
0.123	186799306
0.124	186799306
0.125	186799306
0.126	186799306
0.127	186799306
0.128	186799306
0.129	186799306
0.13	186799306
0.131	186799306
0.132	186799306
0.133	186799306
0.134	186799306
0.135	186799306
0.136	186799306
0.137	186799306
0.138	186799306
0.139	186799306
0.14	186799306
0.141	186799306
0.142	186799306
0.143	186799306
0.144	186799306
0.145	186799306
0.146	186799306
0.147	186799306
0.148	186799306
0.149	186799306
0.15	186799306
0.151	186799306
0.152	186799306
0.153	186799306
0.154	186799306
0.155	186799306
0.156	186799306
0.157	186799306
0.158	186799306
0.159	186799306
0.16	186799306
0.161	186799306
0.162	186799306
0.163	186799306
0.164	186799306
0.165	186799306
0.166	156156401
0.167	156156401
0.168	156156401
0.169	156156401
0.17	156156401
0.171	156156401
0.172	156156401
0.173	156156401
0.174	156156401
0.175	156156401
0.176	156156401
0.177	156156401
0.178	156156401
0.179	156156401
0.18	156156401
0.181	156156401
0.182	156156401
0.183	156156401
0.184	156156401
0.185	156156401
0.186	156156401
0.187	156156401
0.188	156156401
0.189	156156401
0.19	156156401
0.191	156156401
0.192	156156401
0.193	156156401
0.194	156156401
0.195	156156401
0.196	156156401
0.197	156156401
0.198	156156401
0.199	156156401
0.2	156156401
0.201	156156401
0.202	156156401
0.203	156156401
0.204	156156401
0.205	156156401
0.206	156156401
0.207	156156401
0.208	156156401
0.209	156156401
0.21	155141907
0.211	155141907
0.212	155141907
0.213	155141907
0.214	155141907
0.215	155141907
0.216	155141907
0.217	155141907
0.218	155141907
0.219	155141907
0.22	155141907
0.221	155141907
0.222	155141907
0.223	155141907
0.224	155141907
0.225	155141907
0.226	155141907
0.227	155141907
0.228	155141907
0.229	155141907
0.23	155141907
0.231	155141907
0.232	155141907
0.233	155141907
0.234	155141907
0.235	155141907
0.236	155141907
0.237	155141907
0.238	155141907
0.239	155141907
0.24	155141907
0.241	155141907
0.242	155141907
0.243	155141907
0.244	155141907
0.245	155141907
0.246	155141907
0.247	155141907
0.248	155141907
0.249	155141907
0.25	155141907
0.251	155141907
0.252	155141907
0.253	155141907
0.254	146032252
0.255	146032252
0.256	146032252
0.257	146032252
0.258	146032252
0.259	146032252
0.26	146032252
0.261	146032252
0.262	146032252
0.263	146032252
0.264	146032252
0.265	146032252
0.266	146032252
