fraction	Nx_length
0.001	176585
0.002	153232
0.003	140326
0.004	133522
0.005	129326
0.006	125896
0.007	122459
0.008	117360
0.009	114782
0.01	112109
0.011	110464
0.012	108799
0.013	107420
0.014	105939
0.015	104096
0.016	102427
0.017	100669
0.018	99200
0.019	98223
0.02	96838
0.021	95800
0.022	95092
0.023	94225
0.024	93463
0.025	92665
0.026	91724
0.027	90880
0.028	90115
0.029	89436
0.03	88498
0.031	87757
0.032	86990
0.033	86462
0.034	85854
0.035	85098
0.036	84338
0.037	83824
0.038	83287
0.039	82582
0.04	81841
0.041	81305
0.042	80655
0.043	80174
0.044	79553
0.045	79054
0.046	78526
0.047	77954
0.048	77524
0.049	77165
0.05	76622
0.051	76169
0.052	75705
0.053	75048
0.054	74583
0.055	74142
0.056	73714
0.057	73385
0.058	72946
0.059	72502
0.06	72089
0.061	71732
0.062	71192
0.063	70819
0.064	70522
0.065	70177
0.066	69779
0.067	69452
0.068	69144
0.069	68794
0.07	68452
0.071	68100
0.072	67743
0.073	67351
0.074	67039
0.075	66717
0.076	66423
0.077	66098
0.078	65820
0.079	65465
0.08	65185
0.081	64856
0.082	64635
0.083	64275
0.084	63945
0.085	63617
0.086	63339
0.087	62971
0.088	62726
0.089	62500
0.09	62294
0.091	62063
0.092	61858
0.093	61581
0.094	61351
0.095	61043
0.096	60810
0.097	60590
0.098	60362
0.099	60182
0.1	59996
0.101	59794
0.102	59524
0.103	59338
0.104	59084
0.105	58806
0.106	58605
0.107	58352
0.108	58096
0.109	57914
0.11	57671
0.111	57481
0.112	57250
0.113	57058
0.114	56870
0.115	56674
0.116	56422
0.117	56222
0.118	56064
0.119	55869
0.12	55603
0.121	55371
0.122	55140
0.123	54927
0.124	54751
0.125	54530
0.126	54333
0.127	54148
0.128	53921
0.129	53739
0.13	53530
0.131	53339
0.132	53191
0.133	53053
0.134	52853
0.135	52680
0.136	52536
0.137	52372
0.138	52211
0.139	52016
0.14	51812
0.141	51661
