fraction	Nx_length
0.001	163127350
0.002	163127350
0.003	163127350
0.004	163127350
0.005	163127350
0.006	163127350
0.007	163127350
0.008	163127350
0.009	163127350
0.01	163127350
0.011	163127350
0.012	163127350
0.013	163127350
0.014	163127350
0.015	163127350
0.016	163127350
0.017	163127350
0.018	163127350
0.019	163127350
0.02	163127350
0.021	163127350
0.022	163127350
0.023	163127350
0.024	163127350
0.025	163127350
0.026	163127350
0.027	163127350
0.028	163127350
0.029	163127350
0.03	163127350
0.031	163127350
0.032	163127350
0.033	163127350
0.034	163127350
0.035	163127350
0.036	163127350
0.037	163127350
0.038	163127350
0.039	163127350
0.04	163127350
0.041	163127350
0.042	163127350
0.043	163127350
0.044	163127350
0.045	163127350
0.046	163127350
0.047	163127350
0.048	163127350
0.049	163127350
0.05	163127350
0.051	163127350
0.052	163127350
0.053	163127350
0.054	163127350
0.055	163127350
0.056	163127350
0.057	163127350
0.058	163127350
0.059	163127350
0.06	163127350
0.061	163127350
0.062	163127350
0.063	163127350
0.064	163127350
0.065	163127350
0.066	139544481
0.067	139544481
0.068	139544481
0.069	139544481
0.07	139544481
0.071	139544481
0.072	139544481
0.073	139544481
0.074	139544481
0.075	139544481
0.076	139544481
0.077	139544481
0.078	139544481
0.079	139544481
0.08	139544481
0.081	139544481
0.082	139544481
0.083	139544481
0.084	139544481
0.085	139544481
0.086	139544481
0.087	139544481
0.088	139544481
0.089	139544481
0.09	139544481
0.091	139544481
0.092	139544481
0.093	139544481
0.094	139544481
0.095	139544481
0.096	139544481
0.097	139544481
0.098	139544481
0.099	139544481
0.1	139544481
0.101	139544481
0.102	139544481
0.103	139544481
0.104	139544481
0.105	139544481
0.106	139544481
0.107	139544481
0.108	139544481
0.109	139544481
0.11	139544481
0.111	139544481
0.112	139544481
0.113	139544481
0.114	139544481
0.115	139544481
0.116	139544481
0.117	139544481
0.118	139544481
0.119	139544481
0.12	139544481
0.121	139544481
0.122	123753969
0.123	123753969
0.124	123753969
0.125	123753969
0.126	123753969
0.127	123753969
0.128	123753969
0.129	123753969
0.13	123753969
0.131	123753969
0.132	123753969
0.133	123753969
0.134	123753969
0.135	123753969
0.136	123753969
0.137	123753969
0.138	123753969
0.139	123753969
0.14	123753969
0.141	123753969
0.142	123753969
0.143	123753969
0.144	123753969
0.145	123753969
0.146	123753969
0.147	123753969
0.148	123753969
0.149	123753969
0.15	123753969
0.151	123753969
0.152	123753969
0.153	123753969
0.154	123753969
0.155	123753969
0.156	123753969
0.157	123753969
0.158	123753969
0.159	123753969
0.16	123753969
0.161	123753969
0.162	123753969
0.163	123753969
0.164	123753969
0.165	123753969
0.166	123753969
0.167	123753969
0.168	123753969
0.169	123753969
0.17	123753969
0.171	123753969
0.172	105913952
0.173	105913952
0.174	105913952
0.175	105913952
0.176	105913952
0.177	105913952
0.178	105913952
0.179	105913952
0.18	105913952
0.181	105913952
0.182	105913952
0.183	105913952
0.184	105913952
0.185	105913952
0.186	105913952
0.187	105913952
0.188	105913952
0.189	105913952
0.19	105913952
0.191	105913952
0.192	105913952
0.193	105913952
0.194	105913952
0.195	105913952
0.196	105913952
0.197	105913952
0.198	105913952
0.199	105913952
0.2	105913952
0.201	105913952
0.202	105913952
0.203	105913952
0.204	105913952
0.205	105913952
0.206	105913952
0.207	105913952
0.208	105913952
0.209	105913952
0.21	105913952
0.211	105913952
0.212	105913952
0.213	105913952
0.214	105913952
0.215	90858768
0.216	90858768
0.217	90858768
0.218	90858768
0.219	90858768
0.22	90858768
0.221	90858768
0.222	90858768
0.223	90858768
0.224	90858768
0.225	90858768
0.226	90858768
0.227	90858768
0.228	90858768
0.229	90858768
0.23	90858768
0.231	90858768
0.232	90858768
0.233	90858768
0.234	90858768
0.235	90858768
0.236	90858768
0.237	90858768
0.238	90858768
0.239	90858768
0.24	90858768
0.241	90858768
0.242	90858768
0.243	90858768
0.244	90858768
0.245	90858768
0.246	90858768
0.247	90858768
0.248	90858768
0.249	90858768
0.25	90858768
0.251	90858768
0.252	59628869
0.253	59628869
0.254	59628869
0.255	59628869
0.256	59628869
0.257	59628869
0.258	59628869
0.259	59628869
0.26	59628869
0.261	59628869
0.262	59628869
0.263	59628869
0.264	59628869
0.265	59628869
0.266	59628869
0.267	59628869
0.268	59628869
0.269	59628869
0.27	59628869
0.271	59628869
0.272	59628869
0.273	59628869
0.274	59628869
0.275	59628869
0.276	54307347
0.277	54307347
0.278	54307347
0.279	54307347
0.28	54307347
0.281	54307347
0.282	54307347
0.283	54307347
0.284	54307347
0.285	54307347
0.286	54307347
0.287	54307347
0.288	54307347
0.289	54307347
0.29	54307347
0.291	54307347
0.292	54307347
0.293	54307347
0.294	54307347
0.295	54307347
0.296	54307347
0.297	54307347
0.298	49823424
0.299	49823424
0.3	49823424
0.301	49823424
0.302	49823424
0.303	49823424
0.304	49823424
0.305	49823424
0.306	49823424
0.307	49823424
0.308	49823424
0.309	49823424
0.31	49823424
0.311	49823424
0.312	49823424
0.313	49823424
0.314	49823424
0.315	49823424
0.316	49823424
0.317	49823424
0.318	40323178
0.319	40323178
0.32	40323178
0.321	40323178
0.322	40323178
0.323	40323178
0.324	40323178
0.325	40323178
0.326	40323178
0.327	40323178
0.328	40323178
0.329	40323178
0.33	40323178
0.331	40323178
0.332	40323178
0.333	40323178
0.334	40154083
0.335	40154083
0.336	40154083
0.337	40154083
0.338	40154083
0.339	40154083
0.34	40154083
0.341	40154083
0.342	40154083
0.343	40154083
0.344	40154083
0.345	40154083
0.346	40154083
0.347	40154083
0.348	40154083
0.349	40154083
0.35	36712884
0.351	36712884
0.352	36712884
0.353	36712884
0.354	36712884
0.355	36712884
0.356	36712884
0.357	36712884
0.358	36712884
0.359	36712884
0.36	36712884
0.361	36712884
0.362	36712884
0.363	36712884
0.364	36712884
0.365	35188986
0.366	35188986
0.367	35188986
0.368	35188986
0.369	35188986
0.37	35188986
0.371	35188986
0.372	35188986
0.373	35188986
0.374	35188986
0.375	35188986
0.376	35188986
0.377	35188986
0.378	35188986
0.379	32904081
0.38	32904081
0.381	32904081
0.382	32904081
0.383	32904081
0.384	32904081
0.385	32904081
0.386	32904081
0.387	32904081
0.388	32904081
0.389	32904081
0.39	32904081
0.391	32904081
0.392	28954691
0.393	28954691
0.394	28954691
0.395	28954691
0.396	28954691
0.397	28954691
0.398	28954691
0.399	28954691
0.4	28954691
0.401	28954691
0.402	28954691
0.403	28954691
0.404	27887944
0.405	27887944
0.406	27887944
0.407	27887944
0.408	27887944
0.409	27887944
0.41	27887944
0.411	27887944
0.412	27887944
0.413	27887944
0.414	27887944
0.415	23988367
0.416	23988367
0.417	23988367
0.418	23988367
0.419	23988367
0.42	23988367
0.421	23988367
0.422	23988367
0.423	23988367
0.424	23988367
0.425	23692387
0.426	23692387
0.427	23692387
0.428	23692387
0.429	23692387
0.43	23692387
0.431	23692387
0.432	23692387
0.433	23692387
0.434	23325489
0.435	23325489
0.436	23325489
0.437	23325489
0.438	23325489
0.439	23325489
0.44	23325489
0.441	23325489
0.442	23325489
0.443	23325489
0.444	23174106
0.445	23174106
0.446	23174106
0.447	23174106
0.448	23174106
0.449	23174106
0.45	23174106
0.451	23174106
0.452	23174106
0.453	21895872
0.454	21895872
0.455	21895872
0.456	21895872
0.457	21895872
