fraction	Nx_length
0.001	220787
0.002	189110
0.003	180482
0.004	175426
0.005	165751
0.006	160881
0.007	155973
0.008	152107
0.009	147972
0.01	145649
0.011	143249
0.012	139680
0.013	137060
0.014	135351
0.015	133138
0.016	131842
0.017	130165
0.018	128703
0.019	127109
0.02	124750
0.021	123399
0.022	122301
0.023	121251
0.024	120184
0.025	119236
0.026	117700
0.027	116424
0.028	115307
0.029	113958
0.03	112745
0.031	111873
0.032	110912
0.033	109962
0.034	109075
0.035	108439
0.036	107761
0.037	106807
0.038	105830
0.039	105087
0.04	104132
0.041	103636
0.042	102758
0.043	101943
0.044	101284
0.045	100527
0.046	99961
0.047	99194
0.048	98568
0.049	97874
0.05	97344
0.051	96956
0.052	96483
0.053	96032
0.054	95653
0.055	95303
0.056	94665
0.057	94227
0.058	93623
0.059	93189
0.06	92642
0.061	92199
0.062	91790
0.063	91318
0.064	90842
0.065	90349
0.066	89858
0.067	89255
0.068	88919
0.069	88586
0.07	88160
0.071	87644
0.072	87153
0.073	86727
0.074	86489
0.075	86042
0.076	85752
0.077	85425
0.078	84915
0.079	84595
0.08	84281
0.081	83873
0.082	83334
0.083	83063
0.084	82744
0.085	82402
0.086	82077
0.087	81838
0.088	81590
0.089	81296
0.09	81010
0.091	80622
0.092	80341
0.093	80099
0.094	79726
0.095	79461
0.096	79164
0.097	78917
0.098	78705
0.099	78470
0.1	78189
0.101	77893
0.102	77587
0.103	77234
0.104	76959
0.105	76665
0.106	76382
0.107	76191
0.108	75850
0.109	75645
0.11	75407
0.111	75194
0.112	74865
0.113	74618
0.114	74231
0.115	73925
0.116	73685
0.117	73476
0.118	73284
0.119	72999
0.12	72809
0.121	72609
0.122	72318
0.123	72020
0.124	71781
0.125	71572
0.126	71290
0.127	71123
0.128	70878
0.129	70650
0.13	70442
0.131	70207
0.132	69970
0.133	69758
0.134	69537
0.135	69313
0.136	69103
0.137	68952
0.138	68725
0.139	68540
0.14	68387
0.141	68198
0.142	67978
0.143	67811
0.144	67557
0.145	67327
0.146	67097
0.147	66893
0.148	66712
0.149	66548
0.15	66307
0.151	66022
0.152	65786
0.153	65621
0.154	65348
0.155	65195
0.156	64994
0.157	64793
0.158	64646
0.159	64477
0.16	64251
0.161	64045
0.162	63861
0.163	63705
0.164	63582
0.165	63378
0.166	63214
0.167	63018
0.168	62803
0.169	62662
0.17	62482
0.171	62341
0.172	62190
0.173	62030
0.174	61901
0.175	61722
0.176	61542
0.177	61407
0.178	61267
0.179	61098
0.18	60961
0.181	60801
0.182	60621
