fraction	Nx_length
0.001	22916839
0.002	22916839
0.003	22916839
0.004	22916839
0.005	22916839
0.006	22916839
0.007	22916839
0.008	22916839
0.009	22916839
0.01	22916839
0.011	17267550
0.012	17267550
0.013	17267550
0.014	17267550
0.015	17267550
0.016	17267550
0.017	17267550
0.018	17267550
0.019	15760405
0.02	15760405
0.021	15760405
0.022	15760405
0.023	15760405
0.024	15760405
0.025	15760405
0.026	14723760
0.027	14723760
0.028	14723760
0.029	14723760
0.03	14723760
0.031	14723760
0.032	14495410
0.033	14495410
0.034	14495410
0.035	14495410
0.036	14495410
0.037	14495410
0.038	14495410
0.039	14426246
0.04	14426246
0.041	14426246
0.042	14426246
0.043	14426246
0.044	14426246
0.045	14426246
0.046	14062341
0.047	14062341
0.048	14062341
0.049	14062341
0.05	14062341
0.051	14062341
0.052	13887557
0.053	13887557
0.054	13887557
0.055	13887557
0.056	13887557
0.057	13887557
0.058	13400915
0.059	13400915
0.06	13400915
0.061	13400915
0.062	13400915
0.063	13400915
0.064	13050882
0.065	13050882
0.066	13050882
0.067	13050882
0.068	13050882
0.069	13050882
0.07	12999854
0.071	12999854
0.072	12999854
0.073	12999854
0.074	12999854
0.075	12999854
0.076	12979540
0.077	12979540
0.078	12979540
0.079	12979540
0.08	12979540
0.081	12979540
0.082	12717916
0.083	12717916
0.084	12717916
0.085	12717916
0.086	12717916
0.087	12717916
0.088	12587025
0.089	12587025
0.09	12587025
0.091	12587025
0.092	12587025
0.093	12338202
0.094	12338202
0.095	12338202
0.096	12338202
0.097	12338202
0.098	12338202
0.099	12161499
0.1	12161499
0.101	12161499
0.102	12161499
0.103	12161499
0.104	12161499
0.105	12059114
0.106	12059114
0.107	12059114
0.108	12059114
0.109	12059114
0.11	11940747
0.111	11940747
0.112	11940747
0.113	11940747
0.114	11940747
0.115	11737201
0.116	11737201
0.117	11737201
0.118	11737201
0.119	11737201
0.12	11737201
0.121	11580933
0.122	11580933
0.123	11580933
0.124	11580933
0.125	11580933
0.126	11533005
0.127	11533005
0.128	11533005
0.129	11533005
0.13	11533005
0.131	10579796
0.132	10579796
0.133	10579796
0.134	10579796
0.135	10579796
0.136	10136746
0.137	10136746
0.138	10136746
0.139	10136746
0.14	10136746
0.141	10002390
0.142	10002390
0.143	10002390
0.144	10002390
0.145	9726413
0.146	9726413
0.147	9726413
0.148	9726413
0.149	9726413
0.15	9655031
0.151	9655031
0.152	9655031
0.153	9655031
0.154	9622385
0.155	9622385
0.156	9622385
0.157	9622385
0.158	9355083
0.159	9355083
0.16	9355083
0.161	9355083
0.162	9325166
0.163	9325166
0.164	9325166
0.165	9325166
0.166	9325166
0.167	9253364
0.168	9253364
0.169	9253364
0.17	9253364
0.171	9092468
0.172	9092468
0.173	9092468
0.174	9092468
0.175	8793294
0.176	8793294
0.177	8793294
0.178	8793294
0.179	8758971
0.18	8758971
0.181	8758971
0.182	8758971
0.183	8750830
0.184	8750830
0.185	8750830
0.186	8750830
0.187	8734824
0.188	8734824
0.189	8734824
0.19	8734824
0.191	8702556
0.192	8702556
0.193	8702556
0.194	8702556
0.195	8666924
0.196	8666924
0.197	8666924
0.198	8666924
0.199	8485689
0.2	8485689
0.201	8485689
0.202	8485689
0.203	8330508
0.204	8330508
0.205	8330508
0.206	8182027
0.207	8182027
0.208	8182027
0.209	8182027
0.21	7879741
0.211	7879741
0.212	7879741
0.213	7879741
0.214	7816820
0.215	7816820
0.216	7816820
0.217	7709920
0.218	7709920
0.219	7709920
0.22	7709920
0.221	7568885
0.222	7568885
0.223	7568885
0.224	7460723
0.225	7460723
0.226	7460723
0.227	7392783
0.228	7392783
0.229	7392783
0.23	7392783
0.231	7299006
0.232	7299006
0.233	7299006
0.234	7292364
0.235	7292364
0.236	7292364
0.237	7257257
0.238	7257257
0.239	7257257
0.24	7257257
0.241	7226989
0.242	7226989
0.243	7226989
0.244	7132442
0.245	7132442
0.246	7132442
0.247	7101472
0.248	7101472
0.249	7101472
0.25	7088516
0.251	7088516
0.252	7088516
0.253	7088516
0.254	7030974
0.255	7030974
0.256	7030974
0.257	6848838
0.258	6848838
0.259	6848838
0.26	6839996
0.261	6839996
0.262	6839996
0.263	6827084
0.264	6827084
0.265	6827084
0.266	6780717
0.267	6780717
0.268	6780717
0.269	6741024
0.27	6741024
0.271	6741024
0.272	6720852
0.273	6720852
0.274	6720852
0.275	6717191
0.276	6717191
0.277	6717191
0.278	6652254
0.279	6652254
0.28	6652254
0.281	6619669
0.282	6619669
0.283	6619669
0.284	6592229
0.285	6592229
0.286	6592229
0.287	6570842
0.288	6570842
0.289	6570842
0.29	6543737
0.291	6543737
0.292	6543737
0.293	6364972
0.294	6364972
0.295	6364972
0.296	6291245
0.297	6291245
0.298	6291245
0.299	6279319
0.3	6279319
0.301	6279319
0.302	6225490
0.303	6225490
0.304	6225490
0.305	6193261
0.306	6193261
0.307	6191971
0.308	6191971
0.309	6191971
0.31	6148157
0.311	6148157
0.312	6148157
0.313	6135308
0.314	6135308
0.315	6135308
0.316	6121005
0.317	6121005
0.318	6121005
0.319	6086722
0.32	6086722
0.321	6037886
0.322	6037886
0.323	6037886
0.324	6007681
0.325	6007681
0.326	6007681
0.327	5987914
0.328	5987914
0.329	5987914
0.33	5967888
0.331	5967888
0.332	5966581
0.333	5966581
0.334	5966581
0.335	5893690
0.336	5893690
0.337	5893690
0.338	5802291
0.339	5802291
0.34	5790164
0.341	5790164
0.342	5790164
0.343	5719605
0.344	5719605
0.345	5650828
0.346	5650828
0.347	5650828
0.348	5623116
0.349	5623116
0.35	5623116
0.351	5585999
0.352	5585999
0.353	5567570
0.354	5567570
0.355	5567570
0.356	5551308
0.357	5551308
0.358	5549327
0.359	5549327
0.36	5549327
0.361	5542339
0.362	5542339
0.363	5537015
0.364	5537015
0.365	5537015
0.366	5512902
0.367	5512902
0.368	5415291
0.369	5415291
0.37	5415291
0.371	5331149
0.372	5331149
0.373	5244977
