fraction	Nx_length
0.001	3947111
0.002	3387355
0.003	3387355
0.004	3385123
0.005	3368593
0.006	3355123
0.007	3355123
0.008	3123519
0.009	2959869
0.01	2906524
0.011	2891773
0.012	2891773
0.013	2744754
0.014	2696889
0.015	2591150
0.016	2512911
0.017	2509574
0.018	2488088
0.019	2461159
0.02	2456020
0.021	2451161
0.022	2436596
0.023	2431505
0.024	2420683
0.025	2402592
0.026	2387712
0.027	2327757
0.028	2296515
0.029	2266941
0.03	2262115
0.031	2256680
0.032	2239011
0.033	2231615
0.034	2197483
0.035	2188355
0.036	2187983
0.037	2175837
0.038	2145801
0.039	2140640
0.04	2127155
0.041	2115269
0.042	2099898
0.043	2081799
0.044	2059749
0.045	2054136
0.046	2043409
0.047	2040425
0.048	2030206
0.049	2022485
0.05	2016450
0.051	1990324
0.052	1986750
0.053	1984663
0.054	1981304
0.055	1970284
0.056	1927175
0.057	1924005
0.058	1918114
0.059	1876332
0.06	1859138
0.061	1856290
0.062	1849454
0.063	1841742
0.064	1817859
0.065	1802187
0.066	1790799
0.067	1786368
0.068	1767537
0.069	1749028
0.07	1747043
0.071	1741890
0.072	1741034
0.073	1733951
0.074	1733181
0.075	1724190
0.076	1711932
0.077	1707512
0.078	1700411
0.079	1696865
0.08	1689250
0.081	1685085
0.082	1680840
0.083	1665443
0.084	1657686
0.085	1654317
0.086	1653516
0.087	1643422
0.088	1633064
0.089	1590210
0.09	1589866
0.091	1557010
0.092	1554429
0.093	1547550
0.094	1545941
0.095	1542852
0.096	1533604
0.097	1531932
0.098	1518900
0.099	1510877
0.1	1510151
0.101	1504030
0.102	1503411
0.103	1502774
0.104	1496277
0.105	1494297
0.106	1491170
0.107	1478617
0.108	1478033
0.109	1457067
0.11	1446651
0.111	1444255
0.112	1441689
0.113	1429959
0.114	1429409
0.115	1413923
0.116	1399910
0.117	1397970
0.118	1397485
0.119	1383397
0.12	1367546
0.121	1360922
0.122	1359165
0.123	1356548
0.124	1354042
0.125	1352612
0.126	1342465
0.127	1339339
0.128	1327854
0.129	1315829
0.13	1312264
0.131	1305691
0.132	1304263
0.133	1298080
0.134	1297969
0.135	1294413
0.136	1292559
0.137	1289900
0.138	1284919
0.139	1279005
0.14	1272166
0.141	1268088
0.142	1265787
0.143	1264817
0.144	1258842
0.145	1256365
0.146	1252390
0.147	1246129
0.148	1243391
0.149	1235741
0.15	1227746
0.151	1223571
0.152	1220717
0.153	1216628
0.154	1213411
0.155	1210157
0.156	1208147
0.157	1204925
0.158	1198932
0.159	1198110
0.16	1196652
0.161	1193681
0.162	1189361
0.163	1182526
0.164	1177462
0.165	1172960
0.166	1165685
0.167	1160295
0.168	1158953
0.169	1154800
0.17	1148650
0.171	1134909
0.172	1133085
0.173	1130812
0.174	1129963
0.175	1128738
0.176	1125839
0.177	1123813
0.178	1121298
0.179	1117206
0.18	1115147
0.181	1112500
0.182	1110218
0.183	1106195
0.184	1102978
0.185	1097405
0.186	1096500
0.187	1095545
0.188	1093052
0.189	1092234
0.19	1084978
0.191	1081119
0.192	1077831
0.193	1076092
0.194	1071157
0.195	1067634
0.196	1058886
0.197	1055056
0.198	1053597
0.199	1045802
0.2	1044103
0.201	1040864
0.202	1037883
0.203	1035009
0.204	1032094
0.205	1025012
0.206	1023415
0.207	1022634
0.208	1019822
0.209	1015812
0.21	1006286
0.211	1005196
0.212	1000910
0.213	997640
0.214	988286
0.215	979759
0.216	977534
0.217	974674
0.218	973565
0.219	970047
0.22	969864
0.221	966961
0.222	966296
0.223	964321
0.224	958518
0.225	956883
0.226	953510
0.227	948932
0.228	945621
0.229	942621
0.23	930441
0.231	929654
0.232	928214
0.233	924730
0.234	921300
0.235	915253
0.236	913738
0.237	911226
0.238	910252
0.239	906991
0.24	903429
0.241	898102
