fraction	Nx_length
0.001	113249593
0.002	113249593
0.003	113249593
0.004	113249593
0.005	113249593
0.006	113249593
0.007	113249593
0.008	113249593
0.009	113249593
0.01	113249593
0.011	113249593
0.012	113249593
0.013	113249593
0.014	113249593
0.015	113249593
0.016	113249593
0.017	113249593
0.018	113249593
0.019	113249593
0.02	113249593
0.021	113249593
0.022	113249593
0.023	113249593
0.024	113249593
0.025	113249593
0.026	113249593
0.027	113249593
0.028	113249593
0.029	113249593
0.03	113249593
0.031	113249593
0.032	113249593
0.033	113249593
0.034	113249593
0.035	113249593
0.036	113249593
0.037	113249593
0.038	113249593
0.039	113249593
0.04	113249593
0.041	113249593
0.042	113249593
0.043	113249593
0.044	113249593
0.045	97862717
0.046	97862717
0.047	97862717
0.048	97862717
0.049	97862717
0.05	97862717
0.051	97862717
0.052	97862717
0.053	97862717
0.054	97862717
0.055	97862717
0.056	97862717
0.057	97862717
0.058	97862717
0.059	97862717
0.06	97862717
0.061	97862717
0.062	97862717
0.063	97862717
0.064	97862717
0.065	97862717
0.066	97862717
0.067	97862717
0.068	97862717
0.069	97862717
0.07	97862717
0.071	97862717
0.072	97862717
0.073	97862717
0.074	97862717
0.075	97862717
0.076	97862717
0.077	97862717
0.078	97862717
0.079	97862717
0.08	97862717
0.081	97862717
0.082	97862717
0.083	82718114
0.084	82718114
0.085	82718114
0.086	82718114
0.087	82718114
0.088	82718114
0.089	82718114
0.09	82718114
0.091	82718114
0.092	82718114
0.093	82718114
0.094	82718114
0.095	82718114
0.096	82718114
0.097	82718114
0.098	82718114
0.099	82718114
0.1	82718114
0.101	82718114
0.102	82718114
0.103	82718114
0.104	82718114
0.105	82718114
0.106	82718114
0.107	82718114
0.108	82718114
0.109	82718114
0.11	82718114
0.111	82718114
0.112	82718114
0.113	82718114
0.114	82718114
0.115	80351367
0.116	80351367
0.117	80351367
0.118	80351367
0.119	80351367
0.12	80351367
0.121	80351367
0.122	80351367
0.123	80351367
0.124	80351367
0.125	80351367
0.126	80351367
0.127	80351367
0.128	80351367
0.129	80351367
0.13	80351367
0.131	80351367
0.132	80351367
0.133	80351367
0.134	80351367
0.135	80351367
0.136	80351367
0.137	80351367
0.138	80351367
0.139	80351367
0.14	80351367
0.141	80351367
