fraction	Nx_length
0.001	806555
0.002	683544
0.003	661212
0.004	655799
0.005	618164
0.006	608192
0.007	587620
0.008	578013
0.009	550346
0.01	543606
0.011	535431
0.012	519181
0.013	512135
0.014	502188
0.015	493538
0.016	485530
0.017	477018
0.018	473093
0.019	462206
0.02	456461
0.021	451266
0.022	447229
0.023	444209
0.024	439812
0.025	434254
0.026	428225
0.027	423311
0.028	418802
0.029	416189
0.03	413844
0.031	409649
0.032	407221
0.033	401955
0.034	399309
0.035	393868
0.036	387850
0.037	386249
0.038	383247
0.039	378684
0.04	376528
0.041	373699
0.042	370812
0.043	368370
0.044	365836
0.045	364091
0.046	362069
0.047	359873
0.048	358081
0.049	354304
0.05	352001
0.051	350572
0.052	348576
0.053	345114
0.054	343116
0.055	340353
0.056	338508
0.057	336703
0.058	334538
0.059	332855
0.06	331004
0.061	329150
0.062	328169
0.063	327411
0.064	325164
0.065	323151
0.066	320752
0.067	319257
0.068	318251
0.069	316982
0.07	315862
0.071	315428
0.072	314341
0.073	311311
0.074	310039
0.075	308970
0.076	308242
0.077	307013
0.078	305720
0.079	305285
0.08	304265
0.081	303076
0.082	300948
0.083	299599
0.084	298454
0.085	296942
0.086	295804
0.087	294677
0.088	293608
0.089	291657
0.09	290458
0.091	289826
0.092	288881
0.093	287726
0.094	287109
0.095	285575
0.096	284815
0.097	284279
0.098	282493
0.099	281486
0.1	280587
0.101	279578
0.102	278655
0.103	277347
0.104	276405
0.105	275673
0.106	275007
0.107	273938
0.108	273197
0.109	272589
0.11	271700
0.111	270627
0.112	270094
0.113	268823
0.114	267543
0.115	266459
0.116	265510
0.117	264913
0.118	264007
0.119	262931
0.12	262151
0.121	261780
0.122	260780
0.123	260088
0.124	259675
0.125	259011
0.126	258343
0.127	257280
0.128	256935
0.129	256039
0.13	255467
0.131	255108
0.132	254272
0.133	253371
0.134	252669
0.135	251996
0.136	251208
0.137	250346
0.138	249792
0.139	248953
0.14	247841
0.141	247202
0.142	246745
0.143	246100
0.144	245042
0.145	244455
0.146	243913
0.147	243385
0.148	242887
0.149	242345
0.15	241544
0.151	240774
0.152	239833
0.153	239015
0.154	238095
0.155	237542
0.156	237134
0.157	236318
0.158	235807
0.159	235214
0.16	234799
0.161	234052
0.162	233472
0.163	232898
0.164	232184
0.165	231513
0.166	230762
0.167	229976
0.168	229234
0.169	228488
0.17	227703
0.171	227127
0.172	226625
0.173	226302
0.174	225773
0.175	225029
0.176	224015
0.177	223448
0.178	222879
0.179	222378
0.18	221711
0.181	221311
0.182	220859
0.183	220202
0.184	219348
0.185	218991
0.186	218276
0.187	217675
0.188	217164
0.189	216475
0.19	215977
0.191	215162
0.192	214608
0.193	214182
0.194	213615
0.195	212978
0.196	212299
0.197	211890
0.198	211115
0.199	210779
0.2	210176
0.201	209680
0.202	209058
0.203	208695
0.204	208131
0.205	207710
0.206	207279
0.207	206913
0.208	206628
0.209	206070
0.21	205659
0.211	205313
0.212	204651
0.213	204278
0.214	203717
0.215	203234
0.216	202885
0.217	202340
0.218	201934
0.219	201503
0.22	201022
0.221	200651
0.222	200225
0.223	199490
0.224	198610
0.225	198120
0.226	197572
0.227	197215
0.228	196890
0.229	196498
0.23	196152
0.231	195696
0.232	195263
0.233	194756
0.234	194426
0.235	193957
0.236	193804
0.237	193618
0.238	193109
0.239	192827
0.24	192538
0.241	192011
0.242	191642
0.243	191213
0.244	190781
0.245	190326
0.246	189618
0.247	189277
0.248	188859
0.249	188533
0.25	188162
0.251	187495
0.252	187155
0.253	186597
0.254	186426
0.255	185850
0.256	185520
0.257	185081
0.258	184786
0.259	184241
0.26	183821
0.261	183395
0.262	183003
0.263	182780
0.264	182433
0.265	182090
0.266	181548
0.267	181185
0.268	180839
0.269	180433
0.27	180003
0.271	179239
0.272	178947
0.273	178664
0.274	178324
0.275	177935
0.276	177600
0.277	177338
0.278	176558
0.279	176149
0.28	175952
0.281	175391
0.282	175026
0.283	174641
0.284	174264
0.285	174089
0.286	173431
0.287	172975
0.288	172668
0.289	172387
0.29	172101
0.291	171470
0.292	171084
0.293	170653
0.294	170157
0.295	169872
0.296	169505
0.297	169078
0.298	168652
0.299	168262
0.3	167879
0.301	167420
0.302	167109
0.303	166645
0.304	166080
0.305	165790
0.306	165345
0.307	164827
0.308	164387
0.309	164028
0.31	163807
0.311	163272
0.312	163077
0.313	162698
0.314	162191
0.315	161910
0.316	161561
0.317	161299
0.318	160833
0.319	160373
0.32	159962
0.321	159624
0.322	159318
0.323	158844
0.324	158524
0.325	158064
0.326	157769
0.327	157341
0.328	157059
0.329	156753
0.33	156328
0.331	156074
0.332	155809
0.333	155404
0.334	155033
0.335	154646
0.336	154353
0.337	153982
0.338	153712
0.339	153297
0.34	153063
0.341	152821
0.342	152410
0.343	152126
0.344	151834
0.345	151527
0.346	150995
0.347	150634
0.348	150248
0.349	149805
0.35	149520
0.351	149127
0.352	148843
0.353	148644
0.354	148299
0.355	148016
0.356	147605
0.357	147381
0.358	146951
0.359	146664
0.36	146409
0.361	146068
0.362	145768
0.363	145361
0.364	145146
0.365	144929
0.366	144639
0.367	144309
0.368	144056
0.369	143634
0.37	143421
0.371	142962
0.372	142581
0.373	142175
0.374	141861
0.375	141659
0.376	141433
0.377	141185
0.378	140865
0.379	140628
0.38	140294
0.381	139971
0.382	139755
0.383	139529
0.384	139313
0.385	139024
0.386	138831
0.387	138545
0.388	138144
0.389	137909
0.39	137692
0.391	137500
0.392	137172
0.393	136918
0.394	136668
0.395	136454
0.396	136125
0.397	135820
0.398	135596
0.399	135265
0.4	135040
0.401	134688
0.402	134240
0.403	133890
0.404	133630
0.405	133247
0.406	132858
0.407	132642
0.408	132368
0.409	132078
0.41	131828
0.411	131603
0.412	131368
0.413	131139
0.414	130972
0.415	130667
