fraction	Nx_length
0.001	374107374
0.002	374107374
0.003	374107374
0.004	374107374
0.005	374107374
0.006	374107374
0.007	374107374
0.008	374107374
0.009	374107374
0.01	374107374
0.011	374107374
0.012	374107374
0.013	374107374
0.014	374107374
0.015	374107374
0.016	374107374
0.017	374107374
0.018	374107374
0.019	374107374
0.02	374107374
0.021	374107374
0.022	374107374
0.023	374107374
0.024	374107374
0.025	374107374
0.026	374107374
0.027	374107374
0.028	374107374
0.029	374107374
0.03	374107374
0.031	374107374
0.032	374107374
0.033	374107374
0.034	374107374
0.035	374107374
0.036	374107374
0.037	374107374
0.038	374107374
0.039	374107374
0.04	374107374
0.041	374107374
0.042	374107374
0.043	374107374
0.044	374107374
0.045	374107374
0.046	374107374
0.047	374107374
0.048	374107374
0.049	374107374
0.05	374107374
0.051	374107374
0.052	374107374
0.053	374107374
0.054	374107374
0.055	374107374
0.056	374107374
0.057	374107374
0.058	374107374
0.059	374107374
0.06	374107374
0.061	374107374
0.062	374107374
0.063	374107374
0.064	374107374
0.065	374107374
0.066	374107374
0.067	374107374
0.068	374107374
0.069	374107374
0.07	374107374
0.071	374107374
0.072	374107374
0.073	374107374
0.074	374107374
0.075	374107374
0.076	374107374
0.077	374107374
0.078	374107374
0.079	374107374
0.08	374107374
0.081	374107374
0.082	374107374
0.083	374107374
0.084	374107374
0.085	374107374
0.086	374107374
0.087	374107374
0.088	374107374
0.089	374107374
0.09	374107374
0.091	374107374
0.092	374107374
0.093	374107374
0.094	374107374
0.095	374107374
0.096	374107374
0.097	374107374
0.098	374107374
0.099	374107374
0.1	374107374
0.101	374107374
0.102	374107374
0.103	374107374
0.104	374107374
0.105	374107374
0.106	374107374
0.107	374107374
0.108	374107374
0.109	374107374
0.11	374107374
0.111	374107374
0.112	374107374
0.113	374107374
0.114	374107374
0.115	374107374
0.116	374107374
0.117	374107374
0.118	374107374
0.119	374107374
0.12	374107374
0.121	374107374
0.122	374107374
0.123	374107374
0.124	374107374
0.125	374107374
0.126	374107374
0.127	374107374
0.128	374107374
0.129	374107374
0.13	374107374
0.131	374107374
0.132	374107374
0.133	374107374
0.134	374107374
0.135	374107374
0.136	374107374
0.137	374107374
0.138	374107374
0.139	374107374
0.14	374107374
0.141	374107374
0.142	374107374
0.143	374107374
0.144	374107374
0.145	374107374
0.146	374107374
0.147	374107374
0.148	374107374
0.149	374107374
0.15	374107374
0.151	374107374
0.152	374107374
0.153	374107374
0.154	374107374
0.155	374107374
0.156	374107374
0.157	374107374
0.158	374107374
0.159	374107374
0.16	374107374
0.161	374107374
0.162	374107374
0.163	374107374
0.164	374107374
0.165	374107374
0.166	303627116
0.167	303627116
0.168	303627116
0.169	303627116
0.17	303627116
0.171	303627116
0.172	303627116
0.173	303627116
0.174	303627116
0.175	303627116
0.176	303627116
0.177	303627116
0.178	303627116
0.179	303627116
0.18	303627116
0.181	303627116
0.182	303627116
0.183	303627116
0.184	303627116
0.185	303627116
0.186	303627116
0.187	303627116
0.188	303627116
0.189	303627116
0.19	303627116
0.191	303627116
0.192	303627116
0.193	303627116
0.194	303627116
0.195	303627116
0.196	303627116
0.197	303627116
0.198	303627116
0.199	303627116
0.2	303627116
0.201	303627116
0.202	303627116
0.203	303627116
0.204	303627116
0.205	303627116
0.206	303627116
0.207	303627116
0.208	303627116
0.209	303627116
0.21	303627116
0.211	303627116
0.212	303627116
0.213	303627116
0.214	303627116
0.215	303627116
0.216	303627116
0.217	303627116
0.218	303627116
0.219	303627116
0.22	303627116
0.221	303627116
0.222	303627116
0.223	303627116
0.224	303627116
0.225	303627116
0.226	303627116
0.227	303627116
0.228	303627116
0.229	303627116
0.23	303627116
0.231	303627116
0.232	303627116
0.233	303627116
0.234	303627116
0.235	303627116
0.236	303627116
0.237	303627116
0.238	303627116
0.239	303627116
0.24	303627116
0.241	303627116
0.242	303627116
0.243	303627116
0.244	303627116
0.245	303627116
0.246	303627116
0.247	303627116
0.248	303627116
0.249	303627116
0.25	303627116
0.251	303627116
0.252	303627116
0.253	303627116
0.254	303627116
0.255	303627116
0.256	303627116
0.257	303627116
0.258	303627116
0.259	303627116
0.26	303627116
0.261	303627116
0.262	303627116
0.263	303627116
0.264	303627116
0.265	303627116
0.266	303627116
0.267	303627116
0.268	303627116
0.269	303627116
0.27	303627116
0.271	303627116
0.272	303627116
0.273	303627116
0.274	303627116
0.275	303627116
0.276	303627116
0.277	303627116
0.278	303627116
0.279	303627116
0.28	303627116
0.281	303627116
0.282	303627116
0.283	303627116
0.284	303627116
0.285	303627116
0.286	303627116
0.287	303627116
0.288	303627116
0.289	303627116
0.29	303627116
0.291	303627116
0.292	303627116
0.293	303627116
0.294	303627116
0.295	303627116
0.296	303627116
0.297	303627116
0.298	303627116
0.299	303627116
0.3	303627116
0.301	217722593
0.302	217722593
0.303	217722593
0.304	217722593
0.305	217722593
0.306	217722593
0.307	217722593
0.308	217722593
0.309	217722593
0.31	217722593
0.311	217722593
0.312	217722593
0.313	217722593
0.314	217722593
0.315	217722593
0.316	217722593
0.317	217722593
0.318	217722593
0.319	217722593
0.32	217722593
0.321	217722593
0.322	217722593
0.323	217722593
0.324	217722593
0.325	217722593
0.326	217722593
0.327	217722593
0.328	217722593
0.329	217722593
0.33	217722593
0.331	217722593
0.332	217722593
0.333	217722593
0.334	217722593
0.335	217722593
0.336	217722593
0.337	217722593
0.338	217722593
0.339	217722593
0.34	217722593
0.341	217722593
0.342	217722593
0.343	217722593
0.344	217722593
0.345	217722593
0.346	217722593
0.347	217722593
0.348	217722593
0.349	217722593
0.35	217722593
0.351	217722593
0.352	217722593
0.353	217722593
0.354	217722593
0.355	217722593
0.356	217722593
0.357	217722593
0.358	217722593
0.359	217722593
0.36	217722593
0.361	217722593
0.362	217722593
0.363	217722593
0.364	217722593
0.365	217722593
0.366	217722593
0.367	217722593
0.368	217722593
0.369	217722593
0.37	217722593
0.371	217722593
0.372	217722593
0.373	217722593
0.374	217722593
0.375	217722593
0.376	217722593
0.377	217722593
0.378	217722593
0.379	217722593
0.38	217722593
0.381	217722593
0.382	217722593
0.383	217722593
0.384	217722593
0.385	217722593
0.386	217722593
0.387	217722593
0.388	217722593
0.389	217722593
0.39	217722593
0.391	217722593
0.392	217722593
0.393	217722593
0.394	217722593
0.395	217722593
0.396	217722593
0.397	156460665
0.398	156460665
0.399	156460665
0.4	156460665
0.401	156460665
0.402	156460665
0.403	156460665
0.404	156460665
0.405	156460665
0.406	156460665
0.407	156460665
0.408	156460665
0.409	156460665
0.41	156460665
0.411	156460665
0.412	156460665
0.413	156460665
0.414	156460665
0.415	156460665
0.416	156460665
0.417	156460665
0.418	156460665
0.419	156460665
0.42	156460665
0.421	156460665
0.422	156460665
0.423	156460665
0.424	156460665
0.425	156460665
0.426	156460665
0.427	156460665
0.428	156460665
0.429	156460665
0.43	156460665
0.431	156460665
0.432	156460665
0.433	156460665
0.434	156460665
0.435	156460665
0.436	156460665
0.437	156460665
0.438	156460665
0.439	156460665
0.44	156460665
0.441	156460665
0.442	156460665
0.443	156460665
0.444	156460665
0.445	156460665
0.446	156460665
0.447	156460665
0.448	156460665
0.449	156460665
0.45	156460665
0.451	156460665
0.452	156460665
0.453	156460665
0.454	156460665
0.455	156460665
0.456	156460665
0.457	156460665
0.458	156460665
0.459	156460665
0.46	156460665
0.461	156460665
0.462	156460665
0.463	156460665
0.464	156460665
0.465	156460665
0.466	156460665
0.467	148185065
0.468	148185065
0.469	148185065
0.47	148185065
0.471	148185065
0.472	148185065
0.473	148185065
0.474	148185065
0.475	148185065
0.476	148185065
0.477	148185065
0.478	148185065
0.479	148185065
0.48	148185065
0.481	148185065
0.482	148185065
0.483	148185065
0.484	148185065
0.485	148185065
0.486	148185065
0.487	148185065
0.488	148185065
0.489	148185065
0.49	148185065
0.491	148185065
0.492	148185065
0.493	148185065
0.494	148185065
0.495	148185065
0.496	148185065
0.497	148185065
0.498	148185065
0.499	148185065
0.5	148185065
0.501	148185065
0.502	148185065
0.503	148185065
0.504	148185065
0.505	148185065
0.506	148185065
0.507	148185065
0.508	148185065
0.509	148185065
0.51	148185065
0.511	148185065
0.512	148185065
0.513	148185065
0.514	148185065
0.515	148185065
0.516	148185065
0.517	148185065
0.518	148185065
0.519	148185065
0.52	148185065
0.521	148185065
0.522	148185065
0.523	148185065
0.524	148185065
0.525	148185065
0.526	148185065
0.527	148185065
0.528	148185065
0.529	148185065
0.53	148185065
0.531	148185065
0.532	138478029
0.533	138478029
0.534	138478029
0.535	138478029
0.536	138478029
0.537	138478029
0.538	138478029
0.539	138478029
0.54	138478029
0.541	138478029
0.542	138478029
0.543	138478029
0.544	138478029
0.545	138478029
0.546	138478029
0.547	138478029
0.548	138478029
0.549	138478029
0.55	138478029
0.551	138478029
0.552	138478029
0.553	138478029
0.554	138478029
0.555	138478029
0.556	138478029
0.557	138478029
0.558	138478029
0.559	138478029
0.56	138478029
0.561	138478029
0.562	138478029
0.563	138478029
0.564	138478029
0.565	138478029
0.566	138478029
0.567	138478029
0.568	138478029
0.569	138478029
0.57	138478029
0.571	138478029
0.572	138478029
0.573	138478029
0.574	138478029
0.575	138478029
0.576	138478029
0.577	138478029
0.578	138478029
0.579	138478029
0.58	138478029
0.581	138478029
0.582	138478029
0.583	138478029
0.584	138478029
0.585	138478029
0.586	138478029
0.587	138478029
0.588	138478029
0.589	138478029
0.59	138478029
0.591	138478029
0.592	138478029
0.593	138478029
0.594	112124491
0.595	112124491
0.596	112124491
0.597	112124491
0.598	112124491
0.599	112124491
0.6	112124491
0.601	112124491
0.602	112124491
0.603	112124491
0.604	112124491
0.605	112124491
0.606	112124491
0.607	112124491
0.608	112124491
0.609	112124491
0.61	112124491
0.611	112124491
0.612	112124491
0.613	112124491
0.614	112124491
0.615	112124491
0.616	112124491
0.617	112124491
0.618	112124491
0.619	112124491
0.62	112124491
0.621	112124491
0.622	112124491
0.623	112124491
0.624	112124491
0.625	112124491
0.626	112124491
0.627	112124491
0.628	112124491
0.629	112124491
0.63	112124491
0.631	112124491
0.632	112124491
0.633	112124491
0.634	112124491
0.635	112124491
0.636	112124491
0.637	112124491
0.638	112124491
0.639	112124491
