fraction	Nx_length
0.001	885463
0.002	793789
0.003	747632
0.004	709890
0.005	673527
0.006	670899
0.007	643130
0.008	627302
0.009	614270
0.01	595370
0.011	569351
0.012	564577
0.013	555775
0.014	553138
0.015	532541
0.016	520960
0.017	518349
0.018	511096
0.019	498986
0.02	496788
0.021	489282
0.022	486909
0.023	482908
0.024	479559
0.025	474997
0.026	470851
0.027	467185
0.028	462401
0.029	456855
0.03	452973
0.031	449264
0.032	445458
0.033	441733
0.034	439323
0.035	432906
0.036	430261
0.037	426193
0.038	423671
0.039	419900
0.04	416186
0.041	413796
0.042	407727
0.043	405317
0.044	402691
0.045	401320
0.046	399362
0.047	395248
0.048	394372
0.049	391162
0.05	388857
0.051	387039
0.052	385601
0.053	383370
0.054	382637
0.055	381555
0.056	378502
0.057	377067
0.058	374665
0.059	372857
0.06	371408
0.061	370336
0.062	369025
0.063	366333
0.064	364716
0.065	361551
0.066	359832
0.067	357549
0.068	356818
0.069	355780
0.07	354744
0.071	353185
0.072	351019
0.073	349485
0.074	347970
0.075	346965
0.076	345926
0.077	344371
0.078	342913
0.079	342170
0.08	340517
0.081	338516
0.082	336765
0.083	335565
0.084	334673
0.085	332618
0.086	330237
0.087	329432
0.088	328724
0.089	327786
0.09	326978
0.091	325488
0.092	322997
0.093	322099
0.094	320111
0.095	319073
0.096	317991
0.097	317250
0.098	315989
0.099	314422
0.1	313515
0.101	313014
0.102	312583
0.103	311784
0.104	310766
0.105	309015
0.106	308493
0.107	307657
0.108	306337
0.109	305436
0.11	304561
0.111	303680
0.112	302708
0.113	301864
0.114	300359
0.115	299738
0.116	299178
0.117	298334
0.118	296796
0.119	294899
0.12	293712
0.121	292353
0.122	291074
0.123	290556
0.124	289718
0.125	288955
0.126	287936
0.127	286826
0.128	286217
0.129	285530
0.13	285047
0.131	283228
0.132	282505
0.133	281360
0.134	280235
0.135	279606
0.136	278875
0.137	277303
0.138	276395
0.139	276001
0.14	274649
0.141	273695
0.142	272896
0.143	272302
0.144	271250
0.145	270344
0.146	269463
0.147	268429
0.148	267814
0.149	266894
0.15	266199
0.151	265319
0.152	264496
0.153	263940
0.154	263301
0.155	262933
0.156	262323
0.157	261024
0.158	260483
0.159	259768
0.16	259426
0.161	258520
0.162	258066
0.163	257027
0.164	256424
0.165	255829
0.166	255059
0.167	254512
0.168	253710
0.169	252511
0.17	251908
0.171	251352
0.172	250861
0.173	250565
0.174	249952
0.175	249499
0.176	248809
0.177	248391
0.178	247562
0.179	246880
0.18	246016
0.181	245563
0.182	244846
0.183	244560
0.184	243972
0.185	243259
0.186	242722
0.187	241755
0.188	240770
0.189	240088
0.19	239656
0.191	239090
0.192	238299
0.193	237941
0.194	237677
0.195	237178
0.196	236531
0.197	236261
0.198	235425
0.199	234984
0.2	234352
0.201	233878
0.202	233540
0.203	232923
0.204	231907
0.205	231305
0.206	230734
0.207	230276
0.208	229730
0.209	228980
0.21	228673
0.211	228164
0.212	227600
0.213	226969
0.214	226043
0.215	225635
0.216	225038
0.217	224350
0.218	223532
0.219	223060
0.22	222446
0.221	221738
0.222	221096
0.223	220453
0.224	219752
0.225	219138
0.226	218635
0.227	218112
0.228	217749
0.229	217263
0.23	217045
0.231	216119
0.232	215429
0.233	214938
0.234	214745
0.235	214049
0.236	213608
0.237	213317
0.238	212902
0.239	212212
0.24	211782
0.241	211059
0.242	210789
0.243	210308
0.244	209931
0.245	209691
0.246	209136
0.247	208557
0.248	208153
0.249	207849
0.25	207156
0.251	206733
0.252	206325
0.253	205908
0.254	205539
0.255	205176
0.256	204854
0.257	204162
0.258	203680
0.259	203088
0.26	202627
0.261	202067
0.262	201722
0.263	201311
0.264	200900
0.265	200466
0.266	200000
0.267	199426
0.268	198850
0.269	198594
0.27	198119
0.271	197650
0.272	197300
0.273	196846
0.274	196525
0.275	196133
0.276	195647
0.277	195077
0.278	194795
0.279	194550
0.28	193981
0.281	193539
0.282	193060
0.283	192553
0.284	192254
0.285	191762
0.286	191372
0.287	190871
0.288	190345
0.289	190049
0.29	189687
0.291	189211
0.292	188917
0.293	188528
0.294	188118
0.295	187731
0.296	187378
0.297	186956
0.298	186476
0.299	185896
0.3	185524
0.301	185006
0.302	184331
0.303	183789
0.304	183193
0.305	183001
0.306	182531
0.307	182044
0.308	181546
0.309	181120
0.31	180721
0.311	180418
0.312	179985
0.313	179401
0.314	178947
0.315	178585
0.316	178089
0.317	177596
0.318	177248
0.319	176961
0.32	176400
0.321	176063
0.322	175535
0.323	175063
0.324	174722
0.325	174552
0.326	174255
0.327	173845
0.328	173593
0.329	173180
0.33	172895
0.331	172575
0.332	172035
0.333	171629
0.334	171306
0.335	170848
0.336	170383
0.337	169927
0.338	169539
0.339	169136
0.34	168631
0.341	168315
0.342	168003
0.343	167711
0.344	167355
0.345	167088
0.346	166598
0.347	166215
0.348	165734
0.349	165222
0.35	164959
0.351	164599
0.352	164330
0.353	164079
0.354	163708
0.355	163437
