fraction	Nx_length
0.001	1240923
0.002	1091265
0.003	1005908
0.004	905207
0.005	879422
0.006	835369
0.007	831040
0.008	808360
0.009	802064
0.01	773067
0.011	751122
0.012	749539
0.013	738827
0.014	722490
0.015	717506
0.016	706488
0.017	693095
0.018	688858
0.019	686411
0.02	665934
0.021	656881
0.022	655583
0.023	639654
0.024	636190
0.025	627832
0.026	624423
0.027	608638
0.028	599958
0.029	591842
0.03	586930
0.031	584242
0.032	581682
0.033	579582
0.034	576090
0.035	572981
0.036	568915
0.037	565318
0.038	562935
0.039	555357
0.04	551244
0.041	547569
0.042	541119
0.043	538891
0.044	534878
0.045	532465
0.046	529422
0.047	525784
0.048	524296
0.049	518721
0.05	517181
0.051	515414
0.052	513587
0.053	511417
0.054	501385
0.055	494810
0.056	492148
0.057	490365
0.058	488445
0.059	487604
0.06	486131
0.061	485270
0.062	482948
0.063	479822
0.064	475463
0.065	473082
0.066	469935
0.067	468182
0.068	466480
0.069	464458
0.07	461588
0.071	458895
0.072	457251
0.073	454898
0.074	454125
0.075	452179
0.076	450803
0.077	449224
0.078	448176
0.079	446703
0.08	444858
0.081	443412
0.082	441818
0.083	439173
0.084	438139
0.085	436024
0.086	435092
0.087	434312
0.088	433184
0.089	432448
0.09	429226
0.091	426440
0.092	424412
0.093	421852
0.094	420222
0.095	418703
0.096	417076
0.097	414794
0.098	414072
0.099	411672
0.1	410826
0.101	409999
0.102	409008
0.103	407847
0.104	406638
0.105	405835
0.106	403970
0.107	402773
0.108	400842
0.109	397888
0.11	396941
0.111	395975
0.112	394772
0.113	393680
0.114	392784
0.115	391405
0.116	389704
0.117	387468
0.118	385884
0.119	385171
0.12	383983
0.121	382979
0.122	382364
0.123	381111
0.124	379194
0.125	378333
0.126	377455
0.127	376228
0.128	375247
0.129	374541
0.13	373602
0.131	372674
0.132	372129
0.133	370942
0.134	368818
0.135	368381
0.136	366761
0.137	365780
0.138	364775
0.139	362990
0.14	361733
0.141	360962
0.142	360169
0.143	359240
0.144	357972
0.145	357532
0.146	356473
0.147	354408
0.148	353337
0.149	351569
0.15	350938
0.151	350136
0.152	349387
0.153	348384
