fraction	Nx_length
0.001	112449458
0.002	112449458
0.003	112449458
0.004	112449458
0.005	112449458
0.006	112449458
0.007	112449458
0.008	112449458
0.009	112449458
0.01	112449458
0.011	112449458
0.012	112449458
0.013	112449458
0.014	112449458
0.015	112449458
0.016	112449458
0.017	112449458
0.018	112449458
0.019	112449458
0.02	112449458
0.021	112449458
0.022	112449458
0.023	112449458
0.024	112449458
0.025	112449458
0.026	112449458
0.027	112449458
0.028	112449458
0.029	112449458
0.03	112449458
0.031	112449458
0.032	112449458
0.033	112449458
0.034	112449458
0.035	112449458
0.036	112449458
0.037	112449458
0.038	112449458
0.039	112449458
0.04	112449458
0.041	112449458
0.042	112449458
0.043	112449458
0.044	112449458
0.045	112449458
0.046	112449458
0.047	112449458
0.048	112449458
0.049	112449458
0.05	112449458
0.051	112449458
0.052	112449458
0.053	112449458
0.054	112449458
0.055	112449458
0.056	111435666
0.057	111435666
0.058	111435666
0.059	111435666
0.06	111435666
0.061	111435666
0.062	111435666
0.063	111435666
0.064	111435666
0.065	111435666
0.066	111435666
0.067	111435666
0.068	111435666
0.069	111435666
0.07	111435666
0.071	111435666
0.072	111435666
0.073	111435666
0.074	111435666
0.075	111435666
0.076	111435666
0.077	111435666
0.078	111435666
0.079	111435666
0.08	111435666
0.081	111435666
0.082	111435666
0.083	111435666
0.084	111435666
0.085	111435666
0.086	111435666
0.087	111435666
0.088	111435666
0.089	111435666
0.09	111435666
0.091	111435666
0.092	111435666
0.093	111435666
0.094	111435666
0.095	111435666
0.096	111435666
0.097	111435666
0.098	111435666
0.099	111435666
0.1	111435666
0.101	111435666
0.102	111435666
0.103	111435666
0.104	111435666
0.105	111435666
0.106	111435666
0.107	111435666
0.108	111435666
0.109	111435666
0.11	111435666
0.111	109735730
0.112	109735730
0.113	109735730
0.114	109735730
0.115	109735730
0.116	109735730
0.117	109735730
0.118	109735730
0.119	109735730
0.12	109735730
0.121	109735730
0.122	109735730
0.123	109735730
0.124	109735730
0.125	109735730
0.126	109735730
0.127	109735730
0.128	109735730
0.129	109735730
0.13	109735730
0.131	109735730
0.132	109735730
0.133	109735730
0.134	109735730
0.135	109735730
0.136	109735730
0.137	109735730
0.138	109735730
0.139	109735730
0.14	109735730
0.141	109735730
0.142	109735730
0.143	109735730
0.144	109735730
0.145	109735730
0.146	109735730
0.147	109735730
0.148	109735730
0.149	109735730
0.15	109735730
0.151	109735730
0.152	109735730
0.153	109735730
0.154	109735730
0.155	109735730
0.156	109735730
0.157	109735730
0.158	109735730
0.159	109735730
0.16	109735730
0.161	109735730
0.162	109735730
0.163	109735730
0.164	109735730
0.165	93956114
0.166	93956114
0.167	93956114
0.168	93956114
0.169	93956114
0.17	93956114
0.171	93956114
0.172	93956114
0.173	93956114
0.174	93956114
0.175	93956114
0.176	93956114
0.177	93956114
0.178	93956114
0.179	93956114
0.18	93956114
0.181	93956114
0.182	93956114
0.183	93956114
0.184	93956114
0.185	93956114
0.186	93956114
0.187	93956114
0.188	93956114
0.189	93956114
0.19	93956114
0.191	93956114
0.192	93956114
0.193	93956114
0.194	93956114
0.195	93956114
0.196	93956114
0.197	93956114
0.198	93956114
0.199	93956114
0.2	93956114
0.201	93956114
0.202	93956114
0.203	93956114
0.204	93956114
0.205	93956114
0.206	93956114
0.207	93956114
0.208	93956114
0.209	93956114
0.21	93956114
0.211	80099045
0.212	80099045
0.213	80099045
0.214	80099045
0.215	80099045
0.216	80099045
0.217	80099045
0.218	80099045
0.219	80099045
0.22	80099045
0.221	80099045
0.222	80099045
0.223	80099045
0.224	80099045
0.225	80099045
0.226	80099045
0.227	80099045
0.228	80099045
0.229	80099045
0.23	80099045
0.231	80099045
0.232	80099045
0.233	80099045
0.234	80099045
0.235	80099045
0.236	80099045
0.237	80099045
0.238	80099045
0.239	80099045
0.24	80099045
0.241	80099045
0.242	80099045
0.243	80099045
0.244	80099045
0.245	80099045
0.246	80099045
0.247	80099045
0.248	80099045
0.249	80099045
0.25	80099045
0.251	74628956
0.252	74628956
0.253	74628956
0.254	74628956
0.255	74628956
0.256	74628956
0.257	74628956
0.258	74628956
0.259	74628956
0.26	74628956
0.261	74628956
0.262	74628956
0.263	74628956
0.264	74628956
0.265	74628956
0.266	74628956
0.267	74628956
0.268	74628956
0.269	74628956
0.27	74628956
0.271	74628956
0.272	74628956
0.273	74628956
0.274	74628956
0.275	74628956
0.276	74628956
0.277	74628956
0.278	74628956
0.279	74628956
0.28	74628956
0.281	74628956
0.282	74628956
0.283	74628956
0.284	74628956
0.285	74628956
0.286	74628956
0.287	74628956
0.288	74620256
0.289	74620256
0.29	74620256
0.291	74620256
0.292	74620256
0.293	74620256
0.294	74620256
0.295	74620256
0.296	74620256
0.297	74620256
0.298	74620256
0.299	74620256
0.3	74620256
0.301	74620256
0.302	74620256
0.303	74620256
0.304	74620256
0.305	74620256
0.306	74620256
0.307	74620256
0.308	74620256
0.309	74620256
0.31	74620256
0.311	74620256
0.312	74620256
0.313	74620256
0.314	74620256
0.315	74620256
0.316	74620256
0.317	74620256
0.318	74620256
0.319	74620256
0.32	74620256
0.321	74620256
0.322	74620256
0.323	74620256
0.324	74620256
0.325	74405855
0.326	74405855
0.327	74405855
0.328	74405855
0.329	74405855
0.33	74405855
0.331	74405855
0.332	74405855
0.333	74405855
0.334	74405855
0.335	74405855
0.336	74405855
0.337	74405855
0.338	74405855
0.339	74405855
0.34	74405855
0.341	74405855
0.342	74405855
0.343	74405855
0.344	74405855
0.345	74405855
0.346	74405855
0.347	74405855
0.348	74405855
0.349	74405855
0.35	74405855
0.351	74405855
0.352	74405855
0.353	74405855
0.354	74405855
0.355	74405855
0.356	74405855
0.357	74405855
0.358	74405855
0.359	74405855
0.36	74405855
0.361	69039034
0.362	69039034
0.363	69039034
0.364	69039034
0.365	69039034
0.366	69039034
0.367	69039034
0.368	69039034
0.369	69039034
0.37	69039034
0.371	69039034
0.372	69039034
0.373	69039034
0.374	69039034
0.375	69039034
0.376	69039034
0.377	69039034
0.378	69039034
0.379	69039034
0.38	69039034
0.381	69039034
0.382	69039034
0.383	69039034
0.384	69039034
0.385	69039034
0.386	69039034
0.387	69039034
0.388	69039034
0.389	69039034
0.39	69039034
0.391	69039034
0.392	69039034
0.393	69039034
0.394	69039034
0.395	64374847
0.396	64374847
0.397	64374847
0.398	64374847
0.399	64374847
0.4	64374847
0.401	64374847
0.402	64374847
0.403	64374847
0.404	64374847
0.405	64374847
0.406	64374847
0.407	64374847
0.408	64374847
0.409	64374847
0.41	64374847
0.411	64374847
0.412	64374847
0.413	64374847
0.414	64374847
0.415	64374847
0.416	64374847
0.417	64374847
0.418	64374847
0.419	64374847
0.42	64374847
0.421	64374847
0.422	64374847
0.423	64374847
0.424	64374847
0.425	64374847
0.426	64374847
0.427	60894455
0.428	60894455
0.429	60894455
0.43	60894455
0.431	60894455
0.432	60894455
0.433	60894455
0.434	60894455
0.435	60894455
0.436	60894455
0.437	60894455
0.438	60894455
0.439	60894455
0.44	60894455
0.441	60894455
0.442	60894455
0.443	60894455
0.444	60894455
0.445	60894455
0.446	60894455
0.447	60894455
0.448	60894455
0.449	60894455
0.45	60894455
0.451	60894455
0.452	60894455
0.453	60894455
0.454	60894455
0.455	60894455
0.456	60894455
0.457	51797180
0.458	51797180
0.459	51797180
0.46	51797180
0.461	51797180
0.462	51797180
0.463	51797180
0.464	51797180
0.465	51797180
0.466	51797180
0.467	51797180
0.468	51797180
0.469	51797180
0.47	51797180
0.471	51797180
0.472	51797180
0.473	51797180
0.474	51797180
0.475	51797180
0.476	51797180
0.477	51797180
0.478	51797180
0.479	51797180
0.48	51797180
0.481	51797180
0.482	51797180
0.483	46415247
0.484	46415247
0.485	46415247
0.486	46415247
0.487	46415247
0.488	46415247
0.489	46415247
0.49	46415247
0.491	46415247
0.492	46415247
0.493	46415247
0.494	46415247
0.495	46415247
0.496	46415247
0.497	46415247
0.498	46415247
0.499	46415247
0.5	46415247
0.501	46415247
0.502	46415247
0.503	46415247
0.504	46415247
0.505	43059954
0.506	43059954
0.507	43059954
0.508	43059954
0.509	43059954
0.51	43059954
0.511	43059954
0.512	43059954
0.513	43059954
0.514	43059954
0.515	43059954
0.516	43059954
0.517	43059954
0.518	43059954
0.519	43059954
0.52	43059954
0.521	43059954
0.522	43059954
0.523	43059954
0.524	43059954
0.525	43059954
0.526	43059954
0.527	41387825
0.528	41387825
0.529	41387825
0.53	41387825
0.531	41387825
0.532	41387825
0.533	41387825
0.534	41387825
0.535	41387825
0.536	41387825
0.537	41387825
0.538	41387825
0.539	41387825
0.54	41387825
0.541	41387825
0.542	41387825
0.543	41387825
0.544	41387825
0.545	41387825
0.546	41387825
0.547	39460824
0.548	39460824
0.549	39460824
0.55	39460824
0.551	39460824
0.552	39460824
0.553	39460824
0.554	39460824
0.555	39460824
0.556	39460824
0.557	39460824
0.558	39460824
0.559	39460824
0.56	39460824
0.561	39460824
0.562	39460824
0.563	39460824
0.564	39460824
0.565	39460824
0.566	39460824
0.567	39309529
0.568	39309529
0.569	39309529
0.57	39309529
0.571	39309529
0.572	39309529
0.573	39309529
0.574	39309529
0.575	39309529
0.576	39309529
0.577	39309529
0.578	39309529
0.579	39309529
0.58	39309529
0.581	39309529
0.582	39309529
0.583	39309529
0.584	39309529
0.585	39309529
0.586	36218842
0.587	36218842
0.588	36218842
0.589	36218842
0.59	36218842
0.591	36218842
0.592	36218842
0.593	36218842
0.594	36218842
0.595	36218842
0.596	36218842
0.597	36218842
0.598	36218842
0.599	36218842
0.6	36218842
0.601	36218842
0.602	36218842
0.603	36218842
0.604	33365953
0.605	33365953
0.606	33365953
0.607	33365953
0.608	33365953
0.609	33365953
0.61	33365953
0.611	33365953
0.612	33365953
0.613	33365953
0.614	33365953
0.615	33365953
0.616	33365953
0.617	33365953
0.618	33365953
0.619	33365953
0.62	32213159
0.621	32213159
0.622	32213159
0.623	32213159
0.624	32213159
0.625	32213159
0.626	32213159
0.627	32213159
0.628	32213159
0.629	32213159
0.63	32213159
0.631	32213159
0.632	32213159
0.633	32213159
0.634	32213159
0.635	32213159
0.636	28666990
0.637	28666990
0.638	28666990
0.639	28666990
0.64	28666990
0.641	28666990
0.642	28666990
0.643	28666990
0.644	28666990
0.645	28666990
0.646	28666990
0.647	28666990
0.648	28666990
0.649	28666990
0.65	27752380
0.651	27752380
0.652	27752380
0.653	27752380
0.654	27752380
0.655	27752380
0.656	27752380
0.657	27752380
0.658	27752380
0.659	27752380
0.66	27752380
0.661	27752380
0.662	27752380
0.663	27752380
0.664	27748798
0.665	27748798
0.666	27748798
0.667	27748798
0.668	27748798
0.669	27748798
0.67	27748798
0.671	27748798
0.672	27748798
0.673	27748798
0.674	27748798
0.675	27748798
0.676	27748798
0.677	27748798
0.678	25061582
0.679	25061582
0.68	25061582
0.681	25061582
0.682	25061582
0.683	25061582
0.684	25061582
0.685	25061582
0.686	25061582
0.687	25061582
0.688	25061582
0.689	25061582
0.69	24108927
0.691	24108927
0.692	24108927
0.693	24108927
0.694	24108927
0.695	24108927
0.696	24108927
0.697	24108927
0.698	24108927
0.699	24108927
0.7	24108927
0.701	24108927
0.702	23863072
0.703	23863072
0.704	23863072
0.705	23863072
0.706	23863072
0.707	23863072
0.708	23863072
0.709	23863072
0.71	23863072
0.711	23863072
0.712	23863072
0.713	23863072
0.714	22398666
0.715	22398666
0.716	22398666
0.717	22398666
0.718	22398666
0.719	22398666
0.72	22398666
0.721	22398666
0.722	22398666
0.723	22398666
0.724	22398666
0.725	22182068
0.726	22182068
0.727	22182068
0.728	22182068
0.729	22182068
0.73	22182068
0.731	22182068
0.732	22182068
0.733	22182068
0.734	22182068
0.735	22182068
0.736	21196276
0.737	21196276
0.738	21196276
0.739	21196276
0.74	21196276
0.741	21196276
0.742	21196276
0.743	21196276
0.744	21196276
0.745	21196276
0.746	19015796
0.747	19015796
0.748	19015796
0.749	19015796
0.75	19015796
0.751	19015796
0.752	19015796
0.753	19015796
0.754	19015796
0.755	19015796
0.756	18772157
0.757	18772157
0.758	18772157
0.759	18772157
0.76	18772157
0.761	18772157
0.762	18772157
0.763	18772157
0.764	18772157
0.765	17194796
0.766	17194796
0.767	17194796
0.768	17194796
0.769	17194796
0.77	17194796
0.771	17194796
0.772	17194796
0.773	17041782
0.774	17041782
0.775	17041782
0.776	17041782
0.777	17041782
0.778	17041782
0.779	17041782
0.78	17041782
0.781	17041782
0.782	15798213
0.783	15798213
0.784	15798213
0.785	15798213
0.786	15798213
