fraction	Nx_length
0.001	585631
0.002	529373
0.003	501810
0.004	491833
0.005	462550
0.006	456570
0.007	439666
0.008	428675
0.009	420411
0.01	411607
0.011	402628
0.012	395977
0.013	391390
0.014	386155
0.015	383136
0.016	376057
0.017	371650
0.018	364327
0.019	357060
0.02	354451
0.021	352304
0.022	348641
0.023	343267
0.024	338975
0.025	335298
0.026	332607
0.027	330136
0.028	327315
0.029	323588
0.03	322054
0.031	320049
0.032	318358
0.033	316174
0.034	314529
0.035	311140
0.036	308831
0.037	304661
0.038	303263
0.039	301449
0.04	297737
0.041	295216
0.042	294206
0.043	291924
0.044	290252
0.045	288932
0.046	288249
0.047	287184
0.048	285608
0.049	284244
0.05	283225
0.051	281298
0.052	279073
0.053	276982
0.054	274859
0.055	273193
0.056	271429
0.057	269639
0.058	269129
0.059	267581
0.06	266287
0.061	264907
0.062	263065
0.063	262351
0.064	260624
0.065	259775
0.066	258624
0.067	257885
0.068	257113
0.069	255850
0.07	255338
0.071	254003
0.072	252807
0.073	251739
0.074	251265
0.075	250284
0.076	249025
0.077	247403
0.078	246336
0.079	245305
0.08	244263
0.081	243082
0.082	241988
0.083	241339
0.084	240632
0.085	240012
0.086	238616
0.087	237518
0.088	236408
0.089	235179
0.09	234553
0.091	233805
0.092	232466
0.093	231374
0.094	230377
0.095	229679
0.096	228852
0.097	228341
0.098	227674
0.099	226721
0.1	225301
0.101	224301
0.102	223629
0.103	222953
0.104	222404
0.105	221578
0.106	220691
0.107	220253
0.108	219711
0.109	218812
0.11	218497
0.111	218185
0.112	217791
0.113	216839
0.114	215974
0.115	215213
0.116	214427
0.117	213834
0.118	212997
0.119	212467
0.12	211822
0.121	211140
0.122	210669
0.123	210203
0.124	209640
0.125	208857
0.126	208105
0.127	207341
0.128	206505
0.129	205678
0.13	205325
0.131	204871
0.132	203850
0.133	203247
0.134	202500
0.135	202044
0.136	201035
0.137	200643
0.138	199978
0.139	199416
0.14	198382
0.141	197747
0.142	197297
0.143	196915
0.144	195951
0.145	195168
0.146	194743
0.147	194072
0.148	193443
0.149	192632
0.15	192254
