fraction	Nx_length
0.001	85492995
0.002	85492995
0.003	85492995
0.004	85492995
0.005	85492995
0.006	85492995
0.007	85492995
0.008	85492995
0.009	85492995
0.01	85492995
0.011	85492995
0.012	85492995
0.013	85492995
0.014	85492995
0.015	85492995
0.016	85492995
0.017	85492995
0.018	85492995
0.019	85492995
0.02	85492995
0.021	85492995
0.022	85492995
0.023	85492995
0.024	85492995
0.025	85492995
0.026	85492995
0.027	85492995
0.028	85492995
0.029	85492995
0.03	85492995
0.031	85492995
0.032	85492995
0.033	85492995
0.034	85492995
0.035	85492995
0.036	69955850
0.037	69955850
0.038	69955850
0.039	69955850
0.04	69955850
0.041	69955850
0.042	69955850
0.043	69955850
0.044	69955850
0.045	69955850
0.046	69955850
0.047	69955850
0.048	69955850
0.049	69955850
0.05	69955850
0.051	69955850
0.052	69955850
0.053	69955850
0.054	69955850
0.055	69955850
0.056	69955850
0.057	69955850
0.058	69955850
0.059	69955850
0.06	69955850
0.061	69955850
0.062	69955850
0.063	69955850
0.064	69955850
0.065	58407642
0.066	58407642
0.067	58407642
0.068	58407642
0.069	58407642
0.07	58407642
0.071	58407642
0.072	58407642
0.073	58407642
0.074	58407642
0.075	58407642
0.076	58407642
0.077	58407642
0.078	58407642
0.079	58407642
0.08	58407642
0.081	58407642
0.082	58407642
0.083	58407642
0.084	58407642
0.085	58407642
0.086	58407642
0.087	58407642
0.088	58407642
0.089	58407642
0.09	58344887
0.091	58344887
0.092	58344887
0.093	58344887
0.094	58344887
0.095	58344887
0.096	58344887
0.097	58344887
0.098	58344887
0.099	58344887
0.1	58344887
0.101	58344887
0.102	58344887
0.103	58344887
0.104	58344887
0.105	58344887
0.106	58344887
0.107	58344887
0.108	58344887
0.109	58344887
0.11	58344887
0.111	58344887
0.112	58344887
0.113	58344887
0.114	50770768
0.115	50770768
0.116	50770768
0.117	50770768
0.118	50770768
0.119	50770768
0.12	50770768
0.121	50770768
0.122	50770768
0.123	50770768
0.124	50770768
0.125	50770768
0.126	50770768
0.127	50770768
0.128	50770768
0.129	50770768
0.13	50770768
0.131	50770768
0.132	50770768
0.133	50770768
0.134	50770768
0.135	49678485
0.136	49678485
0.137	49678485
0.138	49678485
0.139	49678485
0.14	49678485
0.141	49678485
0.142	49678485
0.143	49678485
0.144	49678485
0.145	49678485
0.146	49678485
0.147	49678485
0.148	49678485
0.149	49678485
0.15	49678485
0.151	49678485
0.152	49678485
0.153	49678485
0.154	49678485
0.155	49678485
0.156	49171975
0.157	49171975
0.158	49171975
0.159	49171975
0.16	49171975
0.161	49171975
0.162	49171975
0.163	49171975
0.164	49171975
0.165	49171975
0.166	49171975
0.167	49171975
0.168	49171975
0.169	49171975
0.17	49171975
0.171	49171975
0.172	49171975
0.173	49171975
0.174	49171975
0.175	49171975
0.176	48903981
0.177	48903981
0.178	48903981
0.179	48903981
0.18	48903981
0.181	48903981
0.182	48903981
0.183	48903981
0.184	48903981
0.185	48903981
0.186	48903981
0.187	48903981
0.188	48903981
0.189	48903981
0.19	48903981
0.191	48903981
0.192	48903981
0.193	48903981
0.194	48903981
0.195	48903981
0.196	48903981
0.197	47978935
0.198	47978935
0.199	47978935
0.2	47978935
0.201	47978935
0.202	47978935
0.203	47978935
0.204	47978935
0.205	47978935
0.206	47978935
0.207	47978935
0.208	47978935
0.209	47978935
0.21	47978935
0.211	47978935
0.212	47978935
0.213	47978935
0.214	47978935
0.215	47978935
0.216	47978935
0.217	46305477
0.218	46305477
0.219	46305477
0.22	46305477
0.221	46305477
0.222	46305477
0.223	46305477
0.224	46305477
0.225	46305477
0.226	46305477
0.227	46305477
0.228	46305477
0.229	46305477
0.23	46305477
0.231	46305477
0.232	46305477
0.233	46305477
0.234	46305477
0.235	46305477
0.236	42566471
0.237	42566471
0.238	42566471
0.239	42566471
0.24	42566471
0.241	42566471
0.242	42566471
0.243	42566471
0.244	42566471
0.245	42566471
0.246	42566471
0.247	42566471
0.248	42566471
0.249	42566471
0.25	42566471
0.251	42566471
0.252	42566471
0.253	42566471
0.254	37791601
0.255	37791601
0.256	37791601
0.257	37791601
0.258	37791601
0.259	37791601
0.26	37791601
0.261	37791601
0.262	37791601
0.263	37791601
0.264	37791601
0.265	37791601
0.266	37791601
0.267	37791601
0.268	37791601
0.269	37185417
0.27	37185417
0.271	37185417
0.272	37185417
0.273	37185417
0.274	37185417
0.275	37185417
0.276	37185417
0.277	37185417
0.278	37185417
0.279	37185417
0.28	37185417
0.281	37185417
0.282	37185417
0.283	37185417
0.284	37185417
0.285	37164799
0.286	37164799
0.287	37164799
0.288	37164799
0.289	37164799
0.29	37164799
0.291	37164799
0.292	37164799
0.293	37164799
0.294	37164799
0.295	37164799
0.296	37164799
0.297	37164799
0.298	37164799
0.299	37164799
0.3	34052097
0.301	34052097
0.302	34052097
0.303	34052097
0.304	34052097
0.305	34052097
0.306	34052097
0.307	34052097
0.308	34052097
0.309	34052097
0.31	34052097
0.311	34052097
0.312	34052097
0.313	34052097
0.314	33542702
0.315	33542702
0.316	33542702
0.317	33542702
0.318	33542702
0.319	33542702
0.32	33542702
0.321	33542702
0.322	33542702
0.323	33542702
0.324	33542702
0.325	33542702
0.326	33542702
0.327	33542702
0.328	31618224
0.329	31618224
0.33	31618224
0.331	31618224
0.332	31618224
0.333	31618224
0.334	31618224
0.335	31618224
0.336	31618224
0.337	31618224
0.338	31618224
0.339	31618224
0.34	31618224
0.341	31618224
0.342	31537950
0.343	31537950
0.344	31537950
0.345	31537950
0.346	31537950
0.347	31537950
0.348	31537950
0.349	31537950
0.35	31537950
0.351	31537950
0.352	31537950
0.353	31537950
0.354	31537950
0.355	30636690
0.356	30636690
0.357	30636690
0.358	30636690
0.359	30636690
0.36	30636690
0.361	30636690
0.362	30636690
0.363	30636690
0.364	30636690
0.365	30636690
0.366	30636690
0.367	30376185
0.368	30376185
0.369	30376185
0.37	30376185
0.371	30376185
0.372	30376185
0.373	30376185
0.374	30376185
0.375	30376185
0.376	30376185
0.377	30376185
0.378	30376185
0.379	30376185
0.38	29855447
0.381	29855447
0.382	29855447
0.383	29855447
0.384	29855447
0.385	29855447
0.386	29855447
0.387	29855447
0.388	29855447
0.389	29855447
0.39	29855447
0.391	29855447
0.392	29855447
0.393	29391475
0.394	29391475
0.395	29391475
0.396	29391475
0.397	29391475
0.398	29391475
0.399	29391475
0.4	29391475
0.401	29391475
0.402	29391475
0.403	29391475
0.404	29391475
0.405	24693836
0.406	24693836
0.407	24693836
0.408	24693836
0.409	24693836
0.41	24693836
0.411	24693836
0.412	24693836
0.413	24693836
0.414	24693836
0.415	23967327
0.416	23967327
0.417	23967327
0.418	23967327
0.419	23967327
0.42	23967327
