fraction	Nx_length
0.001	763324
0.002	750650
0.003	718414
0.004	706654
0.005	665443
0.006	653205
0.007	617417
0.008	597981
0.009	584784
0.01	583644
0.011	566390
0.012	558437
0.013	535493
0.014	518654
0.015	514223
0.016	507230
0.017	500844
0.018	495277
0.019	487577
0.02	484438
0.021	481553
0.022	472476
0.023	467846
0.024	464100
0.025	460714
0.026	457398
0.027	454868
0.028	452053
0.029	448549
0.03	443542
0.031	439400
0.032	432579
0.033	430028
0.034	427646
0.035	425416
0.036	419977
0.037	417985
0.038	413872
0.039	412430
0.04	409921
0.041	406262
0.042	402247
0.043	399534
0.044	398546
0.045	395706
0.046	393541
0.047	392062
0.048	391529
0.049	389339
0.05	386711
0.051	385597
0.052	382748
0.053	379435
0.054	375341
0.055	373564
0.056	371863
0.057	369618
0.058	368088
0.059	366669
0.06	364836
0.061	363824
0.062	362721
0.063	361663
0.064	360829
0.065	359303
0.066	358249
0.067	355559
0.068	353932
0.069	352693
0.07	351445
0.071	350061
0.072	348290
0.073	347655
0.074	345769
0.075	344137
0.076	342471
0.077	341451
0.078	339400
0.079	337675
0.08	336762
0.081	335124
0.082	333952
0.083	331874
0.084	330972
0.085	330359
0.086	329191
0.087	328158
0.088	326952
0.089	325053
0.09	323414
0.091	322056
0.092	320774
0.093	319787
0.094	319391
0.095	317524
0.096	316623
0.097	315842
0.098	315235
0.099	314450
0.1	312487
0.101	311883
0.102	310912
0.103	310071
0.104	309228
0.105	308234
0.106	307900
0.107	306773
0.108	305925
0.109	305022
0.11	304056
0.111	302673
0.112	301914
0.113	300262
0.114	299259
0.115	297977
0.116	297262
0.117	296430
0.118	295745
0.119	294570
0.12	293662
0.121	293144
0.122	292028
0.123	290789
0.124	289962
0.125	288440
0.126	287545
0.127	285921
0.128	284814
0.129	284138
0.13	283531
0.131	282612
0.132	281303
0.133	280373
0.134	279261
0.135	278647
0.136	277959
0.137	277354
0.138	276469
0.139	275048
0.14	273951
0.141	273153
0.142	272606
0.143	272222
0.144	271791
0.145	270581
0.146	269383
0.147	268417
0.148	267698
0.149	266717
0.15	265900
0.151	264874
0.152	263751
0.153	263098
0.154	262444
0.155	261257
0.156	260596
0.157	260057
0.158	259732
0.159	259236
0.16	258438
0.161	257826
0.162	256996
0.163	256239
0.164	255738
0.165	255221
0.166	254187
0.167	253692
0.168	253108
0.169	252474
0.17	251859
0.171	251499
0.172	250895
0.173	250525
0.174	250071
0.175	249273
0.176	248810
0.177	248309
0.178	247633
0.179	246780
0.18	246026
0.181	245453
0.182	244938
0.183	244150
0.184	243524
0.185	242320
0.186	241829
0.187	241444
0.188	240791
0.189	240344
0.19	239693
0.191	238821
0.192	238197
0.193	237535
0.194	237050
0.195	236591
0.196	235996
0.197	235443
0.198	234695
0.199	233821
0.2	233252
0.201	232636
0.202	231992
0.203	231128
0.204	230730
0.205	230427
0.206	229763
0.207	229443
0.208	228561
0.209	227882
0.21	227427
0.211	226382
0.212	225792
0.213	224999
0.214	224680
0.215	223882
0.216	223409
0.217	222882
0.218	222238
0.219	221917
0.22	221674
0.221	221381
0.222	221014
0.223	220505
0.224	220130
0.225	219658
0.226	219392
0.227	218781
0.228	218538
0.229	217787
0.23	216817
0.231	216133
0.232	215751
0.233	215094
0.234	214487
0.235	213953
0.236	213774
0.237	213211
0.238	212949
0.239	212692
0.24	212271
0.241	211617
0.242	211208
0.243	210336
0.244	209498
0.245	208767
0.246	208282
0.247	207902
0.248	207424
0.249	206772
0.25	206313
0.251	205691
0.252	205180
0.253	204564
0.254	204018
0.255	203480
0.256	203144
0.257	202841
0.258	202519
0.259	202046
0.26	201641
0.261	201362
0.262	200949
0.263	200466
0.264	200174
0.265	199760
0.266	199406
0.267	199157
0.268	198722
0.269	198365
0.27	197902
0.271	197399
0.272	197019
0.273	196262
0.274	195907
0.275	195309
0.276	194768
0.277	194207
0.278	193590
0.279	193121
0.28	192512
0.281	192029
0.282	191643
0.283	191224
0.284	190842
0.285	190318
0.286	189792
0.287	189318
0.288	188633
0.289	188100
0.29	187493
0.291	187094
0.292	186780
0.293	186353
0.294	185991
0.295	185467
0.296	185011
0.297	184662
0.298	184254
0.299	183645
0.3	183133
0.301	182612
0.302	182055
0.303	181488
0.304	181107
0.305	180746
0.306	180426
0.307	180123
0.308	179692
0.309	178982
0.31	178693
0.311	178114
0.312	177544
0.313	177058
0.314	176767
0.315	176419
0.316	175791
0.317	175355
0.318	174937
0.319	174756
0.32	174277
0.321	173821
0.322	173390
0.323	173081
0.324	172818
0.325	172459
0.326	172020
0.327	171531
0.328	171135
0.329	170709
0.33	170362
0.331	170033
0.332	169660
0.333	169322
0.334	168900
0.335	168530
0.336	168103
0.337	167705
0.338	167328
0.339	166873
0.34	166402
0.341	166183
0.342	165690
0.343	165367
0.344	164941
0.345	164687
0.346	164453
0.347	164168
0.348	163849
0.349	163312
0.35	162982
0.351	162632
0.352	162338
0.353	162041
0.354	161773
0.355	161244
0.356	160895
0.357	160552
0.358	160259
0.359	159806
0.36	159453
0.361	159044
0.362	158610
0.363	158246
0.364	157928
0.365	157557
0.366	157356
0.367	156933
0.368	156613
0.369	156184
0.37	155936
0.371	155629
0.372	155194
0.373	154875
0.374	154587
0.375	154198
0.376	153831
0.377	153454
0.378	153034
0.379	152675
0.38	152407
0.381	152111
0.382	151671
0.383	151372
0.384	151046
0.385	150695
0.386	150439
0.387	150109
0.388	149933
0.389	149407
0.39	149001
0.391	148649
0.392	148404
0.393	148019
0.394	147615
0.395	147327
0.396	146972
0.397	146743
0.398	146419
0.399	146176
0.4	145885
0.401	145656
0.402	145542
0.403	145119
0.404	144635
0.405	144351
0.406	144078
0.407	143692
0.408	143310
0.409	142959
0.41	142676
0.411	142235
0.412	142056
0.413	141693
0.414	141371
0.415	140977
0.416	140689
0.417	140330
0.418	139995
0.419	139671
0.42	139370
0.421	139051
0.422	138881
0.423	138706
0.424	138408
0.425	138051
0.426	137616
0.427	137370
0.428	137088
0.429	136876
0.43	136689
0.431	136203
0.432	135968
0.433	135671
0.434	135352
0.435	135144
0.436	134831
0.437	134603
0.438	134362
0.439	134086
0.44	133592
0.441	133281
0.442	132937
0.443	132733
0.444	132325
0.445	132095
0.446	131857
0.447	131569
0.448	131328
0.449	131069
0.45	130862
0.451	130571
0.452	130154
0.453	129849
0.454	129539
0.455	129217
0.456	128902
0.457	128614
0.458	128218
0.459	127869
0.46	127536
0.461	127122
0.462	126921
0.463	126666
0.464	126311
0.465	126088
0.466	125872
0.467	125610
0.468	125358
0.469	125049
0.47	124680
0.471	124465
0.472	124186
0.473	124006
0.474	123798
0.475	123554
0.476	123340
0.477	122944
0.478	122702
