fraction	Nx_length
0.001	126691712
0.002	126691712
0.003	126691712
0.004	126691712
0.005	126691712
0.006	126691712
0.007	126691712
0.008	126691712
0.009	126691712
0.01	126691712
0.011	126691712
0.012	126691712
0.013	126691712
0.014	126691712
0.015	126691712
0.016	126691712
0.017	126691712
0.018	126691712
0.019	126691712
0.02	126691712
0.021	126691712
0.022	126691712
0.023	126691712
0.024	126691712
0.025	126691712
0.026	126691712
0.027	126691712
0.028	126691712
0.029	126691712
0.03	126691712
0.031	126691712
0.032	126691712
0.033	126691712
0.034	126691712
0.035	126691712
0.036	126691712
0.037	126691712
0.038	126691712
0.039	126691712
0.04	126691712
0.041	126691712
0.042	126691712
0.043	126691712
0.044	126691712
0.045	126691712
0.046	126691712
0.047	126691712
0.048	126691712
0.049	126691712
0.05	126691712
0.051	126691712
0.052	126691712
0.053	126691712
0.054	119105688
0.055	119105688
0.056	119105688
0.057	119105688
0.058	119105688
0.059	119105688
0.06	119105688
0.061	119105688
0.062	119105688
0.063	119105688
0.064	119105688
0.065	119105688
0.066	119105688
0.067	119105688
0.068	119105688
0.069	119105688
0.07	119105688
0.071	119105688
0.072	119105688
0.073	119105688
0.074	119105688
0.075	119105688
0.076	119105688
0.077	119105688
0.078	119105688
0.079	119105688
0.08	119105688
0.081	119105688
0.082	119105688
0.083	119105688
0.084	119105688
0.085	119105688
0.086	119105688
0.087	119105688
0.088	119105688
0.089	119105688
0.09	119105688
0.091	119105688
0.092	119105688
0.093	119105688
0.094	119105688
0.095	119105688
0.096	119105688
0.097	119105688
0.098	119105688
0.099	119105688
0.1	119105688
0.101	119105688
0.102	119105688
0.103	119105688
0.104	119105688
0.105	118769489
0.106	118769489
0.107	118769489
0.108	118769489
0.109	118769489
0.11	118769489
0.111	118769489
0.112	118769489
0.113	118769489
0.114	118769489
0.115	118769489
0.116	118769489
0.117	118769489
0.118	118769489
0.119	118769489
0.12	118769489
0.121	118769489
0.122	118769489
0.123	118769489
0.124	118769489
0.125	118769489
0.126	118769489
0.127	118769489
0.128	118769489
0.129	118769489
0.13	118769489
0.131	118769489
0.132	118769489
0.133	118769489
0.134	118769489
0.135	118769489
0.136	118769489
0.137	118769489
0.138	118769489
0.139	118769489
0.14	118769489
0.141	118769489
0.142	118769489
0.143	118769489
0.144	118769489
0.145	118769489
0.146	118769489
0.147	118769489
0.148	118769489
0.149	118769489
0.15	118769489
0.151	118769489
0.152	118769489
0.153	118769489
0.154	118769489
0.155	113966138
0.156	113966138
0.157	113966138
0.158	113966138
0.159	113966138
0.16	113966138
0.161	113966138
0.162	113966138
0.163	113966138
0.164	113966138
0.165	113966138
0.166	113966138
0.167	113966138
0.168	113966138
0.169	113966138
0.17	113966138
0.171	113966138
0.172	113966138
0.173	113966138
0.174	113966138
0.175	113966138
0.176	113966138
0.177	113966138
0.178	113966138
0.179	113966138
0.18	113966138
0.181	113966138
0.182	113966138
0.183	113966138
0.184	113966138
0.185	113966138
0.186	113966138
0.187	113966138
0.188	113966138
0.189	113966138
0.19	113966138
0.191	113966138
0.192	113966138
0.193	113966138
0.194	113966138
0.195	113966138
0.196	113966138
0.197	113966138
0.198	113966138
0.199	113966138
0.2	113966138
0.201	113966138
0.202	113966138
0.203	113966138
0.204	88066076
0.205	88066076
0.206	88066076
0.207	88066076
0.208	88066076
0.209	88066076
0.21	88066076
0.211	88066076
0.212	88066076
0.213	88066076
0.214	88066076
0.215	88066076
0.216	88066076
0.217	88066076
0.218	88066076
0.219	88066076
0.22	88066076
0.221	88066076
0.222	88066076
0.223	88066076
0.224	88066076
0.225	88066076
0.226	88066076
0.227	88066076
0.228	88066076
0.229	88066076
0.23	88066076
0.231	88066076
0.232	88066076
0.233	88066076
0.234	88066076
