fraction	Nx_length
0.001	801595
0.002	774867
0.003	715167
0.004	707169
0.005	704839
0.006	676405
0.007	668968
0.008	659846
0.009	648141
0.01	623496
0.011	609185
0.012	599180
0.013	593768
0.014	587464
0.015	573141
0.016	565691
0.017	556518
0.018	548313
0.019	546965
0.02	541208
0.021	534821
0.022	532716
0.023	526625
0.024	522913
0.025	517726
0.026	514023
0.027	510376
0.028	506511
0.029	503310
0.03	500952
0.031	494624
0.032	490399
0.033	487746
0.034	481521
0.035	476884
0.036	470493
0.037	467682
0.038	465354
0.039	463123
0.04	459894
0.041	458131
0.042	454277
0.043	445712
0.044	443002
0.045	441613
0.046	439114
0.047	437291
0.048	434660
0.049	432435
0.05	429450
0.051	427823
0.052	426868
0.053	425823
0.054	424070
0.055	422227
0.056	420347
0.057	419316
0.058	417658
0.059	414527
0.06	412478
0.061	411618
0.062	410829
0.063	408728
0.064	404662
0.065	400882
0.066	398853
0.067	396459
0.068	395653
0.069	394298
0.07	392554
0.071	391719
0.072	389272
0.073	388441
0.074	386829
0.075	385571
0.076	385012
0.077	383773
0.078	382460
0.079	380802
0.08	378626
0.081	378028
0.082	377209
0.083	375641
0.084	374375
0.085	372805
0.086	371205
0.087	369953
0.088	368962
0.089	367762
0.09	366716
0.091	365510
0.092	362065
0.093	360627
0.094	358488
0.095	357506
0.096	356362
0.097	354750
0.098	353370
0.099	352908
0.1	350656
0.101	349709
0.102	349053
0.103	347943
0.104	347274
0.105	346470
0.106	344342
0.107	343015
0.108	341364
0.109	340378
0.11	339719
0.111	338591
0.112	337378
0.113	336251
0.114	335153
0.115	334406
0.116	332931
0.117	331666
0.118	330603
0.119	329355
0.12	328633
0.121	327794
0.122	326876
0.123	325166
0.124	324706
0.125	323858
0.126	323166
0.127	322379
0.128	321621
0.129	319908
0.13	319035
0.131	318427
0.132	317914
0.133	316435
0.134	315641
0.135	314303
0.136	313491
0.137	312822
0.138	312059
0.139	311428
0.14	310931
0.141	310345
0.142	308592
0.143	307809
0.144	306883
0.145	305856
0.146	304613
0.147	303561
0.148	302176
0.149	301143
0.15	300789
0.151	299809
0.152	299112
0.153	297809
0.154	297011
0.155	295849
0.156	295573
0.157	294413
0.158	293665
0.159	292890
0.16	292492
0.161	291828
0.162	290957
0.163	290441
0.164	290043
0.165	289277
0.166	288313
0.167	287741
0.168	287052
0.169	286202
0.17	285601
0.171	285256
0.172	284084
0.173	283444
0.174	282977
0.175	282557
0.176	281798
0.177	281092
0.178	280544
0.179	279878
0.18	279229
0.181	278378
0.182	277585
0.183	277192
0.184	276685
0.185	276023
0.186	274898
0.187	274608
0.188	273873
0.189	272726
0.19	272195
0.191	271505
0.192	270993
0.193	270491
0.194	270112
0.195	269693
0.196	269006
0.197	268424
0.198	267808
0.199	266697
0.2	266395
0.201	265795
0.202	265144
0.203	264646
0.204	263808
0.205	263079
0.206	262345
0.207	261897
0.208	261068
0.209	260451
0.21	259818
0.211	259396
0.212	258873
0.213	258295
0.214	257619
0.215	257280
0.216	257001
0.217	256517
0.218	255763
0.219	255194
0.22	254757
0.221	254205
0.222	253965
0.223	253383
0.224	252938
0.225	252486
0.226	251663
0.227	250824
0.228	249990
0.229	249584
0.23	248854
0.231	248385
0.232	247318
0.233	246955
0.234	246651
0.235	246175
0.236	245674
0.237	244698
0.238	243771
0.239	243388
0.24	242876
0.241	242434
0.242	241826
0.243	241110
0.244	240601
0.245	240356
0.246	239452
0.247	238895
0.248	238445
0.249	237917
0.25	236948
0.251	236662
0.252	236174
0.253	235444
0.254	235126
0.255	234705
0.256	233911
0.257	233554
0.258	233125
0.259	232581
0.26	232144
0.261	231650
0.262	230993
0.263	230051
0.264	229651
0.265	229331
0.266	229112
0.267	228603
0.268	228214
0.269	227275
0.27	226998
0.271	226611
0.272	226222
0.273	225725
0.274	225306
0.275	224845
0.276	224243
0.277	224029
0.278	223447
0.279	223026
0.28	222334
0.281	221735
0.282	221047
0.283	220368
0.284	219750
0.285	219455
0.286	219089
0.287	218622
0.288	218017
0.289	217719
0.29	217353
0.291	217064
0.292	216481
0.293	216150
0.294	215781
0.295	215388
0.296	214882
0.297	214440
0.298	213986
0.299	213529
0.3	213063
0.301	212584
0.302	212340
0.303	211584
0.304	211132
0.305	210701
0.306	210256
0.307	209923
0.308	209407
0.309	208944
0.31	208291
0.311	207849
0.312	207657
0.313	207148
0.314	206449
0.315	205992
0.316	205643
0.317	205354
0.318	205034
0.319	204687
0.32	204350
0.321	203935
0.322	203420
0.323	202890
0.324	202494
0.325	202156
0.326	201606
0.327	201393
0.328	201168
0.329	200712
0.33	199951
0.331	199630
0.332	199193
0.333	198812
0.334	198189
0.335	197819
0.336	197310
0.337	196770
0.338	196394
0.339	195903
0.34	195344
0.341	194754
0.342	194187
0.343	193794
0.344	193372
0.345	192964
0.346	192631
0.347	192367
0.348	191765
0.349	191429
0.35	190979
0.351	190711
0.352	190153
0.353	189631
0.354	189238
0.355	188532
0.356	188036
0.357	187295
0.358	186754
0.359	186368
0.36	185932
0.361	185604
0.362	185148
0.363	184689
0.364	184359
0.365	183917
0.366	183109
0.367	182527
0.368	181907
0.369	181506
0.37	181111
0.371	180731
0.372	180203
0.373	179889
