fraction	Nx_length
0.001	142892871
0.002	142892871
0.003	142892871
0.004	142892871
0.005	142892871
0.006	142892871
0.007	142892871
0.008	142892871
0.009	142892871
0.01	142892871
0.011	142892871
0.012	142892871
0.013	142892871
0.014	142892871
0.015	142892871
0.016	142892871
0.017	142892871
0.018	142892871
0.019	142892871
0.02	142892871
0.021	142892871
0.022	142892871
0.023	142892871
0.024	142892871
0.025	142892871
0.026	142892871
0.027	142892871
0.028	142892871
0.029	142892871
0.03	142892871
0.031	142892871
0.032	142892871
0.033	142892871
0.034	142892871
0.035	142892871
0.036	142892871
0.037	142892871
0.038	142892871
0.039	142892871
0.04	142892871
0.041	142892871
0.042	142892871
0.043	142892871
0.044	142892871
0.045	142892871
0.046	142892871
0.047	142892871
0.048	142892871
0.049	142892871
0.05	142892871
0.051	142892871
0.052	142892871
0.053	142892871
0.054	142892871
0.055	142892871
0.056	142892871
0.057	142892871
0.058	142892871
0.059	94515633
0.06	94515633
0.061	94515633
0.062	94515633
0.063	94515633
0.064	94515633
0.065	94515633
0.066	94515633
0.067	94515633
0.068	94515633
0.069	94515633
0.07	94515633
0.071	94515633
0.072	94515633
0.073	94515633
0.074	94515633
0.075	94515633
0.076	94515633
0.077	94515633
0.078	94515633
0.079	94515633
0.08	94515633
0.081	94515633
0.082	94515633
0.083	94515633
0.084	94515633
0.085	94515633
0.086	94515633
0.087	94515633
0.088	94515633
0.089	94515633
0.09	94515633
0.091	94515633
0.092	94515633
0.093	94515633
0.094	94515633
0.095	94515633
0.096	94515633
0.097	94515633
0.098	78919617
0.099	78919617
0.1	78919617
0.101	78919617
0.102	78919617
0.103	78919617
0.104	78919617
0.105	78919617
0.106	78919617
0.107	78919617
0.108	78919617
0.109	78919617
0.11	78919617
0.111	78919617
0.112	78919617
0.113	78919617
0.114	78919617
0.115	78919617
0.116	78919617
0.117	78919617
0.118	78919617
0.119	78919617
0.12	78919617
0.121	78919617
0.122	78919617
0.123	78919617
0.124	78919617
0.125	78919617
0.126	78919617
0.127	78919617
0.128	78919617
0.129	78919617
0.13	64010574
0.131	64010574
0.132	64010574
0.133	64010574
0.134	64010574
0.135	64010574
0.136	64010574
0.137	64010574
0.138	64010574
0.139	64010574
0.14	64010574
0.141	64010574
0.142	64010574
0.143	64010574
0.144	64010574
0.145	64010574
0.146	64010574
0.147	64010574
0.148	64010574
0.149	64010574
0.15	64010574
0.151	64010574
0.152	64010574
0.153	64010574
0.154	64010574
0.155	64010574
0.156	63391207
0.157	63391207
0.158	63391207
0.159	63391207
0.16	63391207
0.161	63391207
0.162	63391207
0.163	63391207
0.164	63391207
0.165	63391207
0.166	63391207
0.167	63391207
0.168	63391207
0.169	63391207
0.17	63391207
0.171	63391207
0.172	63391207
0.173	63391207
0.174	63391207
0.175	63391207
0.176	63391207
0.177	63391207
0.178	63391207
0.179	63391207
0.18	63391207
0.181	63391207
0.182	59075896
0.183	59075896
0.184	59075896
0.185	59075896
0.186	59075896
0.187	59075896
0.188	59075896
0.189	59075896
0.19	59075896
0.191	59075896
0.192	59075896
0.193	59075896
0.194	59075896
0.195	59075896
0.196	59075896
0.197	59075896
0.198	59075896
0.199	59075896
0.2	59075896
0.201	59075896
0.202	59075896
0.203	59075896
0.204	59075896
0.205	59075896
0.206	54400044
0.207	54400044
0.208	54400044
0.209	54400044
0.21	54400044
0.211	54400044
0.212	54400044
0.213	54400044
0.214	54400044
0.215	54400044
0.216	54400044
0.217	54400044
0.218	54400044
0.219	54400044
0.22	54400044
0.221	54400044
0.222	54400044
0.223	54400044
0.224	54400044
0.225	54400044
0.226	54400044
0.227	54400044
0.228	54307602
0.229	54307602
0.23	54307602
0.231	54307602
0.232	54307602
0.233	54307602
0.234	54307602
0.235	54307602
0.236	54307602
0.237	54307602
0.238	54307602
0.239	54307602
0.24	54307602
0.241	54307602
0.242	54307602
0.243	54307602
0.244	54307602
0.245	54307602
0.246	54307602
0.247	54307602
0.248	54307602
0.249	54307602
0.25	53767412
0.251	53767412
0.252	53767412
0.253	53767412
0.254	53767412
0.255	53767412
0.256	53767412
0.257	53767412
0.258	53767412
0.259	53767412
0.26	53767412
0.261	53767412
0.262	53767412
0.263	53767412
0.264	53767412
0.265	53767412
0.266	53767412
0.267	53767412
0.268	53767412
0.269	53767412
0.27	53767412
0.271	53767412
0.272	53711096
0.273	53711096
0.274	53711096
0.275	53711096
0.276	53711096
0.277	53711096
0.278	53711096
0.279	53711096
0.28	53711096
0.281	53711096
0.282	53711096
0.283	53711096
0.284	53711096
0.285	53711096
0.286	53711096
0.287	53711096
0.288	53711096
0.289	53711096
0.29	53711096
0.291	53711096
0.292	53711096
0.293	53711096
0.294	51434371
0.295	51434371
0.296	51434371
0.297	51434371
0.298	51434371
0.299	51434371
0.3	51434371
0.301	51434371
0.302	51434371
0.303	51434371
0.304	51434371
0.305	51434371
0.306	51434371
0.307	51434371
0.308	51434371
0.309	51434371
0.31	51434371
0.311	51434371
0.312	51434371
0.313	51434371
0.314	51434371
0.315	49748245
0.316	49748245
0.317	49748245
0.318	49748245
0.319	49748245
0.32	49748245
0.321	49748245
0.322	49748245
0.323	49748245
0.324	49748245
0.325	49748245
0.326	49748245
0.327	49748245
0.328	49748245
0.329	49748245
0.33	49748245
0.331	49748245
0.332	49748245
0.333	49748245
0.334	49748245
0.335	49748245
0.336	49157686
0.337	49157686
0.338	49157686
0.339	49157686
0.34	49157686
0.341	49157686
0.342	49157686
0.343	49157686
0.344	49157686
0.345	49157686
0.346	49157686
0.347	49157686
0.348	49157686
0.349	49157686
0.35	49157686
0.351	49157686
0.352	49157686
0.353	49157686
0.354	49157686
0.355	49157686
0.356	49026259
0.357	49026259
0.358	49026259
0.359	49026259
0.36	49026259
0.361	49026259
0.362	49026259
0.363	49026259
0.364	49026259
0.365	49026259
0.366	49026259
0.367	49026259
0.368	49026259
0.369	49026259
0.37	49026259
0.371	49026259
0.372	49026259
0.373	49026259
0.374	49026259
0.375	49026259
0.376	48849558
0.377	48849558
0.378	48849558
0.379	48849558
0.38	48849558
0.381	48849558
0.382	48849558
0.383	48849558
0.384	48849558
0.385	48849558
0.386	48849558
0.387	48849558
0.388	48849558
0.389	48849558
0.39	48849558
0.391	48849558
0.392	48849558
0.393	48849558
0.394	48849558
0.395	48849558
0.396	48100456
0.397	48100456
0.398	48100456
0.399	48100456
0.4	48100456
0.401	48100456
0.402	48100456
0.403	48100456
0.404	48100456
0.405	48100456
0.406	48100456
0.407	48100456
0.408	48100456
0.409	48100456
0.41	48100456
0.411	48100456
0.412	48100456
0.413	48100456
0.414	48100456
0.415	46733561
0.416	46733561
0.417	46733561
0.418	46733561
0.419	46733561
0.42	46733561
0.421	46733561
0.422	46733561
0.423	46733561
0.424	46733561
0.425	46733561
0.426	46733561
0.427	46733561
0.428	46733561
0.429	46733561
0.43	46733561
0.431	46733561
0.432	46733561
0.433	46733561
0.434	46733561
0.435	44391416
0.436	44391416
0.437	44391416
0.438	44391416
0.439	44391416
0.44	44391416
0.441	44391416
0.442	44391416
0.443	44391416
0.444	44391416
0.445	44391416
0.446	44391416
0.447	44391416
0.448	44391416
0.449	44391416
0.45	44391416
0.451	44391416
0.452	44391416
0.453	40991547
0.454	40991547
0.455	40991547
0.456	40991547
0.457	40991547
0.458	40991547
0.459	40991547
0.46	40991547
0.461	40991547
0.462	40991547
0.463	40991547
0.464	40991547
0.465	40991547
0.466	40991547
0.467	40991547
0.468	40991547
0.469	39101195
0.47	39101195
0.471	39101195
0.472	39101195
0.473	39101195
0.474	39101195
0.475	39101195
0.476	39101195
0.477	39101195
0.478	39101195
0.479	39101195
0.48	39101195
0.481	39101195
0.482	39101195
0.483	39101195
0.484	39101195
0.485	37101370
0.486	37101370
0.487	37101370
0.488	37101370
0.489	37101370
0.49	37101370
0.491	37101370
0.492	37101370
0.493	37101370
0.494	37101370
0.495	37101370
0.496	37101370
0.497	37101370
0.498	37101370
0.499	37101370
0.5	37101370
0.501	35412582
0.502	35412582
0.503	35412582
0.504	35412582
0.505	35412582
0.506	35412582
0.507	35412582
0.508	35412582
0.509	35412582
0.51	35412582
0.511	35412582
0.512	35412582
0.513	35412582
0.514	35412582
0.515	33234828
0.516	33234828
0.517	33234828
0.518	33234828
0.519	33234828
0.52	33234828
0.521	33234828
0.522	33234828
0.523	33234828
0.524	33234828
0.525	33234828
0.526	33234828
0.527	33234828
0.528	33234828
0.529	33227409
0.53	33227409
0.531	33227409
0.532	33227409
0.533	33227409
0.534	33227409
0.535	33227409
0.536	33227409
0.537	33227409
0.538	33227409
0.539	33227409
0.54	33227409
0.541	33227409
0.542	32688057
0.543	32688057
0.544	32688057
0.545	32688057
0.546	32688057
0.547	32688057
0.548	32688057
0.549	32688057
0.55	32688057
0.551	32688057
0.552	32688057
0.553	32688057
0.554	32688057
0.555	32688057
0.556	31746675
0.557	31746675
0.558	31746675
0.559	31746675
0.56	31746675
0.561	31746675
0.562	31746675
0.563	31746675
0.564	31746675
0.565	31746675
0.566	31746675
0.567	31746675
0.568	30801209
