fraction	Nx_length
0.001	1118337
0.002	1107931
0.003	1080057
0.004	992589
0.005	949180
0.006	925293
0.007	884029
0.008	868835
0.009	859730
0.01	854790
0.011	841129
0.012	821262
0.013	812884
0.014	795499
0.015	791166
0.016	772701
0.017	762789
0.018	753414
0.019	735512
0.02	723928
0.021	718607
0.022	712777
0.023	710545
0.024	698552
0.025	693956
0.026	689530
0.027	687101
0.028	683834
0.029	683270
0.03	677973
0.031	667112
0.032	662774
0.033	659121
0.034	653812
0.035	650507
0.036	641996
0.037	640133
0.038	635514
0.039	633118
0.04	630838
0.041	629476
0.042	621286
0.043	611228
0.044	605180
0.045	601794
0.046	596312
0.047	592818
0.048	591795
0.049	590693
0.05	587048
0.051	583131
0.052	582049
0.053	578960
0.054	575490
0.055	570017
0.056	568261
0.057	566799
0.058	564381
0.059	563915
0.06	560348
0.061	557287
0.062	554710
0.063	551600
0.064	549659
0.065	547604
0.066	546888
0.067	544695
0.068	542369
0.069	538568
0.07	535202
0.071	532942
0.072	531957
0.073	530735
0.074	528431
0.075	526261
0.076	525594
0.077	523520
0.078	520811
0.079	519298
0.08	517574
0.081	515227
0.082	513294
0.083	509604
0.084	507786
0.085	505341
0.086	501789
0.087	498350
0.088	495854
0.089	494373
0.09	492076
0.091	490829
0.092	489066
0.093	486574
0.094	485204
0.095	484541
0.096	482239
0.097	480423
0.098	478387
0.099	477706
0.1	475272
0.101	474742
0.102	473166
0.103	471894
0.104	470078
0.105	468664
0.106	467267
0.107	465566
0.108	464089
0.109	462857
0.11	461838
0.111	461306
0.112	460504
0.113	459164
0.114	458641
0.115	457522
0.116	456646
0.117	456202
0.118	454858
0.119	452691
0.12	450517
0.121	448934
0.122	447625
0.123	445094
0.124	442858
0.125	440392
0.126	438800
0.127	436066
0.128	435376
0.129	434668
0.13	434340
0.131	432644
0.132	431276
0.133	430542
0.134	428853
0.135	428161
0.136	426293
0.137	424869
0.138	424421
0.139	423637
0.14	422659
0.141	422036
0.142	419967
0.143	418708
0.144	417114
0.145	416409
0.146	415736
0.147	412675
0.148	412485
0.149	411592
0.15	411156
0.151	409769
0.152	409255
0.153	406896
0.154	406050
0.155	405230
0.156	403588
0.157	402571
0.158	400912
0.159	399956
0.16	399304
0.161	397450
0.162	396404
0.163	394703
0.164	393880
0.165	393312
0.166	392108
0.167	390678
0.168	389932
0.169	388744
0.17	387880
0.171	387164
0.172	385428
0.173	384876
0.174	384332
0.175	382907
0.176	381323
0.177	380274
0.178	379405
0.179	378327
0.18	377742
0.181	376251
0.182	375359
0.183	374789
0.184	373743
0.185	372982
0.186	372258
0.187	371953
0.188	371154
0.189	370386
0.19	369319
0.191	368917
0.192	368565
0.193	367422
0.194	365438
0.195	364346
0.196	363919
0.197	362492
0.198	361389
0.199	360043
0.2	359037
0.201	358418
0.202	358042
0.203	357045
0.204	356429
0.205	355132
0.206	353989
0.207	352813
0.208	351891
0.209	351554
0.21	351420
0.211	350968
0.212	349874
0.213	348473
0.214	347810
0.215	346564
0.216	345473
0.217	343621
0.218	342948
0.219	342404
0.22	341408
0.221	341035
0.222	340525
0.223	339713
0.224	339163
0.225	338374
0.226	336950
0.227	336313
0.228	335470
0.229	334285
0.23	333467
0.231	331891
0.232	331342
0.233	331016
0.234	330676
