fraction	Nx_length
0.001	384610
0.002	354867
0.003	338512
0.004	323826
0.005	320828
0.006	310280
0.007	303891
0.008	296919
0.009	292939
0.01	287887
0.011	279697
0.012	277737
0.013	273693
0.014	271542
0.015	266004
0.016	263734
0.017	259032
0.018	255710
0.019	250758
0.02	248800
0.021	246350
0.022	241335
0.023	239634
0.024	237403
0.025	234765
0.026	231926
0.027	230629
0.028	227773
0.029	225809
0.03	224364
0.031	222808
0.032	220597
0.033	219641
0.034	218259
0.035	217087
0.036	215403
0.037	213871
0.038	212311
0.039	210855
0.04	210106
0.041	208346
0.042	207310
0.043	206228
0.044	205619
0.045	203718
0.046	202928
0.047	201530
0.048	200292
0.049	198653
0.05	197544
0.051	196115
0.052	195291
0.053	193801
0.054	192627
0.055	191107
0.056	190050
0.057	188944
0.058	188006
0.059	187197
0.06	185886
0.061	184970
0.062	183895
0.063	183140
0.064	182112
0.065	181443
0.066	180806
0.067	180280
0.068	179752
0.069	179036
0.07	177886
0.071	177208
0.072	176650
0.073	176082
0.074	175736
0.075	175078
0.076	174661
0.077	173974
0.078	173424
0.079	172393
0.08	171373
0.081	170908
0.082	170325
0.083	169520
0.084	168783
0.085	168184
0.086	167326
0.087	166430
0.088	166059
0.089	164853
0.09	164224
0.091	163346
0.092	162867
0.093	162486
0.094	162006
0.095	161284
0.096	160258
0.097	159763
0.098	158993
0.099	158391
0.1	157708
0.101	157382
0.102	156836
0.103	156279
0.104	155640
0.105	155025
0.106	154147
0.107	153633
0.108	153320
0.109	152861
0.11	152381
0.111	151838
0.112	151241
0.113	150724
0.114	150165
0.115	149563
0.116	148910
0.117	148430
0.118	148104
0.119	147763
0.12	147251
0.121	146975
0.122	146614
0.123	146115
0.124	145715
0.125	145353
0.126	145048
0.127	144564
0.128	143961
0.129	143483
0.13	143139
0.131	142743
0.132	142066
0.133	141690
0.134	141288
0.135	140607
0.136	140270
0.137	139761
0.138	139429
0.139	139008
0.14	138674
0.141	138255
0.142	137895
0.143	137559
0.144	137321
0.145	136990
0.146	136404
0.147	135833
0.148	135255
0.149	134837
0.15	134487
0.151	134037
0.152	133677
0.153	133249
0.154	132962
0.155	132516
0.156	132118
0.157	131836
0.158	131556
0.159	131085
0.16	130644
0.161	130104
0.162	129829
0.163	129443
0.164	129091
0.165	128556
0.166	128120
0.167	127889
0.168	127592
0.169	127136
0.17	126864
0.171	126539
0.172	126049
0.173	125685
0.174	125085
0.175	124831
0.176	124466
0.177	124079
0.178	123780
0.179	123364
0.18	123154
0.181	122882
0.182	122645
0.183	122310
0.184	121921
0.185	121558
0.186	121183
0.187	120897
0.188	120609
0.189	120350
0.19	119975
0.191	119667
0.192	119327
0.193	118942
0.194	118627
0.195	118415
0.196	118172
0.197	117813
0.198	117536
0.199	117135
0.2	116891
0.201	116609
0.202	116246
0.203	115986
0.204	115820
0.205	115638
0.206	115470
0.207	115235
0.208	115045
0.209	114826
0.21	114495
0.211	114192
0.212	113921
0.213	113619
0.214	113454
0.215	113085
0.216	112786
0.217	112521
0.218	112233
0.219	111931
0.22	111622
0.221	111444
0.222	111180
0.223	110976
0.224	110729
0.225	110470
0.226	110195
0.227	109852
0.228	109588
0.229	109377
0.23	109082
0.231	108771
0.232	108403
0.233	108106
0.234	107837
0.235	107525
0.236	107274
0.237	106899
0.238	106670
0.239	106373
0.24	106046
0.241	105848
0.242	105558
0.243	105327
0.244	105087
0.245	104919
0.246	104729
0.247	104474
0.248	104223
0.249	103953
0.25	103653
0.251	103450
0.252	103266
0.253	102957
0.254	102732
0.255	102547
0.256	102283
0.257	102110
0.258	101881
0.259	101667
0.26	101442
0.261	101177
0.262	100935
0.263	100703
0.264	100417
0.265	100300
0.266	100070
0.267	99913
0.268	99621
0.269	99270
0.27	99157
0.271	99020
0.272	98746
0.273	98444
0.274	98229
0.275	97945
0.276	97694
0.277	97403
0.278	97118
0.279	96967
0.28	96742
0.281	96521
0.282	96290
0.283	96089
0.284	95851
0.285	95622
0.286	95420
0.287	95207
0.288	95031
0.289	94870
0.29	94761
0.291	94610
0.292	94413
0.293	94301
0.294	94099
0.295	93884
0.296	93612
0.297	93381
0.298	93140
0.299	92986
0.3	92793
0.301	92631
0.302	92410
0.303	92236
0.304	92013
0.305	91880
0.306	91731
0.307	91523
0.308	91330
0.309	91133
0.31	90806
0.311	90553
0.312	90335
0.313	90102
0.314	89900
0.315	89736
0.316	89521
0.317	89358
0.318	89200
0.319	89040
0.32	88773
0.321	88589
0.322	88318
0.323	88110
0.324	87944
0.325	87785
0.326	87590
0.327	87428
0.328	87175
0.329	86984
0.33	86781
0.331	86631
0.332	86397
0.333	86179
0.334	85983
0.335	85805
0.336	85673
0.337	85504
0.338	85268
0.339	85110
0.34	84982
0.341	84776
0.342	84513
0.343	84325
0.344	84094
0.345	83890
0.346	83719
0.347	83511
0.348	83294
0.349	83141
0.35	83032
0.351	82843
0.352	82640
0.353	82434
0.354	82276
0.355	82067
0.356	81905
0.357	81689
0.358	81517
0.359	81295
0.36	81128
0.361	80956
0.362	80786
0.363	80635
0.364	80441
0.365	80255
0.366	80046
0.367	79887
0.368	79734
0.369	79577
0.37	79396
0.371	79216
0.372	79072
0.373	78902
0.374	78715
0.375	78527
0.376	78279
0.377	78105
0.378	77903
0.379	77697
0.38	77469
0.381	77289
0.382	77113
0.383	76964
0.384	76732
0.385	76572
0.386	76401
0.387	76221
0.388	76004
0.389	75844
0.39	75571
0.391	75366
0.392	75164
0.393	75001
0.394	74836
0.395	74686
0.396	74548
0.397	74370
0.398	74258
0.399	74060
0.4	73924
0.401	73790
0.402	73597
0.403	73473
0.404	73246
0.405	73045
0.406	72863
0.407	72696
0.408	72531
0.409	72353
0.41	72183
0.411	72036
0.412	71847
0.413	71685
0.414	71511
0.415	71337
0.416	71163
0.417	70977
0.418	70828
0.419	70683
0.42	70545
0.421	70406
0.422	70205
0.423	70086
0.424	69953
0.425	69815
0.426	69695
0.427	69570
0.428	69403
0.429	69236
0.43	69128
0.431	69003
0.432	68826
0.433	68639
0.434	68482
0.435	68343
0.436	68239
0.437	68070
0.438	67903
0.439	67729
0.44	67635
0.441	67467
0.442	67301
0.443	67162
0.444	67031
0.445	66872
0.446	66726
0.447	66568
0.448	66360
0.449	66194
0.45	66027
0.451	65887
0.452	65744
0.453	65612
0.454	65448
0.455	65286
0.456	65153
0.457	65008
0.458	64893
0.459	64733
0.46	64620
0.461	64481
0.462	64367
0.463	64210
0.464	64060
0.465	63919
0.466	63797
0.467	63624
0.468	63442
0.469	63338
0.47	63175
0.471	63051
0.472	62895
0.473	62732
0.474	62588
0.475	62459
0.476	62313
0.477	62210
0.478	62098
0.479	61983
0.48	61840
0.481	61705
0.482	61587
0.483	61447
0.484	61367
0.485	61210
0.486	61049
0.487	60893
0.488	60771
0.489	60632
0.49	60478
0.491	60335
0.492	60228
0.493	60108
0.494	59988
0.495	59832
0.496	59710
0.497	59556
0.498	59439
0.499	59281
0.5	59125
0.501	58958
0.502	58813
0.503	58725
0.504	58557
0.505	58441
0.506	58304
0.507	58169
0.508	58028
0.509	57887
0.51	57764
0.511	57619
0.512	57480
0.513	57335
0.514	57220
0.515	57078
0.516	56923
0.517	56795
0.518	56671
0.519	56533
0.52	56389
0.521	56251
0.522	56082
0.523	55933
0.524	55790
0.525	55686
0.526	55555
0.527	55407
0.528	55250
0.529	55114
0.53	54972
0.531	54856
0.532	54690
0.533	54537
0.534	54370
0.535	54262
0.536	54114
0.537	53983
0.538	53871
0.539	53759
0.54	53621
0.541	53496
0.542	53339
0.543	53250
0.544	53141
0.545	53007
0.546	52883
0.547	52730
0.548	52623
0.549	52506
0.55	52407
0.551	52308
0.552	52197
0.553	52073
0.554	51947
0.555	51788
0.556	51659
0.557	51569
0.558	51442
0.559	51276
0.56	51121
0.561	51009
0.562	50869
0.563	50730
0.564	50607
0.565	50482
0.566	50366
0.567	50217
0.568	50106
0.569	49987
0.57	49847
0.571	49682
0.572	49552
0.573	49393
0.574	49268
0.575	49128
0.576	49001
0.577	48869
0.578	48753
0.579	48616
0.58	48480
0.581	48345
0.582	48218
0.583	48115
0.584	47995
0.585	47892
0.586	47770
0.587	47659
0.588	47516
0.589	47401
0.59	47274
0.591	47145
0.592	47042
0.593	46927
0.594	46827
0.595	46711
0.596	46601
0.597	46507
0.598	46409
0.599	46281
0.6	46126
0.601	45981
0.602	45867
0.603	45742
0.604	45641
0.605	45530
0.606	45430
0.607	45297
0.608	45186
0.609	45070
0.61	44987
0.611	44866
0.612	44737
0.613	44615
0.614	44475
0.615	44344
0.616	44217
0.617	44087
0.618	43958
0.619	43873
0.62	43733
0.621	43614
0.622	43513
0.623	43399
0.624	43278
0.625	43161
0.626	43049
0.627	42937
0.628	42839
0.629	42703
0.63	42536
0.631	42427
0.632	42331
0.633	42219
0.634	42088
0.635	41958
0.636	41861
0.637	41738
0.638	41641
0.639	41525
0.64	41387
0.641	41233
0.642	41108
0.643	40972
0.644	40838
0.645	40740
0.646	40627
0.647	40500
0.648	40363
0.649	40263
0.65	40132
0.651	40032
0.652	39908
0.653	39785
0.654	39682
0.655	39556
0.656	39418
0.657	39309
0.658	39197
0.659	39069
0.66	38942
0.661	38851
0.662	38720
0.663	38629
0.664	38532
0.665	38426
0.666	38309
0.667	38164
0.668	38038
0.669	37907
0.67	37782
0.671	37637
0.672	37537
0.673	37421
0.674	37313
0.675	37190
0.676	37084
0.677	36985
0.678	36883
0.679	36759
0.68	36660
0.681	36553
0.682	36442
0.683	36327
0.684	36206
0.685	36071
0.686	35941
0.687	35832
0.688	35709
0.689	35597
0.69	35480
0.691	35347
0.692	35226
0.693	35103
0.694	34984
0.695	34879
0.696	34756
0.697	34627
0.698	34495
0.699	34373
0.7	34244
0.701	34102
0.702	34010
0.703	33903
0.704	33753
0.705	33637
0.706	33501
0.707	33388
0.708	33267
0.709	33152
0.71	33016
0.711	32914
0.712	32802
0.713	32672
0.714	32535
0.715	32427
0.716	32323
0.717	32212
0.718	32099
0.719	31974
0.72	31858
0.721	31767
0.722	31658
0.723	31528
0.724	31395
0.725	31270
0.726	31163
0.727	31057
0.728	30909
0.729	30784
0.73	30673
0.731	30549
0.732	30415
0.733	30296
0.734	30189
0.735	30050
0.736	29956
0.737	29818
0.738	29696
0.739	29584
0.74	29462
0.741	29343
0.742	29242
0.743	29136
0.744	28997
0.745	28878
0.746	28751
0.747	28630
