fraction	Nx_length
0.001	903610
0.002	835983
0.003	819500
0.004	813433
0.005	806366
0.006	781452
0.007	769231
0.008	761277
0.009	729650
0.01	714569
0.011	697618
0.012	679660
0.013	663927
0.014	659936
0.015	651775
0.016	648962
0.017	633756
0.018	625189
0.019	620660
0.02	616071
0.021	608626
0.022	604951
0.023	598259
0.024	591999
0.025	583905
0.026	575991
0.027	569660
0.028	568378
0.029	561961
0.03	557564
0.031	551455
0.032	548495
0.033	543819
0.034	540083
0.035	536999
0.036	529781
0.037	523486
0.038	521525
0.039	519812
0.04	516200
0.041	510980
0.042	507949
0.043	505848
0.044	500974
0.045	498860
0.046	495234
0.047	491971
0.048	490063
0.049	484767
0.05	482828
0.051	477792
0.052	475002
0.053	473530
0.054	471589
0.055	466880
0.056	465226
0.057	463535
0.058	459445
0.059	454280
0.06	453835
0.061	448864
0.062	447348
0.063	445148
0.064	444093
0.065	443051
0.066	439100
0.067	437013
0.068	431014
0.069	430096
0.07	427488
0.071	424864
0.072	422597
0.073	420439
0.074	418903
0.075	417771
0.076	414962
0.077	412670
0.078	411760
0.079	409871
0.08	407868
0.081	406575
0.082	405380
0.083	404303
0.084	402737
0.085	401238
0.086	399297
0.087	398362
0.088	396517
0.089	394478
0.09	392943
0.091	389982
0.092	389004
0.093	387533
0.094	385904
0.095	384116
0.096	383396
0.097	381945
0.098	381040
0.099	379600
0.1	377575
0.101	376567
0.102	375211
0.103	374073
0.104	372662
0.105	371725
0.106	370480
0.107	369933
0.108	368894
0.109	367445
0.11	366625
0.111	366257
0.112	364102
0.113	362642
0.114	361043
0.115	360383
0.116	359440
0.117	358841
0.118	356895
0.119	355860
0.12	354792
0.121	354006
0.122	352506
0.123	351878
0.124	351486
0.125	350829
0.126	349837
0.127	349114
0.128	347982
0.129	347095
0.13	346495
0.131	344623
0.132	343288
0.133	342291
0.134	341020
0.135	339780
0.136	338631
0.137	337572
0.138	336075
0.139	335087
0.14	334083
0.141	332767
0.142	332383
0.143	331489
0.144	330551
0.145	329451
0.146	328391
0.147	327692
0.148	327182
0.149	326555
0.15	326064
0.151	325535
0.152	325091
0.153	324266
0.154	322857
0.155	322211
0.156	321470
0.157	320717
0.158	320095
0.159	319042
0.16	317916
0.161	316205
0.162	315845
0.163	314958
0.164	314026
0.165	313051
0.166	312507
0.167	311568
0.168	310697
0.169	310279
0.17	309708
0.171	309011
0.172	308459
0.173	307084
0.174	306291
0.175	305458
0.176	304946
0.177	304050
0.178	303175
0.179	302511
0.18	301539
0.181	300606
0.182	299080
0.183	297516
0.184	296599
0.185	295808
0.186	295078
0.187	294637
0.188	293162
0.189	291864
0.19	291032
0.191	290634
0.192	289995
0.193	289143
0.194	288182
0.195	287390
0.196	286684
0.197	285666
0.198	284874
0.199	283631
0.2	282917
0.201	282293
0.202	281705
0.203	281204
0.204	280393
0.205	279798
0.206	279102
0.207	278153
0.208	277820
0.209	277088
0.21	276470
0.211	275677
0.212	274965
0.213	274387
0.214	273681
0.215	272391
0.216	271450
0.217	271074
0.218	270682
0.219	270075
0.22	269118
0.221	268357
0.222	267923
0.223	267263
0.224	266384
0.225	265626
0.226	265069
0.227	264573
0.228	263872
0.229	263257
0.23	262594
0.231	262102
0.232	261857
0.233	261326
0.234	260686
0.235	260125
0.236	259582
0.237	258896
0.238	257532
0.239	256745
0.24	256120
0.241	255414
0.242	254892
0.243	254070
0.244	253547
0.245	253144
0.246	252761
0.247	252286
0.248	251492
0.249	250937
0.25	250499
0.251	249974
0.252	249487
0.253	248860
0.254	248755
0.255	248085
0.256	247249
0.257	246891
0.258	246236
0.259	245770
0.26	245034
0.261	244696
0.262	244234
0.263	243719
0.264	243039
0.265	242439
0.266	241785
0.267	241329
0.268	240547
0.269	239794
0.27	239238
0.271	238716
0.272	238145
0.273	237492
0.274	236637
0.275	235977
0.276	235564
0.277	235091
0.278	234631
0.279	234091
0.28	233488
0.281	233007
0.282	232560
0.283	231860
0.284	231486
0.285	230868
0.286	230538
0.287	230057
0.288	229284
0.289	228825
0.29	228260
0.291	227814
0.292	227511
0.293	226904
0.294	226492
0.295	225839
0.296	225197
0.297	224463
0.298	224043
0.299	223346
0.3	223017
0.301	222333
0.302	221780
0.303	221118
0.304	220281
0.305	219857
0.306	219379
0.307	218974
0.308	218596
0.309	218149
0.31	217867
0.311	217398
0.312	216812
0.313	216527
0.314	216104
0.315	215550
0.316	214820
0.317	214381
0.318	213919
0.319	213482
0.32	212872
0.321	212610
0.322	212436
0.323	212143
0.324	211697
0.325	211219
0.326	210859
0.327	210461
0.328	209975
0.329	209680
0.33	209168
0.331	208793
0.332	208348
0.333	207957
0.334	207566
0.335	207108
0.336	206792
0.337	206180
0.338	205757
0.339	205347
0.34	204896
0.341	204434
0.342	203988
0.343	203532
0.344	203044
0.345	202674
0.346	202105
0.347	201726
0.348	201297
0.349	200966
0.35	200568
0.351	200177
0.352	199634
