fraction	Nx_length
0.001	201012826
0.002	201012826
0.003	201012826
0.004	201012826
0.005	201012826
0.006	201012826
0.007	201012826
0.008	201012826
0.009	201012826
0.01	201012826
0.011	201012826
0.012	201012826
0.013	201012826
0.014	201012826
0.015	201012826
0.016	201012826
0.017	201012826
0.018	201012826
0.019	201012826
0.02	201012826
0.021	201012826
0.022	201012826
0.023	201012826
0.024	201012826
0.025	201012826
0.026	201012826
0.027	201012826
0.028	201012826
0.029	201012826
0.03	201012826
0.031	201012826
0.032	201012826
0.033	201012826
0.034	201012826
0.035	201012826
0.036	201012826
0.037	201012826
0.038	201012826
0.039	201012826
0.04	201012826
0.041	201012826
0.042	201012826
0.043	201012826
0.044	201012826
0.045	201012826
0.046	201012826
0.047	201012826
0.048	201012826
0.049	201012826
0.05	201012826
0.051	201012826
0.052	201012826
0.053	201012826
0.054	201012826
0.055	201012826
0.056	201012826
0.057	201012826
0.058	201012826
0.059	201012826
0.06	201012826
0.061	201012826
0.062	201012826
0.063	201012826
0.064	201012826
0.065	201012826
0.066	201012826
0.067	201012826
0.068	201012826
0.069	201012826
0.07	201012826
0.071	201012826
0.072	201012826
0.073	201012826
0.074	201012826
0.075	201012826
0.076	201012826
0.077	201012826
0.078	201012826
0.079	201012826
0.08	201012826
0.081	201012826
0.082	201012826
0.083	201012826
0.084	201012826
0.085	132316609
0.086	132316609
0.087	132316609
0.088	132316609
0.089	132316609
0.09	132316609
0.091	132316609
0.092	132316609
0.093	132316609
0.094	132316609
0.095	132316609
0.096	132316609
0.097	132316609
0.098	132316609
0.099	132316609
0.1	132316609
0.101	132316609
0.102	132316609
0.103	132316609
0.104	132316609
0.105	132316609
0.106	132316609
0.107	132316609
0.108	132316609
0.109	132316609
0.11	132316609
0.111	132316609
0.112	132316609
0.113	132316609
0.114	132316609
0.115	132316609
0.116	132316609
0.117	132316609
0.118	132316609
0.119	132316609
0.12	132316609
0.121	132316609
0.122	132316609
0.123	132316609
0.124	132316609
0.125	132316609
0.126	132316609
0.127	132316609
0.128	132316609
0.129	132316609
0.13	132316609
0.131	132316609
0.132	132316609
0.133	132316609
0.134	132316609
0.135	132316609
0.136	132316609
0.137	132316609
0.138	132316609
0.139	132316609
0.14	132316609
0.141	129415056
0.142	129415056
0.143	129415056
0.144	129415056
0.145	129415056
0.146	129415056
0.147	129415056
0.148	129415056
0.149	129415056
0.15	129415056
0.151	129415056
0.152	129415056
0.153	129415056
0.154	129415056
0.155	129415056
0.156	129415056
0.157	129415056
0.158	129415056
0.159	129415056
0.16	129415056
0.161	129415056
0.162	129415056
0.163	129415056
0.164	129415056
0.165	129415056
0.166	129415056
0.167	129415056
0.168	129415056
0.169	129415056
0.17	129415056
0.171	129415056
0.172	129415056
0.173	129415056
0.174	129415056
0.175	129415056
0.176	129415056
0.177	129415056
0.178	129415056
0.179	129415056
0.18	129415056
0.181	129415056
0.182	129415056
0.183	129415056
0.184	129415056
0.185	129415056
0.186	129415056
0.187	129415056
0.188	129415056
0.189	129415056
0.19	129415056
0.191	129415056
0.192	129415056
0.193	129415056
0.194	129415056
0.195	117918260
0.196	117918260
0.197	117918260
0.198	117918260
0.199	117918260
0.2	117918260
0.201	117918260
0.202	117918260
0.203	117918260
0.204	117918260
0.205	117918260
0.206	117918260
0.207	117918260
0.208	117918260
0.209	117918260
0.21	117918260
0.211	117918260
0.212	117918260
0.213	117918260
0.214	117918260
0.215	117918260
0.216	117918260
0.217	117918260
0.218	117918260
0.219	117918260
0.22	117918260
0.221	117918260
0.222	117918260
0.223	117918260
0.224	117918260
0.225	117918260
0.226	117918260
0.227	117918260
0.228	117918260
0.229	117918260
0.23	117918260
0.231	117918260
0.232	117918260
0.233	117918260
0.234	117918260
0.235	117918260
0.236	117918260
0.237	117918260
0.238	117918260
0.239	117918260
0.24	117918260
0.241	117918260
0.242	117918260
0.243	117918260
0.244	117918260
0.245	109572000
0.246	109572000
0.247	109572000
0.248	109572000
