fraction	Nx_length
0.001	382674379
0.002	382674379
0.003	382674379
0.004	382674379
0.005	382674379
0.006	382674379
0.007	382674379
0.008	382674379
0.009	382674379
0.01	382674379
0.011	382674379
0.012	382674379
0.013	382674379
0.014	382674379
0.015	382674379
0.016	382674379
0.017	382674379
0.018	382674379
0.019	382674379
0.02	382674379
0.021	382674379
0.022	382674379
0.023	382674379
0.024	382674379
0.025	382674379
0.026	382674379
0.027	382674379
0.028	382674379
0.029	382674379
0.03	382674379
0.031	382674379
0.032	382674379
0.033	382674379
0.034	382674379
0.035	382674379
0.036	382674379
0.037	382674379
0.038	382674379
0.039	382674379
0.04	382674379
0.041	382674379
0.042	382674379
0.043	382674379
0.044	382674379
0.045	382674379
0.046	382674379
0.047	382674379
0.048	382674379
0.049	382674379
0.05	382674379
0.051	382674379
0.052	382674379
0.053	382674379
0.054	382674379
0.055	382674379
0.056	382674379
0.057	382674379
0.058	382674379
0.059	382674379
0.06	382674379
0.061	382674379
0.062	382674379
0.063	382674379
0.064	382674379
0.065	382674379
0.066	382674379
0.067	382674379
0.068	382674379
0.069	382674379
0.07	382674379
0.071	382674379
0.072	382674379
0.073	382674379
0.074	382674379
0.075	382674379
0.076	382674379
0.077	382674379
0.078	382674379
0.079	382674379
0.08	382674379
0.081	382674379
0.082	382674379
0.083	382674379
0.084	382674379
0.085	382674379
0.086	382674379
0.087	382674379
0.088	382674379
0.089	382674379
0.09	382674379
0.091	382674379
0.092	382674379
0.093	382674379
0.094	382674379
0.095	382674379
0.096	382674379
0.097	382674379
0.098	382674379
0.099	382674379
0.1	382674379
0.101	382674379
0.102	382674379
0.103	382674379
0.104	382674379
0.105	382674379
0.106	382674379
0.107	382674379
0.108	382674379
0.109	382674379
0.11	382674379
0.111	382674379
0.112	382674379
0.113	382674379
0.114	382674379
0.115	382674379
0.116	382674379
0.117	382674379
0.118	382674379
0.119	382674379
0.12	382674379
0.121	382674379
0.122	382674379
0.123	382674379
0.124	382674379
0.125	382674379
0.126	382674379
0.127	382674379
0.128	382674379
0.129	382674379
0.13	382674379
0.131	382674379
0.132	382674379
0.133	382674379
0.134	382674379
0.135	382674379
0.136	382674379
0.137	382674379
0.138	382674379
0.139	382674379
0.14	382674379
0.141	382674379
0.142	382674379
0.143	382674379
0.144	382674379
0.145	382674379
0.146	382674379
0.147	382674379
0.148	382674379
0.149	382674379
0.15	382674379
0.151	382674379
0.152	382674379
0.153	382674379
0.154	382674379
0.155	382674379
0.156	382674379
0.157	382674379
0.158	382674379
0.159	382674379
0.16	382674379
0.161	382674379
0.162	300069912
0.163	300069912
0.164	300069912
0.165	300069912
0.166	300069912
0.167	300069912
0.168	300069912
0.169	300069912
0.17	300069912
0.171	300069912
0.172	300069912
0.173	300069912
0.174	300069912
0.175	300069912
0.176	300069912
0.177	300069912
0.178	300069912
0.179	300069912
0.18	300069912
0.181	300069912
0.182	300069912
0.183	300069912
0.184	300069912
0.185	300069912
0.186	300069912
0.187	300069912
0.188	300069912
0.189	300069912
0.19	300069912
0.191	300069912
0.192	300069912
0.193	300069912
0.194	300069912
0.195	300069912
0.196	300069912
0.197	300069912
0.198	300069912
0.199	300069912
0.2	300069912
0.201	300069912
0.202	300069912
0.203	300069912
0.204	300069912
0.205	300069912
0.206	300069912
0.207	300069912
0.208	300069912
0.209	300069912
0.21	300069912
0.211	300069912
0.212	300069912
0.213	300069912
0.214	300069912
0.215	300069912
0.216	300069912
0.217	300069912
0.218	300069912
0.219	300069912
0.22	300069912
0.221	300069912
0.222	300069912
0.223	300069912
0.224	300069912
0.225	300069912
0.226	300069912
0.227	300069912
0.228	300069912
0.229	300069912
0.23	300069912
0.231	300069912
0.232	300069912
0.233	300069912
0.234	300069912
0.235	300069912
0.236	300069912
0.237	300069912
0.238	300069912
0.239	300069912
0.24	300069912
0.241	300069912
0.242	300069912
0.243	300069912
0.244	300069912
0.245	300069912
0.246	300069912
0.247	300069912
0.248	300069912
0.249	300069912
0.25	300069912
0.251	300069912
0.252	300069912
0.253	300069912
0.254	300069912
0.255	300069912
0.256	300069912
0.257	300069912
0.258	300069912
0.259	300069912
0.26	300069912
0.261	300069912
0.262	300069912
0.263	300069912
0.264	300069912
0.265	300069912
0.266	300069912
0.267	300069912
0.268	300069912
0.269	300069912
0.27	300069912
0.271	300069912
0.272	300069912
0.273	300069912
0.274	300069912
0.275	300069912
0.276	300069912
0.277	300069912
0.278	300069912
0.279	300069912
0.28	300069912
0.281	300069912
0.282	300069912
0.283	300069912
0.284	300069912
0.285	300069912
0.286	300069912
0.287	300069912
0.288	215610600
0.289	215610600
0.29	215610600
0.291	215610600
0.292	215610600
0.293	215610600
0.294	215610600
0.295	215610600
0.296	215610600
0.297	215610600
0.298	215610600
0.299	215610600
0.3	215610600
0.301	215610600
0.302	215610600
0.303	215610600
0.304	215610600
0.305	215610600
0.306	215610600
0.307	215610600
0.308	215610600
0.309	215610600
0.31	215610600
0.311	215610600
0.312	215610600
0.313	215610600
0.314	215610600
0.315	215610600
0.316	215610600
0.317	215610600
0.318	215610600
0.319	215610600
0.32	215610600
0.321	215610600
0.322	215610600
0.323	215610600
0.324	215610600
0.325	215610600
0.326	215610600
0.327	215610600
0.328	215610600
0.329	215610600
0.33	215610600
0.331	215610600
0.332	215610600
0.333	215610600
0.334	215610600
0.335	215610600
0.336	215610600
0.337	215610600
0.338	215610600
0.339	215610600
0.34	215610600
0.341	215610600
0.342	215610600
0.343	215610600
0.344	215610600
0.345	215610600
0.346	215610600
0.347	215610600
0.348	215610600
0.349	215610600
0.35	215610600
0.351	215610600
0.352	215610600
0.353	215610600
0.354	215610600
0.355	215610600
0.356	215610600
0.357	215610600
0.358	215610600
0.359	215610600
0.36	215610600
0.361	215610600
0.362	215610600
0.363	215610600
0.364	215610600
0.365	215610600
0.366	215610600
0.367	215610600
0.368	215610600
0.369	215610600
0.37	215610600
0.371	215610600
0.372	215610600
0.373	215610600
0.374	215610600
0.375	215610600
0.376	215610600
0.377	215610600
0.378	215610600
0.379	157643881
0.38	157643881
0.381	157643881
0.382	157643881
0.383	157643881
0.384	157643881
0.385	157643881
0.386	157643881
0.387	157643881
0.388	157643881
0.389	157643881
0.39	157643881
0.391	157643881
0.392	157643881
0.393	157643881
0.394	157643881
0.395	157643881
0.396	157643881
0.397	157643881
0.398	157643881
0.399	157643881
0.4	157643881
0.401	157643881
0.402	157643881
0.403	157643881
0.404	157643881
0.405	157643881
0.406	157643881
0.407	157643881
0.408	157643881
0.409	157643881
0.41	157643881
0.411	157643881
0.412	157643881
0.413	157643881
0.414	157643881
0.415	157643881
0.416	157643881
0.417	157643881
0.418	157643881
0.419	157643881
0.42	157643881
0.421	157643881
0.422	157643881
0.423	157643881
0.424	157643881
0.425	157643881
0.426	157643881
0.427	157643881
0.428	157643881
0.429	157643881
0.43	157643881
0.431	157643881
0.432	157643881
0.433	157643881
0.434	157643881
0.435	157643881
0.436	157643881
0.437	157643881
0.438	157643881
0.439	157643881
0.44	157643881
0.441	157643881
0.442	157643881
0.443	157643881
0.444	157643881
0.445	148569599
0.446	148569599
0.447	148569599
0.448	148569599
0.449	148569599
0.45	148569599
0.451	148569599
0.452	148569599
0.453	148569599
0.454	148569599
0.455	148569599
0.456	148569599
0.457	148569599
0.458	148569599
0.459	148569599
0.46	148569599
0.461	148569599
0.462	148569599
0.463	148569599
0.464	148569599
0.465	148569599
0.466	148569599
0.467	148569599
0.468	148569599
0.469	148569599
0.47	148569599
0.471	148569599
0.472	148569599
0.473	148569599
0.474	148569599
0.475	148569599
0.476	148569599
0.477	148569599
0.478	148569599
0.479	148569599
0.48	148569599
0.481	148569599
0.482	148569599
0.483	148569599
0.484	148569599
0.485	148569599
0.486	148569599
0.487	148569599
0.488	148569599
0.489	148569599
0.49	148569599
0.491	148569599
0.492	148569599
0.493	148569599
0.494	148569599
0.495	148569599
0.496	148569599
0.497	148569599
0.498	148569599
0.499	148569599
0.5	148569599
0.501	148569599
0.502	148569599
0.503	148569599
0.504	148569599
0.505	148569599
0.506	148569599
0.507	148569599
0.508	137338991
0.509	137338991
0.51	137338991
0.511	137338991
0.512	137338991
0.513	137338991
0.514	137338991
0.515	137338991
0.516	137338991
0.517	137338991
0.518	137338991
0.519	137338991
0.52	137338991
0.521	137338991
0.522	137338991
0.523	137338991
0.524	137338991
0.525	137338991
0.526	137338991
0.527	137338991
0.528	137338991
0.529	137338991
0.53	137338991
0.531	137338991
0.532	137338991
0.533	137338991
0.534	137338991
0.535	137338991
0.536	137338991
0.537	137338991
0.538	137338991
0.539	137338991
0.54	137338991
0.541	137338991
0.542	137338991
0.543	137338991
0.544	137338991
0.545	137338991
0.546	137338991
0.547	137338991
0.548	137338991
0.549	137338991
0.55	137338991
0.551	137338991
0.552	137338991
0.553	137338991
0.554	137338991
0.555	137338991
0.556	137338991
0.557	137338991
0.558	137338991
0.559	137338991
0.56	137338991
0.561	137338991
0.562	137338991
0.563	137338991
0.564	137338991
0.565	137338991
0.566	111215000
0.567	111215000
0.568	111215000
0.569	111215000
0.57	111215000
0.571	111215000
0.572	111215000
0.573	111215000
0.574	111215000
0.575	111215000
0.576	111215000
0.577	111215000
0.578	111215000
0.579	111215000
0.58	111215000
0.581	111215000
0.582	111215000
0.583	111215000
0.584	111215000
0.585	111215000
0.586	111215000
0.587	111215000
0.588	111215000
0.589	111215000
0.59	111215000
0.591	111215000
0.592	111215000
0.593	111215000
0.594	111215000
0.595	111215000
0.596	111215000
0.597	111215000
0.598	111215000
0.599	111215000
0.6	111215000
0.601	111215000
0.602	111215000
0.603	111215000
0.604	111215000
0.605	111215000
0.606	111215000
0.607	111215000
0.608	111215000
0.609	111215000
0.61	111215000
0.611	111215000
0.612	111215000
0.613	105643000
0.614	105643000
0.615	105643000
0.616	105643000
0.617	105643000
0.618	105643000
0.619	105643000
0.62	105643000
0.621	105643000
0.622	105643000
0.623	105643000
0.624	105643000
0.625	105643000
0.626	105643000
0.627	105643000
0.628	105643000
0.629	105643000
0.63	105643000
0.631	105643000
0.632	105643000
0.633	105643000
0.634	105643000
0.635	105643000
0.636	105643000
0.637	105643000
0.638	105643000
0.639	105643000
0.64	105643000
0.641	105643000
0.642	105643000
0.643	105643000
0.644	105643000
0.645	105643000
0.646	105643000
0.647	105643000
0.648	105643000
0.649	105643000
0.65	105643000
0.651	105643000
0.652	105643000
0.653	105643000
0.654	105643000
0.655	105643000
0.656	105643000
0.657	85702500
0.658	85702500
0.659	85702500
0.66	85702500
0.661	85702500
0.662	85702500
0.663	85702500
0.664	85702500
0.665	85702500
0.666	85702500
0.667	85702500
0.668	85702500
0.669	85702500
0.67	85702500
0.671	85702500
0.672	85702500
0.673	85702500
0.674	85702500
0.675	85702500
0.676	85702500
0.677	85702500
0.678	85702500
0.679	85702500
0.68	85702500
0.681	85702500
0.682	85702500
0.683	85702500
0.684	85702500
0.685	85702500
0.686	85702500
0.687	85702500
0.688	85702500
0.689	85702500
0.69	85702500
0.691	85702500
0.692	85702500
0.693	80870312
0.694	80870312
0.695	80870312
0.696	80870312
0.697	80870312
0.698	80870312
0.699	80870312
0.7	80870312
0.701	80870312
0.702	80870312
0.703	80870312
0.704	80870312
0.705	80870312
0.706	80870312
0.707	80870312
0.708	80870312
0.709	80870312
0.71	80870312
0.711	80870312
0.712	80870312
0.713	80870312
0.714	80870312
0.715	80870312
0.716	80870312
0.717	80870312
0.718	80870312
0.719	80870312
0.72	80870312
0.721	80870312
0.722	80870312
0.723	80870312
0.724	80870312
0.725	80870312
0.726	80870312
0.727	74732762
0.728	74732762
0.729	74732762
0.73	74732762
0.731	74732762
0.732	74732762
0.733	74732762
0.734	74732762
0.735	74732762
0.736	74732762
0.737	74732762
0.738	74732762
0.739	74732762
0.74	74732762
0.741	74732762
0.742	74732762
0.743	74732762
0.744	74732762
0.745	74732762
0.746	74732762
0.747	74732762
0.748	74732762
0.749	74732762
0.75	74732762
0.751	74732762
0.752	74732762
0.753	74732762
0.754	74732762
0.755	74732762
0.756	74732762
0.757	74732762
0.758	74732762
0.759	58176566
0.76	58176566
0.761	58176566
0.762	58176566
0.763	58176566
0.764	58176566
0.765	58176566
0.766	58176566
0.767	58176566
0.768	58176566
0.769	58176566
0.77	58176566
0.771	58176566
0.772	58176566
0.773	58176566
0.774	58176566
0.775	58176566
0.776	58176566
0.777	58176566
0.778	58176566
0.779	58176566
0.78	58176566
0.781	58176566
0.782	58176566
0.783	56469930
0.784	56469930
0.785	56469930
0.786	56469930
0.787	56469930
0.788	56469930
0.789	56469930
0.79	56469930
0.791	56469930
0.792	56469930
0.793	56469930
0.794	56469930
0.795	56469930
0.796	56469930
0.797	56469930
0.798	56469930
0.799	56469930
0.8	56469930
0.801	56469930
0.802	56469930
0.803	56469930
0.804	56469930
0.805	56469930
0.806	56469930
0.807	50213389
0.808	50213389
0.809	50213389
0.81	50213389
0.811	50213389
0.812	50213389
0.813	50213389
0.814	50213389
0.815	50213389
0.816	50213389
0.817	50213389
0.818	50213389
0.819	50213389
0.82	50213389
0.821	50213389
0.822	50213389
0.823	50213389
0.824	50213389
0.825	50213389
0.826	50213389
0.827	50213389
0.828	45875032
0.829	45875032
0.83	45875032
0.831	45875032
0.832	45875032
0.833	45875032
0.834	45875032
0.835	45875032
0.836	45875032
0.837	45875032
0.838	45875032
0.839	45875032
0.84	45875032
0.841	45875032
0.842	45875032
0.843	45875032
0.844	45875032
0.845	45875032
0.846	45875032
0.847	45875032
0.848	44002217
0.849	44002217
0.85	44002217
0.851	44002217
0.852	44002217
0.853	44002217
0.854	44002217
0.855	44002217
0.856	44002217
0.857	44002217
0.858	44002217
0.859	44002217
0.86	44002217
0.861	44002217
0.862	44002217
0.863	44002217
0.864	44002217
0.865	44002217
0.866	43642344
0.867	43642344
0.868	43642344
0.869	43642344
0.87	43642344
0.871	43642344
0.872	43642344
0.873	43642344
0.874	43642344
0.875	43642344
0.876	43642344
0.877	43642344
0.878	43642344
0.879	43642344
0.88	43642344
0.881	43642344
0.882	43642344
0.883	43642344
0.884	43642344
0.885	33924017
0.886	33924017
0.887	33924017
0.888	33924017
0.889	33924017
0.89	33924017
0.891	33924017
0.892	33924017
0.893	33924017
0.894	33924017
0.895	33924017
0.896	33924017
0.897	33924017
0.898	33924017
0.899	27861909
0.9	27861909
0.901	27861909
0.902	27861909
0.903	27861909
0.904	27861909
0.905	27861909
0.906	27861909
0.907	27861909
0.908	27861909
0.909	27861909
0.91	27861909
0.911	26242517
0.912	26242517
0.913	26242517
0.914	26242517
0.915	26242517
0.916	26242517
0.917	26242517
0.918	26242517
0.919	26242517
0.92	26242517
0.921	26242517
0.922	25476758
0.923	25476758
0.924	25476758
0.925	25476758
0.926	25476758
0.927	25476758
0.928	25476758
0.929	25476758
0.93	25476758
0.931	25476758
0.932	23386500
0.933	23386500
0.934	23386500
0.935	23386500
0.936	23386500
0.937	23386500
0.938	23386500
0.939	23386500
0.94	23386500
0.941	23386500
0.942	23088135
0.943	23088135
0.944	23088135
0.945	23088135
0.946	23088135
0.947	23088135
0.948	23088135
0.949	23088135
0.95	23088135
0.951	23088135
0.952	21356000
0.953	21356000
0.954	21356000
0.955	21356000
0.956	21356000
0.957	21356000
0.958	21356000
0.959	21356000
0.96	21356000
0.961	20058910
0.962	20058910
0.963	20058910
0.964	20058910
0.965	20058910
0.966	20058910
0.967	20058910
0.968	20058910
0.969	20058910
0.97	17794590
0.971	17794590
0.972	17794590
0.973	17794590
0.974	17794590
0.975	17794590
0.976	17794590
0.977	2500000
0.978	1031500
0.979	883688
0.98	613735
0.981	397000
0.982	371537
0.983	329801
0.984	313507
0.985	285000
0.986	225274
0.987	201115
0.988	169000
0.989	138000
0.99	116500
0.991	100715
0.992	84959
0.993	75311
0.994	66671
0.995	58990
0.996	52442
0.997	45849
0.998	39185
0.999	26681
1.0	1000
