fraction	Nx_length
0.001	109503390
0.002	109503390
0.003	109503390
0.004	109503390
0.005	109503390
0.006	109503390
0.007	109503390
0.008	109503390
0.009	109503390
0.01	109503390
0.011	109503390
0.012	109503390
0.013	109503390
0.014	109503390
0.015	109503390
0.016	109503390
0.017	109503390
0.018	109503390
0.019	109503390
0.02	109503390
0.021	109503390
0.022	109503390
0.023	109503390
0.024	109503390
0.025	109503390
0.026	109503390
0.027	109503390
0.028	109503390
0.029	109503390
0.03	109503390
0.031	109503390
0.032	109503390
0.033	109503390
0.034	109503390
0.035	109503390
0.036	109503390
0.037	109503390
0.038	109503390
0.039	109503390
0.04	109503390
0.041	109503390
0.042	109503390
0.043	109503390
0.044	109503390
0.045	109503390
0.046	94041902
0.047	94041902
0.048	94041902
0.049	94041902
0.05	94041902
0.051	94041902
0.052	94041902
0.053	94041902
0.054	94041902
0.055	94041902
0.056	94041902
0.057	94041902
0.058	94041902
0.059	94041902
0.06	94041902
0.061	94041902
0.062	94041902
0.063	94041902
0.064	94041902
0.065	94041902
0.066	94041902
0.067	94041902
0.068	94041902
0.069	94041902
0.07	94041902
0.071	94041902
0.072	94041902
0.073	94041902
0.074	94041902
0.075	94041902
0.076	94041902
0.077	94041902
0.078	94041902
0.079	94041902
0.08	94041902
0.081	94041902
0.082	94041902
0.083	94041902
0.084	93912954
0.085	93912954
0.086	93912954
0.087	93912954
0.088	93912954
0.089	93912954
0.09	93912954
0.091	93912954
0.092	93912954
0.093	93912954
0.094	93912954
0.095	93912954
0.096	93912954
0.097	93912954
0.098	93912954
0.099	93912954
0.1	93912954
0.101	93912954
0.102	93912954
0.103	93912954
0.104	93912954
0.105	93912954
0.106	93912954
0.107	93912954
0.108	93912954
0.109	93912954
0.11	93912954
0.111	93912954
0.112	93912954
0.113	93912954
0.114	93912954
0.115	93912954
0.116	93912954
0.117	93912954
0.118	93912954
0.119	93912954
0.12	93912954
0.121	93912954
0.122	93912954
0.123	87656653
0.124	87656653
0.125	87656653
0.126	87656653
0.127	87656653
0.128	87656653
0.129	87656653
0.13	87656653
0.131	87656653
0.132	87656653
0.133	87656653
0.134	87656653
0.135	87656653
0.136	87656653
0.137	87656653
0.138	87656653
0.139	87656653
0.14	87656653
0.141	87656653
0.142	87656653
0.143	87656653
0.144	87656653
0.145	87656653
0.146	87656653
0.147	87656653
0.148	87656653
0.149	87656653
0.15	87656653
0.151	87656653
0.152	87656653
0.153	87656653
0.154	87656653
0.155	87656653
0.156	87656653
0.157	87656653
0.158	87656653
0.159	64785200
0.16	64785200
0.161	64785200
0.162	64785200
0.163	64785200
0.164	64785200
0.165	64785200
0.166	64785200
0.167	64785200
0.168	64785200
0.169	64785200
0.17	64785200
0.171	64785200
0.172	64785200
0.173	64785200
0.174	64785200
0.175	64785200
0.176	64785200
0.177	64785200
0.178	64785200
0.179	64785200
0.18	64785200
0.181	64785200
0.182	64785200
0.183	64785200
0.184	64785200
0.185	64785200
0.186	60748197
0.187	60748197
0.188	60748197
0.189	60748197
0.19	60748197
0.191	60748197
0.192	60748197
0.193	60748197
0.194	60748197
0.195	60748197
0.196	60748197
0.197	60748197
0.198	60748197
0.199	60748197
0.2	60748197
0.201	60748197
0.202	60748197
0.203	60748197
0.204	60748197
0.205	60748197
0.206	60748197
0.207	60748197
0.208	60748197
0.209	60748197
0.21	60748197
0.211	49346305
0.212	49346305
0.213	49346305
0.214	49346305
0.215	49346305
0.216	49346305
0.217	49346305
0.218	49346305
0.219	49346305
0.22	49346305
0.221	49346305
0.222	49346305
0.223	49346305
0.224	49346305
0.225	49346305
0.226	49346305
0.227	49346305
0.228	49346305
0.229	49346305
0.23	49346305
0.231	47252510
0.232	47252510
0.233	47252510
0.234	47252510
0.235	47252510
0.236	47252510
0.237	47252510
0.238	47252510
0.239	47252510
0.24	47252510
0.241	47252510
0.242	47252510
0.243	47252510
0.244	47252510
0.245	47252510
0.246	47252510
0.247	47252510
0.248	47252510
0.249	47252510
0.25	47252510
0.251	47200000
0.252	47200000
0.253	47200000
0.254	47200000
0.255	47200000
0.256	47200000
0.257	47200000
0.258	47200000
0.259	47200000
0.26	47200000
0.261	47200000
0.262	47200000
0.263	47200000
0.264	47200000
0.265	47200000
0.266	47200000
0.267	47200000
0.268	47200000
0.269	47200000
0.27	46972608
0.271	46972608
0.272	46972608
0.273	46972608
0.274	46972608
0.275	46972608
0.276	46972608
0.277	46972608
0.278	46972608
0.279	46972608
0.28	46972608
0.281	46972608
0.282	46972608
0.283	46972608
0.284	46972608
0.285	46972608
0.286	46972608
0.287	46972608
0.288	46972608
0.289	43528455
0.29	43528455
0.291	43528455
0.292	43528455
0.293	43528455
0.294	43528455
0.295	43528455
0.296	43528455
0.297	43528455
0.298	43528455
0.299	43528455
0.3	43528455
0.301	43528455
0.302	43528455
0.303	43528455
0.304	43528455
0.305	43528455
0.306	43528455
0.307	42834944
0.308	42834944
0.309	42834944
0.31	42834944
0.311	42834944
0.312	42834944
0.313	42834944
0.314	42834944
0.315	42834944
0.316	42834944
0.317	42834944
0.318	42834944
0.319	42834944
0.32	42834944
0.321	42834944
0.322	42834944
0.323	42834944
0.324	42834944
0.325	39897087
0.326	39897087
0.327	39897087
0.328	39897087
0.329	39897087
0.33	39897087
0.331	39897087
0.332	39897087
0.333	39897087
0.334	39897087
0.335	39897087
0.336	39897087
0.337	39897087
0.338	39897087
0.339	39897087
0.34	39897087
0.341	38416533
0.342	38416533
0.343	38416533
0.344	38416533
0.345	38416533
0.346	38416533
0.347	38416533
0.348	38416533
0.349	38416533
0.35	38416533
0.351	38416533
0.352	38416533
0.353	38416533
0.354	38416533
0.355	38416533
0.356	38416533
0.357	37039800
0.358	37039800
0.359	37039800
0.36	37039800
0.361	37039800
0.362	37039800
0.363	37039800
0.364	37039800
0.365	37039800
0.366	37039800
0.367	37039800
0.368	37039800
0.369	37039800
0.37	37039800
0.371	37039800
0.372	34935311
0.373	34935311
0.374	34935311
0.375	34935311
0.376	34935311
0.377	34935311
0.378	34935311
0.379	34935311
