fraction	Nx_length
0.001	373385227
0.002	373385227
0.003	373385227
0.004	373385227
0.005	373385227
0.006	373385227
0.007	373385227
0.008	373385227
0.009	373385227
0.01	373385227
0.011	373385227
0.012	373385227
0.013	373385227
0.014	373385227
0.015	373385227
0.016	373385227
0.017	373385227
0.018	373385227
0.019	373385227
0.02	373385227
0.021	373385227
0.022	373385227
0.023	373385227
0.024	373385227
0.025	373385227
0.026	373385227
0.027	373385227
0.028	373385227
0.029	373385227
0.03	373385227
0.031	373385227
0.032	373385227
0.033	373385227
0.034	373385227
0.035	373385227
0.036	373385227
0.037	373385227
0.038	373385227
0.039	373385227
0.04	373385227
0.041	373385227
0.042	373385227
0.043	373385227
0.044	373385227
0.045	373385227
0.046	373385227
0.047	373385227
0.048	373385227
0.049	373385227
0.05	373385227
0.051	373385227
0.052	373385227
0.053	373385227
0.054	373385227
0.055	373385227
0.056	373385227
0.057	373385227
0.058	373385227
0.059	373385227
0.06	373385227
0.061	373385227
0.062	373385227
0.063	373385227
0.064	373385227
0.065	373385227
0.066	373385227
0.067	373385227
0.068	373385227
0.069	373385227
0.07	373385227
0.071	373385227
0.072	373385227
0.073	373385227
0.074	373385227
0.075	373385227
0.076	373385227
0.077	373385227
0.078	373385227
0.079	373385227
0.08	373385227
0.081	373385227
0.082	373385227
0.083	373385227
0.084	373385227
0.085	373385227
0.086	373385227
0.087	373385227
0.088	373385227
0.089	373385227
0.09	373385227
0.091	373385227
0.092	373385227
0.093	373385227
0.094	373385227
0.095	373385227
0.096	373385227
0.097	373385227
0.098	373385227
0.099	373385227
0.1	373385227
0.101	373385227
0.102	373385227
0.103	373385227
0.104	373385227
0.105	373385227
0.106	373385227
0.107	373385227
0.108	373385227
0.109	373385227
0.11	373385227
0.111	373385227
0.112	373385227
0.113	373385227
0.114	373385227
0.115	373385227
0.116	373385227
0.117	373385227
0.118	373385227
0.119	373385227
0.12	373385227
0.121	373385227
0.122	373385227
0.123	373385227
0.124	373385227
0.125	373385227
0.126	373385227
0.127	373385227
0.128	373385227
0.129	373385227
0.13	373385227
0.131	373385227
0.132	373385227
0.133	373385227
0.134	373385227
0.135	373385227
0.136	373385227
0.137	373385227
0.138	373385227
0.139	373385227
0.14	373385227
0.141	373385227
0.142	373385227
0.143	373385227
0.144	373385227
0.145	373385227
0.146	373385227
0.147	373385227
0.148	373385227
0.149	373385227
0.15	373385227
0.151	373385227
0.152	373385227
0.153	373385227
0.154	290478994
0.155	290478994
0.156	290478994
0.157	290478994
0.158	290478994
0.159	290478994
0.16	290478994
0.161	290478994
0.162	290478994
0.163	290478994
0.164	290478994
0.165	290478994
0.166	290478994
0.167	290478994
0.168	290478994
0.169	290478994
0.17	290478994
0.171	290478994
0.172	290478994
0.173	290478994
0.174	290478994
0.175	290478994
0.176	290478994
0.177	290478994
0.178	290478994
0.179	290478994
0.18	290478994
0.181	290478994
0.182	290478994
0.183	290478994
0.184	290478994
