fraction	Nx_length
0.001	405085229
0.002	405085229
0.003	405085229
0.004	405085229
0.005	405085229
0.006	405085229
0.007	405085229
0.008	405085229
0.009	405085229
0.01	405085229
0.011	405085229
0.012	405085229
0.013	405085229
0.014	405085229
0.015	405085229
0.016	405085229
0.017	405085229
0.018	405085229
0.019	405085229
0.02	405085229
0.021	405085229
0.022	405085229
0.023	405085229
0.024	405085229
0.025	405085229
0.026	405085229
0.027	405085229
0.028	405085229
0.029	405085229
0.03	405085229
0.031	405085229
0.032	405085229
0.033	405085229
0.034	405085229
0.035	405085229
0.036	405085229
0.037	405085229
0.038	405085229
0.039	405085229
0.04	405085229
0.041	405085229
0.042	405085229
0.043	405085229
0.044	405085229
0.045	405085229
0.046	405085229
0.047	405085229
0.048	405085229
0.049	405085229
0.05	405085229
0.051	405085229
0.052	405085229
0.053	405085229
0.054	405085229
0.055	405085229
0.056	405085229
0.057	405085229
0.058	405085229
0.059	405085229
0.06	405085229
0.061	405085229
0.062	405085229
0.063	405085229
0.064	405085229
0.065	405085229
0.066	405085229
0.067	405085229
0.068	405085229
0.069	405085229
0.07	405085229
0.071	405085229
0.072	405085229
0.073	405085229
0.074	405085229
0.075	405085229
0.076	405085229
0.077	405085229
0.078	405085229
0.079	405085229
0.08	405085229
0.081	405085229
0.082	405085229
0.083	405085229
0.084	405085229
0.085	405085229
0.086	405085229
0.087	405085229
0.088	405085229
0.089	405085229
0.09	405085229
0.091	405085229
0.092	405085229
0.093	405085229
0.094	405085229
0.095	405085229
0.096	405085229
0.097	405085229
0.098	405085229
0.099	405085229
0.1	405085229
0.101	405085229
0.102	405085229
0.103	405085229
0.104	405085229
0.105	405085229
0.106	405085229
0.107	405085229
0.108	405085229
0.109	405085229
0.11	405085229
0.111	405085229
0.112	405085229
0.113	405085229
0.114	405085229
0.115	405085229
0.116	405085229
0.117	405085229
0.118	405085229
0.119	405085229
0.12	405085229
0.121	405085229
0.122	405085229
0.123	405085229
0.124	405085229
0.125	405085229
0.126	405085229
0.127	405085229
0.128	405085229
0.129	405085229
0.13	405085229
0.131	405085229
0.132	405085229
0.133	405085229
0.134	405085229
0.135	405085229
0.136	405085229
0.137	405085229
0.138	405085229
0.139	405085229
0.14	405085229
0.141	405085229
0.142	405085229
0.143	405085229
0.144	405085229
0.145	405085229
0.146	405085229
0.147	405085229
0.148	405085229
0.149	405085229
0.15	405085229
0.151	405085229
0.152	405085229
0.153	405085229
0.154	405085229
0.155	405085229
0.156	405085229
0.157	405085229
0.158	405085229
0.159	405085229
0.16	405085229
0.161	405085229
0.162	405085229
0.163	405085229
0.164	405085229
0.165	405085229
0.166	405085229
0.167	405085229
0.168	405085229
0.169	405085229
0.17	405085229
0.171	405085229
0.172	405085229
0.173	405085229
0.174	298932547
0.175	298932547
0.176	298932547
0.177	298932547
0.178	298932547
0.179	298932547
0.18	298932547
0.181	298932547
0.182	298932547
0.183	298932547
0.184	298932547
0.185	298932547
0.186	298932547
0.187	298932547
0.188	298932547
0.189	298932547
0.19	298932547
0.191	298932547
0.192	298932547
0.193	298932547
0.194	298932547
0.195	298932547
0.196	298932547
0.197	298932547
0.198	298932547
0.199	298932547
0.2	298932547
0.201	298932547
0.202	298932547
0.203	298932547
0.204	298932547
0.205	298932547
0.206	298932547
0.207	298932547
0.208	298932547
0.209	298932547
0.21	298932547
0.211	298932547
0.212	298932547
0.213	298932547
0.214	298932547
0.215	298932547
0.216	298932547
0.217	298932547
0.218	298932547
0.219	298932547
0.22	298932547
0.221	298932547
0.222	298932547
0.223	298932547
0.224	298932547
0.225	298932547
0.226	298932547
0.227	298932547
0.228	298932547
0.229	298932547
0.23	298932547
0.231	298932547
0.232	298932547
0.233	298932547
0.234	298932547
0.235	298932547
0.236	298932547
0.237	298932547
0.238	298932547
0.239	298932547
0.24	298932547
0.241	298932547
0.242	298932547
0.243	298932547
0.244	298932547
0.245	298932547
0.246	298932547
0.247	298932547
0.248	298932547
0.249	298932547
0.25	298932547
0.251	298932547
0.252	298932547
0.253	298932547
0.254	298932547
0.255	298932547
0.256	298932547
0.257	298932547
0.258	298932547
0.259	298932547
0.26	298932547
0.261	298932547
0.262	298932547
0.263	298932547
0.264	298932547
0.265	298932547
0.266	298932547
0.267	298932547
0.268	298932547
0.269	298932547
0.27	298932547
0.271	298932547
0.272	298932547
0.273	298932547
0.274	298932547
0.275	298932547
0.276	298932547
0.277	298932547
0.278	298932547
0.279	298932547
0.28	298932547
0.281	298932547
0.282	298932547
0.283	298932547
0.284	298932547
0.285	298932547
0.286	298932547
