fraction	Nx_length
0.001	210068992
0.002	210068992
0.003	210068992
0.004	210068992
0.005	210068992
0.006	210068992
0.007	210068992
0.008	210068992
0.009	210068992
0.01	210068992
0.011	210068992
0.012	210068992
0.013	210068992
0.014	210068992
0.015	210068992
0.016	210068992
0.017	210068992
0.018	210068992
0.019	210068992
0.02	210068992
0.021	210068992
0.022	210068992
0.023	210068992
0.024	210068992
0.025	210068992
0.026	210068992
0.027	210068992
0.028	210068992
0.029	210068992
0.03	210068992
0.031	210068992
0.032	210068992
0.033	210068992
0.034	210068992
0.035	210068992
0.036	210068992
0.037	210068992
0.038	210068992
0.039	210068992
0.04	210068992
0.041	210068992
0.042	210068992
0.043	210068992
0.044	210068992
0.045	210068992
0.046	210068992
0.047	210068992
0.048	210068992
0.049	210068992
0.05	210068992
0.051	210068992
0.052	210068992
0.053	210068992
0.054	210068992
0.055	210068992
0.056	210068992
0.057	210068992
0.058	210068992
0.059	210068992
0.06	210068992
0.061	210068992
0.062	210068992
0.063	210068992
0.064	210068992
0.065	210068992
0.066	210068992
0.067	210068992
0.068	210068992
0.069	210068992
0.07	210068992
0.071	210068992
0.072	210068992
0.073	210068992
0.074	210068992
0.075	210068992
0.076	210068992
0.077	210068992
0.078	210068992
0.079	210068992
0.08	210068992
0.081	210068992
0.082	210068992
0.083	210068992
0.084	210068992
0.085	210068992
0.086	210068992
0.087	210068992
0.088	210068992
0.089	210068992
0.09	210068992
0.091	210068992
0.092	210068992
0.093	160489413
0.094	160489413
0.095	160489413
0.096	160489413
0.097	160489413
0.098	160489413
0.099	160489413
0.1	160489413
0.101	160489413
0.102	160489413
0.103	160489413
0.104	160489413
0.105	160489413
0.106	160489413
0.107	160489413
0.108	160489413
0.109	160489413
0.11	160489413
0.111	160489413
0.112	160489413
0.113	160489413
0.114	160489413
0.115	160489413
0.116	160489413
0.117	160489413
0.118	160489413
0.119	160489413
0.12	160489413
0.121	160489413
0.122	160489413
0.123	160489413
0.124	160489413
0.125	160489413
0.126	160489413
0.127	160489413
0.128	160489413
0.129	160489413
0.13	160489413
0.131	160489413
0.132	160489413
0.133	160489413
0.134	160489413
0.135	160489413
0.136	160489413
0.137	160489413
0.138	160489413
0.139	160489413
0.14	160489413
0.141	160489413
0.142	160489413
0.143	160489413
0.144	160489413
0.145	160489413
0.146	160489413
0.147	160489413
0.148	160489413
0.149	160489413
0.15	160489413
0.151	160489413
0.152	160489413
0.153	160489413
0.154	160489413
0.155	160489413
0.156	160489413
0.157	160489413
0.158	160489413
0.159	160489413
0.16	160489413
0.161	160489413
0.162	160489413
0.163	155377592
0.164	155377592
0.165	155377592
0.166	155377592
0.167	155377592
0.168	155377592
0.169	155377592
0.17	155377592
0.171	155377592
0.172	155377592
0.173	155377592
0.174	155377592
0.175	155377592
0.176	155377592
0.177	155377592
0.178	155377592
0.179	155377592
0.18	155377592
0.181	155377592
0.182	155377592
0.183	155377592
0.184	155377592
0.185	155377592
0.186	155377592
0.187	155377592
0.188	155377592
0.189	155377592
0.19	155377592
0.191	155377592
0.192	155377592
0.193	155377592
0.194	155377592
0.195	155377592
0.196	155377592
0.197	155377592
0.198	155377592
0.199	155377592
0.2	155377592
0.201	155377592
0.202	155377592
0.203	155377592
0.204	155377592
0.205	155377592
0.206	155377592
0.207	155377592
0.208	155377592
0.209	155377592
0.21	155377592
0.211	155377592
0.212	155377592
0.213	155377592
0.214	155377592
0.215	155377592
0.216	155377592
0.217	155377592
0.218	155377592
0.219	155377592
0.22	155377592
0.221	155377592
0.222	155377592
0.223	155377592
0.224	155377592
0.225	155377592
0.226	155377592
0.227	155377592
0.228	155377592
0.229	155377592
0.23	155377592
0.231	155377592
0.232	132892165
0.233	132892165
0.234	132892165
0.235	132892165
0.236	132892165
0.237	132892165
0.238	132892165
0.239	132892165
0.24	132892165
0.241	132892165
0.242	132892165
0.243	132892165
0.244	132892165
0.245	132892165
0.246	132892165
0.247	132892165
0.248	132892165
0.249	132892165
0.25	132892165
0.251	132892165
0.252	132892165
0.253	132892165
0.254	132892165
0.255	132892165
0.256	132892165
0.257	132892165
0.258	132892165
0.259	132892165
0.26	132892165
0.261	132892165
0.262	132892165
0.263	132892165
0.264	132892165
0.265	132892165
0.266	132892165
0.267	132892165
0.268	132892165
0.269	132892165
0.27	132892165
0.271	132892165
0.272	132892165
0.273	132892165
0.274	132892165
0.275	132892165
0.276	132892165
0.277	132892165
0.278	132892165
0.279	132892165
0.28	132892165
0.281	132892165
0.282	132892165
0.283	132892165
0.284	132892165
0.285	132892165
0.286	132892165
0.287	132892165
0.288	132892165
0.289	132892165
0.29	126605438
0.291	126605438
0.292	126605438
0.293	126605438
0.294	126605438
0.295	126605438
0.296	126605438
0.297	126605438
0.298	126605438
0.299	126605438
0.3	126605438
0.301	126605438
0.302	126605438
0.303	126605438
0.304	126605438
0.305	126605438
0.306	126605438
0.307	126605438
0.308	126605438
0.309	126605438
0.31	126605438
0.311	126605438
0.312	126605438
0.313	126605438
0.314	126605438
0.315	126605438
0.316	126605438
0.317	126605438
0.318	126605438
0.319	126605438
0.32	126605438
0.321	126605438
0.322	126605438
0.323	126605438
0.324	126605438
0.325	126605438
0.326	126605438
0.327	126605438
0.328	126605438
0.329	126605438
0.33	126605438
0.331	126605438
0.332	126605438
0.333	126605438
0.334	126605438
0.335	126605438
0.336	126605438
0.337	126605438
0.338	126605438
0.339	126605438
0.34	126605438
0.341	126605438
0.342	126605438
0.343	126605438
0.344	126605438
0.345	126605438
0.346	125847567
0.347	125847567
0.348	125847567
0.349	125847567
0.35	125847567
0.351	125847567
0.352	125847567
0.353	125847567
0.354	125847567
0.355	125847567
0.356	125847567
0.357	125847567
0.358	125847567
0.359	125847567
0.36	125847567
0.361	125847567
0.362	125847567
0.363	125847567
0.364	125847567
0.365	125847567
0.366	125847567
0.367	125847567
0.368	125847567
0.369	125847567
0.37	125847567
0.371	125847567
0.372	125847567
0.373	125847567
0.374	125847567
0.375	125847567
0.376	125847567
0.377	125847567
0.378	125847567
0.379	125847567
0.38	125847567
0.381	125847567
0.382	125847567
0.383	125847567
0.384	125847567
0.385	125847567
0.386	125847567
0.387	125847567
0.388	125847567
0.389	125847567
0.39	125847567
0.391	125847567
0.392	125847567
0.393	125847567
0.394	125847567
0.395	125847567
0.396	125847567
0.397	125847567
0.398	125847567
0.399	125847567
0.4	125847567
0.401	113417538
0.402	113417538
0.403	113417538
0.404	113417538
0.405	113417538
0.406	113417538
0.407	113417538
0.408	113417538
0.409	113417538
0.41	113417538
0.411	113417538
0.412	113417538
0.413	113417538
0.414	113417538
0.415	113417538
0.416	113417538
0.417	113417538
0.418	113417538
0.419	113417538
0.42	113417538
0.421	113417538
0.422	113417538
0.423	113417538
0.424	113417538
0.425	113417538
0.426	113417538
0.427	113417538
0.428	113417538
0.429	113417538
0.43	113417538
0.431	113417538
0.432	113417538
0.433	113417538
0.434	113417538
0.435	113417538
0.436	113417538
0.437	113417538
0.438	113417538
0.439	113417538
0.44	113417538
0.441	113417538
0.442	113417538
0.443	113417538
0.444	113417538
0.445	113417538
0.446	113417538
0.447	113417538
0.448	113417538
0.449	113417538
0.45	113417538
0.451	111324666
0.452	111324666
0.453	111324666
0.454	111324666
0.455	111324666
0.456	111324666
0.457	111324666
0.458	111324666
0.459	111324666
0.46	111324666
0.461	111324666
0.462	111324666
0.463	111324666
0.464	111324666
0.465	111324666
0.466	111324666
0.467	111324666
0.468	111324666
0.469	111324666
0.47	111324666
0.471	111324666
0.472	111324666
0.473	111324666
0.474	111324666
0.475	111324666
0.476	111324666
0.477	111324666
0.478	111324666
0.479	111324666
0.48	111324666
0.481	111324666
0.482	111324666
0.483	111324666
0.484	111324666
0.485	111324666
0.486	111324666
0.487	111324666
0.488	111324666
0.489	111324666
0.49	111324666
0.491	111324666
0.492	111324666
0.493	111324666
0.494	111324666
0.495	111324666
0.496	111324666
0.497	111324666
0.498	111324666
0.499	111324666
0.5	107021855
0.501	107021855
0.502	107021855
0.503	107021855
0.504	107021855
0.505	107021855
0.506	107021855
0.507	107021855
0.508	107021855
0.509	107021855
0.51	107021855
0.511	107021855
0.512	107021855
0.513	107021855
0.514	107021855
0.515	107021855
0.516	107021855
0.517	107021855
0.518	107021855
0.519	107021855
0.52	107021855
0.521	107021855
0.522	107021855
0.523	107021855
0.524	107021855
0.525	107021855
0.526	107021855
0.527	107021855
0.528	107021855
0.529	107021855
0.53	107021855
0.531	107021855
0.532	107021855
0.533	107021855
0.534	107021855
0.535	107021855
0.536	107021855
0.537	107021855
0.538	107021855
0.539	107021855
0.54	107021855
0.541	107021855
0.542	107021855
0.543	107021855
0.544	107021855
0.545	107021855
0.546	107021855
0.547	98347323
0.548	98347323
0.549	98347323
0.55	98347323
0.551	98347323
0.552	98347323
0.553	98347323
0.554	98347323
0.555	98347323
0.556	98347323
0.557	98347323
0.558	98347323
0.559	98347323
0.56	98347323
0.561	98347323
0.562	98347323
0.563	98347323
0.564	98347323
0.565	98347323
0.566	98347323
0.567	98347323
0.568	98347323
0.569	98347323
0.57	98347323
0.571	98347323
0.572	98347323
0.573	98347323
0.574	98347323
0.575	98347323
0.576	98347323
0.577	98347323
0.578	98347323
0.579	98347323
0.58	98347323
0.581	98347323
0.582	98347323
0.583	98347323
0.584	98347323
0.585	98347323
0.586	98347323
0.587	98347323
0.588	98347323
0.589	98347323
0.59	95211222
0.591	95211222
0.592	95211222
0.593	95211222
0.594	95211222
0.595	95211222
0.596	95211222
0.597	95211222
0.598	95211222
0.599	95211222
0.6	95211222
0.601	95211222
0.602	95211222
0.603	95211222
0.604	95211222
0.605	95211222
0.606	95211222
0.607	95211222
0.608	95211222
0.609	95211222
0.61	95211222
0.611	95211222
0.612	95211222
0.613	95211222
0.614	95211222
0.615	95211222
0.616	95211222
0.617	95211222
0.618	95211222
0.619	95211222
0.62	95211222
0.621	95211222
0.622	95211222
0.623	95211222
0.624	95211222
0.625	95211222
0.626	95211222
0.627	95211222
0.628	95211222
0.629	95211222
0.63	95211222
0.631	95211222
0.632	83656065
0.633	83656065
0.634	83656065
0.635	83656065
0.636	83656065
0.637	83656065
0.638	83656065
0.639	83656065
0.64	83656065
0.641	83656065
0.642	83656065
0.643	83656065
0.644	83656065
0.645	83656065
0.646	83656065
0.647	83656065
0.648	83656065
0.649	83656065
0.65	83656065
0.651	83656065
0.652	83656065
0.653	83656065
0.654	83656065
0.655	83656065
0.656	83656065
0.657	83656065
0.658	83656065
0.659	83656065
0.66	83656065
0.661	83656065
0.662	83656065
0.663	83656065
0.664	83656065
0.665	83656065
0.666	83656065
0.667	83656065
0.668	83656065
0.669	50130107
0.67	50130107
0.671	50130107
0.672	50130107
0.673	50130107
0.674	50130107
0.675	50130107
0.676	50130107
0.677	50130107
0.678	50130107
0.679	50130107
0.68	50130107
0.681	50130107
0.682	50130107
0.683	50130107
0.684	50130107
0.685	50130107
0.686	50130107
0.687	50130107
0.688	50130107
0.689	50130107
0.69	50130107
0.691	40322207
0.692	40322207
0.693	40322207
0.694	40322207
0.695	40322207
