fraction	Nx_length
0.001	185237938
0.002	185237938
0.003	185237938
0.004	185237938
0.005	185237938
0.006	185237938
0.007	185237938
0.008	185237938
0.009	185237938
0.01	185237938
0.011	185237938
0.012	185237938
0.013	185237938
0.014	185237938
0.015	185237938
0.016	185237938
0.017	185237938
0.018	185237938
0.019	185237938
0.02	185237938
0.021	185237938
0.022	185237938
0.023	185237938
0.024	185237938
0.025	185237938
0.026	185237938
0.027	185237938
0.028	185237938
0.029	185237938
0.03	185237938
0.031	185237938
0.032	185237938
0.033	185237938
0.034	185237938
0.035	185237938
0.036	185237938
0.037	185237938
0.038	185237938
0.039	185237938
0.04	185237938
0.041	185237938
0.042	185237938
0.043	185237938
0.044	185237938
0.045	185237938
0.046	185237938
0.047	185237938
0.048	185237938
0.049	185237938
0.05	185237938
0.051	185237938
0.052	185237938
0.053	185237938
0.054	185237938
0.055	185237938
0.056	185237938
0.057	185237938
0.058	185237938
0.059	185237938
0.06	185237938
0.061	185237938
0.062	185237938
0.063	185237938
0.064	185237938
0.065	185237938
0.066	185237938
0.067	185237938
0.068	185237938
0.069	185237938
0.07	185237938
0.071	185237938
0.072	185237938
0.073	185237938
0.074	185237938
0.075	185237938
0.076	185237938
0.077	185237938
0.078	185237938
0.079	185237938
0.08	185237938
0.081	118105977
0.082	118105977
0.083	118105977
0.084	118105977
0.085	118105977
0.086	118105977
0.087	118105977
0.088	118105977
0.089	118105977
0.09	118105977
0.091	118105977
0.092	118105977
0.093	118105977
0.094	118105977
0.095	118105977
0.096	118105977
0.097	118105977
0.098	118105977
0.099	118105977
0.1	118105977
0.101	118105977
0.102	118105977
0.103	118105977
0.104	118105977
0.105	118105977
0.106	118105977
0.107	118105977
0.108	118105977
0.109	118105977
0.11	118105977
0.111	118105977
0.112	118105977
0.113	118105977
0.114	118105977
0.115	118105977
0.116	118105977
0.117	118105977
0.118	118105977
0.119	118105977
0.12	118105977
0.121	118105977
0.122	118105977
0.123	118105977
0.124	118105977
0.125	118105977
0.126	118105977
0.127	118105977
0.128	118105977
0.129	118105977
0.13	118105977
0.131	118105977
0.132	118105977
0.133	110556718
0.134	110556718
0.135	110556718
0.136	110556718
0.137	110556718
0.138	110556718
0.139	110556718
0.14	110556718
0.141	110556718
0.142	110556718
0.143	110556718
0.144	110556718
0.145	110556718
0.146	110556718
0.147	110556718
0.148	110556718
0.149	110556718
0.15	110556718
0.151	110556718
0.152	110556718
0.153	110556718
0.154	110556718
0.155	110556718
0.156	110556718
0.157	110556718
0.158	110556718
0.159	110556718
0.16	110556718
0.161	110556718
0.162	110556718
0.163	110556718
0.164	110556718
0.165	110556718
0.166	110556718
0.167	110556718
0.168	110556718
0.169	110556718
0.17	110556718
0.171	110556718
0.172	110556718
0.173	110556718
0.174	110556718
0.175	110556718
0.176	110556718
0.177	110556718
0.178	110556718
0.179	110556718
0.18	110556718
0.181	105408144
0.182	105408144
0.183	105408144
0.184	105408144
0.185	105408144
0.186	105408144
0.187	105408144
0.188	105408144
0.189	105408144
0.19	105408144
0.191	105408144
0.192	105408144
0.193	105408144
0.194	105408144
0.195	105408144
0.196	105408144
0.197	105408144
0.198	105408144
0.199	105408144
0.2	105408144
0.201	105408144
0.202	105408144
0.203	105408144
0.204	105408144
0.205	105408144
0.206	105408144
0.207	105408144
0.208	105408144
0.209	105408144
0.21	105408144
0.211	105408144
0.212	105408144
0.213	105408144
0.214	105408144
0.215	105408144
0.216	105408144
0.217	105408144
0.218	105408144
