fraction	Nx_length
0.001	59965
0.002	52738
0.003	49133
0.004	45720
0.005	44196
0.006	43170
0.007	41889
0.008	40768
0.009	39857
0.01	39016
0.011	38097
0.012	37512
0.013	36918
0.014	36244
0.015	35721
0.016	35298
0.017	34844
0.018	34389
0.019	33893
0.02	33504
0.021	33123
0.022	32766
0.023	32386
0.024	32029
0.025	31697
0.026	31353
0.027	31055
0.028	30800
0.029	30513
0.03	30291
0.031	30020
0.032	29760
0.033	29563
0.034	29339
0.035	29114
0.036	28921
0.037	28741
0.038	28558
0.039	28317
0.04	28146
0.041	27960
0.042	27756
0.043	27560
0.044	27395
0.045	27207
0.046	27041
0.047	26844
0.048	26715
0.049	26547
0.05	26370
0.051	26207
0.052	26029
0.053	25840
0.054	25672
0.055	25541
0.056	25387
0.057	25220
0.058	25086
0.059	24953
0.06	24807
0.061	24688
0.062	24541
0.063	24444
0.064	24296
0.065	24186
0.066	24061
0.067	23920
0.068	23790
0.069	23683
0.07	23582
0.071	23479
0.072	23375
0.073	23274
0.074	23169
0.075	23060
0.076	22973
0.077	22882
0.078	22784
0.079	22692
0.08	22610
0.081	22517
0.082	22425
0.083	22331
0.084	22248
0.085	22167
0.086	22087
0.087	21998
0.088	21915
0.089	21818
0.09	21733
0.091	21647
0.092	21568
0.093	21482
0.094	21382
0.095	21307
0.096	21213
0.097	21137
0.098	21070
0.099	20993
0.1	20921
0.101	20851
0.102	20773
0.103	20690
0.104	20626
0.105	20560
0.106	20487
0.107	20401
0.108	20321
0.109	20246
0.11	20172
0.111	20089
0.112	20015
0.113	19945
0.114	19875
0.115	19812
0.116	19739
0.117	19679
0.118	19605
0.119	19541
0.12	19468
0.121	19406
0.122	19348
0.123	19285
0.124	19230
0.125	19169
0.126	19109
0.127	19054
0.128	19004
0.129	18941
0.13	18883
0.131	18827
0.132	18765
0.133	18708
0.134	18659
0.135	18602
0.136	18547
0.137	18490
0.138	18437
0.139	18384
0.14	18326
0.141	18273
0.142	18209
0.143	18150
0.144	18105
0.145	18046
0.146	17990
0.147	17936
0.148	17886
0.149	17840
0.15	17787
0.151	17742
0.152	17687
0.153	17634
0.154	17578
0.155	17532
0.156	17480
0.157	17436
0.158	17380
0.159	17328
0.16	17280
0.161	17232
0.162	17179
0.163	17134
0.164	17085
0.165	17039
0.166	16987
0.167	16941
0.168	16891
0.169	16851
0.17	16801
0.171	16751
0.172	16703
0.173	16659
0.174	16613
0.175	16571
0.176	16525
0.177	16473
0.178	16425
0.179	16384
0.18	16338
0.181	16295
0.182	16247
0.183	16204
0.184	16159
0.185	16121
0.186	16086
0.187	16049
0.188	16004
0.189	15965
0.19	15922
0.191	15878
0.192	15840
0.193	15801
0.194	15756
0.195	15718
0.196	15680
0.197	15641
