fraction	Nx_length
0.001	328698774
0.002	328698774
0.003	328698774
0.004	328698774
0.005	328698774
0.006	328698774
0.007	328698774
0.008	328698774
0.009	328698774
0.01	328698774
0.011	328698774
0.012	328698774
0.013	328698774
0.014	328698774
0.015	328698774
0.016	328698774
0.017	328698774
0.018	328698774
0.019	328698774
0.02	328698774
0.021	328698774
0.022	328698774
0.023	328698774
0.024	328698774
0.025	328698774
0.026	328698774
0.027	328698774
0.028	328698774
0.029	328698774
0.03	328698774
0.031	328698774
0.032	328698774
0.033	328698774
0.034	328698774
0.035	328698774
0.036	328698774
0.037	328698774
0.038	328698774
0.039	328698774
0.04	328698774
0.041	328698774
0.042	328698774
0.043	328698774
0.044	328698774
0.045	328698774
0.046	328698774
0.047	328698774
0.048	328698774
0.049	328698774
0.05	328698774
0.051	328698774
0.052	328698774
0.053	328698774
0.054	328698774
0.055	328698774
0.056	328698774
0.057	328698774
0.058	328698774
0.059	328698774
0.06	328698774
0.061	328698774
0.062	328698774
0.063	328698774
0.064	328698774
0.065	328698774
0.066	328698774
0.067	328698774
0.068	328698774
0.069	328698774
0.07	328698774
0.071	328698774
0.072	328698774
0.073	328698774
0.074	328698774
0.075	328698774
0.076	328698774
0.077	328698774
0.078	328698774
0.079	328698774
0.08	328698774
0.081	328698774
0.082	328698774
0.083	328698774
0.084	328698774
0.085	328698774
0.086	328698774
0.087	328698774
0.088	328698774
0.089	328698774
0.09	328698774
0.091	328698774
0.092	328698774
0.093	328698774
0.094	328698774
0.095	328698774
0.096	328698774
0.097	328698774
0.098	328698774
0.099	328698774
0.1	328698774
0.101	328698774
0.102	328698774
0.103	328698774
0.104	328698774
0.105	328698774
0.106	328698774
0.107	328698774
0.108	328698774
0.109	328698774
0.11	328698774
0.111	328698774
0.112	328698774
0.113	328698774
0.114	328698774
0.115	328698774
0.116	328698774
0.117	328698774
0.118	328698774
0.119	328698774
0.12	328698774
0.121	328698774
0.122	328698774
0.123	328698774
0.124	328698774
0.125	328698774
0.126	328698774
0.127	328698774
0.128	328698774
0.129	328698774
0.13	328698774
0.131	328698774
0.132	328698774
0.133	328698774
0.134	328698774
0.135	328698774
0.136	328698774
0.137	328698774
0.138	328698774
0.139	328698774
0.14	328698774
0.141	328698774
0.142	328698774
0.143	328698774
0.144	328698774
0.145	252721190
0.146	252721190
0.147	252721190
0.148	252721190
0.149	252721190
0.15	252721190
0.151	252721190
0.152	252721190
0.153	252721190
0.154	252721190
0.155	252721190
0.156	252721190
0.157	252721190
0.158	252721190
0.159	252721190
0.16	252721190
0.161	252721190
0.162	252721190
0.163	252721190
0.164	252721190
0.165	252721190
0.166	252721190
0.167	252721190
0.168	252721190
0.169	252721190
0.17	252721190
0.171	252721190
0.172	252721190
0.173	252721190
0.174	252721190
0.175	252721190
0.176	252721190
0.177	252721190
0.178	252721190
0.179	252721190
0.18	252721190
0.181	252721190
0.182	252721190
0.183	252721190
0.184	252721190
0.185	252721190
0.186	252721190
0.187	252721190
0.188	252721190
0.189	252721190
0.19	252721190
0.191	252721190
0.192	252721190
0.193	252721190
0.194	252721190
0.195	252721190
0.196	252721190
0.197	252721190
0.198	252721190
0.199	252721190
0.2	252721190
0.201	252721190
0.202	252721190
0.203	252721190
0.204	252721190
0.205	252721190
0.206	252721190
0.207	252721190
0.208	252721190
0.209	252721190
0.21	252721190
0.211	252721190
0.212	252721190
0.213	252721190
0.214	252721190
0.215	252721190
0.216	252721190
0.217	252721190
0.218	252721190
0.219	252721190
0.22	252721190
0.221	252721190
0.222	252721190
0.223	252721190
0.224	252721190
0.225	252721190
0.226	252721190
0.227	252721190
0.228	252721190
0.229	252721190
0.23	252721190
0.231	252721190
0.232	252721190
0.233	252721190
0.234	252721190
0.235	252721190
0.236	252721190
0.237	252721190
0.238	252721190
0.239	252721190
0.24	252721190
0.241	252721190
0.242	252721190
0.243	252721190
0.244	252721190
0.245	252721190
0.246	252721190
0.247	252721190
0.248	252721190
0.249	252721190
0.25	252721190
0.251	252721190
0.252	252721190
0.253	252721190
0.254	252721190
0.255	252721190
0.256	193855489
0.257	193855489
0.258	193855489
0.259	193855489
0.26	193855489
0.261	193855489
0.262	193855489
0.263	193855489
0.264	193855489
0.265	193855489
0.266	193855489
0.267	193855489
0.268	193855489
0.269	193855489
0.27	193855489
