fraction	Nx_length
0.001	22453556
0.002	22453556
0.003	22453556
0.004	22453556
0.005	22453556
0.006	22453556
0.007	22453556
0.008	22453556
0.009	22453556
0.01	22453556
0.011	19509294
0.012	19509294
0.013	19509294
0.014	19509294
0.015	19509294
0.016	19509294
0.017	19509294
0.018	19509294
0.019	19509294
0.02	14574290
0.021	14574290
0.022	14574290
0.023	14574290
0.024	14574290
0.025	14574290
0.026	14574290
0.027	10906113
0.028	10906113
0.029	10906113
0.03	10906113
0.031	10906113
0.032	10581023
0.033	10581023
0.034	10581023
0.035	10581023
0.036	10581023
0.037	10073882
0.038	10073882
0.039	10073882
0.04	10073882
0.041	10073882
0.042	9931212
0.043	9931212
0.044	9931212
0.045	9931212
0.046	9931212
0.047	9738232
0.048	9738232
0.049	9738232
0.05	9738232
0.051	9398560
0.052	9398560
0.053	9398560
0.054	9398560
0.055	9398560
0.056	9069077
0.057	9069077
0.058	9069077
0.059	9069077
0.06	9055639
0.061	9055639
0.062	9055639
0.063	9055639
0.064	9043554
0.065	9043554
0.066	9043554
0.067	9043554
0.068	9002150
0.069	9002150
0.07	9002150
0.071	9002150
0.072	9002150
0.073	8907398
0.074	8907398
0.075	8907398
0.076	8907398
0.077	8506499
0.078	8506499
0.079	8506499
0.08	8506499
0.081	8460786
0.082	8460786
0.083	8460786
0.084	8460786
0.085	8327034
0.086	8327034
0.087	8327034
0.088	8327034
0.089	8202911
0.09	8202911
0.091	8202911
0.092	8202911
0.093	7949443
0.094	7949443
0.095	7949443
0.096	7776245
0.097	7776245
0.098	7776245
0.099	7776245
0.1	7736980
0.101	7736980
0.102	7736980
0.103	7736980
0.104	7463434
0.105	7463434
0.106	7463434
0.107	7115658
0.108	7115658
0.109	7115658
0.11	7115658
0.111	7095496
0.112	7095496
0.113	7095496
0.114	7029765
0.115	7029765
0.116	7029765
0.117	6948333
0.118	6948333
0.119	6948333
0.12	6934985
0.121	6934985
0.122	6934985
0.123	6934985
0.124	6926686
0.125	6926686
0.126	6926686
0.127	6881448
0.128	6881448
0.129	6881448
0.13	6731957
0.131	6731957
0.132	6731957
0.133	6586133
0.134	6586133
0.135	6586133
0.136	6586133
0.137	6558604
0.138	6558604
0.139	6558604
0.14	6321335
0.141	6321335
0.142	6321335
0.143	6288869
0.144	6288869
0.145	6288869
0.146	6261249
0.147	6261249
0.148	6248835
0.149	6248835
0.15	6248835
0.151	6135823
0.152	6135823
0.153	6135823
0.154	6129278
0.155	6129278
0.156	6129278
0.157	6094517
0.158	6094517
0.159	6094517
0.16	5991314
0.161	5991314
0.162	5991314
0.163	5844823
0.164	5844823
0.165	5844823
0.166	5803964
0.167	5803964
0.168	5750969
0.169	5750969
0.17	5750969
0.171	5715843
0.172	5715843
0.173	5715843
0.174	5680848
0.175	5680848
0.176	5679039
0.177	5679039
0.178	5679039
0.179	5562888
0.18	5562888
0.181	5562888
0.182	5540973
0.183	5540973
0.184	5369996
0.185	5369996
0.186	5369996
0.187	5331227
0.188	5331227
0.189	5249774
0.19	5249774
0.191	5249774
0.192	5242176
0.193	5242176
0.194	5234905
0.195	5234905
0.196	5234905
0.197	5152022
0.198	5152022
0.199	5120869
0.2	5120869
0.201	5120869
0.202	5117332
0.203	5117332
0.204	5094988
0.205	5094988
0.206	4982939
0.207	4982939
0.208	4982939
0.209	4879819
0.21	4879819
0.211	4852659
0.212	4852659
0.213	4833327
0.214	4833327
0.215	4833327
0.216	4762762
0.217	4762762
0.218	4711516
0.219	4711516
0.22	4686507
0.221	4686507
0.222	4677196
0.223	4677196
0.224	4677196
0.225	4647899
0.226	4647899
0.227	4618065
0.228	4618065
0.229	4592217
0.23	4592217
0.231	4590973
0.232	4590973
0.233	4577489
0.234	4577489
0.235	4573064
0.236	4573064
0.237	4573064
0.238	4555678
0.239	4555678
0.24	4514576
0.241	4514576
0.242	4498718
0.243	4498718
0.244	4495273
0.245	4495273
0.246	4421878
0.247	4421878
0.248	4416384
0.249	4416384
0.25	4414900
0.251	4414900
0.252	4345643
0.253	4345643
0.254	4327184
0.255	4327184
0.256	4307647
0.257	4307647
0.258	4305919
0.259	4305919
0.26	4285701
0.261	4285701
0.262	4229873
0.263	4229873
0.264	4204462
0.265	4204462
0.266	4201684
0.267	4201684
0.268	4201214
0.269	4201214
0.27	4116891
0.271	4116891
0.272	4109369
0.273	4109369
0.274	4086072
0.275	4086072
0.276	4082941
0.277	4082941
0.278	4060058
0.279	4060058
0.28	4049788
0.281	4049788
0.282	4030473
0.283	4030473
0.284	3918056
0.285	3918056
0.286	3910364
0.287	3898832
0.288	3898832
0.289	3845689
0.29	3845689
0.291	3810733
0.292	3810733
0.293	3794481
0.294	3794481
0.295	3766188
0.296	3740157
0.297	3740157
0.298	3689504
0.299	3689504
0.3	3649086
0.301	3649086
0.302	3647934
0.303	3642900
0.304	3642900
0.305	3636979
0.306	3636979
0.307	3636307
0.308	3636307
0.309	3604861
0.31	3595167
0.311	3595167
0.312	3578723
0.313	3578723
0.314	3577728
0.315	3565216
0.316	3565216
0.317	3512071
0.318	3512071
0.319	3489252
0.32	3462540
0.321	3462540
0.322	3442793
0.323	3442793
0.324	3436710
0.325	3413375
0.326	3413375
0.327	3410179
0.328	3387000
0.329	3387000
0.33	3380030
0.331	3380030
0.332	3361831
0.333	3359672
0.334	3359672
0.335	3349254
0.336	3348893
0.337	3348893
0.338	3341874
0.339	3319095
0.34	3319095
0.341	3316461
0.342	3316461
0.343	3313257
0.344	3309164
0.345	3309164
0.346	3305818
0.347	3302218
0.348	3302218
0.349	3277342
0.35	3272182
0.351	3272182
0.352	3257618
0.353	3243953
0.354	3243953
0.355	3223277
0.356	3221124
0.357	3221124
0.358	3183641
0.359	3177941
0.36	3177941
0.361	3163276
0.362	3156978
0.363	3156978
0.364	3147696
0.365	3147197
0.366	3147197
0.367	3139660
0.368	3121492
0.369	3121492
0.37	3120519
0.371	3109671
0.372	3109671
0.373	3044527
0.374	3037578
0.375	3037578
0.376	3023647
0.377	3017010
0.378	2994974
0.379	2994974
0.38	2994017
0.381	2972503
0.382	2972503
0.383	2940640
0.384	2937626
0.385	2924305
0.386	2924305
0.387	2915043
0.388	2903159
0.389	2903159
0.39	2893009
0.391	2892894
0.392	2854980
0.393	2854980
0.394	2850293
0.395	2812058
0.396	2781724
0.397	2781724
0.398	2772274
0.399	2767842
0.4	2765482
0.401	2765482
0.402	2758011
0.403	2750768
0.404	2712471
0.405	2687994
0.406	2687994
0.407	2681621
0.408	2677948
0.409	2676334
0.41	2665999
0.411	2665999
0.412	2635838
0.413	2634623
0.414	2619356
0.415	2609898
0.416	2609898
0.417	2596198
0.418	2580094
0.419	2577018
0.42	2569757
0.421	2569337
0.422	2569337
0.423	2557635
0.424	2548869
0.425	2544697
0.426	2540340
0.427	2540340
0.428	2538014
0.429	2503643
0.43	2503118
0.431	2498244
0.432	2497087
0.433	2471663
0.434	2471663
0.435	2456105
0.436	2445402
0.437	2429239
0.438	2416968
0.439	2415768
0.44	2415197
0.441	2404574
0.442	2404574
0.443	2397330
0.444	2368304
0.445	2365233
0.446	2365213
0.447	2363659
0.448	2333994
0.449	2323382
0.45	2316465
0.451	2310411
0.452	2310411
0.453	2300038
0.454	2288681
0.455	2281995
0.456	2260859
0.457	2259324
0.458	2252383
0.459	2241516
0.46	2241462
0.461	2236261
0.462	2235975
0.463	2231215
0.464	2220531
0.465	2218836
0.466	2215826
0.467	2212909
0.468	2212182
0.469	2211961
0.47	2207459
0.471	2207459
0.472	2207287
0.473	2202489
0.474	2185968
0.475	2170548
0.476	2169350
0.477	2165927
0.478	2164514
0.479	2163558
0.48	2132001
0.481	2125626
0.482	2123521
0.483	2121968
0.484	2108643
0.485	2091507
0.486	2080451
0.487	2064734
0.488	2043389
0.489	2035744
0.49	2032986
0.491	2013402
0.492	2011374
0.493	2006719
0.494	1988755
0.495	1982899
0.496	1981724
0.497	1980449
0.498	1980029
0.499	1979054
0.5	1978471
0.501	1967515
0.502	1963051
0.503	1946530
0.504	1941286
0.505	1929130
0.506	1919077
0.507	1916010
0.508	1911639
0.509	1888281
0.51	1881791
0.511	1862034
0.512	1842863
0.513	1816879
0.514	1810645
0.515	1809881
0.516	1799748
0.517	1793824
0.518	1779044
0.519	1771340
0.52	1768511
0.521	1767882
0.522	1764839
0.523	1764212
0.524	1743048
0.525	1741287
0.526	1737111
0.527	1733595
0.528	1727737
0.529	1719692
0.53	1713471
0.531	1711884
0.532	1699368
0.533	1697815
0.534	1694163
0.535	1689785
0.536	1682658
0.537	1678389
0.538	1677596
0.539	1675704
0.54	1667775
0.541	1662129
0.542	1655550
0.543	1652860
0.544	1650870
0.545	1649759
0.546	1646559
0.547	1637146
0.548	1627451
0.549	1607186
0.55	1594455
0.551	1589566
0.552	1588463
0.553	1578125
0.554	1575919
0.555	1573611
0.556	1553249
0.557	1549173
0.558	1544897
0.559	1540811
0.56	1540268
0.561	1538443
0.562	1537155
0.563	1532588
0.564	1518260
0.565	1515190
0.566	1515056
0.567	1508962
0.568	1508952
0.569	1492353
0.57	1479986
0.571	1472775
0.572	1460254
0.573	1457997
0.574	1446765
0.575	1445876
0.576	1440215
0.577	1438638
0.578	1434126
0.579	1429054
0.58	1421894
0.581	1420344
0.582	1416482
0.583	1412707
0.584	1400936
0.585	1399562
0.586	1398384
0.587	1395462
0.588	1389007
0.589	1383743
0.59	1379247
0.591	1379162
0.592	1369392
0.593	1364093
0.594	1363330
0.595	1358964
0.596	1356292
0.597	1353431
0.598	1351693
0.599	1338432
0.6	1326311
0.601	1325886
0.602	1321779
0.603	1321098
0.604	1313380
0.605	1308379
0.606	1307782
0.607	1298167
0.608	1291483
0.609	1286866
0.61	1278735
0.611	1275966
0.612	1268518
0.613	1266475
0.614	1265763
0.615	1252924
0.616	1248861
0.617	1236422
0.618	1234949
0.619	1221769
0.62	1217464
0.621	1211431
0.622	1201898
0.623	1197661
0.624	1196476
0.625	1186155
0.626	1179536
0.627	1169234
0.628	1160307
0.629	1156696
0.63	1154385
0.631	1150975
0.632	1149657
0.633	1143931
0.634	1137154
0.635	1128773
0.636	1126529
0.637	1125668
0.638	1116787
0.639	1108927
0.64	1107304
0.641	1102549
0.642	1092058
0.643	1086098
0.644	1078563
0.645	1074052
0.646	1073831
0.647	1056618
0.648	1054944
0.649	1052733
0.65	1043438
0.651	1039231
0.652	1037817
0.653	1037029
0.654	1032118
0.655	1025976
0.656	1019944
0.657	1014876
0.658	1009083
0.659	1002858
0.66	995402
0.661	984029
0.662	982447
0.663	976678
0.664	970096
0.665	956272
0.666	953831
0.667	949582
0.668	931014
0.669	928043
0.67	925775
0.671	918525
0.672	914781
0.673	911941
0.674	907186
0.675	902909
0.676	900945
0.677	898891
0.678	892458
0.679	892069
0.68	890330
0.681	886447
0.682	882032
0.683	872984
0.684	867627
0.685	861772
0.686	857976
0.687	848715
0.688	840946
0.689	833358
0.69	829782
0.691	825066
0.692	821434
0.693	814666
0.694	813765
0.695	811709
0.696	807474
0.697	804311
0.698	799144
0.699	793322
0.7	790215
0.701	785838
0.702	783222
0.703	767093
0.704	764966
0.705	752736
0.706	744369
0.707	740698
0.708	735819
0.709	726608
0.71	721366
0.711	720724
0.712	708257
0.713	703986
0.714	700360
0.715	687352
0.716	682926
0.717	677744
0.718	675126
0.719	670828
0.72	667462
0.721	660371
0.722	654095
0.723	652639
0.724	650546
0.725	648091
0.726	641313
0.727	638979
0.728	633137
0.729	626653
0.73	625562
0.731	621704
0.732	615056
0.733	610573
0.734	606653
0.735	603433
0.736	600087
0.737	594738
0.738	591688
0.739	581560
0.74	573704
0.741	567536
0.742	563796
0.743	555177
0.744	549467
0.745	544538
0.746	542350
0.747	535425
0.748	533406
0.749	530629
0.75	526468
0.751	523569
0.752	517998
0.753	510071
0.754	506933
0.755	502426
0.756	497718
0.757	495912
0.758	492163
0.759	487127
0.76	482879
0.761	476137
0.762	471660
0.763	468703
0.764	463029
0.765	460611
0.766	458742
0.767	455685
0.768	452796
0.769	450166
0.77	446010
0.771	444152
0.772	440323
0.773	436096
0.774	433960
0.775	432077
0.776	427437
0.777	423503
0.778	421966
0.779	419568
0.78	417521
0.781	411762
0.782	407434
0.783	404346
0.784	398050
0.785	395773
0.786	392893
0.787	390741
0.788	386349
0.789	379900
0.79	377959
0.791	375220
0.792	369720
0.793	366188
0.794	363766
0.795	361288
0.796	358017
0.797	354577
0.798	349957
0.799	347378
0.8	340513
0.801	336338
0.802	334911
0.803	331940
0.804	328670
0.805	325433
0.806	321109
0.807	313776
0.808	311539
0.809	308921
0.81	306617
0.811	303669
0.812	299266
0.813	295986
0.814	293193
0.815	290971
0.816	287580
0.817	283557
