fraction	Nx_length
0.001	347647781
0.002	347647781
0.003	347647781
0.004	347647781
0.005	347647781
0.006	347647781
0.007	347647781
0.008	347647781
0.009	347647781
0.01	347647781
0.011	347647781
0.012	347647781
0.013	347647781
0.014	347647781
0.015	347647781
0.016	347647781
0.017	347647781
0.018	347647781
0.019	347647781
0.02	347647781
0.021	347647781
0.022	347647781
0.023	347647781
0.024	347647781
0.025	347647781
0.026	347647781
0.027	347647781
0.028	347647781
0.029	347647781
0.03	347647781
0.031	347647781
0.032	347647781
0.033	347647781
0.034	347647781
0.035	347647781
0.036	347647781
0.037	347647781
0.038	347647781
0.039	347647781
0.04	347647781
0.041	347647781
0.042	347647781
0.043	347647781
0.044	347647781
0.045	347647781
0.046	347647781
0.047	347647781
0.048	347647781
0.049	347647781
0.05	347647781
0.051	347647781
0.052	347647781
0.053	347647781
0.054	347647781
0.055	347647781
0.056	347647781
0.057	347647781
0.058	347647781
0.059	347647781
0.06	347647781
0.061	347647781
0.062	347647781
0.063	347647781
0.064	347647781
0.065	347647781
0.066	347647781
0.067	347647781
0.068	347647781
0.069	347647781
0.07	347647781
0.071	347647781
0.072	347647781
0.073	347647781
0.074	347647781
0.075	347647781
0.076	347647781
0.077	347647781
0.078	347647781
0.079	347647781
0.08	347647781
0.081	347647781
0.082	347647781
0.083	347647781
0.084	347647781
0.085	347647781
0.086	347647781
0.087	347647781
0.088	347647781
0.089	347647781
0.09	347647781
0.091	347647781
0.092	347647781
0.093	347647781
0.094	347647781
0.095	347647781
0.096	347647781
0.097	347647781
0.098	347647781
0.099	347647781
0.1	347647781
0.101	347647781
0.102	347647781
0.103	347647781
0.104	347647781
0.105	347647781
0.106	347647781
0.107	347647781
0.108	347647781
0.109	347647781
0.11	347647781
0.111	347647781
0.112	347647781
0.113	347647781
0.114	347647781
0.115	347647781
0.116	347647781
0.117	347647781
0.118	347647781
0.119	347647781
0.12	347647781
0.121	347647781
0.122	347647781
0.123	347647781
0.124	347647781
0.125	347647781
0.126	347647781
0.127	347647781
0.128	347647781
0.129	347647781
0.13	347647781
0.131	347647781
0.132	347647781
0.133	347647781
0.134	347647781
0.135	347647781
0.136	347647781
0.137	347647781
0.138	347647781
0.139	347647781
0.14	347647781
0.141	347647781
0.142	347647781
0.143	347647781
0.144	347647781
0.145	347647781
0.146	347647781
0.147	347647781
0.148	347647781
0.149	347647781
0.15	347647781
0.151	347647781
0.152	347647781
0.153	347647781
0.154	347647781
0.155	347647781
0.156	347647781
0.157	347647781
0.158	347647781
0.159	347647781
0.16	347647781
0.161	347647781
0.162	347647781
0.163	258047166
0.164	258047166
0.165	258047166
0.166	258047166
0.167	258047166
0.168	258047166
0.169	258047166
0.17	258047166
0.171	258047166
0.172	258047166
0.173	258047166
0.174	258047166
0.175	258047166
0.176	258047166
0.177	258047166
0.178	258047166
0.179	258047166
0.18	258047166
0.181	258047166
