fraction	Nx_length
0.001	315283406
0.002	315283406
0.003	315283406
0.004	315283406
0.005	315283406
0.006	315283406
0.007	315283406
0.008	315283406
0.009	315283406
0.01	315283406
0.011	315283406
0.012	315283406
0.013	315283406
0.014	315283406
0.015	315283406
0.016	315283406
0.017	315283406
0.018	315283406
0.019	315283406
0.02	315283406
0.021	315283406
0.022	315283406
0.023	315283406
0.024	315283406
0.025	315283406
0.026	315283406
0.027	315283406
0.028	315283406
0.029	315283406
0.03	315283406
0.031	315283406
0.032	315283406
0.033	315283406
0.034	315283406
0.035	315283406
0.036	315283406
0.037	315283406
0.038	315283406
0.039	315283406
0.04	315283406
0.041	315283406
0.042	315283406
0.043	315283406
0.044	315283406
0.045	315283406
0.046	315283406
0.047	315283406
0.048	315283406
0.049	315283406
0.05	315283406
0.051	315283406
0.052	315283406
0.053	315283406
0.054	315283406
0.055	315283406
0.056	315283406
0.057	315283406
0.058	315283406
0.059	315283406
0.06	315283406
0.061	315283406
0.062	315283406
0.063	315283406
0.064	315283406
0.065	315283406
0.066	315283406
0.067	315283406
0.068	315283406
0.069	315283406
0.07	315283406
0.071	315283406
0.072	315283406
0.073	315283406
0.074	315283406
0.075	315283406
0.076	315283406
0.077	315283406
0.078	315283406
0.079	315283406
0.08	315283406
0.081	315283406
0.082	315283406
0.083	315283406
0.084	315283406
0.085	315283406
0.086	315283406
0.087	315283406
0.088	315283406
0.089	315283406
0.09	315283406
0.091	315283406
0.092	315283406
0.093	315283406
0.094	315283406
0.095	315283406
0.096	315283406
0.097	315283406
0.098	315283406
0.099	315283406
0.1	315283406
0.101	315283406
0.102	315283406
0.103	315283406
0.104	315283406
0.105	315283406
0.106	315283406
0.107	315283406
0.108	315283406
0.109	315283406
0.11	315283406
0.111	315283406
0.112	315283406
0.113	315283406
0.114	315283406
0.115	315283406
0.116	315283406
0.117	315283406
0.118	315283406
0.119	315283406
0.12	315283406
0.121	315283406
0.122	315283406
0.123	315283406
0.124	315283406
0.125	315283406
0.126	315283406
0.127	315283406
0.128	315283406
0.129	315283406
0.13	315283406
0.131	315283406
0.132	315283406
0.133	315283406
0.134	315283406
0.135	315283406
0.136	315283406
0.137	315283406
0.138	315283406
0.139	315283406
0.14	315283406
0.141	315283406
0.142	315283406
0.143	315283406
0.144	315283406
0.145	315283406
0.146	315283406
0.147	315283406
0.148	315283406
0.149	315283406
0.15	315283406
0.151	315283406
0.152	315283406
0.153	315283406
0.154	315283406
