fraction	Nx_length
0.001	1917772152
0.002	1917772152
0.003	1917772152
0.004	1917772152
0.005	1917772152
0.006	1917772152
0.007	1917772152
0.008	1917772152
0.009	1917772152
0.01	1917772152
0.011	1917772152
0.012	1917772152
0.013	1917772152
0.014	1917772152
0.015	1917772152
0.016	1917772152
0.017	1917772152
0.018	1917772152
0.019	1917772152
0.02	1917772152
0.021	1917772152
0.022	1917772152
0.023	1917772152
0.024	1917772152
0.025	1917772152
0.026	1917772152
0.027	1917772152
0.028	1917772152
0.029	1917772152
0.03	1917772152
0.031	1917772152
0.032	1917772152
0.033	1917772152
0.034	1917772152
0.035	1917772152
0.036	1917772152
0.037	1917772152
0.038	1917772152
0.039	1917772152
0.04	1917772152
0.041	1917772152
0.042	1917772152
0.043	1917772152
0.044	1917772152
0.045	1917772152
0.046	1917772152
0.047	1917772152
0.048	1917772152
0.049	1917772152
0.05	1917772152
0.051	1917772152
0.052	1917772152
0.053	1917772152
0.054	1917772152
0.055	1917772152
0.056	1917772152
0.057	1917772152
0.058	1917772152
0.059	1917772152
0.06	1917772152
0.061	1917772152
0.062	1917772152
0.063	1917772152
0.064	1917772152
0.065	1917772152
0.066	1917772152
0.067	1917772152
0.068	1917772152
0.069	1917772152
0.07	1917772152
0.071	1917772152
0.072	1917772152
0.073	1917772152
0.074	1917772152
0.075	1917772152
0.076	1917772152
0.077	1917772152
0.078	1917772152
0.079	1917772152
0.08	1917772152
0.081	1917772152
0.082	1917772152
0.083	1917772152
0.084	1917772152
0.085	1917772152
0.086	1917772152
0.087	1917772152
0.088	1917772152
0.089	1917772152
0.09	1917772152
0.091	1917772152
0.092	1917772152
0.093	1917772152
0.094	1917772152
0.095	1780139804
0.096	1780139804
0.097	1780139804
0.098	1780139804
0.099	1780139804
0.1	1780139804
0.101	1780139804
0.102	1780139804
0.103	1780139804
0.104	1780139804
0.105	1780139804
0.106	1780139804
0.107	1780139804
0.108	1780139804
0.109	1780139804
0.11	1780139804
0.111	1780139804
0.112	1780139804
0.113	1780139804
0.114	1780139804
0.115	1780139804
0.116	1780139804
0.117	1780139804
0.118	1780139804
0.119	1780139804
0.12	1780139804
0.121	1780139804
0.122	1780139804
0.123	1780139804
0.124	1780139804
0.125	1780139804
0.126	1780139804
0.127	1780139804
0.128	1780139804
0.129	1780139804
0.13	1780139804
0.131	1780139804
0.132	1780139804
0.133	1780139804
0.134	1780139804
0.135	1780139804
0.136	1780139804
0.137	1780139804
0.138	1780139804
0.139	1780139804
0.14	1780139804
0.141	1780139804
0.142	1780139804
0.143	1780139804
0.144	1780139804
0.145	1780139804
0.146	1780139804
0.147	1780139804
0.148	1780139804
0.149	1780139804
0.15	1780139804
0.151	1780139804
0.152	1780139804
0.153	1780139804
0.154	1780139804
0.155	1780139804
0.156	1780139804
0.157	1780139804
0.158	1780139804
0.159	1780139804
0.16	1780139804
0.161	1780139804
0.162	1780139804
0.163	1780139804
0.164	1780139804
0.165	1780139804
0.166	1780139804
0.167	1780139804
0.168	1780139804
0.169	1780139804
0.17	1780139804
0.171	1780139804
0.172	1780139804
0.173	1780139804
0.174	1780139804
0.175	1780139804
0.176	1780139804
0.177	1780139804
0.178	1780139804
0.179	1780139804
0.18	1780139804
0.181	1780139804
0.182	1780139804
0.183	1624753398
0.184	1624753398
0.185	1624753398
0.186	1624753398
0.187	1624753398
0.188	1624753398
0.189	1624753398
0.19	1624753398
0.191	1624753398
0.192	1624753398
0.193	1624753398
0.194	1624753398
0.195	1624753398
0.196	1624753398
0.197	1624753398
0.198	1624753398
0.199	1624753398
0.2	1624753398
0.201	1624753398
0.202	1624753398
0.203	1624753398
0.204	1624753398
0.205	1624753398
0.206	1624753398
0.207	1624753398
0.208	1624753398
0.209	1624753398
0.21	1624753398
0.211	1624753398
0.212	1624753398
0.213	1624753398
0.214	1624753398
0.215	1624753398
0.216	1624753398
0.217	1624753398
0.218	1624753398
0.219	1624753398
0.22	1624753398
0.221	1624753398
0.222	1624753398
0.223	1624753398
0.224	1624753398
0.225	1624753398
0.226	1624753398
0.227	1624753398
0.228	1624753398
0.229	1624753398
0.23	1624753398
0.231	1624753398
0.232	1624753398
0.233	1624753398
0.234	1624753398
0.235	1624753398
0.236	1624753398
0.237	1624753398
0.238	1624753398
0.239	1624753398
0.24	1624753398
0.241	1624753398
0.242	1624753398
0.243	1624753398
0.244	1624753398
0.245	1624753398
0.246	1624753398
0.247	1624753398
0.248	1624753398
0.249	1624753398
0.25	1624753398
0.251	1624753398
0.252	1624753398
0.253	1624753398
0.254	1624753398
0.255	1624753398
0.256	1624753398
0.257	1624753398
0.258	1624753398
0.259	1624753398
0.26	1624753398
0.261	1624753398
0.262	1624753398
0.263	1578904521
0.264	1578904521
0.265	1578904521
0.266	1578904521
0.267	1578904521
0.268	1578904521
0.269	1578904521
0.27	1578904521
0.271	1578904521
0.272	1578904521
0.273	1578904521
0.274	1578904521
0.275	1578904521
0.276	1578904521
0.277	1578904521
0.278	1578904521
0.279	1578904521
0.28	1578904521
0.281	1578904521
0.282	1578904521
0.283	1578904521
0.284	1578904521
0.285	1578904521
0.286	1578904521
0.287	1578904521
0.288	1578904521
0.289	1578904521
0.29	1578904521
0.291	1578904521
0.292	1578904521
0.293	1578904521
0.294	1578904521
0.295	1578904521
0.296	1578904521
0.297	1578904521
0.298	1578904521
0.299	1578904521
0.3	1578904521
0.301	1578904521
0.302	1578904521
0.303	1578904521
0.304	1578904521
0.305	1578904521
0.306	1578904521
0.307	1578904521
0.308	1578904521
0.309	1578904521
0.31	1578904521
0.311	1578904521
0.312	1578904521
0.313	1578904521
0.314	1578904521
0.315	1578904521
0.316	1578904521
0.317	1578904521
0.318	1578904521
0.319	1578904521
0.32	1578904521
0.321	1578904521
0.322	1578904521
0.323	1578904521
0.324	1578904521
0.325	1578904521
0.326	1578904521
0.327	1578904521
0.328	1578904521
0.329	1578904521
0.33	1578904521
0.331	1578904521
0.332	1578904521
0.333	1578904521
0.334	1578904521
0.335	1578904521
0.336	1578904521
0.337	1578904521
0.338	1578904521
0.339	1578904521
0.34	1527636511
0.341	1527636511
0.342	1527636511
0.343	1527636511
0.344	1527636511
0.345	1527636511
0.346	1527636511
0.347	1527636511
0.348	1527636511
0.349	1527636511
0.35	1527636511
0.351	1527636511
0.352	1527636511
0.353	1527636511
0.354	1527636511
0.355	1527636511
0.356	1527636511
0.357	1527636511
0.358	1527636511
0.359	1527636511
