fraction	Nx_length
0.001	29677041
0.002	29677041
0.003	29677041
0.004	29677041
0.005	29677041
0.006	29677041
0.007	29677041
0.008	29677041
0.009	29677041
0.01	29677041
0.011	29677041
0.012	29677041
0.013	29677041
0.014	23529836
0.015	23529836
0.016	23529836
0.017	23529836
0.018	23529836
0.019	23529836
0.02	23529836
0.021	23529836
0.022	23529836
0.023	23529836
0.024	23529836
0.025	19544481
0.026	19544481
0.027	19544481
0.028	19544481
0.029	19544481
0.03	19544481
0.031	19544481
0.032	19544481
0.033	19544481
0.034	19500237
0.035	19500237
0.036	19500237
0.037	19500237
0.038	19500237
0.039	19500237
0.04	19500237
0.041	19500237
0.042	19500237
0.043	17721831
0.044	17721831
0.045	17721831
0.046	17721831
0.047	17721831
0.048	17721831
0.049	17721831
0.05	17721831
0.051	16798563
0.052	16798563
0.053	16798563
0.054	16798563
0.055	16798563
0.056	16798563
0.057	16798563
0.058	16798563
0.059	16727160
0.06	16727160
0.061	16727160
0.062	16727160
0.063	16727160
0.064	16727160
0.065	16727160
0.066	16633721
0.067	16633721
0.068	16633721
0.069	16633721
0.07	16633721
0.071	16633721
0.072	16633721
0.073	16633721
0.074	16446949
0.075	16446949
0.076	16446949
0.077	16446949
0.078	16446949
0.079	16446949
0.08	16446949
0.081	16446949
0.082	16266867
0.083	16266867
0.084	16266867
0.085	16266867
0.086	16266867
0.087	16266867
0.088	16266867
0.089	16107237
0.09	16107237
0.091	16107237
0.092	16107237
0.093	16107237
0.094	16107237
0.095	16107237
0.096	15769611
0.097	15769611
0.098	15769611
0.099	15769611
0.1	15769611
0.101	15769611
0.102	15769611
0.103	15769611
0.104	15698609
0.105	15698609
0.106	15698609
0.107	15698609
0.108	15698609
0.109	15698609
0.11	15698609
0.111	15615412
0.112	15615412
0.113	15615412
0.114	15615412
0.115	15615412
0.116	15615412
0.117	15615412
0.118	15341651
0.119	15341651
0.12	15341651
0.121	15341651
0.122	15341651
0.123	15341651
0.124	15341651
0.125	14342750
0.126	14342750
0.127	14342750
0.128	14342750
0.129	14342750
0.13	14342750
0.131	14342750
0.132	14281407
0.133	14281407
0.134	14281407
0.135	14281407
0.136	14281407
0.137	14281407
0.138	14071038
0.139	14071038
0.14	14071038
0.141	14071038
0.142	14071038
0.143	14071038
0.144	14071038
0.145	14046809
0.146	14046809
0.147	14046809
0.148	14046809
0.149	14046809
0.15	14046809
0.151	13873052
0.152	13873052
0.153	13873052
0.154	13873052
0.155	13873052
0.156	13873052
0.157	13873052
0.158	13540349
0.159	13540349
0.16	13540349
0.161	13540349
0.162	13540349
0.163	13540349
0.164	13349673
0.165	13349673
0.166	13349673
0.167	13349673
0.168	13349673
0.169	13349673
0.17	13284185
0.171	13284185
0.172	13284185
0.173	13284185
0.174	13284185
0.175	13284185
0.176	13155907
0.177	13155907
0.178	13155907
0.179	13155907
0.18	13155907
0.181	13155907
0.182	13134834
0.183	13134834
0.184	13134834
0.185	13134834
0.186	13134834
0.187	13134834
0.188	13133228
0.189	13133228
0.19	13133228
0.191	13133228
0.192	13133228
0.193	13133228
0.194	12864267
0.195	12864267
0.196	12864267
0.197	12864267
0.198	12864267
0.199	12864267
0.2	12853338
0.201	12853338
0.202	12853338
0.203	12853338
0.204	12853338
0.205	12853338
0.206	12746587
0.207	12746587
0.208	12746587
0.209	12746587
0.21	12746587
0.211	12746587
0.212	12713121
0.213	12713121
0.214	12713121
0.215	12713121
0.216	12713121
0.217	12713121
0.218	12513109
0.219	12513109
0.22	12513109
0.221	12513109
0.222	12513109
0.223	12397150
0.224	12397150
0.225	12397150
0.226	12397150
0.227	12397150
0.228	12397150
0.229	12311552
0.23	12311552
0.231	12311552
0.232	12311552
0.233	12311552
0.234	12311552
0.235	12085204
0.236	12085204
0.237	12085204
0.238	12085204
0.239	12085204
0.24	12068643
0.241	12068643
0.242	12068643
0.243	12068643
0.244	12068643
0.245	12068643
0.246	12023642
0.247	12023642
0.248	12023642
0.249	12023642
0.25	12023642
0.251	11601241
0.252	11601241
0.253	11601241
0.254	11601241
0.255	11601241
0.256	11601241
0.257	11444589
0.258	11444589
0.259	11444589
0.26	11444589
0.261	11444589
0.262	11437123
0.263	11437123
0.264	11437123
0.265	11437123
0.266	11437123
0.267	11239540
0.268	11239540
0.269	11239540
0.27	11239540
0.271	11239540
0.272	11146637
0.273	11146637
0.274	11146637
0.275	11146637
0.276	11146637
0.277	10786621
0.278	10786621
0.279	10786621
0.28	10786621
0.281	10786621
0.282	10668047
0.283	10668047
0.284	10668047
0.285	10668047
0.286	10668047
0.287	10580778
0.288	10580778
0.289	10580778
0.29	10580778
0.291	10580778
0.292	10341547
0.293	10341547
0.294	10341547
0.295	10341547
0.296	10341547
0.297	10251557
0.298	10251557
0.299	10251557
0.3	10251557
0.301	10251557
0.302	10148248
0.303	10148248
0.304	10148248
0.305	10148248
0.306	10041381
0.307	10041381
0.308	10041381
0.309	10041381
0.31	10041381
0.311	9942997
0.312	9942997
0.313	9942997
0.314	9942997
0.315	9928152
0.316	9928152
0.317	9928152
0.318	9928152
0.319	9928152
0.32	9534517
0.321	9534517
0.322	9534517
0.323	9534517
0.324	9323457
0.325	9323457
0.326	9323457
0.327	9323457
0.328	9323457
0.329	9219457
0.33	9219457
0.331	9219457
0.332	9219457
0.333	8584528
0.334	8584528
0.335	8584528
0.336	8584528
0.337	8554953
0.338	8554953
0.339	8554953
0.34	8554953
0.341	8425728
0.342	8425728
0.343	8425728
0.344	8425728
0.345	8142215
0.346	8142215
0.347	8142215
0.348	8129757
0.349	8129757
0.35	8129757
0.351	8129757
0.352	8069818
0.353	8069818
0.354	8069818
0.355	8069818
0.356	8043810
0.357	8043810
0.358	8043810
0.359	7921697
0.36	7921697
0.361	7921697
0.362	7921697
0.363	7848721
0.364	7848721
0.365	7848721
0.366	7848721
0.367	7777810
0.368	7777810
0.369	7777810
0.37	7731612
0.371	7731612
0.372	7731612
0.373	7731612
0.374	7676972
0.375	7676972
0.376	7676972
0.377	7501426
0.378	7501426
0.379	7501426
0.38	7501426
0.381	7481322
0.382	7481322
0.383	7481322
0.384	7475372
0.385	7475372
0.386	7475372
0.387	7475372
0.388	7430226
0.389	7430226
0.39	7430226
0.391	7355888
0.392	7355888
0.393	7355888
0.394	7181864
0.395	7181864
0.396	7181864
0.397	7181864
0.398	7062036
0.399	7062036
0.4	7062036
0.401	6993730
0.402	6993730
0.403	6993730
0.404	6944665
0.405	6944665
0.406	6944665
0.407	6711006
0.408	6711006
0.409	6711006
0.41	6711006
0.411	6687059
0.412	6687059
0.413	6687059
0.414	6664362
0.415	6664362
0.416	6664362
0.417	6620780
0.418	6620780
0.419	6620780
0.42	6595323
0.421	6595323
0.422	6595323
0.423	6539394
0.424	6539394
0.425	6539394
0.426	6535720
0.427	6535720
0.428	6535720
0.429	6411371
0.43	6411371
0.431	6411371
0.432	6342848
0.433	6342848
0.434	6342848
0.435	6332205
0.436	6332205
0.437	6277767
0.438	6277767
0.439	6277767
0.44	6253887
0.441	6253887
0.442	6253887
0.443	6224423
0.444	6224423
0.445	6224423
0.446	6165883
0.447	6165883
0.448	6165883
0.449	6164198
0.45	6164198
0.451	6164198
0.452	6134705
0.453	6134705
0.454	6134705
0.455	6110016
0.456	6110016
0.457	5976289
0.458	5976289
0.459	5976289
0.46	5936999
0.461	5936999
0.462	5936999
0.463	5909091
0.464	5909091
0.465	5909091
0.466	5873584
0.467	5873584
0.468	5828539
0.469	5828539
0.47	5828539
0.471	5814788
0.472	5814788
0.473	5814788
0.474	5798164
0.475	5798164
0.476	5740593
0.477	5740593
0.478	5740593
0.479	5647251
0.48	5647251
0.481	5647251
0.482	5638137
0.483	5638137
0.484	5628822
0.485	5628822
0.486	5628822
0.487	5559018
0.488	5559018
0.489	5541474
0.49	5541474
0.491	5541474
0.492	5473869
0.493	5473869
0.494	5412739
0.495	5412739
0.496	5412739
0.497	5366919
0.498	5366919
0.499	5334240
0.5	5334240
0.501	5334240
0.502	5326836
0.503	5326836
0.504	5290585
0.505	5290585
0.506	5290585
0.507	5289502
0.508	5289502
0.509	5266467
0.51	5266467
0.511	5260393
0.512	5260393
0.513	5260393
0.514	5252830
0.515	5252830
0.516	5251427
0.517	5251427
0.518	5251427
0.519	5241886
0.52	5241886
0.521	5221109
0.522	5221109
0.523	5203777
0.524	5203777
0.525	5203777
0.526	5195369
0.527	5195369
0.528	5189679
0.529	5189679
0.53	5189679
0.531	5183333
0.532	5183333
0.533	5146943
0.534	5146943
0.535	5095999
0.536	5095999
0.537	5095999
0.538	5029806
0.539	5029806
0.54	5008483
0.541	5008483
0.542	5003657
0.543	5003657
0.544	5003657
0.545	4876550
0.546	4876550
0.547	4854912
0.548	4854912
0.549	4817627
0.55	4817627
0.551	4815203
0.552	4815203
0.553	4772638
0.554	4772638
0.555	4772638
0.556	4771333
0.557	4771333
0.558	4730910
0.559	4730910
0.56	4721293
0.561	4721293
0.562	4619050
0.563	4619050
0.564	4571086
0.565	4571086
0.566	4520779
0.567	4520779
0.568	4520779
0.569	4510734
0.57	4510734
0.571	4471548
0.572	4471548
0.573	4426613
0.574	4426613
0.575	4424546
0.576	4424546
0.577	4388474
0.578	4388474
0.579	4290311
0.58	4290311
0.581	4258102
0.582	4258102
0.583	4169287
0.584	4169287
0.585	4168164
0.586	4112486
0.587	4112486
0.588	4110796
0.589	4110796
0.59	4083645
0.591	4083645
0.592	4065477
0.593	4065477
0.594	4050644
0.595	4050644
0.596	4017558
0.597	4017558
0.598	3994146
0.599	3994146
0.6	3957998
0.601	3955459
0.602	3955459
0.603	3902910
0.604	3902910
0.605	3901442
0.606	3901442
0.607	3861712
0.608	3861712
0.609	3860690
0.61	3848958
0.611	3848958
0.612	3827743
0.613	3827743
0.614	3826909
0.615	3826909
0.616	3824239
0.617	3808857
0.618	3808857
0.619	3772937
0.62	3772937
0.621	3766181
0.622	3766181
0.623	3753245
0.624	3747967
0.625	3747967
0.626	3678199
0.627	3678199
0.628	3663798
0.629	3580960
0.63	3580960
0.631	3558825
0.632	3558825
0.633	3519944
0.634	3482840
0.635	3482840
0.636	3466338
0.637	3465064
0.638	3465064
0.639	3428723
0.64	3428723
0.641	3422402
0.642	3419996
0.643	3419996
0.644	3373694
0.645	3366585
0.646	3366585
0.647	3361865
0.648	3318216
0.649	3318216
0.65	3315884
0.651	3304615
0.652	3304615
0.653	3304182
0.654	3287517
0.655	3287517
0.656	3220158
0.657	3198937
0.658	3198937
0.659	3195623
0.66	3177578
0.661	3177578
0.662	3165571
0.663	3158451
0.664	3158451
0.665	3148842
0.666	3064930
0.667	3064930
0.668	3013336
0.669	2999097
0.67	2977187
0.671	2977187
0.672	2973515
0.673	2948876
0.674	2942770
0.675	2942770
0.676	2939096
0.677	2936608
0.678	2936608
0.679	2932831
0.68	2929284
0.681	2893456
0.682	2893456
0.683	2885366
0.684	2852959
0.685	2848825
0.686	2830641
0.687	2830641
0.688	2817695
0.689	2809069
0.69	2792344
0.691	2792344
0.692	2719761
0.693	2637487
0.694	2631554
0.695	2627386
0.696	2627386
0.697	2615163
0.698	2601370
0.699	2581310
0.7	2569770
0.701	2561252
0.702	2560918
0.703	2560918
0.704	2548334
0.705	2539341
0.706	2507714
0.707	2500051
0.708	2488954
0.709	2487727
0.71	2487727
0.711	2482487
0.712	2476374
0.713	2457295
0.714	2441037
0.715	2422455
0.716	2420675
0.717	2420408
0.718	2418992
0.719	2418992
0.72	2412260
0.721	2411419
0.722	2410572
0.723	2406776
0.724	2402088
0.725	2400099
0.726	2388323
0.727	2368132
0.728	2350483
0.729	2336753
0.73	2295584
0.731	2295584
0.732	2282119
0.733	2277215
0.734	2266304
0.735	2234730
0.736	2173887
0.737	2166378
0.738	2138964
0.739	2133116
0.74	2128895
0.741	2106380
0.742	2102703
0.743	2093512
0.744	2071248
0.745	2068792
0.746	2032607
0.747	2029075
0.748	2017977
0.749	2016482
0.75	2015743
0.751	2006993
0.752	1984615
0.753	1976100
0.754	1900093
0.755	1896373
0.756	1893227
0.757	1887147
0.758	1880168
0.759	1869486
0.76	1863509
0.761	1856053
0.762	1830375
0.763	1793735
0.764	1777079
0.765	1775159
0.766	1757025
0.767	1714870
0.768	1706846
0.769	1701860
0.77	1691494
0.771	1684244
0.772	1679886
0.773	1679600
0.774	1676757
0.775	1674782
0.776	1674380
0.777	1668366
0.778	1667207
0.779	1663684
0.78	1649873
0.781	1644020
0.782	1638787
0.783	1629781
0.784	1625778
0.785	1596173
0.786	1589070
0.787	1565332
0.788	1564839
0.789	1558737
0.79	1548674
0.791	1539093
0.792	1529395
0.793	1518331
0.794	1509244
0.795	1497631
0.796	1485921
0.797	1483859
0.798	1477249
0.799	1472781
0.8	1453090
0.801	1452275
0.802	1446997
0.803	1441746
0.804	1428357
0.805	1427953
0.806	1396999
0.807	1392785
0.808	1390217
0.809	1388911
0.81	1367198
0.811	1365684
0.812	1365110
0.813	1357271
0.814	1348507
0.815	1340982
0.816	1322725
0.817	1313611
0.818	1296269
0.819	1265892
0.82	1263855
0.821	1249926
0.822	1246007
0.823	1225455
0.824	1215755
0.825	1209457
0.826	1196942
0.827	1181939
0.828	1161841
0.829	1155141
0.83	1147331
0.831	1146163
0.832	1129872
0.833	1120923
