fraction	Nx_length
0.001	53828024
0.002	53828024
0.003	53828024
0.004	53828024
0.005	53828024
0.006	53828024
0.007	53828024
0.008	53828024
0.009	53828024
0.01	53828024
0.011	53828024
0.012	53828024
0.013	53828024
0.014	53828024
0.015	53828024
0.016	53828024
0.017	53828024
0.018	53828024
0.019	53828024
0.02	53828024
0.021	53828024
0.022	53828024
0.023	53828024
0.024	53828024
0.025	30648405
0.026	30648405
0.027	30648405
0.028	30648405
0.029	30648405
0.03	30648405
0.031	30648405
0.032	30648405
0.033	30648405
0.034	30648405
0.035	30648405
0.036	30648405
0.037	30648405
0.038	30648405
0.039	29943814
0.04	29943814
0.041	29943814
0.042	29943814
0.043	29943814
0.044	29943814
0.045	29943814
0.046	29943814
0.047	29943814
0.048	29943814
0.049	29943814
0.05	29943814
0.051	29943814
0.052	29349992
0.053	29349992
0.054	29349992
0.055	29349992
0.056	29349992
0.057	29349992
0.058	29349992
0.059	29349992
0.06	29349992
0.061	29349992
0.062	29349992
0.063	29349992
0.064	29349992
0.065	29349992
0.066	27532883
0.067	27532883
0.068	27532883
0.069	27532883
0.07	27532883
0.071	27532883
0.072	27532883
0.073	27532883
0.074	27532883
0.075	27532883
0.076	27532883
0.077	27532883
0.078	25911988
0.079	25911988
0.08	25911988
0.081	25911988
0.082	25911988
0.083	25911988
0.084	25911988
0.085	25911988
0.086	25911988
0.087	25911988
0.088	25911988
0.089	25911988
0.09	25798685
0.091	25798685
0.092	25798685
0.093	25798685
0.094	25798685
0.095	25798685
0.096	25798685
0.097	25798685
0.098	25798685
0.099	25798685
0.1	25798685
0.101	25325337
0.102	25325337
0.103	25325337
0.104	25325337
0.105	25325337
0.106	25325337
0.107	25325337
0.108	25325337
0.109	25325337
0.11	25325337
0.111	25325337
0.112	25325337
0.113	24920194
0.114	24920194
0.115	24920194
0.116	24920194
0.117	24920194
0.118	24920194
0.119	24920194
0.12	24920194
0.121	24920194
0.122	24920194
0.123	24920194
0.124	23351501
0.125	23351501
0.126	23351501
0.127	23351501
0.128	23351501
0.129	23351501
0.13	23351501
0.131	23351501
0.132	23351501
0.133	23351501
0.134	23351501
0.135	22976653
0.136	22976653
0.137	22976653
0.138	22976653
0.139	22976653
0.14	22976653
0.141	22976653
0.142	22976653
0.143	22976653
0.144	22976653
0.145	22856606
0.146	22856606
0.147	22856606
0.148	22856606
0.149	22856606
0.15	22856606
0.151	22856606
0.152	22856606
0.153	22856606
0.154	22856606
0.155	22856606
0.156	21633275
0.157	21633275
0.158	21633275
0.159	21633275
0.16	21633275
0.161	21633275
0.162	21633275
0.163	21633275
0.164	21633275
0.165	21094071
0.166	21094071
0.167	21094071
0.168	21094071
0.169	21094071
0.17	21094071
0.171	21094071
0.172	21094071
0.173	21094071
0.174	21094071
0.175	19782857
0.176	19782857
0.177	19782857
0.178	19782857
0.179	19782857
0.18	19782857
0.181	19782857
0.182	19782857
0.183	19782857
0.184	19741645
0.185	19741645
0.186	19741645
0.187	19741645
0.188	19741645
0.189	19741645
0.19	19741645
0.191	19741645
0.192	19741645
0.193	19449017
0.194	19449017
0.195	19449017
0.196	19449017
0.197	19449017
0.198	19449017
0.199	19449017
0.2	19449017
0.201	19449017
0.202	19239717
0.203	19239717
0.204	19239717
0.205	19239717
0.206	19239717
0.207	19239717
0.208	19239717
0.209	19239717
0.21	19226813
0.211	19226813
