fraction	Nx_length
0.001	690654357
0.002	690654357
0.003	690654357
0.004	690654357
0.005	690654357
0.006	690654357
0.007	690654357
0.008	690654357
0.009	690654357
0.01	690654357
0.011	690654357
0.012	690654357
0.013	690654357
0.014	690654357
0.015	690654357
0.016	690654357
0.017	690654357
0.018	690654357
0.019	690654357
0.02	690654357
0.021	690654357
0.022	690654357
0.023	690654357
0.024	690654357
0.025	690654357
0.026	690654357
0.027	690654357
0.028	690654357
0.029	690654357
0.03	690654357
0.031	690654357
0.032	690654357
0.033	690654357
0.034	690654357
0.035	690654357
0.036	690654357
0.037	690654357
0.038	690654357
0.039	690654357
0.04	690654357
0.041	690654357
0.042	690654357
0.043	690654357
0.044	690654357
0.045	690654357
0.046	690654357
0.047	690654357
0.048	690654357
0.049	690654357
0.05	690654357
0.051	690654357
0.052	690654357
0.053	690654357
0.054	690654357
0.055	690654357
0.056	690654357
0.057	690654357
0.058	690654357
0.059	690654357
0.06	690654357
0.061	690654357
0.062	690654357
0.063	690654357
0.064	690654357
0.065	690654357
0.066	690654357
0.067	690654357
0.068	690654357
0.069	690654357
0.07	690654357
0.071	690654357
0.072	690654357
0.073	690654357
0.074	690654357
0.075	690654357
0.076	690654357
0.077	690654357
0.078	690654357
0.079	690654357
0.08	690654357
0.081	690654357
0.082	690654357
0.083	690654357
0.084	690654357
0.085	690654357
0.086	690654357
0.087	690654357
0.088	690654357
0.089	690654357
0.09	690654357
0.091	690654357
0.092	690654357
0.093	690654357
0.094	690654357
0.095	690654357
0.096	690654357
0.097	690654357
0.098	690654357
0.099	690654357
0.1	690654357
0.101	690654357
0.102	690654357
0.103	690654357
0.104	690654357
0.105	690654357
0.106	690654357
0.107	690654357
0.108	690654357
0.109	690654357
0.11	690654357
0.111	690654357
0.112	690654357
0.113	690654357
0.114	690654357
0.115	690654357
0.116	690654357
0.117	690654357
0.118	690654357
0.119	690654357
0.12	690654357
0.121	690654357
0.122	690654357
0.123	690654357
0.124	690654357
0.125	690654357
0.126	690654357
0.127	690654357
0.128	690654357
0.129	690654357
0.13	690654357
0.131	690654357
0.132	690654357
0.133	690654357
0.134	690654357
0.135	690654357
0.136	690654357
0.137	690654357
0.138	690654357
0.139	690654357
0.14	690654357
0.141	690654357
0.142	690654357
0.143	690654357
0.144	690654357
0.145	690654357
0.146	690654357
0.147	690654357
0.148	690654357
0.149	690654357
0.15	690654357
0.151	690654357
0.152	690654357
0.153	690654357
0.154	690654357
0.155	690654357
0.156	690654357
0.157	690654357
0.158	690654357
0.159	690654357
0.16	690654357
0.161	690654357
0.162	690654357
0.163	690654357
0.164	690654357
0.165	690654357
0.166	690654357
0.167	690654357
0.168	541439571
0.169	541439571
0.17	541439571
0.171	541439571
0.172	541439571
0.173	541439571
0.174	541439571
0.175	541439571
0.176	541439571
0.177	541439571
0.178	541439571
0.179	541439571
0.18	541439571
0.181	541439571
0.182	541439571
0.183	541439571
0.184	541439571
0.185	541439571
0.186	541439571
0.187	541439571
0.188	541439571
0.189	541439571
0.19	541439571
0.191	541439571
0.192	541439571
0.193	541439571
0.194	541439571
0.195	541439571
0.196	541439571
0.197	541439571
0.198	541439571
0.199	541439571
0.2	541439571
0.201	541439571
0.202	541439571
0.203	541439571
0.204	541439571
0.205	541439571
0.206	541439571
0.207	541439571
0.208	541439571
0.209	541439571
0.21	541439571
0.211	541439571
0.212	541439571
0.213	541439571
0.214	541439571
0.215	541439571
0.216	541439571
0.217	541439571
0.218	541439571
0.219	541439571
0.22	541439571
0.221	541439571
0.222	541439571
0.223	541439571
0.224	541439571
0.225	541439571
0.226	541439571
0.227	541439571
0.228	541439571
0.229	541439571
0.23	541439571
0.231	541439571
0.232	541439571
0.233	541439571
0.234	541439571
0.235	541439571
0.236	541439571
0.237	541439571
0.238	541439571
0.239	541439571
0.24	541439571
0.241	541439571
0.242	541439571
0.243	541439571
0.244	541439571
0.245	541439571
0.246	541439571
0.247	541439571
0.248	541439571
0.249	541439571
0.25	541439571
0.251	541439571
0.252	541439571
0.253	541439571
0.254	541439571
0.255	541439571
0.256	541439571
0.257	541439571
0.258	541439571
0.259	541439571
0.26	541439571
0.261	541439571
0.262	541439571
0.263	541439571
0.264	541439571
0.265	541439571
0.266	541439571
0.267	541439571
0.268	541439571
0.269	541439571
0.27	541439571
0.271	541439571
0.272	541439571
0.273	541439571
0.274	541439571
0.275	541439571
0.276	541439571
0.277	541439571
0.278	541439571
0.279	541439571
0.28	541439571
0.281	541439571
0.282	541439571
0.283	541439571
0.284	541439571
0.285	541439571
0.286	541439571
0.287	541439571
0.288	541439571
0.289	541439571
0.29	541439571
0.291	541439571
0.292	541439571
0.293	541439571
0.294	541439571
0.295	541439571
0.296	541439571
0.297	541439571
0.298	541439571
0.299	541439571
0.3	495417988
0.301	495417988
0.302	495417988
0.303	495417988
0.304	495417988
0.305	495417988
0.306	495417988
0.307	495417988
0.308	495417988
0.309	495417988
0.31	495417988
0.311	495417988
0.312	495417988
0.313	495417988
0.314	495417988
0.315	495417988
0.316	495417988
0.317	495417988
0.318	495417988
0.319	495417988
0.32	495417988
0.321	495417988
0.322	495417988
0.323	495417988
0.324	495417988
0.325	495417988
0.326	495417988
0.327	495417988
0.328	495417988
0.329	495417988
0.33	495417988
0.331	495417988
0.332	495417988
0.333	495417988
0.334	495417988
0.335	495417988
0.336	495417988
0.337	495417988
0.338	495417988
0.339	495417988
0.34	495417988
0.341	495417988
0.342	495417988
0.343	495417988
0.344	495417988
0.345	495417988
0.346	495417988
0.347	495417988
0.348	495417988
0.349	495417988
0.35	495417988
0.351	495417988
0.352	495417988
0.353	495417988
0.354	495417988
0.355	495417988
0.356	495417988
0.357	495417988
0.358	495417988
0.359	495417988
0.36	495417988
0.361	495417988
0.362	495417988
0.363	495417988
0.364	495417988
0.365	495417988
0.366	495417988
0.367	495417988
0.368	495417988
0.369	495417988
0.37	495417988
0.371	495417988
0.372	495417988
0.373	495417988
0.374	495417988
0.375	495417988
0.376	495417988
0.377	495417988
0.378	495417988
0.379	495417988
0.38	495417988
0.381	495417988
0.382	495417988
0.383	495417988
0.384	495417988
0.385	495417988
0.386	495417988
0.387	495417988
0.388	495417988
0.389	495417988
0.39	495417988
0.391	495417988
0.392	495417988
0.393	495417988
0.394	495417988
0.395	495417988
0.396	495417988
0.397	495417988
0.398	495417988
0.399	495417988
0.4	495417988
0.401	495417988
0.402	495417988
0.403	495417988
0.404	495417988
0.405	495417988
0.406	495417988
0.407	495417988
0.408	495417988
0.409	495417988
0.41	495417988
0.411	495417988
0.412	495417988
0.413	495417988
0.414	495417988
0.415	495417988
0.416	495417988
0.417	495417988
0.418	495417988
0.419	495417988
0.42	495417988
0.421	481763206
0.422	481763206
0.423	481763206
0.424	481763206
0.425	481763206
0.426	481763206
0.427	481763206
0.428	481763206
0.429	481763206
0.43	481763206
0.431	481763206
0.432	481763206
0.433	481763206
0.434	481763206
0.435	481763206
0.436	481763206
0.437	481763206
0.438	481763206
0.439	481763206
0.44	481763206
0.441	481763206
0.442	481763206
0.443	481763206
0.444	481763206
0.445	481763206
0.446	481763206
0.447	481763206
0.448	481763206
0.449	481763206
0.45	481763206
0.451	481763206
0.452	481763206
0.453	481763206
0.454	481763206
0.455	481763206
0.456	481763206
0.457	481763206
0.458	481763206
0.459	481763206
0.46	481763206
0.461	481763206
0.462	481763206
0.463	481763206
0.464	481763206
0.465	481763206
0.466	481763206
0.467	481763206
0.468	481763206
0.469	481763206
0.47	481763206
0.471	481763206
0.472	481763206
0.473	481763206
0.474	481763206
0.475	481763206
0.476	481763206
0.477	481763206
0.478	481763206
0.479	481763206
0.48	481763206
0.481	481763206
0.482	481763206
0.483	481763206
0.484	481763206
0.485	481763206
0.486	481763206
0.487	481763206
0.488	481763206
0.489	481763206
0.49	481763206
0.491	481763206
0.492	481763206
0.493	481763206
0.494	481763206
0.495	481763206
0.496	481763206
0.497	481763206
0.498	481763206
0.499	481763206
0.5	481763206
0.501	481763206
0.502	481763206
0.503	481763206
0.504	481763206
0.505	481763206
0.506	481763206
0.507	481763206
0.508	481763206
0.509	481763206
0.51	481763206
0.511	481763206
0.512	481763206
0.513	481763206
0.514	481763206
0.515	481763206
0.516	481763206
0.517	481763206
0.518	481763206
0.519	481763206
0.52	481763206
0.521	481763206
0.522	481763206
0.523	481763206
0.524	481763206
0.525	481763206
0.526	481763206
0.527	481763206
0.528	481763206
0.529	481763206
0.53	481763206
0.531	481763206
0.532	481763206
0.533	481763206
0.534	481763206
0.535	481763206
0.536	481763206
0.537	481763206
0.538	429350720
0.539	429350720
0.54	429350720
0.541	429350720
0.542	429350720
0.543	429350720
0.544	429350720
0.545	429350720
0.546	429350720
0.547	429350720
0.548	429350720
0.549	429350720
0.55	429350720
0.551	429350720
0.552	429350720
0.553	429350720
0.554	429350720
0.555	429350720
0.556	429350720
0.557	429350720
0.558	429350720
0.559	429350720
0.56	429350720
0.561	429350720
0.562	429350720
0.563	429350720
0.564	429350720
0.565	429350720
0.566	429350720
0.567	429350720
0.568	429350720
0.569	429350720
0.57	429350720
0.571	429350720
0.572	429350720
0.573	429350720
0.574	429350720
0.575	429350720
0.576	429350720
0.577	429350720
0.578	429350720
0.579	429350720
0.58	429350720
0.581	429350720
0.582	429350720
0.583	429350720
0.584	429350720
0.585	429350720
0.586	429350720
0.587	429350720
0.588	429350720
0.589	429350720
0.59	429350720
0.591	429350720
0.592	429350720
0.593	429350720
0.594	429350720
0.595	429350720
0.596	429350720
0.597	429350720
0.598	429350720
0.599	429350720
0.6	429350720
0.601	429350720
0.602	429350720
0.603	429350720
0.604	429350720
0.605	429350720
0.606	429350720
0.607	429350720
0.608	429350720
0.609	429350720
0.61	429350720
0.611	429350720
0.612	429350720
0.613	429350720
0.614	429350720
0.615	429350720
0.616	429350720
0.617	429350720
0.618	429350720
0.619	429350720
0.62	429350720
0.621	429350720
0.622	429350720
0.623	429350720
0.624	429350720
0.625	429350720
0.626	429350720
0.627	429350720
0.628	429350720
0.629	429350720
0.63	429350720
0.631	429350720
0.632	429350720
0.633	429350720
0.634	429350720
0.635	429350720
0.636	429350720
0.637	429350720
0.638	429350720
0.639	429350720
0.64	429350720
0.641	429350720
0.642	224823088
0.643	224823088
0.644	224823088
0.645	224823088
0.646	224823088
0.647	224823088
0.648	224823088
0.649	224823088
0.65	224823088
0.651	224823088
0.652	224823088
0.653	224823088
0.654	224823088
0.655	224823088
0.656	224823088
0.657	224823088
0.658	224823088
0.659	224823088
0.66	224823088
0.661	224823088
0.662	224823088
0.663	224823088
0.664	224823088
0.665	224823088
0.666	224823088
0.667	224823088
0.668	224823088
0.669	224823088
0.67	224823088
0.671	224823088
0.672	224823088
0.673	224823088
0.674	224823088
0.675	224823088
0.676	224823088
0.677	224823088
0.678	224823088
0.679	224823088
0.68	224823088
0.681	224823088
0.682	224823088
0.683	224823088
0.684	224823088
0.685	224823088
0.686	224823088
0.687	224823088
0.688	224823088
0.689	224823088
0.69	224823088
0.691	224823088
0.692	224823088
0.693	224823088
0.694	224823088
0.695	224823088
0.696	224823088
0.697	212589178
0.698	212589178
0.699	212589178
0.7	212589178
0.701	212589178
0.702	212589178
0.703	212589178
0.704	212589178
0.705	212589178
0.706	212589178
0.707	212589178
0.708	212589178
0.709	212589178
0.71	212589178
0.711	212589178
0.712	212589178
0.713	212589178
0.714	212589178
0.715	212589178
0.716	212589178
0.717	212589178
0.718	212589178
0.719	212589178
0.72	212589178
0.721	212589178
0.722	212589178
0.723	212589178
0.724	212589178
0.725	212589178
0.726	212589178
0.727	212589178
0.728	212589178
0.729	212589178
0.73	212589178
0.731	212589178
0.732	212589178
0.733	212589178
0.734	212589178
0.735	212589178
0.736	212589178
0.737	212589178
0.738	212589178
0.739	212589178
0.74	212589178
0.741	212589178
0.742	212589178
0.743	212589178
0.744	212589178
0.745	212589178
0.746	212589178
0.747	212589178
0.748	212589178
0.749	190444464
0.75	190444464
0.751	190444464
0.752	190444464
0.753	190444464
0.754	190444464
0.755	190444464
0.756	190444464
0.757	190444464
0.758	190444464
0.759	190444464
0.76	190444464
0.761	190444464
0.762	190444464
0.763	190444464
0.764	190444464
0.765	190444464
0.766	190444464
0.767	190444464
0.768	190444464
0.769	190444464
0.77	190444464
0.771	190444464
0.772	190444464
0.773	190444464
0.774	190444464
0.775	190444464
0.776	190444464
0.777	190444464
0.778	190444464
0.779	190444464
0.78	190444464
0.781	190444464
0.782	190444464
0.783	190444464
0.784	190444464
0.785	190444464
0.786	190444464
0.787	190444464
0.788	190444464
0.789	190444464
0.79	190444464
0.791	190444464
0.792	190444464
0.793	190444464
0.794	190444464
0.795	184302013
0.796	184302013
0.797	184302013
0.798	184302013
0.799	184302013
0.8	184302013
0.801	184302013
0.802	184302013
0.803	184302013
0.804	184302013
0.805	184302013
0.806	184302013
0.807	184302013
0.808	184302013
0.809	184302013
0.81	184302013
0.811	184302013
0.812	184302013
0.813	184302013
0.814	184302013
0.815	184302013
0.816	184302013
0.817	184302013
0.818	184302013
0.819	184302013
0.82	184302013
0.821	184302013
0.822	184302013
0.823	184302013
0.824	184302013
0.825	184302013
0.826	184302013
0.827	184302013
0.828	184302013
0.829	184302013
0.83	184302013
0.831	184302013
0.832	184302013
0.833	184302013
0.834	184302013
0.835	184302013
0.836	184302013
0.837	184302013
0.838	184302013
0.839	184302013
0.84	164331474
0.841	164331474
0.842	164331474
0.843	164331474
0.844	164331474
0.845	164331474
0.846	164331474
0.847	164331474
0.848	164331474
0.849	164331474
0.85	164331474
0.851	164331474
0.852	164331474
0.853	164331474
0.854	164331474
0.855	164331474
0.856	164331474
0.857	164331474
0.858	164331474
0.859	164331474
0.86	164331474
0.861	164331474
0.862	164331474
0.863	164331474
0.864	164331474
0.865	164331474
0.866	164331474
0.867	164331474
0.868	164331474
0.869	164331474
0.87	164331474
0.871	164331474
0.872	164331474
0.873	164331474
0.874	164331474
0.875	164331474
0.876	164331474
0.877	164331474
0.878	164331474
0.879	164331474
0.88	153779893
0.881	153779893
0.882	153779893
0.883	153779893
0.884	153779893
0.885	153779893
0.886	153779893
0.887	153779893
0.888	153779893
0.889	153779893
0.89	153779893
0.891	153779893
0.892	153779893
0.893	153779893
0.894	153779893
0.895	153779893
0.896	153779893
0.897	153779893
0.898	153779893
0.899	153779893
0.9	153779893
0.901	153779893
0.902	153779893
0.903	153779893
0.904	153779893
0.905	153779893
0.906	153779893
0.907	153779893
0.908	153779893
0.909	153779893
0.91	153779893
0.911	153779893
0.912	153779893
0.913	153779893
0.914	153779893
0.915	153779893
0.916	153779893
0.917	148927288
0.918	148927288
0.919	148927288
0.92	148927288
0.921	148927288
0.922	148927288
0.923	148927288
0.924	148927288
0.925	148927288
0.926	148927288
0.927	148927288
0.928	148927288
0.929	148927288
0.93	148927288
0.931	148927288
0.932	148927288
0.933	148927288
0.934	148927288
0.935	148927288
0.936	148927288
0.937	148927288
0.938	148927288
0.939	148927288
0.94	148927288
0.941	148927288
0.942	148927288
0.943	148927288
0.944	148927288
0.945	148927288
0.946	148927288
0.947	148927288
0.948	148927288
0.949	148927288
0.95	148927288
0.951	148927288
0.952	148927288
0.953	121979656
0.954	121979656
0.955	121979656
0.956	121979656
0.957	121979656
0.958	121979656
0.959	121979656
0.96	121979656
0.961	121979656
0.962	121979656
0.963	121979656
0.964	121979656
0.965	121979656
0.966	121979656
0.967	121979656
0.968	121979656
0.969	121979656
0.97	121979656
0.971	121979656
