fraction	Nx_length
0.001	10198671
0.002	10198671
0.003	10198671
0.004	10198671
0.005	10198671
0.006	10198671
0.007	8950224
0.008	8950224
0.009	8950224
0.01	8950224
0.011	8950224
0.012	8950224
0.013	8790007
0.014	8790007
0.015	8790007
0.016	8790007
0.017	8790007
0.018	8790007
0.019	8553914
0.02	8553914
0.021	8553914
0.022	8553914
0.023	8553914
0.024	8553914
0.025	8533662
0.026	8533662
0.027	8533662
0.028	8533662
0.029	8533662
0.03	8533662
0.031	8322283
0.032	8322283
0.033	8322283
0.034	8322283
0.035	8322283
0.036	8322283
0.037	8181116
0.038	8181116
0.039	8181116
0.04	8181116
0.041	8181116
0.042	7954742
0.043	7954742
0.044	7954742
0.045	7954742
0.046	7954742
0.047	7954742
0.048	7943514
0.049	7943514
0.05	7943514
0.051	7943514
0.052	7943514
0.053	7555525
0.054	7555525
0.055	7555525
0.056	7555525
0.057	7555525
0.058	7175113
0.059	7175113
0.06	7175113
0.061	7175113
0.062	7175113
0.063	6970568
0.064	6970568
0.065	6970568
0.066	6970568
0.067	6970568
0.068	6931548
0.069	6931548
0.07	6931548
0.071	6931548
0.072	6568611
0.073	6568611
0.074	6568611
0.075	6568611
0.076	6568611
0.077	6541280
0.078	6541280
0.079	6541280
0.08	6541280
0.081	6427939
0.082	6427939
0.083	6427939
0.084	6427939
0.085	6427939
0.086	5992455
0.087	5992455
0.088	5992455
0.089	5992455
0.09	5976969
0.091	5976969
0.092	5976969
0.093	5976969
0.094	5940373
0.095	5940373
0.096	5940373
0.097	5940373
0.098	5935311
0.099	5935311
0.1	5935311
0.101	5935311
0.102	5761989
0.103	5761989
0.104	5761989
0.105	5761989
0.106	5723033
0.107	5723033
0.108	5723033
0.109	5678665
0.11	5678665
0.111	5678665
0.112	5678665
0.113	5580274
0.114	5580274
0.115	5580274
0.116	5580274
0.117	5546873
0.118	5546873
0.119	5546873
0.12	5546873
0.121	5540752
0.122	5540752
0.123	5540752
0.124	5540752
0.125	5513648
0.126	5513648
0.127	5513648
0.128	5482538
0.129	5482538
0.13	5482538
0.131	5482538
0.132	5405146
0.133	5405146
0.134	5405146
0.135	5405146
0.136	5376000
0.137	5376000
0.138	5376000
0.139	5342942
0.14	5342942
0.141	5342942
0.142	5342942
0.143	5270447
0.144	5270447
0.145	5270447
0.146	5270447
0.147	5185959
0.148	5185959
0.149	5185959
0.15	4973322
0.151	4973322
0.152	4973322
0.153	4970911
0.154	4970911
0.155	4970911
0.156	4970911
0.157	4969922
0.158	4969922
0.159	4969922
0.16	4925761
0.161	4925761
0.162	4925761
0.163	4925761
0.164	4803217
0.165	4803217
0.166	4803217
0.167	4763087
0.168	4763087
0.169	4763087
0.17	4749556
0.171	4749556
0.172	4749556
0.173	4711341
0.174	4711341
0.175	4711341
0.176	4679339
0.177	4679339
0.178	4679339
0.179	4679339
0.18	4675000
0.181	4675000
0.182	4675000
0.183	4546284
0.184	4546284
0.185	4546284
0.186	4493323
0.187	4493323
0.188	4493323
0.189	4272338
0.19	4272338
0.191	4272338
0.192	4267443
0.193	4267443
0.194	4267443
0.195	4265231
0.196	4265231
0.197	4265231
0.198	4247332
0.199	4247332
0.2	4159541
0.201	4159541
0.202	4159541
0.203	4113041
0.204	4113041
0.205	4113041
0.206	4107000
0.207	4107000
0.208	4107000
0.209	4091316
0.21	4091316
0.211	4091316
0.212	4087259
0.213	4087259
0.214	4049295
0.215	4049295
0.216	4049295
0.217	3972249
0.218	3972249
0.219	3972249
0.22	3960113
0.221	3960113
0.222	3936670
0.223	3936670
0.224	3936670
0.225	3901965
0.226	3901965
0.227	3901965
0.228	3874228
0.229	3874228
0.23	3857610
0.231	3857610
0.232	3857610
0.233	3840058
0.234	3840058
0.235	3840058
0.236	3808018
0.237	3808018
0.238	3782790
0.239	3782790
0.24	3782790
0.241	3768923
0.242	3768923
0.243	3743596
0.244	3743596
0.245	3743596
0.246	3735390
0.247	3735390
0.248	3727699
0.249	3727699
0.25	3727699
0.251	3707158
0.252	3707158
0.253	3700499
