fraction	Nx_length
0.001	213660330
0.002	213660330
0.003	213660330
0.004	213660330
0.005	213660330
0.006	213660330
0.007	213660330
0.008	213660330
0.009	213660330
0.01	213660330
0.011	213660330
0.012	213660330
0.013	213660330
0.014	213660330
0.015	213660330
0.016	213660330
0.017	213660330
0.018	213660330
0.019	213660330
0.02	213660330
0.021	213660330
0.022	213660330
0.023	213660330
0.024	213660330
0.025	213660330
0.026	213660330
0.027	213660330
0.028	213660330
0.029	213660330
0.03	213660330
0.031	213660330
0.032	213660330
0.033	213660330
0.034	213660330
0.035	213660330
0.036	213660330
0.037	213660330
0.038	213660330
0.039	213660330
0.04	213660330
0.041	213660330
0.042	213660330
0.043	213660330
0.044	213660330
0.045	213660330
0.046	213660330
0.047	213660330
0.048	213660330
0.049	213660330
0.05	213660330
0.051	213660330
0.052	213660330
0.053	213660330
0.054	213660330
0.055	213660330
0.056	213660330
0.057	213660330
0.058	213660330
0.059	213660330
0.06	213660330
0.061	213660330
0.062	213660330
0.063	213660330
0.064	213660330
0.065	213660330
0.066	213660330
0.067	213660330
0.068	213660330
0.069	213660330
0.07	213660330
0.071	213660330
0.072	213660330
0.073	213660330
0.074	213660330
0.075	213660330
0.076	213660330
0.077	213660330
0.078	213660330
0.079	213660330
0.08	213660330
0.081	213660330
0.082	213660330
0.083	213660330
0.084	213660330
0.085	213660330
0.086	213660330
0.087	213660330
0.088	213660330
0.089	213660330
0.09	213660330
0.091	213660330
0.092	213660330
0.093	213660330
0.094	213660330
0.095	213660330
0.096	213660330
0.097	213660330
0.098	213660330
0.099	213660330
0.1	213660330
0.101	213660330
0.102	213660330
0.103	213660330
0.104	213660330
0.105	213660330
0.106	213660330
0.107	213660330
0.108	213660330
0.109	213660330
0.11	213660330
0.111	213660330
0.112	213660330
0.113	213660330
0.114	213660330
0.115	213660330
0.116	213660330
0.117	213660330
0.118	213660330
0.119	213660330
0.12	213660330
0.121	213660330
0.122	213660330
0.123	213660330
0.124	213660330
0.125	213660330
0.126	213660330
0.127	213660330
0.128	213660330
0.129	213660330
0.13	213660330
0.131	213660330
0.132	213660330
0.133	213660330
0.134	213660330
0.135	213660330
0.136	213660330
0.137	213660330
0.138	213660330
0.139	213660330
0.14	213660330
0.141	213660330
0.142	213660330
0.143	213660330
0.144	213660330
0.145	213660330
0.146	213660330
0.147	213660330
0.148	213660330
0.149	213660330
0.15	213660330
0.151	213660330
0.152	213660330
0.153	213660330
0.154	213660330
0.155	213660330
0.156	213660330
0.157	213660330
0.158	213660330
0.159	213660330
0.16	213660330
0.161	213660330
0.162	213660330
0.163	164798958
0.164	164798958
0.165	164798958
0.166	164798958
0.167	164798958
0.168	164798958
0.169	164798958
0.17	164798958
0.171	164798958
0.172	164798958
0.173	164798958
0.174	164798958
0.175	164798958
0.176	164798958
0.177	164798958
0.178	164798958
0.179	164798958
0.18	164798958
0.181	164798958
0.182	164798958
0.183	164798958
0.184	164798958
0.185	164798958
0.186	164798958
0.187	164798958
0.188	164798958
0.189	164798958
0.19	164798958
0.191	164798958
0.192	164798958
0.193	164798958
0.194	164798958
0.195	164798958
0.196	164798958
0.197	164798958
0.198	164798958
0.199	164798958
0.2	164798958
0.201	164798958
0.202	164798958
0.203	164798958
0.204	164798958
0.205	164798958
0.206	164798958
0.207	164798958
0.208	164798958
0.209	164798958
0.21	164798958
0.211	164798958
0.212	164798958
0.213	164798958
0.214	164798958
0.215	164798958
0.216	164798958
0.217	164798958
0.218	164798958
0.219	164798958
0.22	164798958
0.221	164798958
0.222	164798958
0.223	164798958
0.224	164798958
0.225	164798958
0.226	164798958
0.227	164798958
0.228	164798958
0.229	164798958
0.23	164798958
0.231	164798958
0.232	164798958
0.233	164798958
0.234	164798958
0.235	164798958
0.236	164798958
0.237	164798958
0.238	164798958
0.239	164798958
0.24	164798958
0.241	164798958
0.242	164798958
0.243	164798958
0.244	164798958
0.245	164798958
0.246	164798958
0.247	164798958
0.248	164798958
0.249	164798958
0.25	164798958
0.251	164798958
0.252	164798958
0.253	164798958
0.254	164798958
0.255	164798958
0.256	164798958
0.257	164798958
0.258	164798958
0.259	164798958
0.26	164798958
0.261	164798958
0.262	164798958
0.263	164798958
0.264	164798958
0.265	164798958
0.266	164798958
0.267	164798958
0.268	164798958
0.269	164798958
0.27	164798958
0.271	164798958
0.272	164798958
0.273	164798958
0.274	164798958
0.275	164798958
0.276	164798958
0.277	164798958
0.278	164798958
0.279	164798958
0.28	164798958
0.281	164798958
0.282	164798958
0.283	164798958
0.284	164798958
0.285	164798958
0.286	164798958
0.287	164798958
0.288	164798958
0.289	122980155
0.29	122980155
0.291	122980155
0.292	122980155
0.293	122980155
0.294	122980155
0.295	122980155
0.296	122980155
0.297	122980155
0.298	122980155
0.299	122980155
0.3	122980155
0.301	122980155
0.302	122980155
0.303	122980155
0.304	122980155
0.305	122980155
0.306	122980155
0.307	122980155
0.308	122980155
0.309	122980155
0.31	122980155
0.311	122980155
0.312	122980155
0.313	122980155
0.314	122980155
0.315	122980155
0.316	122980155
0.317	122980155
0.318	122980155
0.319	122980155
0.32	122980155
0.321	122980155
0.322	122980155
0.323	122980155
0.324	122980155
0.325	122980155
0.326	122980155
0.327	122980155
0.328	122980155
0.329	122980155
0.33	122980155
0.331	122980155
0.332	122980155
0.333	122980155
0.334	122980155
0.335	122980155
0.336	122980155
0.337	122980155
0.338	122980155
0.339	122980155
0.34	122980155
0.341	122980155
0.342	122980155
0.343	122980155
0.344	122980155
0.345	122980155
0.346	122980155
0.347	122980155
0.348	122980155
0.349	122980155
0.35	122980155
0.351	122980155
0.352	122980155
0.353	122980155
0.354	122980155
0.355	122980155
0.356	122980155
0.357	122980155
0.358	122980155
0.359	122980155
0.36	122980155
0.361	122980155
0.362	122980155
0.363	122980155
0.364	122980155
0.365	122980155
0.366	122980155
0.367	122980155
0.368	122980155
0.369	122980155
0.37	122980155
0.371	122980155
0.372	122980155
0.373	122980155
0.374	122980155
0.375	122980155
0.376	122980155
0.377	122980155
0.378	122980155
0.379	122980155
0.38	122980155
0.381	122980155
0.382	122980155
0.383	89450475
0.384	89450475
0.385	89450475
0.386	89450475
0.387	89450475
0.388	89450475
0.389	89450475
0.39	89450475
0.391	89450475
0.392	89450475
0.393	89450475
0.394	89450475
0.395	89450475
0.396	89450475
0.397	89450475
0.398	89450475
0.399	89450475
0.4	89450475
0.401	89450475
0.402	89450475
0.403	89450475
0.404	89450475
0.405	89450475
0.406	89450475
0.407	89450475
0.408	89450475
0.409	89450475
0.41	89450475
0.411	89450475
0.412	89450475
0.413	89450475
0.414	89450475
0.415	89450475
0.416	89450475
0.417	89450475
0.418	89450475
0.419	89450475
0.42	89450475
0.421	89450475
0.422	89450475
0.423	89450475
0.424	89450475
0.425	89450475
0.426	89450475
0.427	89450475
0.428	89450475
0.429	89450475
0.43	89450475
0.431	89450475
0.432	89450475
0.433	89450475
0.434	89450475
0.435	89450475
0.436	89450475
0.437	89450475
0.438	89450475
0.439	89450475
0.44	89450475
0.441	89450475
0.442	89450475
0.443	89450475
0.444	89450475
0.445	89450475
0.446	89450475
0.447	89450475
0.448	89450475
0.449	89450475
0.45	89450475
0.451	78989891
0.452	78989891
0.453	78989891
0.454	78989891
0.455	78989891
0.456	78989891
0.457	78989891
0.458	78989891
0.459	78989891
0.46	78989891
0.461	78989891
0.462	78989891
0.463	78989891
0.464	78989891
0.465	78989891
0.466	78989891
0.467	78989891
0.468	78989891
0.469	78989891
0.47	78989891
0.471	78989891
0.472	78989891
0.473	78989891
0.474	78989891
0.475	78989891
0.476	78989891
0.477	78989891
0.478	78989891
0.479	78989891
0.48	78989891
0.481	78989891
0.482	78989891
0.483	78989891
0.484	78989891
0.485	78989891
0.486	78989891
0.487	78989891
0.488	78989891
0.489	78989891
0.49	78989891
0.491	78989891
0.492	78989891
0.493	78989891
0.494	78989891
0.495	78989891
0.496	78989891
0.497	78989891
0.498	78989891
0.499	78989891
0.5	78989891
0.501	78989891
0.502	78989891
0.503	78989891
0.504	78989891
0.505	78989891
0.506	78989891
0.507	78989891
0.508	78989891
0.509	78989891
0.51	78989891
0.511	66811341
0.512	66811341
0.513	66811341
0.514	66811341
0.515	66811341
0.516	66811341
0.517	66811341
0.518	66811341
0.519	66811341
0.52	66811341
0.521	66811341
0.522	66811341
0.523	66811341
0.524	66811341
0.525	66811341
0.526	66811341
0.527	66811341
0.528	66811341
0.529	66811341
0.53	66811341
0.531	66811341
0.532	66811341
0.533	66811341
0.534	66811341
0.535	66811341
0.536	66811341
0.537	66811341
0.538	66811341
0.539	66811341
0.54	66811341
0.541	66811341
0.542	66811341
0.543	66811341
0.544	66811341
0.545	66811341
0.546	66811341
0.547	66811341
0.548	66811341
0.549	66811341
0.55	66811341
0.551	66811341
0.552	66811341
0.553	66811341
0.554	66811341
0.555	66811341
0.556	66811341
0.557	66811341
0.558	66811341
0.559	66811341
0.56	66811341
0.561	66811341
0.562	40797368
0.563	40797368
0.564	40797368
0.565	40797368
0.566	40797368
0.567	40797368
0.568	40797368
0.569	40797368
0.57	40797368
0.571	40797368
0.572	40797368
0.573	40797368
0.574	40797368
0.575	40797368
0.576	40797368
0.577	40797368
0.578	40797368
0.579	40797368
0.58	40797368
0.581	40797368
0.582	40797368
0.583	40797368
0.584	40797368
0.585	40797368
0.586	40797368
0.587	40797368
0.588	40797368
0.589	40797368
0.59	40797368
0.591	40797368
0.592	40797368
0.593	38637293
0.594	38637293
0.595	38637293
0.596	38637293
0.597	38637293
0.598	38637293
0.599	38637293
0.6	38637293
0.601	38637293
0.602	38637293
0.603	38637293
0.604	38637293
0.605	38637293
0.606	38637293
0.607	38637293
0.608	38637293
0.609	38637293
0.61	38637293
0.611	38637293
0.612	38637293
0.613	38637293
0.614	38637293
0.615	38637293
0.616	38637293
0.617	38637293
0.618	38637293
0.619	38637293
0.62	38637293
0.621	38637293
0.622	38637293
0.623	33728371
0.624	33728371
0.625	33728371
0.626	33728371
0.627	33728371
0.628	33728371
0.629	33728371
0.63	33728371
0.631	33728371
0.632	33728371
0.633	33728371
0.634	33728371
0.635	33728371
0.636	33728371
0.637	33728371
0.638	33728371
0.639	33728371
0.64	33728371
0.641	33728371
0.642	33728371
0.643	33728371
0.644	33728371
0.645	33728371
0.646	33728371
0.647	33728371
0.648	27874067
0.649	27874067
0.65	27874067
0.651	27874067
0.652	27874067
0.653	27874067
0.654	27874067
0.655	27874067
0.656	27874067
0.657	27874067
0.658	27874067
0.659	27874067
0.66	27874067
0.661	27874067
0.662	27874067
0.663	27874067
0.664	27874067
0.665	27874067
0.666	27874067
0.667	27874067
0.668	27874067
0.669	27874067
0.67	24371545
0.671	24371545
0.672	24371545
0.673	24371545
0.674	24371545
0.675	24371545
0.676	24371545
0.677	24371545
0.678	24371545
0.679	24371545
0.68	24371545
0.681	24371545
0.682	24371545
0.683	24371545
0.684	24371545
0.685	24371545
0.686	24371545
0.687	24371545
0.688	23833115
0.689	23833115
0.69	23833115
0.691	23833115
0.692	23833115
0.693	23833115
0.694	23833115
0.695	23833115
0.696	23833115
0.697	23833115
0.698	23833115
0.699	23833115
0.7	23833115
0.701	23833115
0.702	23833115
0.703	23833115
0.704	23833115
0.705	23833115
0.706	23621824
0.707	23621824
0.708	23621824
0.709	23621824
0.71	23621824
0.711	23621824
0.712	23621824
0.713	23621824
0.714	23621824
0.715	23621824
0.716	23621824
0.717	23621824
0.718	23621824
0.719	23621824
0.72	23621824
0.721	23621824
0.722	23621824
0.723	23621824
0.724	23425956
0.725	23425956
0.726	23425956
0.727	23425956
0.728	23425956
0.729	23425956
0.73	23425956
0.731	23425956
0.732	23425956
0.733	23425956
0.734	23425956
0.735	23425956
0.736	23425956
0.737	23425956
0.738	23425956
0.739	23425956
0.74	23425956
0.741	23425956
0.742	21532164
0.743	21532164
0.744	21532164
0.745	21532164
0.746	21532164
0.747	21532164
0.748	21532164
0.749	21532164
0.75	21532164
0.751	21532164
0.752	21532164
0.753	21532164
0.754	21532164
0.755	21532164
0.756	21532164
0.757	21532164
0.758	21532164
0.759	19044466
0.76	19044466
0.761	19044466
0.762	19044466
0.763	19044466
0.764	19044466
0.765	19044466
0.766	19044466
0.767	19044466
0.768	19044466
0.769	19044466
0.77	19044466
0.771	19044466
0.772	19044466
0.773	17970186
0.774	17970186
0.775	17970186
0.776	17970186
0.777	17970186
0.778	17970186
0.779	17970186
0.78	17970186
0.781	17970186
0.782	17970186
0.783	17970186
0.784	17970186
0.785	17970186
0.786	17970186
0.787	16859200
0.788	16859200
0.789	16859200
0.79	16859200
0.791	16859200
0.792	16859200
0.793	16859200
0.794	16859200
0.795	16859200
0.796	16859200
0.797	16859200
0.798	16859200
0.799	16859200
0.8	14639950
0.801	14639950
0.802	14639950
0.803	14639950
0.804	14639950
0.805	14639950
0.806	14639950
0.807	14639950
0.808	14639950
0.809	14639950
0.81	14639950
0.811	13068787
0.812	13068787
0.813	13068787
0.814	13068787
0.815	13068787
0.816	13068787
0.817	13068787
0.818	13068787
0.819	13068787
0.82	13068787
0.821	12786237
0.822	12786237
0.823	12786237
0.824	12786237
0.825	12786237
0.826	12786237
0.827	12786237
0.828	12786237
0.829	12786237
0.83	12786237
0.831	11844103
0.832	11844103
0.833	11844103
0.834	11844103
0.835	11844103
0.836	11844103
0.837	11844103
0.838	11844103
0.839	11844103
0.84	8984011
0.841	8984011
0.842	8984011
0.843	8984011
0.844	8984011
0.845	8984011
0.846	8479254
0.847	8479254
0.848	8479254
0.849	8479254
0.85	8479254
0.851	8479254
0.852	8479254
0.853	7972245
0.854	7972245
0.855	7972245
0.856	7972245
0.857	7972245
0.858	7972245
0.859	7958000
0.86	7958000
0.861	7958000
0.862	7958000
0.863	7958000
0.864	7958000
0.865	7748456
0.866	7748456
0.867	7748456
0.868	7748456
0.869	7748456
0.87	7748456
0.871	7087502
0.872	7087502
0.873	7087502
0.874	7087502
0.875	7087502
0.876	5241000
0.877	5241000
0.878	5241000
0.879	5241000
0.88	4896055
0.881	4896055
0.882	4896055
0.883	4896055
0.884	4504833
0.885	4504833
0.886	4504833
0.887	4331230
0.888	4331230
0.889	4331230
0.89	4331230
0.891	3474350
0.892	3474350
0.893	3321887
0.894	3321887
0.895	3321887
0.896	3272529
0.897	3272529
0.898	3143128
0.899	3143128
0.9	3143128
0.901	2650153
0.902	2650153
0.903	2551228
0.904	2551228
0.905	2334755
0.906	2334755
0.907	2256470
0.908	2239138
0.909	2239138
0.91	2019000
0.911	2019000
0.912	1897200
0.913	1796000
0.914	1757609
0.915	1757609
0.916	1699000
0.917	1606000
0.918	1538352
0.919	1508000
0.92	1508000
0.921	1481000
0.922	1478000
0.923	1421000
0.924	1398000
0.925	1346000
0.926	1330000
0.927	1316000
0.928	1263356
0.929	1176000
0.93	1152000
0.931	1151000
0.932	1095000
0.933	1053000
0.934	1036000
0.935	1008000
0.936	984000
0.937	973690
0.938	973000
0.939	941000
0.94	928000
0.941	916000
0.942	913000
0.943	907000
0.944	881000
0.945	871000
0.946	853824
0.947	846000
0.948	831000
0.949	809056
0.95	800000
0.951	700138
0.952	680000
0.953	654189
0.954	651000
0.955	608000
0.956	589000
0.957	561000
0.958	549000
0.959	511501
0.96	499000
0.961	469000
0.962	466000
0.963	461742
0.964	449000
0.965	429000
0.966	418476
0.967	396971
0.968	384866
0.969	372000
0.97	361000
0.971	337348
0.972	323141
0.973	317000
0.974	299274
0.975	295000
0.976	280000
0.977	268000
0.978	262005
0.979	249000
0.98	236000
0.981	217000
0.982	205000
0.983	185812
0.984	171000
0.985	159000
0.986	149513
0.987	140000
0.988	131000
0.989	123577
0.99	108000
0.991	96000
0.992	88233
0.993	78768
0.994	69000
0.995	60000
0.996	55000
0.997	44000
0.998	32063
0.999	19717
1.0	1000
