fraction	Nx_length
0.001	216936262
0.002	216936262
0.003	216936262
0.004	216936262
0.005	216936262
0.006	216936262
0.007	216936262
0.008	216936262
0.009	216936262
0.01	216936262
0.011	216936262
0.012	216936262
0.013	216936262
0.014	216936262
0.015	216936262
0.016	216936262
0.017	216936262
0.018	216936262
0.019	216936262
0.02	216936262
0.021	216936262
0.022	216936262
0.023	216936262
0.024	216936262
0.025	216936262
0.026	216936262
0.027	216936262
0.028	216936262
0.029	216936262
0.03	216936262
0.031	216936262
0.032	216936262
0.033	216936262
0.034	216936262
0.035	216936262
0.036	216936262
0.037	216936262
0.038	216936262
0.039	216936262
0.04	216936262
0.041	216936262
0.042	216936262
0.043	216936262
0.044	216936262
0.045	216936262
0.046	216936262
0.047	216936262
0.048	216936262
0.049	216936262
0.05	216936262
0.051	216936262
0.052	216936262
0.053	216936262
0.054	216936262
0.055	216936262
0.056	216936262
0.057	216936262
0.058	216936262
0.059	216936262
0.06	216936262
0.061	216936262
0.062	216936262
0.063	216936262
0.064	216936262
0.065	216936262
0.066	216936262
0.067	216936262
0.068	216936262
0.069	216936262
0.07	216936262
0.071	216936262
0.072	216936262
0.073	216936262
0.074	216936262
0.075	216936262
0.076	216936262
0.077	216936262
0.078	216936262
0.079	216936262
0.08	216936262
0.081	216936262
0.082	216936262
0.083	216936262
0.084	216936262
0.085	216936262
0.086	216936262
0.087	216936262
0.088	216936262
0.089	216936262
0.09	216936262
0.091	216936262
0.092	216936262
0.093	216936262
0.094	216936262
0.095	216936262
0.096	216936262
0.097	216936262
0.098	216936262
0.099	216936262
0.1	216936262
0.101	216936262
0.102	216936262
0.103	216936262
0.104	216936262
0.105	216936262
0.106	216936262
0.107	216936262
0.108	216936262
0.109	216936262
0.11	216936262
0.111	216936262
0.112	216936262
0.113	216936262
0.114	216936262
0.115	216936262
0.116	216936262
0.117	216936262
0.118	216936262
0.119	216936262
0.12	216936262
0.121	216936262
0.122	216936262
0.123	216936262
0.124	216936262
0.125	216936262
0.126	216936262
0.127	216936262
0.128	216936262
0.129	216936262
0.13	216936262
0.131	216936262
0.132	216936262
0.133	216936262
0.134	216936262
0.135	216936262
0.136	216936262
0.137	216936262
0.138	216936262
0.139	216936262
0.14	216936262
0.141	216936262
0.142	216936262
0.143	216936262
0.144	216936262
0.145	216936262
0.146	216936262
0.147	216936262
0.148	216936262
0.149	216936262
0.15	216936262
0.151	216936262
0.152	216936262
0.153	216936262
0.154	216936262
0.155	216936262
0.156	216936262
0.157	216936262
0.158	216936262
0.159	216936262
0.16	216936262
0.161	216936262
0.162	216936262
0.163	216936262
0.164	216936262
0.165	216936262
0.166	216936262
0.167	216936262
0.168	216936262
0.169	216936262
0.17	216936262
0.171	164821849
0.172	164821849
0.173	164821849
0.174	164821849
0.175	164821849
0.176	164821849
0.177	164821849
0.178	164821849
0.179	164821849
0.18	164821849
0.181	164821849
0.182	164821849
0.183	164821849
0.184	164821849
0.185	164821849
0.186	164821849
0.187	164821849
0.188	164821849
0.189	164821849
0.19	164821849
0.191	164821849
0.192	164821849
0.193	164821849
0.194	164821849
0.195	164821849
0.196	164821849
0.197	164821849
0.198	164821849
0.199	164821849
0.2	164821849
0.201	164821849
0.202	164821849
0.203	164821849
0.204	164821849
0.205	164821849
0.206	164821849
0.207	164821849
0.208	164821849
0.209	164821849
0.21	164821849
0.211	164821849
0.212	164821849
0.213	164821849
0.214	164821849
0.215	164821849
0.216	164821849
0.217	164821849
0.218	164821849
0.219	164821849
0.22	164821849
0.221	164821849
0.222	164821849
0.223	164821849
0.224	164821849
0.225	164821849
0.226	164821849
0.227	164821849
0.228	164821849
0.229	164821849
0.23	164821849
0.231	164821849
0.232	164821849
0.233	164821849
0.234	164821849
0.235	164821849
0.236	164821849
0.237	164821849
0.238	164821849
0.239	164821849
0.24	164821849
0.241	164821849
0.242	164821849
0.243	164821849
0.244	164821849
0.245	164821849
0.246	164821849
0.247	164821849
0.248	164821849
0.249	164821849
0.25	164821849
0.251	164821849
0.252	164821849
0.253	164821849
0.254	164821849
0.255	164821849
0.256	164821849
0.257	164821849
0.258	164821849
0.259	164821849
0.26	164821849
0.261	164821849
0.262	164821849
0.263	164821849
0.264	164821849
0.265	164821849
0.266	164821849
0.267	164821849
0.268	164821849
0.269	164821849
0.27	164821849
0.271	164821849
0.272	164821849
0.273	164821849
0.274	164821849
0.275	164821849
0.276	164821849
0.277	164821849
0.278	164821849
0.279	164821849
0.28	164821849
0.281	164821849
0.282	164821849
0.283	164821849
0.284	164821849
0.285	164821849
0.286	164821849
0.287	164821849
0.288	164821849
0.289	164821849
0.29	164821849
0.291	164821849
0.292	164821849
0.293	164821849
0.294	164821849
0.295	164821849
0.296	164821849
0.297	164821849
0.298	164821849
0.299	164821849
0.3	164821849
0.301	130205582
0.302	130205582
0.303	130205582
0.304	130205582
0.305	130205582
0.306	130205582
0.307	130205582
0.308	130205582
0.309	130205582
0.31	130205582
0.311	130205582
0.312	130205582
0.313	130205582
0.314	130205582
0.315	130205582
0.316	130205582
0.317	130205582
0.318	130205582
0.319	130205582
0.32	130205582
0.321	130205582
0.322	130205582
0.323	130205582
0.324	130205582
0.325	130205582
0.326	130205582
0.327	130205582
0.328	130205582
0.329	130205582
0.33	130205582
0.331	130205582
0.332	130205582
0.333	130205582
0.334	130205582
0.335	130205582
0.336	130205582
0.337	130205582
0.338	130205582
0.339	130205582
0.34	130205582
0.341	130205582
0.342	130205582
0.343	130205582
0.344	130205582
0.345	130205582
0.346	130205582
0.347	130205582
0.348	130205582
0.349	130205582
0.35	130205582
0.351	130205582
0.352	130205582
0.353	130205582
0.354	130205582
0.355	130205582
0.356	130205582
0.357	130205582
0.358	130205582
0.359	130205582
0.36	130205582
0.361	130205582
0.362	130205582
0.363	130205582
0.364	130205582
0.365	130205582
0.366	130205582
0.367	130205582
0.368	130205582
0.369	130205582
0.37	130205582
0.371	130205582
0.372	130205582
0.373	130205582
0.374	130205582
0.375	130205582
0.376	130205582
0.377	130205582
0.378	130205582
0.379	130205582
0.38	130205582
0.381	130205582
0.382	130205582
0.383	130205582
0.384	130205582
0.385	130205582
0.386	130205582
0.387	130205582
0.388	130205582
0.389	130205582
0.39	130205582
0.391	130205582
0.392	130205582
0.393	130205582
0.394	130205582
0.395	130205582
0.396	130205582
0.397	130205582
0.398	130205582
0.399	130205582
0.4	130205582
0.401	130205582
0.402	130205582
0.403	130205582
0.404	82469060
0.405	82469060
0.406	82469060
0.407	82469060
0.408	82469060
0.409	82469060
0.41	82469060
0.411	82469060
0.412	82469060
0.413	82469060
0.414	82469060
0.415	82469060
0.416	82469060
0.417	82469060
0.418	82469060
0.419	82469060
0.42	82469060
0.421	82469060
0.422	82469060
0.423	82469060
0.424	82469060
0.425	82469060
0.426	82469060
0.427	82469060
0.428	82469060
0.429	82469060
0.43	82469060
0.431	82469060
0.432	82469060
0.433	82469060
0.434	82469060
0.435	82469060
0.436	82469060
0.437	82469060
0.438	82469060
0.439	82469060
0.44	82469060
0.441	82469060
0.442	82469060
0.443	82469060
0.444	82469060
0.445	82469060
0.446	82469060
0.447	82469060
0.448	82469060
0.449	82469060
0.45	82469060
0.451	82469060
0.452	82469060
0.453	82469060
0.454	82469060
0.455	82469060
0.456	82469060
0.457	82469060
0.458	82469060
0.459	82469060
0.46	82469060
0.461	82469060
0.462	82469060
0.463	82469060
0.464	82469060
0.465	82469060
0.466	82469060
0.467	82469060
0.468	82469060
0.469	82467789
0.47	82467789
0.471	82467789
0.472	82467789
0.473	82467789
0.474	82467789
0.475	82467789
0.476	82467789
0.477	82467789
0.478	82467789
0.479	82467789
0.48	82467789
0.481	82467789
0.482	82467789
0.483	82467789
0.484	82467789
0.485	82467789
0.486	82467789
0.487	82467789
0.488	82467789
0.489	82467789
0.49	82467789
0.491	82467789
0.492	82467789
0.493	82467789
0.494	82467789
0.495	82467789
0.496	82467789
0.497	82467789
0.498	82467789
0.499	82467789
0.5	82467789
0.501	82467789
0.502	82467789
0.503	82467789
0.504	82467789
0.505	82467789
0.506	82467789
0.507	82467789
0.508	82467789
0.509	82467789
0.51	82467789
0.511	82467789
0.512	82467789
0.513	82467789
0.514	82467789
0.515	82467789
0.516	82467789
0.517	82467789
0.518	82467789
0.519	82467789
0.52	82467789
0.521	82467789
0.522	82467789
0.523	82467789
0.524	82467789
0.525	82467789
0.526	82467789
0.527	82467789
0.528	82467789
0.529	82467789
0.53	82467789
0.531	82467789
0.532	82467789
0.533	82467789
0.534	70164132
0.535	70164132
0.536	70164132
0.537	70164132
0.538	70164132
0.539	70164132
0.54	70164132
0.541	70164132
0.542	70164132
0.543	70164132
0.544	70164132
0.545	70164132
0.546	70164132
0.547	70164132
0.548	70164132
0.549	70164132
0.55	70164132
0.551	70164132
0.552	70164132
0.553	70164132
0.554	70164132
0.555	70164132
0.556	70164132
0.557	70164132
0.558	70164132
0.559	70164132
0.56	70164132
0.561	70164132
0.562	70164132
0.563	70164132
0.564	70164132
0.565	70164132
0.566	70164132
0.567	70164132
0.568	70164132
0.569	70164132
0.57	70164132
0.571	70164132
0.572	70164132
0.573	70164132
0.574	70164132
0.575	70164132
0.576	70164132
0.577	70164132
0.578	70164132
0.579	70164132
0.58	70164132
0.581	70164132
0.582	70164132
0.583	70164132
0.584	70164132
0.585	70164132
0.586	70164132
0.587	70164132
0.588	70164132
0.589	44487990
0.59	44487990
