fraction	Nx_length
0.001	61638557
0.002	61638557
0.003	61638557
0.004	61638557
0.005	61638557
0.006	61638557
0.007	61638557
0.008	61638557
0.009	61638557
0.01	61638557
0.011	61638557
0.012	61638557
0.013	61638557
0.014	61638557
0.015	61638557
0.016	61638557
0.017	61638557
0.018	61638557
0.019	61638557
0.02	61638557
0.021	61638557
0.022	61638557
0.023	61638557
0.024	61638557
0.025	61638557
0.026	61638557
0.027	61638557
0.028	61638557
0.029	61638557
0.03	61638557
0.031	61638557
0.032	61638557
0.033	61638557
0.034	61638557
0.035	61638557
0.036	61638557
0.037	61638557
0.038	61638557
0.039	61638557
0.04	61638557
0.041	61638557
0.042	58092529
0.043	58092529
0.044	58092529
0.045	58092529
0.046	58092529
0.047	58092529
0.048	58092529
0.049	58092529
0.05	58092529
0.051	58092529
0.052	58092529
0.053	58092529
0.054	58092529
0.055	58092529
0.056	58092529
0.057	58092529
0.058	58092529
0.059	58092529
0.06	58092529
0.061	58092529
0.062	58092529
0.063	58092529
0.064	58092529
0.065	58092529
0.066	58092529
0.067	58092529
0.068	58092529
0.069	58092529
0.07	58092529
0.071	58092529
0.072	58092529
0.073	58092529
0.074	58092529
0.075	58092529
0.076	58092529
0.077	58092529
0.078	58092529
0.079	58092529
0.08	58092529
0.081	58092529
0.082	44901074
0.083	44901074
0.084	44901074
0.085	44901074
0.086	44901074
0.087	44901074
0.088	44901074
0.089	44901074
0.09	44901074
0.091	44901074
0.092	44901074
0.093	44901074
0.094	44901074
0.095	44901074
0.096	44901074
0.097	44901074
0.098	44901074
0.099	44901074
0.1	44901074
0.101	44901074
0.102	44901074
0.103	44901074
0.104	44901074
0.105	44901074
0.106	44901074
0.107	44901074
0.108	44901074
0.109	44901074
0.11	44901074
0.111	44901074
0.112	44901074
0.113	44473971
0.114	44473971
0.115	44473971
0.116	44473971
0.117	44473971
0.118	44473971
0.119	44473971
0.12	44473971
0.121	44473971
0.122	44473971
0.123	44473971
0.124	44473971
0.125	44473971
0.126	44473971
0.127	44473971
0.128	44473971
0.129	44473971
0.13	44473971
0.131	44473971
0.132	44473971
0.133	44473971
0.134	44473971
0.135	44473971
0.136	44473971
0.137	44473971
0.138	44473971
0.139	44473971
0.14	44473971
0.141	44473971
0.142	44473971
0.143	39839557
0.144	39839557
0.145	39839557
0.146	39839557
0.147	39839557
0.148	39839557
0.149	39839557
0.15	39839557
0.151	39839557
0.152	39839557
0.153	39839557
0.154	39839557
0.155	39839557
0.156	39839557
0.157	39839557
0.158	39839557
0.159	39839557
0.16	39839557
0.161	39839557
0.162	39839557
0.163	39839557
0.164	39839557
0.165	39839557
0.166	39839557
0.167	39839557
0.168	39839557
0.169	39839557
0.17	39623055
0.171	39623055
0.172	39623055
0.173	39623055
0.174	39623055
0.175	39623055
0.176	39623055
0.177	39623055
0.178	39623055
0.179	39623055
0.18	39623055
0.181	39623055
0.182	39623055
0.183	39623055
0.184	39623055
0.185	39623055
0.186	39623055
0.187	39623055
0.188	39623055
0.189	39623055
0.19	39623055
0.191	39623055
0.192	39623055
0.193	39623055
0.194	39623055
0.195	39623055
0.196	39623055
0.197	38957395
0.198	38957395
0.199	38957395
0.2	38957395
0.201	38957395
0.202	38957395
0.203	38957395
0.204	38957395
0.205	38957395
0.206	38957395
0.207	38957395
0.208	38957395
0.209	38957395
0.21	38957395
0.211	38957395
0.212	38957395
0.213	38957395
0.214	38957395
0.215	38957395
0.216	38957395
0.217	38957395
0.218	38957395
0.219	38957395
0.22	38957395
0.221	38957395
0.222	38957395
0.223	38957395
0.224	38446965
0.225	38446965
0.226	38446965
0.227	38446965
0.228	38446965
0.229	38446965
0.23	38446965
0.231	38446965
0.232	38446965
0.233	38446965
0.234	38446965
0.235	38446965
0.236	38446965
0.237	38446965
0.238	38446965
0.239	38446965
0.24	38446965
0.241	38446965
0.242	38446965
0.243	38446965
0.244	38446965
0.245	38446965
0.246	38446965
0.247	38446965
0.248	38446965
0.249	38446965
0.25	38079491
0.251	38079491
0.252	38079491
0.253	38079491
0.254	38079491
0.255	38079491
0.256	38079491
0.257	38079491
0.258	38079491
0.259	38079491
0.26	38079491
0.261	38079491
0.262	38079491
0.263	38079491
0.264	38079491
0.265	38079491
0.266	38079491
0.267	38079491
0.268	38079491
0.269	38079491
0.27	38079491
0.271	38079491
0.272	38079491
0.273	38079491
0.274	38079491
0.275	38079491
0.276	37438509
0.277	37438509
0.278	37438509
0.279	37438509
0.28	37438509
0.281	37438509
0.282	37438509
0.283	37438509
0.284	37438509
0.285	37438509
0.286	37438509
0.287	37438509
0.288	37438509
0.289	37438509
0.29	37438509
0.291	37438509
0.292	37438509
0.293	37438509
0.294	37438509
0.295	37438509
0.296	37438509
0.297	37438509
0.298	37438509
0.299	37438509
0.3	37438509
0.301	36193645
0.302	36193645
0.303	36193645
0.304	36193645
0.305	36193645
0.306	36193645
0.307	36193645
0.308	36193645
0.309	36193645
0.31	36193645
0.311	36193645
0.312	36193645
0.313	36193645
0.314	36193645
0.315	36193645
0.316	36193645
0.317	36193645
0.318	36193645
0.319	36193645
0.32	36193645
0.321	36193645
0.322	36193645
0.323	36193645
0.324	36193645
0.325	36193645
0.326	34237410
0.327	34237410
0.328	34237410
0.329	34237410
0.33	34237410
0.331	34237410
0.332	34237410
0.333	34237410
0.334	34237410
0.335	34237410
0.336	34237410
0.337	34237410
0.338	34237410
0.339	34237410
0.34	34237410
0.341	34237410
0.342	34237410
0.343	34237410
0.344	34237410
0.345	34237410
0.346	34237410
0.347	34237410
0.348	34237410
0.349	29234634
0.35	29234634
0.351	29234634
0.352	29234634
0.353	29234634
0.354	29234634
0.355	29234634
0.356	29234634
0.357	29234634
0.358	29234634
0.359	29234634
0.36	29234634
0.361	29234634
0.362	29234634
0.363	29234634
0.364	29234634
0.365	29234634
0.366	29234634
0.367	29234634
0.368	29234634
0.369	29087820
0.37	29087820
0.371	29087820
0.372	29087820
0.373	29087820
0.374	29087820
0.375	29087820
0.376	29087820
0.377	29087820
0.378	29087820
0.379	29087820
0.38	29087820
0.381	29087820
0.382	29087820
0.383	29087820
0.384	29087820
0.385	29087820
0.386	29087820
0.387	29087820
0.388	29087820
0.389	27063196
0.39	27063196
0.391	27063196
0.392	27063196
0.393	27063196
0.394	27063196
0.395	27063196
0.396	27063196
0.397	27063196
0.398	27063196
0.399	27063196
0.4	27063196
0.401	27063196
0.402	27063196
0.403	27063196
0.404	27063196
0.405	27063196
0.406	27063196
0.407	25914127
0.408	25914127
0.409	25914127
0.41	25914127
0.411	25914127
0.412	25914127
0.413	25914127
0.414	25914127
0.415	25914127
0.416	25914127
0.417	25914127
0.418	25914127
0.419	25914127
0.42	25914127
0.421	25914127
0.422	25914127
0.423	25914127
0.424	25914127
0.425	25507178
0.426	25507178
0.427	25507178
0.428	25507178
0.429	25507178
0.43	25507178
0.431	25507178
0.432	25507178
0.433	25507178
0.434	25507178
0.435	25507178
0.436	25507178
0.437	25507178
0.438	25507178
0.439	25507178
0.44	25507178
0.441	25507178
0.442	24901338
0.443	24901338
0.444	24901338
0.445	24901338
0.446	24901338
0.447	24901338
0.448	24901338
0.449	24901338
0.45	24901338
0.451	24901338
0.452	24901338
0.453	24901338
0.454	24901338
0.455	24901338
0.456	24901338
0.457	24901338
0.458	24901338
0.459	24624387
0.46	24624387
0.461	24624387
0.462	24624387
0.463	24624387
0.464	24624387
0.465	24624387
0.466	24624387
0.467	24624387
0.468	24624387
0.469	24624387
0.47	24624387
0.471	24624387
0.472	24624387
0.473	24624387
0.474	24624387
0.475	24624387
0.476	24307923
0.477	24307923
0.478	24307923
0.479	24307923
0.48	24307923
0.481	24307923
0.482	24307923
0.483	24307923
0.484	24307923
0.485	24307923
0.486	24307923
0.487	24307923
0.488	24307923
0.489	24307923
0.49	24307923
0.491	24307923
0.492	24239989
0.493	24239989
0.494	24239989
0.495	24239989
0.496	24239989
0.497	24239989
0.498	24239989
0.499	24239989
0.5	24239989
0.501	24239989
0.502	24239989
0.503	24239989
0.504	24239989
0.505	24239989
0.506	24239989
0.507	24239989
0.508	24239989
0.509	23111453
0.51	23111453
0.511	23111453
0.512	23111453
0.513	23111453
0.514	23111453
0.515	23111453
0.516	23111453
0.517	23111453
0.518	23111453
0.519	23111453
0.52	23111453
0.521	23111453
0.522	23111453
0.523	23111453
0.524	23111453
0.525	22585067
0.526	22585067
0.527	22585067
0.528	22585067
0.529	22585067
0.53	22585067
0.531	22585067
0.532	22585067
0.533	22585067
0.534	22585067
0.535	22585067
0.536	22585067
0.537	22585067
0.538	22585067
0.539	22585067
0.54	22257852
0.541	22257852
0.542	22257852
0.543	22257852
0.544	22257852
0.545	22257852
0.546	22257852
0.547	22257852
0.548	22257852
0.549	22257852
0.55	22257852
0.551	22257852
0.552	22257852
0.553	22257852
0.554	22257852
0.555	22240736
0.556	22240736
0.557	22240736
0.558	22240736
0.559	22240736
0.56	22240736
0.561	22240736
0.562	22240736
0.563	22240736
0.564	22240736
0.565	22240736
0.566	22240736
0.567	22240736
0.568	22240736
0.569	22240736
0.57	22145535
0.571	22145535
0.572	22145535
0.573	22145535
0.574	22145535
0.575	22145535
0.576	22145535
0.577	22145535
0.578	22145535
0.579	22145535
0.58	22145535
0.581	22145535
0.582	22145535
0.583	22145535
0.584	22145535
0.585	21915717
0.586	21915717
0.587	21915717
0.588	21915717
0.589	21915717
0.59	21915717
0.591	21915717
0.592	21915717
0.593	21915717
0.594	21915717
0.595	21915717
0.596	21915717
0.597	21915717
0.598	21915717
0.599	21915717
0.6	21088744
0.601	21088744
0.602	21088744
0.603	21088744
0.604	21088744
0.605	21088744
0.606	21088744
0.607	21088744
0.608	21088744
0.609	21088744
0.61	21088744
0.611	21088744
0.612	21088744
0.613	21088744
0.614	21088744
0.615	20034034
0.616	20034034
0.617	20034034
0.618	20034034
0.619	20034034
0.62	20034034
0.621	20034034
0.622	20034034
0.623	20034034
0.624	20034034
0.625	20034034
0.626	20034034
0.627	20034034
0.628	16767706
0.629	16767706
0.63	16767706
0.631	16767706
0.632	16767706
0.633	16767706
0.634	16767706
0.635	16767706
0.636	16767706
0.637	16767706
0.638	16767706
0.639	16767706
0.64	16166440
0.641	16166440
0.642	16166440
0.643	16166440
0.644	16166440
0.645	16166440
0.646	16166440
0.647	16166440
0.648	16166440
0.649	16166440
0.65	16166440
0.651	14768243
0.652	14768243
0.653	14768243
0.654	14768243
0.655	14768243
0.656	14768243
0.657	14768243
0.658	14768243
0.659	14768243
0.66	14768243
0.661	14747216
0.662	14747216
0.663	14747216
0.664	14747216
0.665	14747216
0.666	14747216
0.667	14747216
0.668	14747216
0.669	14747216
0.67	14747216
0.671	12934743
0.672	12934743
0.673	12934743
0.674	12934743
0.675	12934743
0.676	12934743
0.677	12934743
0.678	12934743
0.679	12934743
0.68	12394911
0.681	12394911
0.682	12394911
0.683	12394911
0.684	12394911
0.685	12394911
0.686	12394911
0.687	12394911
0.688	11893544
0.689	11893544
0.69	11893544
0.691	11893544
0.692	11893544
0.693	11893544
0.694	11893544
0.695	11893544
0.696	11593335
0.697	11593335
0.698	11593335
0.699	11593335
0.7	11593335
0.701	11593335
0.702	11593335
0.703	11593335
0.704	11580096
0.705	11580096
0.706	11580096
0.707	11580096
0.708	11580096
0.709	11580096
0.71	11580096
0.711	11580096
0.712	11509373
0.713	11509373
0.714	11509373
0.715	11509373
0.716	11509373
0.717	11509373
0.718	11509373
0.719	11509373
0.72	11488986
0.721	11488986
0.722	11488986
0.723	11488986
0.724	11488986
0.725	11488986
0.726	11488986
0.727	11488986
0.728	11149288
0.729	11149288
0.73	11149288
0.731	11149288
0.732	11149288
0.733	11149288
0.734	11149288
0.735	10294682
0.736	10294682
0.737	10294682
0.738	10294682
0.739	10294682
0.74	10294682
0.741	10294682
0.742	9743643
0.743	9743643
0.744	9743643
0.745	9743643
0.746	9743643
0.747	9743643
0.748	9743643
0.749	9582147
0.75	9582147
0.751	9582147
0.752	9582147
0.753	9582147
0.754	9582147
0.755	9452939
0.756	9452939
0.757	9452939
0.758	9452939
0.759	9452939
0.76	9452939
0.761	9452939
0.762	9410489
0.763	9410489
0.764	9410489
0.765	9410489
0.766	9410489
0.767	9410489
0.768	8834392
0.769	8834392
0.77	8834392
0.771	8834392
0.772	8834392
0.773	8834392
0.774	8641811
0.775	8641811
0.776	8641811
0.777	8641811
0.778	8641811
0.779	8641811
0.78	8491580
0.781	8491580
0.782	8491580
0.783	8491580
0.784	8491580
0.785	8491580
0.786	8412991
0.787	8412991
0.788	8412991
0.789	8412991
0.79	8412991
0.791	8412991
0.792	8298553
0.793	8298553
0.794	8298553
0.795	8298553
0.796	8298553
0.797	8246056
0.798	8246056
0.799	8246056
0.8	8246056
0.801	8246056
0.802	8246056
0.803	8080006
0.804	8080006
0.805	8080006
0.806	8080006
0.807	8080006
0.808	7669117
0.809	7669117
0.81	7669117
0.811	7669117
0.812	7669117
0.813	7669117
0.814	7449017
0.815	7449017
0.816	7449017
0.817	7449017
0.818	7449017
0.819	7402104
0.82	7402104
0.821	7402104
0.822	7402104
0.823	7402104
0.824	7027759
0.825	7027759
0.826	7027759
0.827	7027759
0.828	7027759
0.829	6776318
0.83	6776318
0.831	6776318
0.832	6776318
0.833	6471247
0.834	6471247
0.835	6471247
0.836	6471247
0.837	6471247
0.838	6357067
0.839	6357067
0.84	6357067
0.841	6357067
0.842	6284453
0.843	6284453
0.844	6284453
0.845	6284453
0.846	5846719
0.847	5846719
0.848	5846719
0.849	5846719
0.85	5743931
0.851	5743931
0.852	5743931
0.853	5743931
0.854	5628119
0.855	5628119
0.856	5628119
0.857	5628119
0.858	5527117
0.859	5527117
0.86	5527117
0.861	5527117
0.862	5505698
0.863	5505698
0.864	5505698
0.865	5396757
0.866	5396757
0.867	5396757
0.868	5396757
0.869	5229995
0.87	5229995
0.871	5229995
0.872	5229995
0.873	5060409
0.874	5060409
0.875	5060409
0.876	4924104
0.877	4924104
0.878	4924104
0.879	4912709
0.88	4912709
0.881	4912709
0.882	4912709
0.883	4905241
0.884	4905241
0.885	4905241
0.886	4515075
0.887	4515075
0.888	4515075
0.889	4447262
0.89	4447262
0.891	4447262
0.892	4429962
0.893	4429962
0.894	4429962
0.895	4205378
0.896	4205378
0.897	4205378
0.898	4089372
0.899	4089372
0.9	4089372
0.901	4056629
0.902	4056629
0.903	4056629
0.904	4025397
0.905	4025397
0.906	3392402
0.907	3392402
0.908	3392402
0.909	3301437
0.91	3301437
0.911	3109786
0.912	3109786
0.913	3069114
0.914	3069114
0.915	2924387
0.916	2924387
0.917	2920977
0.918	2920977
0.919	2901504
0.92	2901504
0.921	2771492
0.922	2771492
0.923	2687998
0.924	2687998
0.925	2642285
0.926	2642285
0.927	2559653
0.928	2524189
0.929	2524189
0.93	2506260
0.931	2506260
0.932	2490391
0.933	2490391
0.934	2485076
0.935	2455978
0.936	2455978
0.937	2412280
0.938	2412280
0.939	2394909
0.94	2359551
0.941	2359551
0.942	2304421
0.943	2217578
0.944	2217578
0.945	2068885
0.946	2025567
0.947	2025567
0.948	1901466
0.949	1819726
0.95	1781471
0.951	1680171
0.952	1680171
0.953	1632362
0.954	1599460
0.955	1443818
0.956	1410865
0.957	1404360
0.958	1399366
0.959	1365013
0.96	1304889
0.961	1285293
0.962	1244013
0.963	1186342
0.964	1179294
0.965	1132437
0.966	1075075
0.967	1070018
0.968	1022257
0.969	998407
0.97	971121
0.971	966999
0.972	920987
0.973	919494
0.974	856093
0.975	847928
0.976	847544
0.977	820816
0.978	802275
0.979	782996
0.98	757529
0.981	700367
0.982	657141
0.983	648337
0.984	509470
0.985	505819
0.986	430225
0.987	397364
0.988	299702
0.989	255628
0.99	236015
0.991	218589
0.992	180675
0.993	143448
0.994	120883
0.995	106413
0.996	82741
0.997	62865
0.998	45123
0.999	31154
1.0	6032
