fraction	Nx_length
0.001	130487753
0.002	130487753
0.003	130487753
0.004	130487753
0.005	130487753
0.006	130487753
0.007	130487753
0.008	130487753
0.009	130487753
0.01	130487753
0.011	130487753
0.012	130487753
0.013	130487753
0.014	130487753
0.015	130487753
0.016	130487753
0.017	130487753
0.018	130487753
0.019	130487753
0.02	130487753
0.021	130487753
0.022	130487753
0.023	130487753
0.024	130487753
0.025	130487753
0.026	130487753
0.027	130487753
0.028	130487753
0.029	130487753
0.03	130487753
0.031	130487753
0.032	130487753
0.033	130487753
0.034	130487753
0.035	130487753
0.036	130487753
0.037	130487753
0.038	130487753
0.039	130487753
0.04	130487753
0.041	130487753
0.042	130487753
0.043	130487753
0.044	130487753
0.045	130487753
0.046	130487753
0.047	130487753
0.048	130487753
0.049	130487753
0.05	130487753
0.051	130487753
0.052	130487753
0.053	130487753
0.054	130487753
0.055	130487753
0.056	129538544
0.057	129538544
0.058	129538544
0.059	129538544
0.06	129538544
0.061	129538544
0.062	129538544
0.063	129538544
0.064	129538544
0.065	129538544
0.066	129538544
0.067	129538544
0.068	129538544
0.069	129538544
0.07	129538544
0.071	129538544
0.072	129538544
0.073	129538544
0.074	129538544
0.075	129538544
0.076	129538544
0.077	129538544
0.078	129538544
0.079	129538544
0.08	129538544
0.081	129538544
0.082	129538544
0.083	129538544
0.084	129538544
0.085	129538544
0.086	129538544
0.087	129538544
0.088	129538544
0.089	129538544
0.09	129538544
0.091	129538544
0.092	129538544
0.093	129538544
0.094	129538544
0.095	129538544
0.096	129538544
0.097	129538544
0.098	129538544
0.099	129538544
0.1	129538544
0.101	129538544
0.102	129538544
0.103	129538544
0.104	129538544
0.105	129538544
0.106	129538544
0.107	129538544
0.108	129538544
0.109	129538544
0.11	129538544
0.111	129538544
0.112	96956948
0.113	96956948
0.114	96956948
0.115	96956948
0.116	96956948
0.117	96956948
0.118	96956948
0.119	96956948
0.12	96956948
0.121	96956948
0.122	96956948
0.123	96956948
0.124	96956948
0.125	96956948
0.126	96956948
0.127	96956948
0.128	96956948
0.129	96956948
0.13	96956948
0.131	96956948
0.132	96956948
0.133	96956948
0.134	96956948
0.135	96956948
0.136	96956948
0.137	96956948
0.138	96956948
0.139	96956948
0.14	96956948
0.141	96956948
0.142	96956948
0.143	96956948
0.144	96956948
0.145	96956948
0.146	96956948
0.147	96956948
0.148	96956948
0.149	96956948
0.15	96956948
0.151	96956948
0.152	96956948
0.153	96956948
0.154	93679753
0.155	93679753
0.156	93679753
0.157	93679753
0.158	93679753
0.159	93679753
0.16	93679753
0.161	93679753
0.162	93679753
0.163	93679753
0.164	93679753
0.165	93679753
0.166	93679753
0.167	93679753
0.168	93679753
0.169	93679753
0.17	93679753
0.171	93679753
0.172	93679753
0.173	93679753
0.174	93679753
0.175	93679753
0.176	93679753
0.177	93679753
0.178	93679753
0.179	93679753
0.18	93679753
0.181	93679753
0.182	93679753
0.183	93679753
0.184	93679753
0.185	93679753
0.186	93679753
0.187	93679753
0.188	93679753
0.189	93679753
0.19	93679753
0.191	93679753
0.192	93679753
0.193	93679753
0.194	78283359
0.195	78283359
0.196	78283359
0.197	78283359
0.198	78283359
0.199	78283359
0.2	78283359
0.201	78283359
0.202	78283359
0.203	78283359
0.204	78283359
0.205	78283359
0.206	78283359
0.207	78283359
0.208	78283359
0.209	78283359
0.21	78283359
0.211	78283359
0.212	78283359
0.213	78283359
0.214	78283359
0.215	78283359
0.216	78283359
0.217	78283359
0.218	78283359
0.219	78283359
0.22	78283359
0.221	78283359
0.222	78283359
0.223	78283359
0.224	78283359
0.225	78283359
0.226	78283359
0.227	72458984
0.228	72458984
0.229	72458984
0.23	72458984
0.231	72458984
0.232	72458984
0.233	72458984
0.234	72458984
0.235	72458984
0.236	72458984
0.237	72458984
0.238	72458984
