fraction	Nx_length
0.001	27573627
0.002	27573627
0.003	27573627
0.004	27573627
0.005	27573627
0.006	27573627
0.007	27573627
0.008	27573627
0.009	27573627
0.01	27573627
0.011	27573627
0.012	27573627
0.013	27573627
0.014	27573627
0.015	27573627
0.016	23059532
0.017	23059532
0.018	23059532
0.019	23059532
0.02	23059532
0.021	23059532
0.022	23059532
0.023	23059532
0.024	23059532
0.025	23059532
0.026	23059532
0.027	23059532
0.028	23059532
0.029	21131930
0.03	21131930
0.031	21131930
0.032	21131930
0.033	21131930
0.034	21131930
0.035	21131930
0.036	21131930
0.037	21131930
0.038	21131930
0.039	21131930
0.04	19883353
0.041	19883353
0.042	19883353
0.043	19883353
0.044	19883353
0.045	19883353
0.046	19883353
0.047	19883353
0.048	19883353
0.049	19883353
0.05	19883353
0.051	19481472
0.052	19481472
0.053	19481472
0.054	19481472
0.055	19481472
0.056	19481472
0.057	19481472
0.058	19481472
0.059	19481472
0.06	19481472
0.061	19481472
0.062	17640214
0.063	17640214
0.064	17640214
0.065	17640214
0.066	17640214
0.067	17640214
0.068	17640214
0.069	17640214
0.07	17640214
0.071	17640214
0.072	15610568
0.073	15610568
0.074	15610568
0.075	15610568
0.076	15610568
0.077	15610568
0.078	15610568
0.079	15610568
0.08	15177875
0.081	15177875
0.082	15177875
0.083	15177875
0.084	15177875
0.085	15177875
0.086	15177875
0.087	15177875
0.088	15177875
0.089	15137950
0.09	15137950
0.091	15137950
0.092	15137950
0.093	15137950
0.094	15137950
0.095	15137950
0.096	15137950
0.097	15020840
0.098	15020840
0.099	15020840
0.1	15020840
0.101	15020840
0.102	15020840
0.103	15020840
0.104	15020840
0.105	14855512
0.106	14855512
0.107	14855512
0.108	14855512
0.109	14855512
0.11	14855512
0.111	14855512
0.112	14855512
0.113	14855512
0.114	14285582
0.115	14285582
0.116	14285582
0.117	14285582
0.118	14285582
0.119	14285582
0.12	14285582
0.121	14285582
0.122	14129336
0.123	14129336
0.124	14129336
0.125	14129336
0.126	14129336
0.127	14129336
0.128	14129336
0.129	14022393
0.13	14022393
0.131	14022393
0.132	14022393
0.133	14022393
0.134	14022393
0.135	14022393
0.136	14022393
0.137	14001802
0.138	14001802
0.139	14001802
0.14	14001802
0.141	14001802
0.142	14001802
0.143	14001802
0.144	14001802
0.145	13947507
0.146	13947507
0.147	13947507
0.148	13947507
0.149	13947507
0.15	13947507
0.151	13947507
0.152	13947507
0.153	13746641
0.154	13746641
0.155	13746641
0.156	13746641
0.157	13746641
0.158	13746641
0.159	13746641
0.16	13465340
0.161	13465340
0.162	13465340
0.163	13465340
0.164	13465340
0.165	13465340
0.166	13465340
0.167	13465340
0.168	13232231
0.169	13232231
0.17	13232231
0.171	13232231
0.172	13232231
0.173	13232231
0.174	13232231
0.175	13207174
0.176	13207174
0.177	13207174
0.178	13207174
0.179	13207174
0.18	13207174
0.181	13207174
0.182	12674512
0.183	12674512
0.184	12674512
0.185	12674512
0.186	12674512
0.187	12674512
0.188	12674512
0.189	12651752
0.19	12651752
0.191	12651752
0.192	12651752
0.193	12651752
0.194	12651752
0.195	12651752
0.196	12630472
0.197	12630472
0.198	12630472
0.199	12630472
0.2	12630472
0.201	12630472
0.202	12630472
0.203	12560327
0.204	12560327
0.205	12560327
0.206	12560327
0.207	12560327
0.208	12560327
0.209	12560327
0.21	12543698
0.211	12543698
0.212	12543698
0.213	12543698
0.214	12543698
0.215	12543698
0.216	12543698
0.217	12416354
0.218	12416354
0.219	12416354
0.22	12416354
0.221	12416354
0.222	12416354
0.223	12416354
0.224	12332334
0.225	12332334
0.226	12332334
0.227	12332334
0.228	12332334
0.229	12332334
0.23	12332334
0.231	12043108
0.232	12043108
0.233	12043108
0.234	12043108
0.235	12043108
0.236	12043108
0.237	11742362
0.238	11742362
0.239	11742362
0.24	11742362
0.241	11742362
0.242	11742362
0.243	11742362
0.244	11256422
0.245	11256422
0.246	11256422
0.247	11256422
0.248	11256422
0.249	11256422
0.25	11034735
0.251	11034735
0.252	11034735
0.253	11034735
0.254	11034735
0.255	11034735
0.256	10943524
0.257	10943524
0.258	10943524
0.259	10943524
0.26	10943524
0.261	10943524
0.262	10738867
0.263	10738867
0.264	10738867
0.265	10738867
0.266	10738867
0.267	10738867
0.268	10227455
0.269	10227455
0.27	10227455
0.271	10227455
0.272	10227455
0.273	10227455
0.274	10170202
0.275	10170202
0.276	10170202
0.277	10170202
0.278	10170202
0.279	10170202
0.28	9414040
0.281	9414040
0.282	9414040
0.283	9414040
0.284	9414040
0.285	9406463
0.286	9406463
0.287	9406463
0.288	9406463
0.289	9406463
0.29	9198594
0.291	9198594
0.292	9198594
0.293	9198594
0.294	9198594
0.295	8560053
0.296	8560053
0.297	8560053
0.298	8560053
0.299	8560053
0.3	8442067
0.301	8442067
0.302	8442067
0.303	8442067
0.304	8004450
0.305	8004450
0.306	8004450
0.307	8004450
0.308	8004450
0.309	7816200
0.31	7816200
0.311	7816200
0.312	7816200
0.313	7652098
0.314	7652098
0.315	7652098
0.316	7652098
0.317	7648357
0.318	7648357
0.319	7648357
0.32	7648357
0.321	7648357
0.322	7606055
0.323	7606055
0.324	7606055
0.325	7606055
0.326	7573772
0.327	7573772
0.328	7573772
0.329	7573772
0.33	7380707
0.331	7380707
0.332	7380707
0.333	7380707
0.334	7315213
0.335	7315213
0.336	7315213
0.337	7315213
0.338	7220725
0.339	7220725
0.34	7220725
0.341	7220725
0.342	7214406
0.343	7214406
0.344	7214406
0.345	7214406
0.346	7197506
0.347	7197506
0.348	7197506
0.349	7197506
0.35	6995680
0.351	6995680
0.352	6995680
0.353	6995680
0.354	6979326
0.355	6979326
0.356	6979326
0.357	6979326
0.358	6917423
0.359	6917423
0.36	6917423
0.361	6917423
0.362	6844537
0.363	6844537
0.364	6844537
0.365	6789366
0.366	6789366
0.367	6789366
0.368	6789366
0.369	6772145
0.37	6772145
0.371	6772145
0.372	6772145
0.373	6711143
0.374	6711143
0.375	6711143
0.376	6711143
0.377	6676825
0.378	6676825
0.379	6676825
0.38	6577125
0.381	6577125
0.382	6577125
0.383	6577125
0.384	6530264
0.385	6530264
0.386	6530264
0.387	6530264
0.388	6493587
0.389	6493587
0.39	6493587
0.391	6303794
0.392	6303794
0.393	6303794
0.394	6303794
0.395	6207789
0.396	6207789
0.397	6207789
0.398	6108467
0.399	6108467
0.4	6108467
0.401	6108467
0.402	6104364
0.403	6104364
0.404	6104364
0.405	6047477
0.406	6047477
0.407	6047477
0.408	6006418
0.409	6006418
0.41	6006418
0.411	6006418
0.412	5949580
0.413	5949580
0.414	5949580
0.415	5883030
0.416	5883030
0.417	5883030
0.418	5873196
0.419	5873196
0.42	5873196
0.421	5706275
0.422	5706275
0.423	5706275
0.424	5706275
0.425	5677145
0.426	5677145
0.427	5677145
0.428	5629318
0.429	5629318
0.43	5629318
0.431	5627542
0.432	5627542
0.433	5627542
0.434	5553685
0.435	5553685
0.436	5553685
0.437	5538949
0.438	5538949
0.439	5538949
0.44	5517972
0.441	5517972
0.442	5517972
0.443	5475589
0.444	5475589
0.445	5475589
0.446	5428591
0.447	5428591
0.448	5428591
0.449	5388215
0.45	5388215
0.451	5388215
0.452	5337960
0.453	5337960
0.454	5337960
0.455	5302005
0.456	5302005
0.457	5302005
0.458	5281551
0.459	5281551
0.46	5281551
0.461	5253280
0.462	5253280
0.463	5253280
0.464	5235431
0.465	5235431
0.466	5235431
0.467	5229050
0.468	5229050
0.469	5229050
0.47	4971772
0.471	4971772
0.472	4966383
0.473	4966383
0.474	4966383
0.475	4949055
0.476	4949055
0.477	4949055
0.478	4869321
0.479	4869321
0.48	4856164
0.481	4856164
0.482	4856164
0.483	4810308
0.484	4810308
0.485	4810308
0.486	4777875
0.487	4777875
0.488	4714218
0.489	4714218
0.49	4714218
0.491	4704946
0.492	4704946
0.493	4704946
0.494	4627321
0.495	4627321
0.496	4626316
0.497	4626316
0.498	4626316
0.499	4594409
0.5	4594409
0.501	4517702
0.502	4517702
0.503	4517702
0.504	4494074
0.505	4494074
0.506	4491490
0.507	4491490
0.508	4491490
0.509	4397904
0.51	4397904
0.511	4368392
0.512	4368392
0.513	4368392
0.514	4333206
0.515	4333206
0.516	4291767
0.517	4291767
0.518	4264119
0.519	4264119
0.52	4264119
0.521	4210633
0.522	4210633
0.523	4186032
0.524	4186032
0.525	4176275
0.526	4176275
0.527	4176275
0.528	4162561
0.529	4162561
0.53	4115433
0.531	4115433
0.532	4085322
0.533	4085322
0.534	4085322
0.535	4076268
0.536	4076268
0.537	3993958
0.538	3993958
0.539	3967136
0.54	3967136
0.541	3879756
0.542	3879756
0.543	3878842
0.544	3878842
0.545	3878842
0.546	3876009
0.547	3876009
0.548	3846741
0.549	3846741
0.55	3821749
0.551	3821749
0.552	3785273
0.553	3785273
0.554	3766720
0.555	3766720
0.556	3748913
0.557	3748913
0.558	3730360
0.559	3730360
0.56	3637264
0.561	3637264
0.562	3593447
0.563	3593447
0.564	3577588
0.565	3577588
0.566	3549315
0.567	3549315
0.568	3474676
0.569	3474676
0.57	3469126
0.571	3469126
0.572	3466228
0.573	3466228
0.574	3448876
0.575	3448876
0.576	3438328
0.577	3438328
0.578	3387610
0.579	3387610
0.58	3372648
0.581	3344285
0.582	3344285
0.583	3343881
0.584	3343881
0.585	3332502
0.586	3332502
0.587	3312266
0.588	3312266
0.589	3279685
0.59	3279685
0.591	3223616
0.592	3206564
0.593	3206564
0.594	3189011
0.595	3189011
0.596	3173204
0.597	3173204
0.598	3167139
0.599	3151774
0.6	3151774
0.601	3129471
0.602	3129471
0.603	3070967
0.604	3070967
0.605	3058911
0.606	3045302
0.607	3045302
0.608	3028845
0.609	3028845
0.61	3014951
0.611	2946494
0.612	2946494
0.613	2920904
0.614	2920904
0.615	2881229
0.616	2879628
0.617	2879628
0.618	2871336
0.619	2855619
0.62	2855619
0.621	2833513
0.622	2833513
0.623	2821412
0.624	2780045
0.625	2780045
0.626	2761870
0.627	2732841
0.628	2732841
0.629	2709181
0.63	2706709
0.631	2706709
0.632	2704586
0.633	2701751
0.634	2701751
0.635	2699088
0.636	2687613
0.637	2687613
0.638	2682035
0.639	2677206
0.64	2677206
0.641	2663439
0.642	2655944
0.643	2655944
0.644	2653669
0.645	2649282
0.646	2641557
0.647	2641557
0.648	2618107
0.649	2596254
0.65	2596254
0.651	2584456
0.652	2547302
0.653	2547302
0.654	2526827
0.655	2496265
0.656	2471228
0.657	2471228
0.658	2470603
0.659	2439650
0.66	2439650
0.661	2411094
0.662	2402934
0.663	2393171
0.664	2393171
0.665	2390803
0.666	2378990
0.667	2373531
0.668	2366181
0.669	2366181
0.67	2363503
0.671	2329288
0.672	2325045
0.673	2325045
0.674	2317945
0.675	2315950
0.676	2305300
0.677	2283348
0.678	2283348
0.679	2266306
0.68	2263278
0.681	2262340
0.682	2262340
0.683	2219324
0.684	2207906
0.685	2203088
0.686	2167858
0.687	2159675
0.688	2159675
0.689	2150591
0.69	2135924
0.691	2131046
0.692	2120115
0.693	2117781
0.694	2101313
0.695	2101313
0.696	2097962
0.697	2079011
0.698	2049626
0.699	2038970
0.7	2028916
0.701	2024247
0.702	2010847
0.703	2010847
0.704	1995161
0.705	1992037
0.706	1973960
0.707	1970995
0.708	1949754
0.709	1944567
0.71	1936171
0.711	1920107
0.712	1915266
0.713	1884895
0.714	1863897
0.715	1850509
0.716	1847508
0.717	1838430
0.718	1809995
0.719	1806049
0.72	1803425
0.721	1803044
