fraction	Nx_length
0.001	448543899
0.002	448543899
0.003	448543899
0.004	448543899
0.005	448543899
0.006	448543899
0.007	448543899
0.008	448543899
0.009	448543899
0.01	448543899
0.011	448543899
0.012	448543899
0.013	448543899
0.014	448543899
0.015	448543899
0.016	448543899
0.017	448543899
0.018	448543899
0.019	448543899
0.02	448543899
0.021	448543899
0.022	448543899
0.023	448543899
0.024	448543899
0.025	448543899
0.026	448543899
0.027	448543899
0.028	448543899
0.029	448543899
0.03	448543899
0.031	448543899
0.032	448543899
0.033	448543899
0.034	448543899
0.035	448543899
0.036	448543899
0.037	448543899
0.038	448543899
0.039	448543899
0.04	448543899
0.041	448543899
0.042	448543899
0.043	448543899
0.044	448543899
0.045	448543899
0.046	448543899
0.047	448543899
0.048	448543899
0.049	448543899
0.05	448543899
0.051	448543899
0.052	448543899
0.053	448543899
0.054	448543899
0.055	448543899
0.056	448543899
0.057	448543899
0.058	448543899
0.059	448543899
0.06	448543899
0.061	448543899
0.062	448543899
0.063	448543899
0.064	448543899
0.065	448543899
0.066	448543899
0.067	448543899
0.068	448543899
0.069	448543899
0.07	448543899
0.071	448543899
0.072	448543899
0.073	448543899
0.074	448543899
0.075	448543899
0.076	448543899
0.077	448543899
0.078	448543899
0.079	448543899
0.08	448543899
0.081	448543899
0.082	448543899
0.083	448543899
0.084	448543899
0.085	448543899
0.086	448543899
0.087	448543899
0.088	448543899
0.089	448543899
0.09	448543899
0.091	448543899
0.092	448543899
0.093	448543899
0.094	448543899
0.095	448543899
0.096	448543899
0.097	448543899
0.098	448543899
0.099	448543899
0.1	448543899
0.101	448543899
0.102	448543899
0.103	448543899
0.104	448543899
0.105	448543899
0.106	448543899
0.107	448543899
0.108	448543899
0.109	448543899
0.11	448543899
0.111	448543899
0.112	448543899
0.113	448543899
0.114	448543899
0.115	448543899
0.116	448543899
0.117	448543899
0.118	448543899
0.119	448543899
0.12	448543899
0.121	448543899
0.122	448543899
0.123	448543899
0.124	448543899
0.125	448543899
0.126	448543899
0.127	448543899
0.128	448543899
0.129	448543899
0.13	448543899
0.131	448543899
0.132	448543899
0.133	448543899
0.134	448543899
0.135	448543899
0.136	448543899
0.137	448543899
0.138	448543899
0.139	448543899
0.14	448543899
0.141	448543899
0.142	448543899
0.143	448543899
0.144	448543899
0.145	448543899
0.146	448543899
0.147	272603344
0.148	272603344
0.149	272603344
0.15	272603344
0.151	272603344
0.152	272603344
0.153	272603344
0.154	272603344
0.155	272603344
0.156	272603344
0.157	272603344
0.158	272603344
0.159	272603344
0.16	272603344
0.161	272603344
0.162	272603344
0.163	272603344
0.164	272603344
0.165	272603344
0.166	272603344
0.167	272603344
0.168	272603344
0.169	272603344
0.17	272603344
0.171	272603344
0.172	272603344
0.173	272603344
0.174	272603344
0.175	272603344
0.176	272603344
0.177	272603344
0.178	272603344
0.179	272603344
0.18	272603344
0.181	272603344
0.182	272603344
0.183	272603344
0.184	272603344
0.185	272603344
0.186	272603344
0.187	272603344
0.188	272603344
0.189	272603344
0.19	272603344
0.191	272603344
0.192	272603344
0.193	272603344
0.194	272603344
0.195	272603344
0.196	272603344
0.197	272603344
0.198	272603344
0.199	272603344
0.2	272603344
0.201	272603344
0.202	272603344
0.203	272603344
0.204	272603344
0.205	272603344
0.206	272603344
0.207	272603344
0.208	272603344
0.209	272603344
0.21	272603344
0.211	272603344
0.212	272603344
0.213	272603344
0.214	272603344
0.215	272603344
0.216	272603344
0.217	272603344
0.218	272603344
0.219	272603344
0.22	272603344
0.221	272603344
0.222	272603344
0.223	272603344
0.224	272603344
0.225	272603344
0.226	272603344
0.227	272603344
0.228	272603344
0.229	272603344
0.23	272603344
0.231	272603344
0.232	272603344
0.233	272603344
0.234	272603344
0.235	272603344
0.236	220900721
0.237	220900721
0.238	220900721
0.239	220900721
0.24	220900721
0.241	220900721
0.242	220900721
0.243	220900721
0.244	220900721
0.245	220900721
0.246	220900721
0.247	220900721
0.248	220900721
0.249	220900721
0.25	220900721
0.251	220900721
0.252	220900721
0.253	220900721
0.254	220900721
0.255	220900721
0.256	220900721
0.257	220900721
0.258	220900721
0.259	220900721
0.26	220900721
0.261	220900721
0.262	220900721
0.263	220900721
0.264	220900721
0.265	220900721
0.266	220900721
0.267	220900721
0.268	220900721
0.269	220900721
0.27	220900721
0.271	220900721
0.272	220900721
0.273	220900721
0.274	220900721
0.275	220900721
0.276	220900721
0.277	220900721
0.278	220900721
0.279	220900721
0.28	220900721
0.281	220900721
0.282	220900721
0.283	220900721
0.284	220900721
0.285	220900721
0.286	220900721
0.287	220900721
0.288	220900721
0.289	220900721
0.29	220900721
0.291	220900721
0.292	220900721
0.293	220900721
0.294	220900721
0.295	220900721
0.296	220900721
0.297	220900721
0.298	220900721
0.299	220900721
0.3	220900721
0.301	220900721
0.302	220900721
0.303	220900721
0.304	220900721
0.305	220900721
0.306	220900721
0.307	220900721
0.308	220900721
0.309	218606525
0.31	218606525
0.311	218606525
0.312	218606525
0.313	218606525
0.314	218606525
0.315	218606525
0.316	218606525
0.317	218606525
0.318	218606525
0.319	218606525
0.32	218606525
0.321	218606525
0.322	218606525
0.323	218606525
0.324	218606525
0.325	218606525
0.326	218606525
0.327	218606525
0.328	218606525
0.329	218606525
0.33	218606525
0.331	218606525
0.332	218606525
0.333	218606525
0.334	218606525
0.335	218606525
0.336	218606525
0.337	218606525
0.338	218606525
0.339	218606525
0.34	218606525
0.341	218606525
0.342	218606525
0.343	218606525
0.344	218606525
0.345	218606525
0.346	218606525
0.347	218606525
0.348	218606525
0.349	218606525
0.35	218606525
0.351	218606525
0.352	218606525
0.353	218606525
0.354	218606525
0.355	218606525
0.356	218606525
0.357	218606525
0.358	218606525
0.359	218606525
0.36	218606525
0.361	218606525
0.362	218606525
0.363	218606525
0.364	218606525
0.365	218606525
0.366	218606525
0.367	218606525
0.368	218606525
0.369	218606525
0.37	218606525
0.371	218606525
0.372	218606525
0.373	218606525
0.374	218606525
0.375	218606525
0.376	218606525
0.377	218606525
0.378	218606525
0.379	218606525
0.38	212066388
0.381	212066388
0.382	212066388
0.383	212066388
0.384	212066388
0.385	212066388
0.386	212066388
0.387	212066388
0.388	212066388
0.389	212066388
0.39	212066388
0.391	212066388
0.392	212066388
0.393	212066388
0.394	212066388
0.395	212066388
0.396	212066388
0.397	212066388
0.398	212066388
0.399	212066388
0.4	212066388
0.401	212066388
0.402	212066388
0.403	212066388
0.404	212066388
0.405	212066388
0.406	212066388
0.407	212066388
0.408	212066388
0.409	212066388
0.41	212066388
0.411	212066388
0.412	212066388
0.413	212066388
0.414	212066388
0.415	212066388
0.416	212066388
0.417	212066388
0.418	212066388
0.419	212066388
0.42	212066388
0.421	212066388
0.422	212066388
0.423	212066388
0.424	212066388
0.425	212066388
0.426	212066388
0.427	212066388
0.428	212066388
0.429	212066388
0.43	212066388
0.431	212066388
0.432	212066388
0.433	212066388
0.434	212066388
0.435	212066388
0.436	212066388
0.437	212066388
0.438	212066388
0.439	212066388
0.44	212066388
0.441	212066388
0.442	212066388
0.443	212066388
0.444	212066388
0.445	212066388
0.446	212066388
0.447	212066388
0.448	212066388
0.449	192170830
0.45	192170830
0.451	192170830
0.452	192170830
0.453	192170830
0.454	192170830
0.455	192170830
0.456	192170830
0.457	192170830
0.458	192170830
0.459	192170830
0.46	192170830
0.461	192170830
0.462	192170830
0.463	192170830
0.464	192170830
0.465	192170830
0.466	192170830
0.467	192170830
0.468	192170830
0.469	192170830
0.47	192170830
0.471	192170830
0.472	192170830
0.473	192170830
0.474	192170830
0.475	192170830
0.476	192170830
0.477	192170830
0.478	192170830
0.479	192170830
0.48	192170830
0.481	192170830
0.482	192170830
0.483	192170830
0.484	192170830
0.485	192170830
0.486	192170830
0.487	192170830
0.488	192170830
0.489	192170830
0.49	192170830
0.491	192170830
0.492	192170830
0.493	192170830
0.494	192170830
0.495	192170830
0.496	192170830
0.497	192170830
0.498	192170830
0.499	192170830
0.5	192170830
0.501	192170830
0.502	192170830
0.503	192170830
0.504	192170830
0.505	192170830
0.506	192170830
0.507	192170830
0.508	192170830
0.509	192170830
0.51	192170830
0.511	192170830
0.512	191534865
0.513	191534865
0.514	191534865
0.515	191534865
0.516	191534865
0.517	191534865
0.518	191534865
0.519	191534865
0.52	191534865
0.521	191534865
0.522	191534865
0.523	191534865
0.524	191534865
0.525	191534865
0.526	191534865
0.527	191534865
0.528	191534865
0.529	191534865
0.53	191534865
0.531	191534865
0.532	191534865
0.533	191534865
0.534	191534865
0.535	191534865
0.536	191534865
0.537	191534865
0.538	191534865
0.539	191534865
0.54	191534865
0.541	191534865
0.542	191534865
0.543	191534865
0.544	191534865
0.545	191534865
0.546	191534865
0.547	191534865
0.548	191534865
0.549	191534865
0.55	191534865
0.551	191534865
0.552	191534865
0.553	191534865
0.554	191534865
0.555	191534865
0.556	191534865
0.557	191534865
0.558	191534865
0.559	191534865
0.56	191534865
0.561	191534865
0.562	191534865
0.563	191534865
0.564	191534865
0.565	191534865
0.566	191534865
0.567	191534865
0.568	191534865
0.569	191534865
0.57	191534865
0.571	191534865
0.572	191534865
0.573	191534865
0.574	191534865
0.575	169619027
0.576	169619027
0.577	169619027
0.578	169619027
0.579	169619027
0.58	169619027
0.581	169619027
0.582	169619027
0.583	169619027
0.584	169619027
0.585	169619027
0.586	169619027
0.587	169619027
0.588	169619027
0.589	169619027
0.59	169619027
0.591	169619027
0.592	169619027
0.593	169619027
0.594	169619027
0.595	169619027
0.596	169619027
0.597	169619027
0.598	169619027
0.599	169619027
0.6	169619027
0.601	169619027
0.602	169619027
0.603	169619027
0.604	169619027
0.605	169619027
0.606	169619027
0.607	169619027
0.608	169619027
0.609	169619027
0.61	169619027
0.611	169619027
0.612	169619027
0.613	169619027
0.614	169619027
0.615	169619027
0.616	169619027
0.617	169619027
0.618	169619027
0.619	169619027
0.62	169619027
0.621	169619027
0.622	169619027
0.623	169619027
0.624	169619027
0.625	169619027
0.626	169619027
0.627	169619027
0.628	169619027
0.629	169619027
0.63	151204417
0.631	151204417
0.632	151204417
0.633	151204417
0.634	151204417
0.635	151204417
0.636	151204417
0.637	151204417
0.638	151204417
0.639	151204417
0.64	151204417
0.641	151204417
0.642	151204417
0.643	151204417
0.644	151204417
0.645	151204417
0.646	151204417
0.647	151204417
0.648	151204417
0.649	151204417
0.65	151204417
0.651	151204417
0.652	151204417
0.653	151204417
0.654	151204417
0.655	151204417
0.656	151204417
0.657	151204417
0.658	151204417
0.659	151204417
0.66	151204417
0.661	151204417
0.662	151204417
0.663	151204417
0.664	151204417
0.665	151204417
0.666	151204417
0.667	151204417
0.668	151204417
0.669	151204417
0.67	151204417
0.671	151204417
0.672	151204417
0.673	151204417
0.674	151204417
0.675	151204417
0.676	151204417
0.677	151204417
0.678	151204417
0.679	151204417
0.68	138584749
0.681	138584749
0.682	138584749
0.683	138584749
0.684	138584749
0.685	138584749
0.686	138584749
0.687	138584749
0.688	138584749
0.689	138584749
0.69	138584749
0.691	138584749
0.692	138584749
0.693	138584749
0.694	138584749
0.695	138584749
0.696	138584749
0.697	138584749
0.698	138584749
0.699	138584749
0.7	138584749
0.701	138584749
0.702	138584749
0.703	138584749
0.704	138584749
0.705	138584749
0.706	138584749
0.707	138584749
0.708	138584749
0.709	138584749
0.71	138584749
0.711	138584749
0.712	138584749
0.713	138584749
0.714	138584749
0.715	138584749
0.716	138584749
0.717	138584749
0.718	138584749
0.719	138584749
0.72	138584749
0.721	138584749
0.722	138584749
0.723	138584749
0.724	138584749
0.725	138122222
0.726	138122222
0.727	138122222
0.728	138122222
0.729	138122222
0.73	138122222
0.731	138122222
0.732	138122222
0.733	138122222
0.734	138122222
0.735	138122222
0.736	138122222
0.737	138122222
0.738	138122222
0.739	138122222
0.74	138122222
0.741	138122222
0.742	138122222
0.743	138122222
0.744	138122222
0.745	138122222
0.746	138122222
0.747	138122222
0.748	138122222
0.749	138122222
0.75	138122222
0.751	138122222
0.752	138122222
0.753	138122222
0.754	138122222
0.755	138122222
0.756	138122222
0.757	138122222
0.758	138122222
0.759	138122222
0.76	138122222
0.761	138122222
0.762	138122222
0.763	138122222
0.764	138122222
0.765	138122222
0.766	138122222
0.767	138122222
0.768	138122222
0.769	138122222
0.77	114451961
0.771	114451961
0.772	114451961
0.773	114451961
0.774	114451961
0.775	114451961
0.776	114451961
0.777	114451961
0.778	114451961
0.779	114451961
0.78	114451961
0.781	114451961
0.782	114451961
0.783	114451961
0.784	114451961
0.785	114451961
0.786	114451961
0.787	114451961
0.788	114451961
0.789	114451961
0.79	114451961
0.791	114451961
0.792	114451961
0.793	114451961
0.794	114451961
0.795	114451961
0.796	114451961
0.797	114451961
0.798	114451961
0.799	114451961
0.8	114451961
0.801	114451961
0.802	114451961
0.803	114451961
0.804	114451961
0.805	114451961
0.806	114451961
0.807	114451961
0.808	106088045
0.809	106088045
0.81	106088045
0.811	106088045
0.812	106088045
0.813	106088045
0.814	106088045
0.815	106088045
0.816	106088045
0.817	106088045
0.818	106088045
0.819	106088045
0.82	106088045
0.821	106088045
0.822	106088045
0.823	106088045
0.824	106088045
0.825	106088045
0.826	106088045
0.827	106088045
0.828	106088045
0.829	106088045
0.83	106088045
0.831	106088045
0.832	106088045
0.833	106088045
0.834	106088045
0.835	106088045
0.836	106088045
0.837	106088045
0.838	106088045
0.839	106088045
0.84	106088045
0.841	106088045
0.842	106088045
0.843	89400424
0.844	89400424
0.845	89400424
0.846	89400424
0.847	89400424
0.848	89400424
0.849	89400424
0.85	89400424
