fraction	Nx_length
0.001	45481281
0.002	45481281
0.003	45481281
0.004	45481281
0.005	45481281
0.006	45481281
0.007	45481281
0.008	45481281
0.009	45481281
0.01	45481281
0.011	45481281
0.012	45481281
0.013	45481281
0.014	45481281
0.015	45481281
0.016	45481281
0.017	45481281
0.018	45481281
0.019	45481281
0.02	45481281
0.021	45481281
0.022	45481281
0.023	45481281
0.024	45481281
0.025	45481281
0.026	45481281
0.027	45481281
0.028	45481281
0.029	45481281
0.03	45481281
0.031	45481281
0.032	45481281
0.033	45481281
0.034	45481281
0.035	45481281
0.036	45481281
0.037	45481281
0.038	45481281
0.039	45481281
0.04	45481281
0.041	45481281
0.042	45481281
0.043	45481281
0.044	45481281
0.045	45481281
0.046	45481281
0.047	45481281
0.048	45481281
0.049	45481281
0.05	45481281
0.051	45481281
0.052	45481281
0.053	45481281
0.054	45481281
0.055	44559100
0.056	44559100
0.057	44559100
0.058	44559100
0.059	44559100
0.06	44559100
0.061	44559100
0.062	44559100
0.063	44559100
0.064	44559100
0.065	44559100
0.066	44559100
0.067	44559100
0.068	44559100
0.069	44559100
0.07	44559100
0.071	44559100
0.072	44559100
0.073	44559100
0.074	44559100
0.075	44559100
0.076	44559100
0.077	44559100
0.078	44559100
0.079	44559100
0.08	44559100
0.081	44559100
0.082	44559100
0.083	44559100
0.084	44559100
0.085	44559100
0.086	44559100
0.087	44559100
0.088	44559100
0.089	44559100
0.09	44559100
0.091	44559100
0.092	44559100
0.093	44559100
0.094	44559100
0.095	44559100
0.096	44559100
0.097	44559100
0.098	44559100
0.099	44559100
0.1	44559100
0.101	44559100
0.102	44559100
0.103	44559100
0.104	44559100
0.105	44559100
0.106	44559100
0.107	44559100
0.108	44559100
0.109	41940225
0.11	41940225
0.111	41940225
0.112	41940225
0.113	41940225
0.114	41940225
0.115	41940225
0.116	41940225
0.117	41940225
0.118	41940225
0.119	41940225
0.12	41940225
0.121	41940225
0.122	41940225
0.123	41940225
0.124	41940225
0.125	41940225
0.126	41940225
0.127	41940225
0.128	41940225
0.129	41940225
0.13	41940225
0.131	41940225
0.132	41940225
0.133	41940225
0.134	41940225
0.135	41940225
0.136	41940225
0.137	41940225
0.138	41940225
0.139	41940225
0.14	41940225
0.141	41940225
0.142	41940225
0.143	41940225
0.144	41940225
0.145	41940225
0.146	41940225
0.147	41940225
0.148	41940225
0.149	41940225
0.15	41940225
0.151	41940225
0.152	41940225
0.153	41940225
0.154	41940225
0.155	41940225
0.156	41940225
0.157	41940225
0.158	41940225
0.159	40310652
0.16	40310652
0.161	40310652
0.162	40310652
0.163	40310652
0.164	40310652
0.165	40310652
0.166	40310652
0.167	40310652
0.168	40310652
0.169	40310652
0.17	40310652
0.171	40310652
0.172	40310652
0.173	40310652
0.174	40310652
0.175	40310652
0.176	40310652
0.177	40310652
0.178	40310652
0.179	40310652
0.18	40310652
0.181	40310652
0.182	40310652
0.183	40310652
0.184	40310652
0.185	40310652
0.186	40310652
0.187	40310652
0.188	40310652
0.189	40310652
0.19	40310652
0.191	40310652
0.192	40310652
0.193	40310652
0.194	40310652
0.195	40310652
0.196	40310652
0.197	40310652
0.198	40310652
0.199	40310652
0.2	40310652
0.201	40310652
0.202	40310652
0.203	40310652
0.204	40310652
0.205	40310652
0.206	40310652
0.207	38738289
0.208	38738289
0.209	38738289
0.21	38738289
0.211	38738289
0.212	38738289
0.213	38738289
0.214	38738289
0.215	38738289
0.216	38738289
0.217	38738289
0.218	38738289
0.219	38738289
0.22	38738289
0.221	38738289
0.222	38738289
0.223	38738289
0.224	38738289
0.225	38738289
0.226	38738289
0.227	38738289
0.228	38738289
0.229	38738289
0.23	38738289
0.231	38738289
0.232	38738289
0.233	38738289
0.234	38738289
0.235	38738289
0.236	38738289
0.237	38738289
0.238	38738289
0.239	38738289
0.24	38738289
0.241	38738289
0.242	38738289
0.243	38738289
0.244	38738289
0.245	38738289
0.246	38738289
0.247	38738289
0.248	38738289
0.249	38738289
0.25	38738289
0.251	38738289
0.252	38738289
0.253	38738289
0.254	37574400
0.255	37574400
0.256	37574400
0.257	37574400
0.258	37574400
0.259	37574400
0.26	37574400
0.261	37574400
0.262	37574400
0.263	37574400
0.264	37574400
0.265	37574400
0.266	37574400
0.267	37574400
0.268	37574400
0.269	37574400
0.27	37574400
0.271	37574400
0.272	37574400
0.273	37574400
0.274	37574400
0.275	37574400
0.276	37574400
0.277	37574400
0.278	37574400
0.279	37574400
0.28	37574400
0.281	37574400
0.282	37574400
0.283	37574400
0.284	37574400
0.285	37574400
0.286	37574400
0.287	37574400
0.288	37574400
0.289	37574400
0.29	37574400
0.291	37574400
0.292	37574400
0.293	37574400
0.294	37574400
0.295	37574400
0.296	37574400
0.297	37574400
0.298	37574400
0.299	36050225
0.3	36050225
0.301	36050225
0.302	36050225
0.303	36050225
0.304	36050225
0.305	36050225
0.306	36050225
0.307	36050225
0.308	36050225
0.309	36050225
0.31	36050225
0.311	36050225
0.312	36050225
0.313	36050225
0.314	36050225
0.315	36050225
0.316	36050225
0.317	36050225
0.318	36050225
0.319	36050225
0.32	36050225
0.321	36050225
0.322	36050225
0.323	36050225
0.324	36050225
0.325	36050225
0.326	36050225
0.327	36050225
0.328	36050225
0.329	36050225
0.33	36050225
0.331	36050225
0.332	36050225
0.333	36050225
0.334	36050225
0.335	36050225
0.336	36050225
0.337	36050225
0.338	36050225
0.339	36050225
0.34	36050225
0.341	36050225
0.342	35256671
0.343	35256671
0.344	35256671
0.345	35256671
0.346	35256671
0.347	35256671
0.348	35256671
0.349	35256671
0.35	35256671
0.351	35256671
0.352	35256671
0.353	35256671
0.354	35256671
0.355	35256671
0.356	35256671
0.357	35256671
0.358	35256671
0.359	35256671
0.36	35256671
0.361	35256671
0.362	35256671
0.363	35256671
0.364	35256671
0.365	35256671
0.366	35256671
0.367	35256671
0.368	35256671
0.369	35256671
0.37	35256671
0.371	35256671
0.372	35256671
0.373	35256671
0.374	35256671
0.375	35256671
0.376	35256671
0.377	35256671
0.378	35256671
0.379	35256671
0.38	35256671
0.381	35256671
0.382	35256671
0.383	35256671
0.384	33773235
0.385	33773235
0.386	33773235
0.387	33773235
0.388	33773235
0.389	33773235
0.39	33773235
0.391	33773235
0.392	33773235
0.393	33773235
0.394	33773235
0.395	33773235
0.396	33773235
0.397	33773235
0.398	33773235
0.399	33773235
0.4	33773235
0.401	33773235
0.402	33773235
0.403	33773235
0.404	33773235
0.405	33773235
0.406	33773235
0.407	33773235
0.408	33773235
0.409	33773235
0.41	33773235
0.411	33773235
0.412	33773235
0.413	33773235
0.414	33773235
0.415	33773235
0.416	33773235
0.417	33773235
0.418	33773235
0.419	33773235
0.42	33773235
0.421	33773235
0.422	33773235
0.423	33773235
0.424	33773235
0.425	33323679
0.426	33323679
0.427	33323679
0.428	33323679
0.429	33323679
0.43	33323679
0.431	33323679
0.432	33323679
0.433	33323679
0.434	33323679
0.435	33323679
0.436	33323679
0.437	33323679
0.438	33323679
0.439	33323679
0.44	33323679
0.441	33323679
0.442	33323679
0.443	33323679
0.444	33323679
0.445	33323679
0.446	33323679
0.447	33323679
0.448	33323679
0.449	33323679
0.45	33323679
0.451	33323679
0.452	33323679
0.453	33323679
0.454	33323679
0.455	33323679
0.456	33323679
0.457	33323679
0.458	33323679
0.459	33323679
0.46	33323679
0.461	33323679
0.462	33323679
0.463	33323679
0.464	33323679
0.465	30383234
0.466	30383234
0.467	30383234
0.468	30383234
0.469	30383234
0.47	30383234
0.471	30383234
0.472	30383234
0.473	30383234
0.474	30383234
