fraction	Nx_length
0.001	13821085
0.002	13821085
0.003	13821085
0.004	13821085
0.005	13821085
0.006	13821085
0.007	13821085
0.008	13821085
0.009	13821085
0.01	13821085
0.011	13821085
0.012	13821085
0.013	11710820
0.014	11710820
0.015	11710820
0.016	11710820
0.017	11710820
0.018	11710820
0.019	11710820
0.02	11710820
0.021	11710820
0.022	11710820
0.023	11710820
0.024	10100896
0.025	10100896
0.026	10100896
0.027	10100896
0.028	10100896
0.029	10100896
0.03	10100896
0.031	10100896
0.032	10100896
0.033	9000433
0.034	9000433
0.035	9000433
0.036	9000433
0.037	9000433
0.038	9000433
0.039	9000433
0.04	9000433
0.041	8902305
0.042	8902305
0.043	8902305
0.044	8902305
0.045	8902305
0.046	8902305
0.047	8902305
0.048	8902305
0.049	8781087
0.05	8781087
0.051	8781087
0.052	8781087
0.053	8781087
0.054	8781087
0.055	8781087
0.056	8781087
0.057	8747091
0.058	8747091
0.059	8747091
0.06	8747091
0.061	8747091
0.062	8747091
0.063	8747091
0.064	8747091
0.065	8408735
0.066	8408735
0.067	8408735
0.068	8408735
0.069	8408735
0.07	8408735
0.071	8408735
0.072	8408735
0.073	8399321
0.074	8399321
0.075	8399321
0.076	8399321
0.077	8399321
0.078	8399321
0.079	8399321
0.08	8381953
0.081	8381953
0.082	8381953
0.083	8381953
0.084	8381953
0.085	8381953
0.086	8381953
0.087	8381953
0.088	8256687
0.089	8256687
0.09	8256687
0.091	8256687
0.092	8256687
0.093	8256687
0.094	8256687
0.095	8256687
0.096	8119430
0.097	8119430
0.098	8119430
0.099	8119430
0.1	8119430
0.101	8119430
0.102	8119430
0.103	8046525
0.104	8046525
0.105	8046525
0.106	8046525
0.107	8046525
0.108	8046525
0.109	8046525
0.11	7937000
0.111	7937000
0.112	7937000
0.113	7937000
0.114	7937000
0.115	7937000
0.116	7937000
0.117	7934027
0.118	7934027
0.119	7934027
0.12	7934027
0.121	7934027
0.122	7934027
0.123	7934027
0.124	7934027
0.125	7813000
0.126	7813000
0.127	7813000
0.128	7813000
0.129	7813000
0.13	7813000
0.131	7813000
0.132	7750762
0.133	7750762
0.134	7750762
0.135	7750762
0.136	7750762
0.137	7750762
0.138	7750762
0.139	7681816
0.14	7681816
0.141	7681816
0.142	7681816
0.143	7681816
0.144	7681816
0.145	7681816
0.146	7544426
0.147	7544426
0.148	7544426
0.149	7544426
0.15	7544426
0.151	7544426
0.152	7544426
0.153	7510031
0.154	7510031
0.155	7510031
0.156	7510031
0.157	7510031
0.158	7510031
0.159	7498066
0.16	7498066
0.161	7498066
0.162	7498066
0.163	7498066
0.164	7498066
0.165	7498066
0.166	7493016
0.167	7493016
0.168	7493016
0.169	7493016
0.17	7493016
0.171	7493016
0.172	7493016
0.173	7407688
0.174	7407688
0.175	7407688
0.176	7407688
0.177	7407688
0.178	7407688
0.179	7407688
0.18	7334190
0.181	7334190
0.182	7334190
0.183	7334190
0.184	7334190
0.185	7334190
0.186	7226712
0.187	7226712
0.188	7226712
0.189	7226712
0.19	7226712
0.191	7226712
0.192	7226712
0.193	6902127
0.194	6902127
0.195	6902127
0.196	6902127
0.197	6902127
0.198	6902127
0.199	6894000
0.2	6894000
0.201	6894000
0.202	6894000
0.203	6894000
0.204	6894000
0.205	6894000
0.206	6829669
0.207	6829669
0.208	6829669
0.209	6829669
0.21	6829669
0.211	6829669
0.212	6729368
0.213	6729368
0.214	6729368
0.215	6729368
0.216	6729368
0.217	6729368
0.218	6592000
0.219	6592000
0.22	6592000
0.221	6592000
0.222	6592000
0.223	6592000
0.224	6498773
0.225	6498773
0.226	6498773
0.227	6498773
0.228	6498773
0.229	6498773
0.23	6462205
0.231	6462205
0.232	6462205
0.233	6462205
0.234	6462205
0.235	6462205
0.236	6253543
0.237	6253543
0.238	6253543
0.239	6253543
0.24	6253543
0.241	6236631
0.242	6236631
0.243	6236631
0.244	6236631
0.245	6236631
0.246	6236631
0.247	6210614
0.248	6210614
0.249	6210614
0.25	6210614
0.251	6210614
0.252	6210614
0.253	6182880
0.254	6182880
0.255	6182880
0.256	6182880
0.257	6182880
0.258	6076440
0.259	6076440
0.26	6076440
0.261	6076440
0.262	6076440
0.263	6076440
0.264	5906484
0.265	5906484
0.266	5906484
0.267	5906484
0.268	5906484
0.269	5828491
0.27	5828491
0.271	5828491
0.272	5828491
0.273	5828491
0.274	5734687
0.275	5734687
0.276	5734687
0.277	5734687
0.278	5734687
0.279	5734687
0.28	5667006
0.281	5667006
0.282	5667006
0.283	5667006
0.284	5667006
0.285	5632000
0.286	5632000
0.287	5632000
0.288	5632000
0.289	5632000
0.29	5611376
0.291	5611376
0.292	5611376
0.293	5611376
0.294	5611376
0.295	5609415
0.296	5609415
0.297	5609415
0.298	5609415
0.299	5609415
0.3	5560168
0.301	5560168
0.302	5560168
0.303	5560168
0.304	5560168
0.305	5550394
0.306	5550394
0.307	5550394
0.308	5550394
0.309	5550394
0.31	5537663
0.311	5537663
0.312	5537663
0.313	5537663
0.314	5537663
0.315	5511828
0.316	5511828
0.317	5511828
0.318	5511828
0.319	5511828
0.32	5455295
0.321	5455295
0.322	5455295
0.323	5455295
0.324	5455295
0.325	5453000
0.326	5453000
0.327	5453000
0.328	5453000
0.329	5453000
0.33	5337636
0.331	5337636
