fraction	Nx_length
0.001	34285027
0.002	34285027
0.003	34285027
0.004	34285027
0.005	34285027
0.006	34285027
0.007	34285027
0.008	34285027
0.009	34285027
0.01	34285027
0.011	34285027
0.012	34285027
0.013	34285027
0.014	34285027
0.015	34285027
0.016	34285027
0.017	34285027
0.018	34285027
0.019	34285027
0.02	34285027
0.021	34285027
0.022	34285027
0.023	34285027
0.024	34285027
0.025	34285027
0.026	34285027
0.027	34285027
0.028	34285027
0.029	34285027
0.03	34285027
0.031	34285027
0.032	34285027
0.033	34285027
0.034	34285027
0.035	34285027
0.036	34285027
0.037	34285027
0.038	34285027
0.039	34285027
0.04	34285027
0.041	34285027
0.042	34285027
0.043	34285027
0.044	34285027
0.045	34285027
0.046	34285027
0.047	34285027
0.048	34285027
0.049	34285027
0.05	34285027
0.051	34285027
0.052	34285027
0.053	34285027
0.054	34285027
0.055	34285027
0.056	34285027
0.057	34285027
0.058	34285027
0.059	34285027
0.06	34285027
0.061	34285027
0.062	31080915
0.063	31080915
0.064	31080915
0.065	31080915
0.066	31080915
0.067	31080915
0.068	31080915
0.069	31080915
0.07	31080915
0.071	31080915
0.072	31080915
0.073	31080915
0.074	31080915
0.075	31080915
0.076	31080915
0.077	31080915
0.078	31080915
0.079	31080915
0.08	31080915
0.081	31080915
0.082	31080915
0.083	31080915
0.084	31080915
0.085	31080915
0.086	31080915
0.087	31080915
0.088	31080915
0.089	31080915
0.09	31080915
0.091	31080915
0.092	31080915
0.093	31080915
0.094	31080915
0.095	31080915
0.096	31080915
0.097	31080915
0.098	31080915
0.099	31080915
0.1	31080915
0.101	31080915
0.102	31080915
0.103	31080915
0.104	31080915
0.105	31080915
0.106	31080915
0.107	31080915
0.108	31080915
0.109	31080915
0.11	31080915
0.111	31080915
0.112	31080915
0.113	31080915
0.114	31080915
0.115	31080915
0.116	31080915
0.117	31080915
0.118	28519589
0.119	28519589
0.12	28519589
0.121	28519589
0.122	28519589
0.123	28519589
0.124	28519589
0.125	28519589
0.126	28519589
0.127	28519589
0.128	28519589
0.129	28519589
0.13	28519589
0.131	28519589
0.132	28519589
0.133	28519589
0.134	28519589
0.135	28519589
0.136	28519589
0.137	28519589
0.138	28519589
0.139	28519589
0.14	28519589
0.141	28519589
0.142	28519589
0.143	28519589
0.144	28519589
0.145	28519589
0.146	28519589
0.147	28519589
0.148	28519589
0.149	28519589
0.15	28519589
0.151	28519589
0.152	28519589
0.153	28519589
0.154	28519589
0.155	28519589
0.156	28519589
0.157	28519589
0.158	28519589
0.159	28519589
0.16	28519589
0.161	28519589
0.162	28519589
0.163	28519589
0.164	28519589
0.165	28519589
0.166	28519589
0.167	28519589
0.168	28519589
0.169	27937778
0.17	27937778
0.171	27937778
0.172	27937778
0.173	27937778
0.174	27937778
0.175	27937778
0.176	27937778
0.177	27937778
0.178	27937778
0.179	27937778
0.18	27937778
0.181	27937778
0.182	27937778
0.183	27937778
0.184	27937778
0.185	27937778
0.186	27937778
0.187	27937778
0.188	27937778
0.189	27937778
0.19	27937778
0.191	27937778
0.192	27937778
0.193	27937778
0.194	27937778
0.195	27937778
0.196	27937778
0.197	27937778
0.198	27937778
0.199	27937778
0.2	27937778
0.201	27937778
0.202	27937778
0.203	27937778
0.204	27937778
0.205	27937778
0.206	27937778
0.207	27937778
0.208	27937778
0.209	27937778
0.21	27937778
0.211	27937778
0.212	27937778
0.213	27937778
0.214	27937778
0.215	27937778
0.216	27937778
0.217	27937778
0.218	27937778
0.219	27937778
0.22	27357120
0.221	27357120
0.222	27357120
0.223	27357120
0.224	27357120
0.225	27357120
0.226	27357120
0.227	27357120
0.228	27357120
0.229	27357120
0.23	27357120
0.231	27357120
0.232	27357120
0.233	27357120
0.234	27357120
0.235	27357120
0.236	27357120
0.237	27357120
0.238	27357120
0.239	27357120
0.24	27357120
0.241	27357120
0.242	27357120
0.243	27357120
0.244	27357120
0.245	27357120
0.246	27357120
0.247	27357120
0.248	27357120
0.249	27357120
0.25	27357120
0.251	27357120
0.252	27357120
0.253	27357120
0.254	27357120
0.255	27357120
0.256	27357120
0.257	27357120
0.258	27357120
0.259	27357120
0.26	27357120
0.261	27357120
0.262	27357120
0.263	27357120
0.264	27357120
0.265	27357120
