fraction	Nx_length
0.001	37025965
0.002	37025965
0.003	37025965
0.004	37025965
0.005	37025965
0.006	37025965
0.007	37025965
0.008	37025965
0.009	37025965
0.01	37025965
0.011	37025965
0.012	37025965
0.013	37025965
0.014	37025965
0.015	37025965
0.016	37025965
0.017	37025965
0.018	37025965
0.019	37025965
0.02	37025965
0.021	37025965
0.022	37025965
0.023	37025965
0.024	37025965
0.025	37025965
0.026	37025965
0.027	37025965
0.028	37025965
0.029	37025965
0.03	37025965
0.031	37025965
0.032	37025965
0.033	37025965
0.034	37025965
0.035	37025965
0.036	37025965
0.037	37025965
0.038	37025965
0.039	37025965
0.04	37025965
0.041	37025965
0.042	37025965
0.043	37025965
0.044	37025965
0.045	37025965
0.046	37025965
0.047	35434127
0.048	35434127
0.049	35434127
0.05	35434127
0.051	35434127
0.052	35434127
0.053	35434127
0.054	35434127
0.055	35434127
0.056	35434127
0.057	35434127
0.058	35434127
0.059	35434127
0.06	35434127
0.061	35434127
0.062	35434127
0.063	35434127
0.064	35434127
0.065	35434127
0.066	35434127
0.067	35434127
0.068	35434127
0.069	35434127
0.07	35434127
0.071	35434127
0.072	35434127
0.073	35434127
0.074	35434127
0.075	35434127
0.076	35434127
0.077	35434127
0.078	35434127
0.079	35434127
0.08	35434127
0.081	35434127
0.082	35434127
0.083	35434127
0.084	35434127
0.085	35434127
0.086	35434127
0.087	35434127
0.088	35434127
0.089	35434127
0.09	35434127
0.091	35434127
0.092	33897316
0.093	33897316
0.094	33897316
0.095	33897316
0.096	33897316
0.097	33897316
0.098	33897316
0.099	33897316
0.1	33897316
0.101	33897316
0.102	33897316
0.103	33897316
0.104	33897316
0.105	33897316
0.106	33897316
0.107	33897316
0.108	33897316
0.109	33897316
0.11	33897316
0.111	33897316
0.112	33897316
0.113	33897316
0.114	33897316
0.115	33897316
0.116	33897316
0.117	33897316
0.118	33897316
0.119	33897316
0.12	33897316
0.121	33897316
0.122	33897316
0.123	33897316
0.124	33897316
0.125	33897316
0.126	33897316
0.127	33897316
0.128	33897316
0.129	33897316
0.13	33897316
0.131	33897316
0.132	33897316
0.133	33897316
0.134	33897316
0.135	33760757
0.136	33760757
0.137	33760757
0.138	33760757
0.139	33760757
0.14	33760757
0.141	33760757
0.142	33760757
0.143	33760757
0.144	33760757
0.145	33760757
0.146	33760757
0.147	33760757
0.148	33760757
0.149	33760757
0.15	33760757
0.151	33760757
0.152	33760757
0.153	33760757
0.154	33760757
0.155	33760757
0.156	33760757
0.157	33760757
0.158	33760757
0.159	33760757
0.16	33760757
0.161	33760757
0.162	33760757
0.163	33760757
0.164	33760757
0.165	33760757
0.166	33760757
0.167	33760757
0.168	33760757
0.169	33760757
0.17	33760757
0.171	33760757
0.172	33760757
0.173	33760757
0.174	33760757
0.175	33760757
0.176	33760757
0.177	33739492
0.178	33739492
0.179	33739492
0.18	33739492
0.181	33739492
0.182	33739492
0.183	33739492
0.184	33739492
0.185	33739492
0.186	33739492
0.187	33739492
0.188	33739492
0.189	33739492
0.19	33739492
0.191	33739492
0.192	33739492
0.193	33739492
0.194	33739492
0.195	33739492
0.196	33739492
0.197	33739492
0.198	33739492
0.199	33739492
0.2	33739492
0.201	33739492
0.202	33739492
0.203	33739492
0.204	33739492
0.205	33739492
0.206	33739492
0.207	33739492
0.208	33739492
0.209	33739492
0.21	33739492
0.211	33739492
0.212	33739492
0.213	33739492
0.214	33739492
0.215	33739492
0.216	33739492
0.217	33739492
0.218	33739492
0.219	33739492
0.22	32335077
0.221	32335077
0.222	32335077
0.223	32335077
0.224	32335077
0.225	32335077
0.226	32335077
0.227	32335077
0.228	32335077
0.229	32335077
0.23	32335077
0.231	32335077
0.232	32335077
0.233	32335077
0.234	32335077
0.235	32335077
0.236	32335077
0.237	32335077
0.238	32335077
0.239	32335077
0.24	32335077
0.241	32335077
0.242	32335077
0.243	32335077
0.244	32335077
0.245	32335077
0.246	32335077
0.247	32335077
0.248	32335077
0.249	32335077
0.25	32335077
0.251	32335077
0.252	32335077
0.253	32335077
0.254	32335077
0.255	32335077
0.256	32335077
0.257	32335077
0.258	32335077
0.259	32335077
0.26	32335077
