fraction	Nx_length
0.001	245407277
0.002	245407277
0.003	245407277
0.004	245407277
0.005	245407277
0.006	245407277
0.007	245407277
0.008	245407277
0.009	245407277
0.01	245407277
0.011	245407277
0.012	245407277
0.013	245407277
0.014	245407277
0.015	245407277
0.016	245407277
0.017	245407277
0.018	245407277
0.019	245407277
0.02	245407277
0.021	245407277
0.022	245407277
0.023	245407277
0.024	245407277
0.025	245407277
0.026	245407277
0.027	245407277
0.028	245407277
0.029	245407277
0.03	245407277
0.031	245407277
0.032	245407277
0.033	245407277
0.034	245407277
0.035	245407277
0.036	245407277
0.037	245407277
0.038	245407277
0.039	245407277
0.04	245407277
0.041	245407277
0.042	245407277
0.043	245407277
0.044	245407277
0.045	245407277
0.046	245407277
0.047	245407277
0.048	245407277
0.049	245407277
0.05	245407277
0.051	245407277
0.052	245407277
0.053	245407277
0.054	245407277
0.055	245407277
0.056	245407277
0.057	245407277
0.058	245407277
0.059	245407277
0.06	245407277
0.061	245407277
0.062	245407277
0.063	245407277
0.064	245407277
0.065	245407277
0.066	245407277
0.067	245407277
0.068	245407277
0.069	245407277
0.07	245407277
0.071	245407277
0.072	245407277
0.073	245407277
0.074	245407277
0.075	245407277
0.076	245407277
0.077	245407277
0.078	245407277
0.079	245407277
0.08	245407277
0.081	245407277
0.082	245407277
0.083	245407277
0.084	245407277
0.085	245407277
0.086	245407277
0.087	245407277
0.088	245407277
0.089	245407277
0.09	245407277
0.091	245407277
0.092	245407277
0.093	245407277
0.094	245407277
0.095	245407277
0.096	245407277
0.097	245407277
0.098	245407277
0.099	245407277
0.1	245407277
0.101	245407277
0.102	245407277
0.103	245407277
0.104	245407277
0.105	245407277
0.106	245407277
0.107	215736802
0.108	215736802
0.109	215736802
0.11	215736802
0.111	215736802
0.112	215736802
0.113	215736802
0.114	215736802
0.115	215736802
0.116	215736802
0.117	215736802
0.118	215736802
0.119	215736802
0.12	215736802
0.121	215736802
0.122	215736802
0.123	215736802
0.124	215736802
0.125	215736802
0.126	215736802
0.127	215736802
0.128	215736802
0.129	215736802
0.13	215736802
0.131	215736802
0.132	215736802
0.133	215736802
0.134	215736802
0.135	215736802
0.136	215736802
0.137	215736802
0.138	215736802
0.139	215736802
0.14	215736802
0.141	215736802
0.142	215736802
0.143	215736802
0.144	215736802
0.145	215736802
0.146	215736802
0.147	215736802
0.148	215736802
0.149	215736802
0.15	215736802
0.151	215736802
0.152	215736802
0.153	215736802
0.154	215736802
0.155	215736802
0.156	215736802
0.157	215736802
0.158	215736802
0.159	215736802
0.16	215736802
0.161	215736802
0.162	215736802
0.163	215736802
0.164	215736802
0.165	215736802
0.166	215736802
0.167	215736802
0.168	215736802
0.169	215736802
0.17	215736802
0.171	215736802
0.172	215736802
0.173	215736802
0.174	215736802
0.175	215736802
0.176	215736802
0.177	215736802
0.178	215736802
0.179	215736802
0.18	215736802
0.181	215736802
0.182	215736802
0.183	215736802
0.184	215736802
0.185	215736802
0.186	215736802
0.187	215736802
0.188	215736802
0.189	215736802
