fraction	Nx_length
0.001	113602117
0.002	113602117
0.003	113602117
0.004	113602117
0.005	113602117
0.006	113602117
0.007	113602117
0.008	113602117
0.009	113602117
0.01	113602117
0.011	113602117
0.012	113602117
0.013	113602117
0.014	113602117
0.015	113602117
0.016	113602117
0.017	113602117
0.018	113602117
0.019	113602117
0.02	113602117
0.021	113602117
0.022	113602117
0.023	113602117
0.024	113602117
0.025	113602117
0.026	113602117
0.027	113602117
0.028	113602117
0.029	113602117
0.03	113602117
0.031	113602117
0.032	113602117
0.033	113602117
0.034	113602117
0.035	113602117
0.036	113602117
0.037	113602117
0.038	113602117
0.039	113602117
0.04	113602117
0.041	113602117
0.042	113602117
0.043	113602117
0.044	113602117
0.045	113602117
0.046	113602117
0.047	113602117
0.048	113602117
0.049	113602117
0.05	113602117
0.051	113602117
0.052	110014817
0.053	110014817
0.054	110014817
0.055	110014817
0.056	110014817
0.057	110014817
0.058	110014817
0.059	110014817
0.06	110014817
0.061	110014817
0.062	110014817
0.063	110014817
0.064	110014817
0.065	110014817
0.066	110014817
0.067	110014817
0.068	110014817
0.069	110014817
0.07	110014817
0.071	110014817
0.072	110014817
0.073	110014817
0.074	110014817
0.075	110014817
0.076	110014817
0.077	110014817
0.078	110014817
0.079	110014817
0.08	110014817
0.081	110014817
0.082	110014817
0.083	110014817
0.084	110014817
0.085	110014817
0.086	110014817
0.087	110014817
0.088	110014817
0.089	110014817
0.09	110014817
0.091	110014817
0.092	110014817
0.093	110014817
0.094	110014817
0.095	110014817
0.096	110014817
0.097	110014817
0.098	110014817
0.099	110014817
0.1	110014817
0.101	110014817
0.102	110014817
0.103	91481732
0.104	91481732
0.105	91481732
0.106	91481732
0.107	91481732
0.108	91481732
0.109	91481732
0.11	91481732
0.111	91481732
0.112	91481732
0.113	91481732
0.114	91481732
0.115	91481732
0.116	91481732
0.117	91481732
0.118	91481732
0.119	91481732
0.12	91481732
0.121	91481732
0.122	91481732
0.123	91481732
0.124	91481732
0.125	91481732
0.126	91481732
0.127	91481732
0.128	91481732
0.129	91481732
0.13	91481732
0.131	91481732
0.132	91481732
0.133	91481732
0.134	91481732
0.135	91481732
0.136	91481732
0.137	91481732
0.138	91481732
0.139	91481732
0.14	91481732
0.141	91481732
0.142	91481732
0.143	91481732
0.144	91481732
0.145	86548229
0.146	86548229
0.147	86548229
0.148	86548229
0.149	86548229
0.15	86548229
0.151	86548229
0.152	86548229
0.153	86548229
0.154	86548229
0.155	86548229
0.156	86548229
0.157	86548229
0.158	86548229
0.159	86548229
0.16	86548229
0.161	86548229
0.162	86548229
0.163	86548229
0.164	86548229
0.165	86548229
0.166	86548229
0.167	86548229
0.168	86548229
0.169	86548229
0.17	86548229
0.171	86548229
0.172	86548229
0.173	86548229
0.174	86548229
0.175	86548229
0.176	86548229
0.177	86548229
0.178	86548229
0.179	86548229
0.18	86548229
0.181	86548229
0.182	86548229
0.183	86548229
0.184	86229080
0.185	86229080
0.186	86229080
0.187	86229080
0.188	86229080
0.189	86229080
0.19	86229080
0.191	86229080
0.192	86229080
0.193	86229080
0.194	86229080
0.195	86229080
0.196	86229080
0.197	86229080
0.198	86229080
0.199	86229080
0.2	86229080
0.201	86229080
0.202	86229080
0.203	86229080
0.204	86229080
0.205	86229080
0.206	86229080
0.207	86229080
0.208	86229080
0.209	86229080
0.21	86229080
0.211	86229080
0.212	86229080
0.213	86229080
0.214	86229080
0.215	86229080
0.216	86229080
0.217	86229080
0.218	86229080
0.219	86229080
0.22	86229080
0.221	86229080
0.222	86229080
0.223	86229080
0.224	85783762
0.225	85783762
0.226	85783762
0.227	85783762
0.228	85783762
0.229	85783762
0.23	85783762
0.231	85783762
0.232	85783762
0.233	85783762
0.234	85783762
0.235	85783762
0.236	85783762
0.237	85783762
0.238	85783762
0.239	85783762
0.24	85783762
0.241	85783762
0.242	85783762
0.243	85783762
0.244	85783762
0.245	85783762
0.246	85783762
0.247	85783762
0.248	85783762
0.249	85783762
0.25	85783762
0.251	85783762
0.252	85783762
0.253	85783762
0.254	85783762
0.255	85783762
0.256	85783762
0.257	85783762
0.258	85783762
0.259	85783762
0.26	85783762
0.261	85783762
0.262	85783762
0.263	85168402
0.264	85168402
0.265	85168402
0.266	85168402
0.267	85168402
0.268	85168402
0.269	85168402
0.27	85168402
0.271	85168402
0.272	85168402
0.273	85168402
0.274	85168402
0.275	85168402
0.276	85168402
0.277	85168402
0.278	85168402
0.279	85168402
0.28	85168402
0.281	85168402
0.282	85168402
0.283	85168402
0.284	85168402
0.285	85168402
0.286	85168402
0.287	85168402
0.288	85168402
0.289	85168402
0.29	85168402
0.291	85168402
0.292	85168402
0.293	85168402
0.294	85168402
0.295	85168402
0.296	85168402
0.297	85168402
0.298	85168402
0.299	85168402
0.3	85168402
0.301	85168402
0.302	81164754
0.303	81164754
0.304	81164754
0.305	81164754
0.306	81164754
0.307	81164754
0.308	81164754
0.309	81164754
0.31	81164754
0.311	81164754
0.312	81164754
0.313	81164754
0.314	81164754
0.315	81164754
0.316	81164754
0.317	81164754
0.318	81164754
0.319	81164754
0.32	81164754
0.321	81164754
0.322	81164754
0.323	81164754
0.324	81164754
0.325	81164754
0.326	81164754
0.327	81164754
0.328	81164754
0.329	81164754
0.33	81164754
0.331	81164754
0.332	81164754
0.333	81164754
0.334	81164754
0.335	81164754
0.336	81164754
0.337	81164754
0.338	81164754
0.339	63729904
0.34	63729904
0.341	63729904
0.342	63729904
0.343	63729904
0.344	63729904
0.345	63729904
0.346	63729904
0.347	63729904
0.348	63729904
0.349	63729904
0.35	63729904
0.351	63729904
0.352	63729904
0.353	63729904
0.354	63729904
0.355	63729904
0.356	63729904
0.357	63729904
0.358	63729904
0.359	63729904
0.36	63729904
0.361	63729904
0.362	63729904
0.363	63729904
0.364	63729904
0.365	63729904
0.366	63729904
0.367	63729904
0.368	61791321
0.369	61791321
0.37	61791321
0.371	61791321
0.372	61791321
0.373	61791321
0.374	61791321
0.375	61791321
0.376	61791321
0.377	61791321
0.378	61791321
0.379	61791321
0.38	61791321
0.381	61791321
0.382	61791321
0.383	61791321
0.384	61791321
0.385	61791321
0.386	61791321
0.387	61791321
0.388	61791321
0.389	61791321
0.39	61791321
0.391	61791321
0.392	61791321
0.393	61791321
0.394	61791321
0.395	61791321
0.396	61791321
0.397	57416539
0.398	57416539
0.399	57416539
0.4	57416539
0.401	57416539
0.402	57416539
0.403	57416539
0.404	57416539
0.405	57416539
0.406	57416539
0.407	57416539
0.408	57416539
0.409	57416539
0.41	57416539
0.411	57416539
0.412	57416539
0.413	57416539
0.414	57416539
0.415	57416539
0.416	57416539
0.417	57416539
0.418	57416539
0.419	57416539
0.42	57416539
0.421	57416539
0.422	57416539
0.423	56137326
0.424	56137326
0.425	56137326
0.426	56137326
0.427	56137326
0.428	56137326
0.429	56137326
0.43	56137326
0.431	56137326
0.432	56137326
0.433	56137326
0.434	56137326
0.435	56137326
0.436	56137326
0.437	56137326
0.438	56137326
0.439	56137326
0.44	56137326
0.441	56137326
0.442	56137326
0.443	56137326
0.444	56137326
0.445	56137326
0.446	56137326
0.447	56137326
0.448	54412072
0.449	54412072
0.45	54412072
0.451	54412072
0.452	54412072
0.453	54412072
0.454	54412072
0.455	54412072
0.456	54412072
0.457	54412072
0.458	54412072
0.459	54412072
0.46	54412072
0.461	54412072
0.462	54412072
0.463	54412072
0.464	54412072
0.465	54412072
0.466	54412072
0.467	54412072
0.468	54412072
0.469	54412072
0.47	54412072
0.471	54412072
0.472	54412072
0.473	53470418
0.474	53470418
0.475	53470418
0.476	53470418
0.477	53470418
0.478	53470418
0.479	53470418
0.48	53470418
0.481	53470418
0.482	53470418
0.483	53470418
0.484	53470418
0.485	53470418
0.486	53470418
0.487	53470418
0.488	53470418
0.489	53470418
0.49	53470418
0.491	53470418
0.492	53470418
0.493	53470418
0.494	53470418
0.495	53470418
0.496	53470418
0.497	53470418
0.498	53323821
0.499	53323821
0.5	53323821
0.501	53323821
0.502	53323821
0.503	53323821
0.504	53323821
0.505	53323821
0.506	53323821
0.507	53323821
0.508	53323821
0.509	53323821
0.51	53323821
0.511	53323821
0.512	53323821
0.513	53323821
0.514	53323821
0.515	53323821
0.516	53323821
0.517	53323821
0.518	53323821
0.519	53323821
0.52	53323821
0.521	53323821
0.522	52778260
0.523	52778260
0.524	52778260
0.525	52778260
0.526	52778260
0.527	52778260
0.528	52778260
0.529	52778260
0.53	52778260
0.531	52778260
0.532	52778260
0.533	52778260
0.534	52778260
0.535	52778260
0.536	52778260
0.537	52778260
0.538	52778260
0.539	52778260
0.54	52778260
0.541	52778260
0.542	52778260
0.543	52778260
0.544	52778260
0.545	52778260
0.546	50646785
0.547	50646785
0.548	50646785
0.549	50646785
0.55	50646785
0.551	50646785
0.552	50646785
0.553	50646785
0.554	50646785
0.555	50646785
0.556	50646785
0.557	50646785
0.558	50646785
0.559	50646785
0.56	50646785
0.561	50646785
0.562	50646785
0.563	50646785
0.564	50646785
0.565	50646785
0.566	50646785
0.567	50646785
0.568	50646785
0.569	50646785
0.57	48725495
0.571	48725495
0.572	48725495
0.573	48725495
0.574	48725495
0.575	48725495
0.576	48725495
0.577	48725495
0.578	48725495
0.579	48725495
0.58	48725495
0.581	48725495
0.582	48725495
0.583	48725495
0.584	48725495
0.585	48725495
0.586	48725495
0.587	48725495
0.588	48725495
0.589	48725495
0.59	48725495
0.591	48725495
0.592	46946914
0.593	46946914
0.594	46946914
0.595	46946914
0.596	46946914
0.597	46946914
0.598	46946914
0.599	46946914
0.6	46946914
0.601	46946914
0.602	46946914
0.603	46946914
0.604	46946914
0.605	46946914
0.606	46946914
0.607	46946914
0.608	46946914
0.609	46946914
0.61	46946914
0.611	46946914
0.612	46946914
0.613	46492035
0.614	46492035
0.615	46492035
0.616	46492035
0.617	46492035
0.618	46492035
0.619	46492035
0.62	46492035
0.621	46492035
0.622	46492035
0.623	46492035
0.624	46492035
0.625	46492035
0.626	46492035
0.627	46492035
0.628	46492035
0.629	46492035
0.63	46492035
0.631	46492035
0.632	46492035
0.633	46492035
0.634	46492035
0.635	45338703
0.636	45338703
0.637	45338703
0.638	45338703
0.639	45338703
0.64	45338703
0.641	45338703
0.642	45338703
0.643	45338703
0.644	45338703
0.645	45338703
0.646	45338703
0.647	45338703
0.648	45338703
0.649	45338703
0.65	45338703
0.651	45338703
0.652	45338703
0.653	45338703
0.654	45338703
0.655	41297949
0.656	41297949
0.657	41297949
0.658	41297949
0.659	41297949
0.66	41297949
0.661	41297949
0.662	41297949
0.663	41297949
0.664	41297949
0.665	41297949
0.666	41297949
0.667	41297949
0.668	41297949
0.669	41297949
0.67	41297949
0.671	41297949
0.672	41297949
0.673	41297949
0.674	39959986
0.675	39959986
0.676	39959986
0.677	39959986
0.678	39959986
0.679	39959986
0.68	39959986
0.681	39959986
0.682	39959986
0.683	39959986
0.684	39959986
0.685	39959986
0.686	39959986
0.687	39959986
0.688	39959986
0.689	39959986
0.69	39959986
0.691	39959986
0.692	39959986
0.693	30886607
0.694	30886607
0.695	30886607
0.696	30886607
0.697	30886607
0.698	30886607
0.699	30886607
0.7	30886607
0.701	30886607
0.702	30886607
0.703	30886607
0.704	30886607
0.705	30886607
0.706	30886607
0.707	30824648
0.708	30824648
0.709	30824648
0.71	30824648
0.711	30824648
0.712	30824648
0.713	30824648
0.714	30824648
0.715	30824648
0.716	30824648
0.717	30824648
0.718	30824648
0.719	30824648
0.72	30824648
0.721	28296069
0.722	28296069
0.723	28296069
0.724	28296069
0.725	28296069
0.726	28296069
0.727	28296069
0.728	28296069
0.729	28296069
0.73	28296069
0.731	28296069
0.732	28296069
0.733	28296069
0.734	27453426
0.735	27453426
0.736	27453426
0.737	27453426
0.738	27453426
0.739	27453426
0.74	27453426
0.741	27453426
0.742	27453426
0.743	27453426
0.744	27453426
0.745	27453426
0.746	26776228
0.747	26776228
0.748	26776228
0.749	26776228
0.75	26776228
0.751	26776228
0.752	26776228
0.753	26776228
0.754	26776228
0.755	26776228
0.756	26776228
0.757	26776228
0.758	26776228
0.759	26263301
0.76	26263301
0.761	26263301
0.762	26263301
0.763	26263301
0.764	26263301
0.765	26263301
0.766	26263301
0.767	26263301
0.768	26263301
0.769	26263301
0.77	26263301
0.771	25630276
0.772	25630276
0.773	25630276
0.774	25630276
0.775	25630276
0.776	25630276
0.777	25630276
0.778	25630276
0.779	25630276
0.78	25630276
0.781	25630276
0.782	22293235
0.783	22293235
0.784	22293235
0.785	22293235
0.786	22293235
0.787	22293235
0.788	22293235
0.789	22293235
0.79	22293235
0.791	22293235
0.792	22205697
0.793	22205697
0.794	22205697
0.795	22205697
0.796	22205697
0.797	22205697
0.798	22205697
0.799	22205697
0.8	22205697
0.801	22205697
0.802	22205697
0.803	21263660
0.804	21263660
0.805	21263660
0.806	21263660
0.807	21263660
0.808	21263660
0.809	21263660
0.81	21263660
0.811	21263660
0.812	19711495
0.813	19711495
0.814	19711495
0.815	19711495
0.816	19711495
0.817	19711495
0.818	19711495
0.819	19711495
0.82	19711495
0.821	18693802
0.822	18693802
0.823	18693802
0.824	18693802
0.825	18693802
0.826	18693802
0.827	18693802
0.828	18693802
0.829	18693802
0.83	18633070
0.831	18633070
0.832	18633070
0.833	18633070
0.834	18633070
0.835	18633070
0.836	18633070
0.837	18633070
0.838	18082191
0.839	18082191
0.84	18082191
0.841	18082191
0.842	18082191
0.843	18082191
0.844	18082191
0.845	18082191
0.846	18082191
0.847	17079028
0.848	17079028
0.849	17079028
0.85	17079028
0.851	17079028
0.852	17079028
0.853	17079028
0.854	17079028
0.855	16165425
0.856	16165425
0.857	16165425
0.858	16165425
0.859	16165425
0.86	16165425
0.861	16165425
0.862	15970131
0.863	15970131
0.864	15970131
0.865	15970131
0.866	15970131
0.867	15970131
0.868	15970131
0.869	15815933
0.87	15815933
0.871	15815933
0.872	15815933
0.873	15815933
0.874	15815933
0.875	15815933
0.876	15315717
0.877	15315717
0.878	15315717
0.879	15315717
0.88	15315717
0.881	15315717
0.882	15315717
0.883	15315717
0.884	13920758
0.885	13920758
0.886	13920758
0.887	13920758
0.888	13920758
0.889	13920758
0.89	13780615
0.891	13780615
0.892	13780615
0.893	13780615
0.894	13780615
0.895	13780615
0.896	13622448
0.897	13622448
0.898	13622448
0.899	13622448
0.9	13622448
0.901	13622448
0.902	12926932
0.903	12926932
0.904	12926932
0.905	12926932
0.906	12926932
0.907	12926932
0.908	11706429
0.909	11706429
0.91	11706429
0.911	11706429
0.912	11706429
0.913	11706429
0.914	11537164
0.915	11537164
0.916	11537164
0.917	11537164
0.918	11537164
0.919	10995523
0.92	10995523
0.921	10995523
0.922	10995523
0.923	10995523
0.924	10843848
0.925	10843848
0.926	10843848
0.927	10843848
0.928	10843848
0.929	9665368
0.93	9665368
0.931	9665368
0.932	9665368
0.933	9644099
0.934	9644099
0.935	9644099
0.936	9644099
0.937	9644099
0.938	9195912
0.939	9195912
0.94	9195912
0.941	9195912
0.942	8761929
0.943	8761929
0.944	8761929
0.945	8761929
0.946	8205450
0.947	8205450
0.948	8205450
0.949	8205450
0.95	8181338
0.951	8181338
0.952	8181338
0.953	8181338
0.954	8165492
