fraction	Nx_length
0.001	176423766
0.002	176423766
0.003	176423766
0.004	176423766
0.005	176423766
0.006	176423766
0.007	176423766
0.008	176423766
0.009	176423766
0.01	176423766
0.011	176423766
0.012	176423766
0.013	176423766
0.014	176423766
0.015	176423766
0.016	176423766
0.017	176423766
0.018	176423766
0.019	176423766
0.02	176423766
0.021	176423766
0.022	176423766
0.023	176423766
0.024	176423766
0.025	176423766
0.026	176423766
0.027	176423766
0.028	176423766
0.029	176423766
0.03	176423766
0.031	176423766
0.032	176423766
0.033	176423766
0.034	176423766
0.035	176423766
0.036	176423766
0.037	176423766
0.038	176423766
0.039	176423766
0.04	176423766
0.041	176423766
0.042	176423766
0.043	176423766
0.044	176423766
0.045	176423766
0.046	176423766
0.047	176423766
0.048	176423766
0.049	176423766
0.05	176423766
0.051	176423766
0.052	176423766
0.053	176423766
0.054	176423766
0.055	176423766
0.056	176423766
0.057	176423766
0.058	176423766
0.059	176423766
0.06	176423766
0.061	176423766
0.062	176423766
0.063	176423766
0.064	176423766
0.065	176423766
0.066	176423766
0.067	176423766
0.068	176423766
0.069	176423766
0.07	176423766
0.071	176423766
0.072	176423766
0.073	176423766
0.074	176423766
0.075	176423766
0.076	176423766
0.077	176423766
0.078	176423766
0.079	176423766
0.08	171479429
0.081	171479429
0.082	171479429
0.083	171479429
0.084	171479429
0.085	171479429
0.086	171479429
0.087	171479429
0.088	171479429
0.089	171479429
0.09	171479429
0.091	171479429
0.092	171479429
0.093	171479429
0.094	171479429
0.095	171479429
0.096	171479429
0.097	171479429
0.098	171479429
0.099	171479429
0.1	171479429
0.101	171479429
0.102	171479429
0.103	171479429
0.104	171479429
0.105	171479429
0.106	171479429
0.107	171479429
0.108	171479429
0.109	171479429
0.11	171479429
0.111	171479429
0.112	171479429
0.113	171479429
0.114	171479429
0.115	171479429
0.116	171479429
0.117	171479429
0.118	171479429
0.119	171479429
0.12	171479429
0.121	171479429
0.122	171479429
0.123	171479429
0.124	171479429
0.125	171479429
0.126	171479429
0.127	171479429
0.128	171479429
0.129	171479429
0.13	171479429
0.131	171479429
0.132	171479429
0.133	171479429
0.134	171479429
0.135	171479429
0.136	171479429
0.137	171479429
0.138	171479429
0.139	171479429
0.14	171479429
0.141	171479429
0.142	171479429
0.143	171479429
0.144	171479429
0.145	171479429
0.146	171479429
0.147	171479429
0.148	171479429
0.149	171479429
0.15	171479429
0.151	171479429
0.152	171479429
0.153	171479429
0.154	171479429
0.155	171479429
0.156	171479429
0.157	171479429
0.158	138035576
0.159	138035576
0.16	138035576
0.161	138035576
0.162	138035576
0.163	138035576
0.164	138035576
0.165	138035576
0.166	138035576
0.167	138035576
0.168	138035576
0.169	138035576
0.17	138035576
0.171	138035576
0.172	138035576
0.173	138035576
0.174	138035576
0.175	138035576
0.176	138035576
0.177	138035576
0.178	138035576
0.179	138035576
0.18	138035576
0.181	138035576
0.182	138035576
0.183	138035576
0.184	138035576
0.185	138035576
0.186	138035576
0.187	138035576
0.188	138035576
0.189	138035576
0.19	138035576
0.191	138035576
0.192	138035576
0.193	138035576
0.194	138035576
0.195	138035576
0.196	138035576
0.197	138035576
0.198	138035576
0.199	138035576
0.2	138035576
0.201	138035576
0.202	138035576
0.203	138035576
0.204	138035576
0.205	138035576
0.206	138035576
0.207	138035576
0.208	138035576
0.209	138035576
0.21	138035576
0.211	138035576
0.212	138035576
0.213	138035576
0.214	138035576
0.215	138035576
0.216	138035576
0.217	138035576
0.218	138035576
0.219	138035576
0.22	136327385
0.221	136327385
0.222	136327385
0.223	136327385
0.224	136327385
0.225	136327385
0.226	136327385
0.227	136327385
0.228	136327385
0.229	136327385
0.23	136327385
0.231	136327385
0.232	136327385
0.233	136327385
0.234	136327385
0.235	136327385
0.236	136327385
0.237	136327385
0.238	136327385
0.239	136327385
0.24	136327385
0.241	136327385
0.242	136327385
0.243	136327385
0.244	136327385
0.245	136327385
0.246	136327385
0.247	136327385
0.248	136327385
0.249	136327385
0.25	136327385
0.251	136327385
0.252	136327385
0.253	136327385
0.254	136327385
0.255	136327385
0.256	136327385
0.257	136327385
0.258	136327385
0.259	136327385
0.26	136327385
0.261	136327385
0.262	136327385
0.263	136327385
0.264	136327385
0.265	136327385
0.266	136327385
0.267	136327385
0.268	136327385
0.269	136327385
0.27	136327385
0.271	136327385
0.272	136327385
0.273	136327385
0.274	136327385
0.275	136327385
0.276	136327385
0.277	136327385
0.278	136327385
0.279	136327385
0.28	136327385
0.281	136327385
0.282	109674295
0.283	109674295
0.284	109674295
0.285	109674295
0.286	109674295
0.287	109674295
0.288	109674295
0.289	109674295
0.29	109674295
0.291	109674295
0.292	109674295
0.293	109674295
0.294	109674295
0.295	109674295
0.296	109674295
0.297	109674295
0.298	109674295
0.299	109674295
0.3	109674295
0.301	109674295
0.302	109674295
0.303	109674295
0.304	109674295
0.305	109674295
0.306	109674295
0.307	109674295
0.308	109674295
0.309	109674295
0.31	109674295
0.311	109674295
0.312	109674295
0.313	109674295
0.314	109674295
0.315	109674295
0.316	109674295
0.317	109674295
0.318	109674295
0.319	109674295
0.32	109674295
0.321	109674295
0.322	109674295
0.323	109674295
0.324	109674295
0.325	109674295
0.326	109674295
0.327	109674295
0.328	109674295
0.329	109674295
0.33	109674295
0.331	106626689
0.332	106626689
0.333	106626689
0.334	106626689
0.335	106626689
0.336	106626689
0.337	106626689
0.338	106626689
0.339	106626689
0.34	106626689
0.341	106626689
0.342	106626689
0.343	106626689
0.344	106626689
0.345	106626689
0.346	106626689
0.347	106626689
0.348	106626689
0.349	106626689
0.35	106626689
0.351	106626689
0.352	106626689
0.353	106626689
0.354	106626689
0.355	106626689
0.356	106626689
0.357	106626689
0.358	106626689
0.359	106626689
0.36	106626689
0.361	106626689
0.362	106626689
0.363	106626689
0.364	106626689
0.365	106626689
0.366	106626689
0.367	106626689
0.368	106626689
0.369	106626689
0.37	106626689
0.371	106626689
0.372	106626689
0.373	106626689
0.374	106626689
0.375	106626689
0.376	106626689
0.377	106626689
0.378	106626689
0.379	84223737
0.38	84223737
0.381	84223737
0.382	84223737
0.383	84223737
0.384	84223737
0.385	84223737
0.386	84223737
0.387	84223737
0.388	84223737
0.389	84223737
0.39	84223737
0.391	84223737
0.392	84223737
0.393	84223737
0.394	84223737
0.395	84223737
0.396	84223737
0.397	84223737
0.398	84223737
0.399	84223737
0.4	84223737
0.401	84223737
0.402	84223737
0.403	84223737
0.404	84223737
0.405	84223737
0.406	84223737
0.407	84223737
0.408	84223737
0.409	84223737
0.41	84223737
0.411	84223737
0.412	84223737
0.413	84223737
0.414	84223737
0.415	84223737
0.416	84223737
0.417	75091043
0.418	75091043
0.419	75091043
0.42	75091043
0.421	75091043
0.422	75091043
0.423	75091043
0.424	75091043
0.425	75091043
0.426	75091043
0.427	75091043
0.428	75091043
0.429	75091043
0.43	75091043
0.431	75091043
0.432	75091043
0.433	75091043
0.434	75091043
0.435	75091043
0.436	75091043
0.437	75091043
0.438	75091043
0.439	75091043
0.44	75091043
0.441	75091043
0.442	75091043
0.443	75091043
0.444	75091043
0.445	75091043
0.446	75091043
0.447	75091043
0.448	75091043
0.449	75091043
0.45	75091043
0.451	66300460
0.452	66300460
0.453	66300460
0.454	66300460
0.455	66300460
0.456	66300460
0.457	66300460
0.458	66300460
0.459	66300460
0.46	66300460
0.461	66300460
0.462	66300460
0.463	66300460
0.464	66300460
0.465	66300460
0.466	66300460
0.467	66300460
0.468	66300460
0.469	66300460
0.47	66300460
0.471	66300460
0.472	66300460
0.473	66300460
0.474	66300460
0.475	66300460
0.476	66300460
0.477	66300460
0.478	66300460
0.479	66300460
0.48	66300460
0.481	63379719
0.482	63379719
0.483	63379719
0.484	63379719
0.485	63379719
0.486	63379719
0.487	63379719
0.488	63379719
0.489	63379719
0.49	63379719
0.491	63379719
0.492	63379719
0.493	63379719
0.494	63379719
0.495	63379719
0.496	63379719
0.497	63379719
0.498	63379719
0.499	63379719
0.5	63379719
0.501	63379719
0.502	63379719
0.503	63379719
0.504	63379719
0.505	63379719
0.506	63379719
0.507	63379719
0.508	63379719
0.509	63379719
0.51	61725854
0.511	61725854
0.512	61725854
0.513	61725854
0.514	61725854
0.515	61725854
0.516	61725854
0.517	61725854
0.518	61725854
0.519	61725854
0.52	61725854
0.521	61725854
0.522	61725854
0.523	61725854
0.524	61725854
0.525	61725854
0.526	61725854
0.527	61725854
0.528	61725854
0.529	61725854
0.53	61725854
0.531	61725854
0.532	61725854
0.533	61725854
0.534	61725854
0.535	61725854
0.536	61725854
0.537	61725854
0.538	61686051
0.539	61686051
0.54	61686051
0.541	61686051
0.542	61686051
0.543	61686051
0.544	61686051
0.545	61686051
0.546	61686051
0.547	61686051
0.548	61686051
0.549	61686051
0.55	61686051
0.551	61686051
0.552	61686051
0.553	61686051
0.554	61686051
0.555	61686051
0.556	61686051
0.557	61686051
0.558	61686051
0.559	61686051
0.56	61686051
0.561	61686051
0.562	61686051
0.563	61686051
0.564	61686051
0.565	61686051
0.566	60297342
0.567	60297342
0.568	60297342
0.569	60297342
0.57	60297342
0.571	60297342
0.572	60297342
0.573	60297342
0.574	60297342
0.575	60297342
0.576	60297342
0.577	60297342
0.578	60297342
0.579	60297342
0.58	60297342
0.581	60297342
0.582	60297342
0.583	60297342
0.584	60297342
0.585	60297342
0.586	60297342
0.587	60297342
0.588	60297342
0.589	60297342
0.59	60297342
0.591	60297342
0.592	60297342
0.593	59921914
0.594	59921914
0.595	59921914
0.596	59921914
0.597	59921914
0.598	59921914
0.599	59921914
0.6	59921914
0.601	59921914
0.602	59921914
0.603	59921914
0.604	59921914
0.605	59921914
0.606	59921914
0.607	59921914
0.608	59921914
0.609	59921914
0.61	59921914
0.611	59921914
0.612	59921914
0.613	59921914
0.614	59921914
0.615	59921914
0.616	59921914
0.617	59921914
0.618	59921914
0.619	59921914
0.62	59719615
0.621	59719615
0.622	59719615
0.623	59719615
0.624	59719615
0.625	59719615
0.626	59719615
0.627	59719615
0.628	59719615
0.629	59719615
0.63	59719615
0.631	59719615
0.632	59719615
0.633	59719615
0.634	59719615
0.635	59719615
0.636	59719615
0.637	59719615
0.638	59719615
0.639	59719615
0.64	59719615
0.641	59719615
0.642	59719615
0.643	59719615
0.644	59719615
0.645	59719615
0.646	59719615
0.647	59605462
0.648	59605462
0.649	59605462
0.65	59605462
0.651	59605462
0.652	59605462
0.653	59605462
0.654	59605462
0.655	59605462
0.656	59605462
0.657	59605462
0.658	59605462
0.659	59605462
0.66	59605462
0.661	59605462
0.662	59605462
0.663	59605462
0.664	59605462
0.665	59605462
0.666	59605462
0.667	59605462
0.668	59605462
0.669	59605462
0.67	59605462
0.671	59605462
0.672	59605462
0.673	59605462
0.674	50621482
0.675	50621482
0.676	50621482
0.677	50621482
0.678	50621482
0.679	50621482
0.68	50621482
0.681	50621482
0.682	50621482
0.683	50621482
0.684	50621482
0.685	50621482
0.686	50621482
0.687	50621482
0.688	50621482
0.689	50621482
0.69	50621482
0.691	50621482
0.692	50621482
0.693	50621482
0.694	50621482
0.695	50621482
0.696	50621482
0.697	45411222
