fraction	Nx_length
0.001	13511482
0.002	13511482
0.003	13511482
0.004	13511482
0.005	13511482
0.006	13188764
0.007	13188764
0.008	13188764
0.009	13188764
0.01	13188764
0.011	12251624
0.012	12251624
0.013	12251624
0.014	12251624
0.015	12251624
0.016	11859236
0.017	11859236
0.018	11859236
0.019	11859236
0.02	11859236
0.021	11574222
0.022	11574222
0.023	11574222
0.024	11574222
0.025	11232000
0.026	11232000
0.027	11232000
0.028	11232000
0.029	11232000
0.03	11103978
0.031	11103978
0.032	11103978
0.033	11103978
0.034	11004996
0.035	11004996
0.036	11004996
0.037	11004996
0.038	11004996
0.039	10805038
0.04	10805038
0.041	10805038
0.042	10805038
0.043	10627361
0.044	10627361
0.045	10627361
0.046	10627361
0.047	10316070
0.048	10316070
0.049	10316070
0.05	10316070
0.051	10196050
0.052	10196050
0.053	10196050
0.054	10196050
0.055	10118155
0.056	10118155
0.057	10118155
0.058	10118155
0.059	9920462
0.06	9920462
0.061	9920462
0.062	9920462
0.063	9870567
0.064	9870567
0.065	9870567
0.066	9870567
0.067	9767018
0.068	9767018
0.069	9767018
0.07	9767018
0.071	9699791
0.072	9699791
0.073	9699791
0.074	9699791
0.075	9594989
0.076	9594989
0.077	9594989
0.078	9594989
0.079	9594593
0.08	9594593
0.081	9594593
0.082	9594593
0.083	9519370
0.084	9519370
0.085	9519370
0.086	9500013
0.087	9500013
0.088	9500013
0.089	9500013
0.09	9483418
0.091	9483418
0.092	9483418
0.093	9483418
0.094	9415733
0.095	9415733
0.096	9415733
0.097	9415733
0.098	9332442
0.099	9332442
0.1	9332442
0.101	9211072
0.102	9211072
0.103	9211072
0.104	9211072
0.105	9146458
0.106	9146458
0.107	9146458
0.108	9146458
0.109	9096762
0.11	9096762
0.111	9096762
0.112	8967700
0.113	8967700
0.114	8967700
0.115	8967700
0.116	8946768
0.117	8946768
0.118	8946768
0.119	8864411
0.12	8864411
0.121	8864411
0.122	8864411
0.123	8827023
0.124	8827023
0.125	8827023
0.126	8762938
0.127	8762938
0.128	8762938
0.129	8762938
0.13	8407631
0.131	8407631
0.132	8407631
0.133	8358388
0.134	8358388
0.135	8358388
0.136	8358388
0.137	8180000
0.138	8180000
0.139	8180000
0.14	8170723
0.141	8170723
0.142	8170723
0.143	8101000
0.144	8101000
0.145	8101000
0.146	8027897
0.147	8027897
0.148	8027897
0.149	8027897
0.15	7961849
0.151	7961849
0.152	7961849
0.153	7900062
0.154	7900062
0.155	7900062
0.156	7754401
0.157	7754401
0.158	7754401
0.159	7663553
0.16	7663553
0.161	7663553
0.162	7561105
0.163	7561105
0.164	7561105
0.165	7524648
0.166	7524648
