fraction	Nx_length
0.001	30777962
0.002	30777962
0.003	30777962
0.004	30777962
0.005	30777962
0.006	30777962
0.007	30777962
0.008	30777962
0.009	30777962
0.01	30777962
0.011	30777962
0.012	30777962
0.013	30777962
0.014	30777962
0.015	14288018
0.016	14288018
0.017	14288018
0.018	14288018
0.019	14288018
0.02	14288018
0.021	12608727
0.022	12608727
0.023	12608727
0.024	12608727
0.025	12608727
0.026	12608727
0.027	12298608
0.028	12298608
0.029	12298608
0.03	12298608
0.031	12298608
0.032	11066140
0.033	11066140
0.034	11066140
0.035	11066140
0.036	11066140
0.037	11066140
0.038	10866122
0.039	10866122
0.04	10866122
0.041	10866122
0.042	10609282
0.043	10609282
0.044	10609282
0.045	10609282
0.046	10609282
0.047	10382511
0.048	10382511
0.049	10382511
0.05	10382511
0.051	10382511
0.052	10293675
0.053	10293675
0.054	10293675
0.055	10293675
0.056	10293675
0.057	10097521
0.058	10097521
0.059	10097521
0.06	10097521
0.061	10094508
0.062	10094508
0.063	10094508
0.064	10094508
0.065	10094508
0.066	9696502
0.067	9696502
0.068	9696502
0.069	9696502
0.07	9550490
0.071	9550490
0.072	9550490
0.073	9550490
0.074	9550490
0.075	9478337
0.076	9478337
0.077	9478337
0.078	9478337
0.079	9207232
0.08	9207232
0.081	9207232
0.082	9207232
0.083	9141563
0.084	9141563
0.085	9141563
0.086	9141563
0.087	9113323
0.088	9113323
0.089	9113323
0.09	9113323
0.091	9113323
0.092	9069824
0.093	9069824
0.094	9069824
0.095	9069824
0.096	9054352
0.097	9054352
0.098	9054352
0.099	9054352
0.1	8766615
0.101	8766615
0.102	8766615
0.103	8766615
0.104	8644217
0.105	8644217
0.106	8644217
0.107	8644217
0.108	8460387
0.109	8460387
0.11	8460387
0.111	8460387
0.112	8428840
0.113	8428840
0.114	8428840
0.115	8428840
0.116	8232793
0.117	8232793
0.118	8232793
0.119	8066345
0.12	8066345
0.121	8066345
0.122	8066345
0.123	8013758
0.124	8013758
0.125	8013758
0.126	8013758
0.127	7970041
0.128	7970041
0.129	7970041
0.13	7776292
0.131	7776292
0.132	7776292
0.133	7776292
0.134	7666889
0.135	7666889
0.136	7666889
0.137	7467432
0.138	7467432
0.139	7467432
0.14	7467432
0.141	7305003
0.142	7305003
0.143	7305003
0.144	7287016
0.145	7287016
0.146	7287016
0.147	7188647
0.148	7188647
0.149	7188647
0.15	7188647
0.151	7130987
0.152	7130987
0.153	7130987
0.154	6990443
0.155	6990443
0.156	6990443
0.157	6987555
0.158	6987555
0.159	6987555
0.16	6898519
0.161	6898519
0.162	6898519
0.163	6898519
0.164	6890049
0.165	6890049
0.166	6890049
0.167	6790649
0.168	6790649
0.169	6790649
0.17	6740128
0.171	6740128
0.172	6740128
0.173	6648996
0.174	6648996
0.175	6648996
0.176	6561692
0.177	6561692
0.178	6561692
0.179	6546059
0.18	6546059
0.181	6546059
0.182	6543014
0.183	6543014
0.184	6543014
0.185	6512432
0.186	6512432
0.187	6512432
0.188	6485214
0.189	6485214
